,Unnamed: 0,Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg,Stock,day,date
166365,184217,First Internet Bancorp,INBK,36.95,37.73,36.8,37.0,0.15,0.41,"20,795",42.40,25.48,0.24,0.65,17.13,-3.01,Nasdaq,Thursday,2018-03-29
166366,288819,First Internet Bancorp,INBK,36.5,36.73,36.15,36.35,-0.45,-1.22,"15,196",42.40,25.48,0.24,0.66,16.83,-4.72,Nasdaq,Wednesday,2018-04-11
166367,142071,First Internet Bancorp,INBK,36.45,37.2,36.45,37.05,0.70,1.93,"15,318",42.4,25.48,0.24,0.65,17.15,-2.88,Nasdaq,Thursday,2018-04-12
166368,217262,First Internet Bancorp,INBK,37.6,37.6,36.75,36.85,-0.40,-1.07,"15,158",42.40,25.48,0.24,0.65,17.06,-3.41,Nasdaq,Tuesday,2018-04-17
166369,290624,First Internet Bancorp,INBK,37.05,37.2,36.0,36.25,-0.60,-1.63,"18,903",42.4,25.48,0.24,0.66,16.78,-4.98,Nasdaq,Wednesday,2018-04-18
166370,143878,First Internet Bancorp,INBK,36.1,37.1,36.0,36.85,0.60,1.66,"21,233",42.40,25.48,0.24,0.65,17.06,-3.41,Nasdaq,Thursday,2018-04-19
166371,651,First Internet Bancorp,INBK,35.8,38.03,35.8,36.55,-0.30,-0.81,"53,138",42.40,25.48,0.24,0.66,16.92,-4.19,Nasdaq,Friday,2018-04-20
166372,219071,First Internet Bancorp,INBK,36.5,36.9,35.9,36.15,0,0,"55,226",42.4,25.48,0.24,0.66,14.82,-5.24,Nasdaq,Tuesday,2018-04-24
166373,292434,First Internet Bancorp,INBK,36.05,36.6,35.5,35.65,-0.50,-1.38,"46,348",42.4,25.48,0.24,0.67,14.61,-6.55,Nasdaq,Wednesday,2018-04-25
166374,2461,First Internet Bancorp,INBK,35.65,35.65,34.8,34.9,-0.60,-1.69,"29,371",42.40,25.48,0.24,0.69,14.30,-8.52,Nasdaq,Friday,2018-04-27
166375,75918,First Internet Bancorp,INBK,35.05,35.05,34.0,34.2,-0.70,-2.01,"48,398",42.4,25.48,0.24,0.70,14.02,-10.35,Nasdaq,Monday,2018-04-30
166376,255712,First Internet Bancorp,INBK,34.15,34.57,32.95,33.6,-0.60,-1.75,"21,672",42.4,25.48,0.24,0.71,13.77,-11.93,Nasdaq,Tuesday,2018-05-01
166377,186030,First Internet Bancorp,INBK,34.2,34.65,32.55,32.8,-1.50,-4.37,"23,907",42.40,25.48,0.24,0.73,13.44,-14.02,Nasdaq,Thursday,2018-05-03
166378,44630,First Internet Bancorp,INBK,32.6,33.7,32.55,33.45,0.65,1.98,"13,686",42.40,25.48,0.24,0.72,13.71,-12.32,Nasdaq,Friday,2018-05-04
166379,114443,First Internet Bancorp,INBK,33.4,33.65,32.55,32.65,-0.80,-2.39,"34,254",42.4,25.48,0.24,0.74,13.38,-14.42,Nasdaq,Monday,2018-05-07
166380,257525,First Internet Bancorp,INBK,32.6,33.6,32.6,33.25,0.60,1.84,"27,892",42.40,25.48,0.24,0.72,13.63,-12.84,Nasdaq,Tuesday,2018-05-08
166381,329065,First Internet Bancorp,INBK,33.25,33.75,33.25,33.35,0.10,0.30,"27,935",42.40,25.48,0.24,0.72,13.67,-12.58,Nasdaq,Wednesday,2018-05-09
166382,187842,First Internet Bancorp,INBK,33.45,34.25,33.1,34.1,0.75,2.25,"20,888",42.4,25.48,0.24,0.70,13.98,-10.62,Nasdaq,Thursday,2018-05-10
166383,46443,First Internet Bancorp,INBK,34.0,34.2,33.65,33.95,-0.15,-0.44,"28,410",42.4,25.48,0.24,0.71,13.91,-11.01,Nasdaq,Friday,2018-05-11
166384,116256,First Internet Bancorp,INBK,34.0,34.05,33.15,33.2,-0.75,-2.21,"54,397",42.4,25.48,0.24,0.72,13.61,-12.98,Nasdaq,Monday,2018-05-14
166385,259336,First Internet Bancorp,INBK,33.05,33.2,32.9,33.1,-0.10,-0.30,"18,018",42.4,25.48,0.24,0.73,13.57,-13.24,Nasdaq,Tuesday,2018-05-15
166386,330888,First Internet Bancorp,INBK,33.05,33.81,33.05,33.55,0.45,1.36,"18,896",42.4,25.48,0.24,0.72,13.75,-12.06,Nasdaq,Wednesday,2018-05-16
166387,189647,First Internet Bancorp,INBK,33.45,34.25,33.45,34.05,0.50,1.49,"14,119",42.40,25.48,0.24,0.70,13.95,-10.75,Nasdaq,Thursday,2018-05-17
166388,48260,First Internet Bancorp,INBK,34.2,34.7,33.9,34.2,0.15,0.44,"34,986",42.4,25.48,0.24,0.70,14.02,-10.35,Nasdaq,Friday,2018-05-18
166389,118074,First Internet Bancorp,INBK,34.95,37.0,34.95,36.85,2.65,7.75,"73,813",42.40,25.48,0.24,0.65,15.10,-3.41,Nasdaq,Monday,2018-05-21
166390,261150,First Internet Bancorp,INBK,36.85,36.85,34.31,36.1,-0.75,-2.04,"23,181",42.4,25.48,0.24,0.66,14.80,-5.37,Nasdaq,Tuesday,2018-05-22
166391,332706,First Internet Bancorp,INBK,36.05,36.35,36.0,36.1,0,0,"23,692",42.40,25.48,0.24,0.66,14.80,-5.37,Nasdaq,Wednesday,2018-05-23
166392,191463,First Internet Bancorp,INBK,36.15,36.25,35.63,35.75,-0.35,-0.97,"46,078",42.40,25.48,0.24,0.67,14.65,-6.29,Nasdaq,Thursday,2018-05-24
166393,50076,First Internet Bancorp,INBK,35.8,35.9,35.05,35.65,-0.10,-0.28,"35,089",42.40,25.48,0.24,0.67,14.61,-6.55,Nasdaq,Friday,2018-05-25
166394,262965,First Internet Bancorp,INBK,35.45,36.0,34.35,34.85,-0.80,-2.24,"25,924",42.40,25.48,0.24,0.69,14.28,-8.65,Nasdaq,Tuesday,2018-05-29
166395,334518,First Internet Bancorp,INBK,34.9,36.25,34.9,35.45,0.60,1.72,"27,326",42.40,25.48,0.24,0.68,14.53,-7.08,Nasdaq,Wednesday,2018-05-30
166396,193276,First Internet Bancorp,INBK,35.4,36.4,35.05,35.3,-0.15,-0.42,"26,033",42.4,25.6,0.24,0.68,14.47,-7.47,Nasdaq,Thursday,2018-05-31
166397,35486,First Internet Bancorp,INBK,35.50,36.35,34.7,35.1,-0.20,-0.57,"38,808",42.40,25.70,0.24,0.68,14.39,-7.99,Nasdaq,Friday,2018-06-01
166398,107150,First Internet Bancorp,INBK,35.3,35.6,34.35,35.35,0.25,0.71,"38,878",42.40,25.70,0.24,0.68,14.49,-7.34,Nasdaq,Monday,2018-06-04
166399,248427,First Internet Bancorp,INBK,35.45,35.5,34.85,35.4,0.05,0.14,"25,977",42.4,25.75,0.24,0.68,14.51,-7.21,Nasdaq,Tuesday,2018-06-05
166400,321766,First Internet Bancorp,INBK,35.5,35.55,35.25,35.4,0,0,"22,917",42.40,26.30,0.24,0.68,14.51,-7.21,Nasdaq,Wednesday,2018-06-06
166401,176906,First Internet Bancorp,INBK,33.4,33.85,33.25,33.25,-2.15,-6.07,"625,171",42.40,26.30,0.24,0.72,13.63,-12.84,Nasdaq,Thursday,2018-06-07
166402,37314,First Internet Bancorp,INBK,33.15,33.5,32.95,33.4,0.15,0.45,"125,987",42.40,26.30,0.24,0.72,13.69,-12.45,Nasdaq,Friday,2018-06-08
166403,108977,First Internet Bancorp,INBK,33.35,35.5,33.1,33.5,0.10,0.30,"89,120",42.4,26.3,0.24,0.72,13.73,-12.19,Nasdaq,Monday,2018-06-11
166404,250254,First Internet Bancorp,INBK,33.5,33.95,33.13,33.75,0.25,0.75,"59,449",42.4,26.3,0.24,0.71,13.83,-11.53,Nasdaq,Tuesday,2018-06-12
166405,323593,First Internet Bancorp,INBK,33.7,34.95,33.7,34.75,1.00,2.96,"74,968",42.4,26.3,0.24,0.69,14.24,-8.91,Nasdaq,Wednesday,2018-06-13
166406,178729,First Internet Bancorp,INBK,35.0,35.55,34.75,34.95,0.20,0.58,"123,355",42.4,26.3,0.24,0.69,14.32,-8.39,Nasdaq,Thursday,2018-06-14
166407,39134,First Internet Bancorp,INBK,34.7,35.05,33.95,34.05,-0.90,-2.58,"87,187",42.40,26.30,0.24,0.70,13.95,-10.75,Nasdaq,Friday,2018-06-15
166408,110796,First Internet Bancorp,INBK,33.95,34.9,33.6,34.75,0.70,2.06,"122,800",42.40,26.30,0.24,0.69,14.24,-8.91,Nasdaq,Monday,2018-06-18
166409,252071,First Internet Bancorp,INBK,34.65,34.85,34.15,34.8,0.05,0.14,"104,749",42.4,26.3,0.24,0.69,14.26,-8.78,Nasdaq,Tuesday,2018-06-19
166410,325417,First Internet Bancorp,INBK,34.9,35.05,34.25,34.85,0.05,0.14,"115,576",42.40,26.30,0.24,0.69,14.28,-8.65,Nasdaq,Wednesday,2018-06-20
166411,180551,First Internet Bancorp,INBK,34.8,35.25,34.65,34.85,0,0,"102,052",42.4,26.3,0.24,0.69,14.28,-8.65,Nasdaq,Thursday,2018-06-21
166412,40965,First Internet Bancorp,INBK,34.9,35.1,34.0,34.4,-0.45,-1.29,"188,463",42.4,26.3,0.24,0.70,14.10,-9.83,Nasdaq,Friday,2018-06-22
166413,112619,First Internet Bancorp,INBK,34.25,34.8,34.15,34.25,-0.15,-0.44,"51,629",42.4,27.25,0.24,0.70,14.04,-10.22,Nasdaq,Monday,2018-06-25
166414,253892,First Internet Bancorp,INBK,34.35,34.85,34.17,34.2,-0.05,-0.15,"71,356",42.4,27.25,0.24,0.70,14.02,-10.35,Nasdaq,Tuesday,2018-06-26
166415,327235,First Internet Bancorp,INBK,34.25,34.6,33.5,33.65,-0.55,-1.61,"183,503",42.40,27.25,0.24,0.71,13.79,-11.80,Nasdaq,Wednesday,2018-06-27
166416,182380,First Internet Bancorp,INBK,33.6,34.2,33.5,33.65,0.06,0.18,"40,125",42.40,27.25,0.24,0.71,13.79,-11.80,Nasdaq,Thursday,2018-06-28
166417,42796,First Internet Bancorp,INBK,33.95,34.17,33.85,34.1,0.45,1.34,"73,799",42.40,27.25,0.24,0.70,13.98,-10.62,Nasdaq,Friday,2018-06-29
166418,97986,First Internet Bancorp,INBK,33.85,34.3,33.85,34.05,-0.05,-0.15,"56,776",42.4,27.25,0.24,0.70,13.95,-10.75,Nasdaq,Monday,2018-07-02
166419,239271,First Internet Bancorp,INBK,34.1,34.35,34.1,34.1,0.05,0.15,"20,154",42.4,27.25,0.24,0.70,13.98,-10.62,Nasdaq,Tuesday,2018-07-03
166420,169567,First Internet Bancorp,INBK,34.3,34.3,34.0,34.05,-0.05,-0.15,"15,497",42.4,27.25,0.24,0.70,13.95,-10.75,Nasdaq,Thursday,2018-07-05
166421,28166,First Internet Bancorp,INBK,34.05,34.35,33.95,34.1,0.05,0.15,"44,268",42.4,27.25,0.24,0.70,13.98,-10.62,Nasdaq,Friday,2018-07-06
166422,99821,First Internet Bancorp,INBK,34.15,34.32,34.1,34.2,0.10,0.29,"68,413",42.4,27.25,0.24,0.70,14.02,-10.35,Nasdaq,Monday,2018-07-09
166423,241094,First Internet Bancorp,INBK,34.2,34.3,33.8,34.15,-0.05,-0.15,"38,818",42.4,27.25,0.24,0.70,14.00,-10.48,Nasdaq,Tuesday,2018-07-10
166424,316276,First Internet Bancorp,INBK,33.95,34.25,33.71,34.05,-0.10,-0.29,"24,970",42.4,27.25,0.24,0.70,13.95,-10.75,Nasdaq,Wednesday,2018-07-11
166425,171395,First Internet Bancorp,INBK,34.15,34.15,33.65,34.05,0,0,"17,549",42.4,27.25,0.24,0.70,13.95,-10.75,Nasdaq,Thursday,2018-07-12
166426,29993,First Internet Bancorp,INBK,34.0,34.0,33.3,33.6,-0.45,-1.32,"57,140",42.4,27.25,0.24,0.71,13.77,-11.93,Nasdaq,Friday,2018-07-13
166427,101647,First Internet Bancorp,INBK,33.6,33.95,33.55,33.9,0.30,0.89,"45,100",42.4,27.25,0.24,0.71,13.89,-11.14,Nasdaq,Monday,2018-07-16
166428,242924,First Internet Bancorp,INBK,33.95,34.15,33.7,33.8,-0.10,-0.29,"77,465",42.4,27.25,0.24,0.71,13.85,-11.40,Nasdaq,Tuesday,2018-07-17
166429,318105,First Internet Bancorp,INBK,33.8,34.05,33.5,33.8,0,0,"97,661",42.4,27.55,0.24,0.71,13.85,-11.40,Nasdaq,Wednesday,2018-07-18
166430,173227,First Internet Bancorp,INBK,33.8,34.0,33.65,33.85,0.05,0.15,"33,380",42.40,27.55,0.24,0.71,13.87,-11.27,Nasdaq,Thursday,2018-07-19
166431,31813,First Internet Bancorp,INBK,33.6,33.6,30.55,32.05,-1.80,-5.32,"253,361",42.4,28.85,0.24,0.75,12.82,-15.99,Nasdaq,Friday,2018-07-20
166432,103473,First Internet Bancorp,INBK,31.0,31.4,30.57,31.3,-0.75,-2.34,"102,436",42.4,28.9,0.24,0.77,12.52,-17.96,Nasdaq,Monday,2018-07-23
166433,244750,First Internet Bancorp,INBK,31.25,31.25,30.5,30.6,-0.70,-2.24,"75,103",42.4,28.9,0.24,0.78,12.24,-19.79,Nasdaq,Tuesday,2018-07-24
166434,319932,First Internet Bancorp,INBK,30.55,30.7,30.0,30.5,-0.10,-0.33,"193,133",42.4,28.9,0.24,0.79,12.20,-20.05,Nasdaq,Wednesday,2018-07-25
166435,175066,First Internet Bancorp,INBK,30.45,31.2,30.45,30.95,0.45,1.48,"49,625",42.40,28.90,0.24,0.78,12.38,-18.87,Nasdaq,Thursday,2018-07-26
166436,33646,First Internet Bancorp,INBK,30.95,31.04,30.5,30.6,-0.35,-1.13,"49,326",42.4,28.9,0.24,0.78,12.24,-19.79,Nasdaq,Friday,2018-07-27
166437,105311,First Internet Bancorp,INBK,30.65,31.5,30.65,31.35,0.75,2.45,"54,189",42.4,28.9,0.24,0.77,12.54,-17.82,Nasdaq,Monday,2018-07-30
