,Unnamed: 0,Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg,Stock,day,date
175876,184495,JetBlue Airways,JBLU,20.18,20.45,20.11,20.32,0.15,0.74,"2,467,125",24.13,18.05,0,0,5.77,-9.04,Nasdaq,Thursday,2018-03-29
175877,289093,JetBlue Airways,JBLU,19.45,19.5,19.17,19.33,-0.03,-0.15,"6,036,085",24.13,18.05,0,0,5.49,-13.47,Nasdaq,Wednesday,2018-04-11
175878,142345,JetBlue Airways,JBLU,19.34,19.72,19.29,19.55,0.22,1.14,"5,374,925",24.13,18.05,0,0,5.55,-12.49,Nasdaq,Thursday,2018-04-12
175879,217538,JetBlue Airways,JBLU,19.91,20.06,19.65,19.81,0.04,0.20,"3,215,014",24.13,18.05,0,0,5.63,-11.32,Nasdaq,Tuesday,2018-04-17
175880,290901,JetBlue Airways,JBLU,19.99,20.25,19.81,19.97,0.16,0.81,"4,477,483",24.13,18.05,0,0,5.67,-10.61,Nasdaq,Wednesday,2018-04-18
175881,144153,JetBlue Airways,JBLU,19.95,20.0,19.5,19.66,-0.31,-1.55,"3,085,198",24.13,18.05,0,0,5.59,-12.00,Nasdaq,Thursday,2018-04-19
175882,927,JetBlue Airways,JBLU,19.69,19.93,19.66,19.86,0.20,1.02,"4,648,100",24.13,18.05,0,0,5.64,-11.10,Nasdaq,Friday,2018-04-20
175883,219348,JetBlue Airways,JBLU,19.57,20.03,19.29,19.53,-0.38,-1.91,"5,250,465",24.13,18.05,0,0,5.55,-12.58,Nasdaq,Tuesday,2018-04-24
175884,292712,JetBlue Airways,JBLU,19.47,19.47,18.84,19.17,-0.36,-1.84,"6,771,221",24.13,18.05,0,0,5.42,-14.19,Nasdaq,Wednesday,2018-04-25
175885,2737,JetBlue Airways,JBLU,19.19,19.36,19.05,19.28,0.11,0.57,"2,897,675",24.13,18.05,0,0,5.45,-13.70,Nasdaq,Friday,2018-04-27
175886,76197,JetBlue Airways,JBLU,19.13,19.34,18.89,19.19,-0.09,-0.47,"5,699,889",24.13,18.05,0,0,5.42,-14.10,Nasdaq,Monday,2018-04-30
175887,255990,JetBlue Airways,JBLU,19.16,19.49,19.0,19.44,0.25,1.30,"5,205,385",24.13,18.05,0,0,5.49,-12.98,Nasdaq,Tuesday,2018-05-01
175888,186305,JetBlue Airways,JBLU,19.32,19.36,19.06,19.21,-0.13,-0.67,"2,921,654",24.13,18.05,0,0,5.43,-14.01,Nasdaq,Thursday,2018-05-03
