,Unnamed: 0,Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg,Stock,day,date
179907,184510,Kelly Services Cl A,KELYA,28.83,29.37,28.7,29.04,0.26,0.90,"102,755",30.99,20.27,0.30,1.03,16.00,6.49,Nasdaq,Thursday,2018-03-29
179908,289107,Kelly Services Cl A,KELYA,30.51,30.51,29.72,29.75,-0.95,-3.09,"122,864",30.99,20.33,0.30,1.01,16.39,9.09,Nasdaq,Wednesday,2018-04-11
179909,142359,Kelly Services Cl A,KELYA,30.04,30.36,29.84,29.96,0.21,0.71,"218,519",30.99,20.33,0.30,1.00,16.51,9.86,Nasdaq,Thursday,2018-04-12
179910,217553,Kelly Services Cl A,KELYA,30.59,30.91,30.39,30.63,0.20,0.66,"117,297",30.99,20.45,0.30,0.98,16.88,12.32,Nasdaq,Tuesday,2018-04-17
179911,290916,Kelly Services Cl A,KELYA,30.56,30.9,30.12,30.71,0.08,0.26,"126,673",30.99,20.75,0.30,0.98,16.92,12.61,Nasdaq,Wednesday,2018-04-18
179912,144168,Kelly Services Cl A,KELYA,30.66,32.31,30.66,31.61,0.90,2.93,"194,029",32.31,21.01,0.30,0.95,17.42,15.91,Nasdaq,Thursday,2018-04-19
179913,942,Kelly Services Cl A,KELYA,31.43,31.66,30.32,30.47,-1.14,-3.61,"109,661",32.31,21.01,0.30,0.98,16.79,11.73,Nasdaq,Friday,2018-04-20
179914,219363,Kelly Services Cl A,KELYA,30.21,30.51,29.66,29.84,-0.48,-1.58,"116,456",32.31,21.01,0.30,1.01,16.44,9.42,Nasdaq,Tuesday,2018-04-24
179915,292727,Kelly Services Cl A,KELYA,29.89,30.23,29.52,29.75,-0.09,-0.30,"109,143",32.31,21.01,0.30,1.01,16.39,9.09,Nasdaq,Wednesday,2018-04-25
179916,2752,Kelly Services Cl A,KELYA,30.03,30.29,29.52,29.98,0,0,"120,951",32.31,21.01,0.30,1.00,16.52,9.94,Nasdaq,Friday,2018-04-27
179917,76212,Kelly Services Cl A,KELYA,30.08,30.08,29.25,29.26,-0.72,-2.40,"129,888",32.31,21.01,0.30,1.03,16.12,7.30,Nasdaq,Monday,2018-04-30
179918,256005,Kelly Services Cl A,KELYA,29.05,29.17,28.49,29.1,-0.16,-0.55,"249,905",32.31,21.01,0.30,1.03,16.03,6.71,Nasdaq,Tuesday,2018-05-01
179919,186320,Kelly Services Cl A,KELYA,29.68,29.95,29.31,29.9,0.21,0.71,"117,573",32.31,21.01,0.30,1.00,16.47,9.64,Nasdaq,Thursday,2018-05-03
179920,44921,Kelly Services Cl A,KELYA,29.77,30.55,29.59,30.28,0.38,1.27,"136,226",32.31,21.01,0.30,0.99,16.68,11.04,Nasdaq,Friday,2018-05-04
179921,114733,Kelly Services Cl A,KELYA,30.32,30.33,29.84,29.87,-0.41,-1.35,"117,798",32.31,21.01,0.30,1.00,16.46,9.53,Nasdaq,Monday,2018-05-07
179922,257816,Kelly Services Cl A,KELYA,29.6,30.7,29.55,30.54,0.67,2.24,"180,305",32.31,21.01,0.30,0.98,16.83,11.99,Nasdaq,Tuesday,2018-05-08
179923,329356,Kelly Services Cl A,KELYA,30.59,31.03,30.25,30.75,0.21,0.69,"157,425",32.31,21.01,0.30,0.98,16.94,12.76,Nasdaq,Wednesday,2018-05-09
179924,188126,Kelly Services Cl A,KELYA,28.08,28.08,23.64,24.95,-5.79,-18.85,"747,157",32.31,21.01,0.30,1.20,13.75,-8.49,Nasdaq,Thursday,2018-05-10
179925,46735,Kelly Services Cl A,KELYA,25.1,25.2,24.49,24.5,-0.46,-1.84,"298,630",32.31,21.01,0.30,1.22,10.91,-10.18,Nasdaq,Friday,2018-05-11
179926,116548,Kelly Services Cl A,KELYA,24.41,24.41,21.66,21.72,-2.77,-11.33,"725,033",32.31,21.01,0.30,1.38,9.67,-20.35,Nasdaq,Monday,2018-05-14
179927,259626,Kelly Services Cl A,KELYA,21.62,22.22,21.44,21.52,-0.20,-0.92,"447,148",32.31,21.01,0.30,1.39,9.59,-21.09,Nasdaq,Tuesday,2018-05-15
179928,331181,Kelly Services Cl A,KELYA,21.62,22.78,21.62,22.4,0.88,4.09,"549,771",32.31,21.01,0.30,1.34,9.98,-17.86,Nasdaq,Wednesday,2018-05-16
179929,189937,Kelly Services Cl A,KELYA,22.44,22.49,21.57,21.95,-0.45,-2.01,"399,729",32.31,21.01,0.30,1.37,9.78,-19.51,Nasdaq,Thursday,2018-05-17
179930,48551,Kelly Services Cl A,KELYA,22.0,22.58,21.84,22.56,0.61,2.78,"616,424",32.31,21.01,0.30,1.33,10.05,-17.27,Nasdaq,Friday,2018-05-18
179931,118364,Kelly Services Cl A,KELYA,23.46,24.87,23.25,24.26,1.77,7.89,"590,607",32.31,21.01,0.30,1.24,10.81,-11.04,Nasdaq,Monday,2018-05-21
179932,261440,Kelly Services Cl A,KELYA,24.38,24.89,23.6,23.79,-0.47,-1.94,"308,187",32.31,21.01,0.30,1.26,10.60,-12.76,Nasdaq,Tuesday,2018-05-22
179933,332996,Kelly Services Cl A,KELYA,23.65,23.83,23.44,23.61,-0.18,-0.76,"182,770",32.31,21.01,0.30,1.27,10.52,-13.42,Nasdaq,Wednesday,2018-05-23
179934,191756,Kelly Services Cl A,KELYA,23.6,23.81,23.23,23.29,-0.32,-1.36,"306,268",32.31,21.01,0.30,1.29,10.37,-14.59,Nasdaq,Thursday,2018-05-24
179935,50371,Kelly Services Cl A,KELYA,23.27,23.46,22.76,22.82,-0.47,-2.02,"194,594",32.31,21.01,0.30,1.31,10.16,-16.32,Nasdaq,Friday,2018-05-25
179936,263259,Kelly Services Cl A,KELYA,22.51,23.06,22.5,23.02,0.20,0.88,"146,960",32.31,21.01,0.30,1.30,10.25,-15.58,Nasdaq,Tuesday,2018-05-29
179937,334810,Kelly Services Cl A,KELYA,23.08,23.41,22.94,23.0,-0.02,-0.09,"200,195",32.31,21.01,0.30,1.30,10.24,-15.66,Nasdaq,Wednesday,2018-05-30
179938,193568,Kelly Services Cl A,KELYA,23.05,23.24,22.33,22.41,-0.59,-2.57,"237,852",32.31,21.01,0.30,1.34,9.98,-17.82,Nasdaq,Thursday,2018-05-31
179939,35778,Kelly Services Cl A,KELYA,22.57,23.18,22.43,22.93,0.52,2.32,"190,918",32.31,21.01,0.30,1.31,10.21,-15.91,Nasdaq,Friday,2018-06-01
179940,107442,Kelly Services Cl A,KELYA,22.93,23.41,22.89,23.32,0.39,1.70,"166,249",32.31,21.01,0.30,1.29,10.39,-14.48,Nasdaq,Monday,2018-06-04
179941,248721,Kelly Services Cl A,KELYA,23.32,23.74,23.32,23.48,0.16,0.69,"148,633",32.31,21.01,0.30,1.28,10.46,-13.90,Nasdaq,Tuesday,2018-06-05
179942,322059,Kelly Services Cl A,KELYA,23.54,23.84,23.07,23.22,-0.26,-1.11,"156,000",32.31,21.01,0.30,1.29,10.34,-14.85,Nasdaq,Wednesday,2018-06-06
179943,177199,Kelly Services Cl A,KELYA,23.24,23.34,22.81,23.04,-0.18,-0.78,"181,266",32.31,21.01,0.30,1.30,10.26,-15.51,Nasdaq,Thursday,2018-06-07
179944,37607,Kelly Services Cl A,KELYA,23.05,23.28,22.65,22.96,-0.08,-0.35,"206,513",32.31,21.01,0.30,1.31,10.23,-15.80,Nasdaq,Friday,2018-06-08
179945,109269,Kelly Services Cl A,KELYA,23.01,23.54,23.01,23.26,0.30,1.31,"333,165",32.31,21.01,0.30,1.29,10.36,-14.70,Nasdaq,Monday,2018-06-11
179946,250545,Kelly Services Cl A,KELYA,23.27,23.42,23.09,23.3,0.04,0.17,"148,958",32.31,21.01,0.30,1.29,10.38,-14.56,Nasdaq,Tuesday,2018-06-12
179947,323886,Kelly Services Cl A,KELYA,23.45,23.86,23.13,23.5,0.20,0.86,"245,530",32.31,21.01,0.30,1.28,10.47,-13.82,Nasdaq,Wednesday,2018-06-13
179948,179021,Kelly Services Cl A,KELYA,23.57,23.72,23.25,23.57,0.07,0.30,"156,750",32.31,21.01,0.30,1.27,10.50,-13.57,Nasdaq,Thursday,2018-06-14
179949,39428,Kelly Services Cl A,KELYA,23.46,23.47,22.88,23.47,-0.10,-0.42,"259,013",32.31,21.01,0.30,1.28,10.45,-13.93,Nasdaq,Friday,2018-06-15
179950,111090,Kelly Services Cl A,KELYA,23.38,23.58,23.0,23.48,0.01,0.04,"232,769",32.31,21.01,0.30,1.28,10.46,-13.90,Nasdaq,Monday,2018-06-18
179951,252362,Kelly Services Cl A,KELYA,23.38,23.64,23.09,23.38,-0.10,-0.43,"192,382",32.31,21.01,0.30,1.28,10.41,-14.26,Nasdaq,Tuesday,2018-06-19
179952,325708,Kelly Services Cl A,KELYA,23.4,23.4,23.05,23.09,-0.29,-1.24,"121,505",32.31,21.01,0.30,1.30,10.29,-15.33,Nasdaq,Wednesday,2018-06-20
179953,180843,Kelly Services Cl A,KELYA,23.09,23.17,22.61,22.91,-0.18,-0.78,"140,775",32.31,21.01,0.30,1.31,10.20,-15.99,Nasdaq,Thursday,2018-06-21
179954,41257,Kelly Services Cl A,KELYA,22.98,23.16,22.77,22.93,0.02,0.09,"221,712",32.31,21.01,0.30,1.31,10.21,-15.91,Nasdaq,Friday,2018-06-22
179955,112914,Kelly Services Cl A,KELYA,22.85,22.85,22.42,22.64,-0.29,-1.26,"137,580",32.31,21.01,0.30,1.33,10.08,-16.98,Nasdaq,Monday,2018-06-25
179956,254185,Kelly Services Cl A,KELYA,22.65,22.82,22.36,22.69,0.05,0.22,"154,813",32.31,21.01,0.30,1.32,10.11,-16.80,Nasdaq,Tuesday,2018-06-26
179957,327528,Kelly Services Cl A,KELYA,22.7,22.7,22.02,22.06,-0.63,-2.78,"164,999",32.31,21.01,0.30,1.36,9.83,-19.11,Nasdaq,Wednesday,2018-06-27
179958,182677,Kelly Services Cl A,KELYA,22.0,22.45,21.94,22.34,0.28,1.27,"123,938",32.31,21.01,0.30,1.34,9.95,-18.08,Nasdaq,Thursday,2018-06-28
179959,43093,Kelly Services Cl A,KELYA,22.45,22.65,22.34,22.45,0.11,0.49,"104,943",32.31,21.01,0.30,1.34,10.00,-17.68,Nasdaq,Friday,2018-06-29
179960,98281,Kelly Services Cl A,KELYA,22.38,22.94,22.23,22.89,0.44,1.96,"126,280",32.31,21.01,0.30,1.31,10.20,-16.06,Nasdaq,Monday,2018-07-02
179961,239559,Kelly Services Cl A,KELYA,22.97,23.09,22.82,22.89,0,0,"58,435",32.31,21.01,0.30,1.31,10.20,-16.06,Nasdaq,Tuesday,2018-07-03
179962,169860,Kelly Services Cl A,KELYA,23.11,23.12,22.69,22.92,0.03,0.13,"106,998",32.31,21.01,0.30,1.31,10.21,-15.95,Nasdaq,Thursday,2018-07-05
179963,28458,Kelly Services Cl A,KELYA,22.96,23.21,22.83,23.1,0.18,0.79,"122,124",32.31,21.01,0.30,1.30,10.29,-15.29,Nasdaq,Friday,2018-07-06
179964,100111,Kelly Services Cl A,KELYA,23.2,23.57,23.17,23.36,0.26,1.13,"191,803",32.31,21.01,0.30,1.28,10.41,-14.34,Nasdaq,Monday,2018-07-09
179965,241386,Kelly Services Cl A,KELYA,23.33,23.45,23.0,23.1,-0.26,-1.11,"204,983",32.31,21.01,0.30,1.30,10.29,-15.29,Nasdaq,Tuesday,2018-07-10
179966,316568,Kelly Services Cl A,KELYA,23.04,23.26,22.81,22.84,-0.26,-1.13,"67,303",32.31,21.01,0.30,1.31,10.17,-16.24,Nasdaq,Wednesday,2018-07-11
179967,171687,Kelly Services Cl A,KELYA,22.96,22.96,22.33,22.49,-0.35,-1.53,"157,892",32.31,21.01,0.30,1.33,10.02,-17.53,Nasdaq,Thursday,2018-07-12
179968,30284,Kelly Services Cl A,KELYA,22.44,22.84,22.38,22.62,0.13,0.58,"84,498",32.31,21.01,0.30,1.33,10.08,-17.05,Nasdaq,Friday,2018-07-13
179969,101938,Kelly Services Cl A,KELYA,22.62,22.86,22.26,22.34,-0.28,-1.24,"91,708",32.31,21.01,0.30,1.34,9.95,-18.08,Nasdaq,Monday,2018-07-16
179970,243211,Kelly Services Cl A,KELYA,22.33,22.9,22.33,22.87,0.53,2.37,"132,471",32.31,21.01,0.30,1.31,10.19,-16.13,Nasdaq,Tuesday,2018-07-17
179971,318396,Kelly Services Cl A,KELYA,22.78,23.38,22.69,23.37,0.50,2.19,"95,473",32.31,21.01,0.30,1.28,10.41,-14.30,Nasdaq,Wednesday,2018-07-18
179972,173519,Kelly Services Cl A,KELYA,23.29,23.35,23.08,23.21,-0.16,-0.68,"119,346",32.31,21.01,0.30,1.29,10.34,-14.89,Nasdaq,Thursday,2018-07-19
179973,32105,Kelly Services Cl A,KELYA,23.09,23.22,22.9,22.92,-0.29,-1.25,"83,101",32.31,21.01,0.30,1.31,10.21,-15.95,Nasdaq,Friday,2018-07-20
179974,103765,Kelly Services Cl A,KELYA,22.87,23.39,22.84,23.27,0.35,1.53,"107,192",32.31,21.01,0.30,1.29,10.37,-14.67,Nasdaq,Monday,2018-07-23
179975,245043,Kelly Services Cl A,KELYA,23.31,23.5,23.2,23.39,0.12,0.52,"82,642",32.31,21.01,0.30,1.28,10.42,-14.23,Nasdaq,Tuesday,2018-07-24
179976,320223,Kelly Services Cl A,KELYA,23.38,23.75,23.36,23.75,0.36,1.54,"85,443",32.31,21.01,0.30,1.26,10.58,-12.91,Nasdaq,Wednesday,2018-07-25
179977,175356,Kelly Services Cl A,KELYA,23.85,24.36,23.85,24.33,0.58,2.44,"119,240",32.31,21.01,0.30,1.23,10.84,-10.78,Nasdaq,Thursday,2018-07-26
179978,33938,Kelly Services Cl A,KELYA,24.32,24.44,23.7,24.03,-0.30,-1.23,"70,226",32.31,21.01,0.30,1.25,10.70,-11.88,Nasdaq,Friday,2018-07-27
179979,105603,Kelly Services Cl A,KELYA,24.03,24.32,23.73,23.76,-0.27,-1.12,"75,118",32.31,21.01,0.30,1.26,10.58,-12.87,Nasdaq,Monday,2018-07-30
179980,246889,Kelly Services Cl A,KELYA,23.88,24.36,23.61,24.29,0.53,2.23,"144,251",32.31,21.01,0.30,1.24,10.82,-10.93,Nasdaq,Tuesday,2018-07-31
179981,294541,Kelly Services Cl A,KELYA,24.29,24.63,24.12,24.47,0.18,0.74,"100,658",32.31,21.01,0.30,1.23,10.90,-10.27,Nasdaq,Wednesday,2018-08-01
179982,145982,Kelly Services Cl A,KELYA,24.47,24.64,24.17,24.45,-0.02,-0.08,"107,361",32.31,21.01,0.30,1.23,10.89,-10.34,Nasdaq,Thursday,2018-08-02
179983,4569,Kelly Services Cl A,KELYA,24.51,24.51,24.02,24.22,-0.23,-0.94,"104,536",32.31,21.01,0.30,1.24,10.79,-11.18,Nasdaq,Friday,2018-08-03
179984,78025,Kelly Services Cl A,KELYA,24.27,24.7,24.13,24.52,0.30,1.24,"92,017",32.31,21.01,0.30,1.22,10.92,-10.08,Nasdaq,Monday,2018-08-06
179985,221176,Kelly Services Cl A,KELYA,24.62,24.73,24.3,24.38,-0.14,-0.57,"102,141",32.31,21.01,0.30,1.23,10.86,-10.60,Nasdaq,Tuesday,2018-08-07
179986,296380,Kelly Services Cl A,KELYA,24.5,24.99,23.79,24.63,0.25,1.03,"208,690",32.31,21.01,0.30,1.22,10.97,-9.68,Nasdaq,Wednesday,2018-08-08
179987,147817,Kelly Services Cl A,KELYA,24.6,24.89,24.37,24.46,-0.17,-0.69,"150,648",32.31,21.01,0.30,1.23,17.79,-10.30,Nasdaq,Thursday,2018-08-09
