,Unnamed: 0,Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg,Stock,day,date
181858,138698,KLX Energy Services Holdings,KLXE,28.44,29.99,28.11,29.99,1.09,3.77,"3,968,135",29.99,25.00,0,0,0,0,Nasdaq,Monday,2018-09-17
181859,285450,KLX Energy Services Holdings,KLXE,29.97,30.5,29.0,29.42,-0.57,-1.90,"1,616,783",30.5,25.0,0,0,0,0,Nasdaq,Tuesday,2018-09-18
181860,356991,KLX Energy Services Holdings,KLXE,29.42,29.44,28.5,28.86,-0.56,-1.90,"621,205",30.50,25.00,0,0,0,0,Nasdaq,Wednesday,2018-09-19
181861,213887,KLX Energy Services Holdings,KLXE,28.73,29.25,28.16,28.93,0.07,0.24,"595,089",30.50,25.00,0,0,0,0,Nasdaq,Thursday,2018-09-20
181862,72524,KLX Energy Services Holdings,KLXE,28.8,30.3,28.8,29.33,0.40,1.38,"1,562,297",30.5,25.0,0,0,0,0,Nasdaq,Friday,2018-09-21
181863,140539,KLX Energy Services Holdings,KLXE,29.5,30.25,28.5,28.79,-0.54,-1.84,"548,145",30.5,25.0,0,0,0,0,Nasdaq,Monday,2018-09-24
181864,287291,KLX Energy Services Holdings,KLXE,29.01,30.48,28.5,30.36,1.57,5.45,"617,364",30.50,25.00,0,0,0,0,Nasdaq,Tuesday,2018-09-25
181865,358837,KLX Energy Services Holdings,KLXE,30.3,30.82,30.00,30.72,0.36,1.19,"527,988",30.82,25.00,0,0,0,0,Nasdaq,Wednesday,2018-09-26
181866,215729,KLX Energy Services Holdings,KLXE,30.91,32.13,30.77,32.05,1.33,4.33,"584,104",32.13,25.00,0,0,0,0,Nasdaq,Thursday,2018-09-27
181867,74379,KLX Energy Services Holdings,KLXE,32.04,32.15,31.63,32.01,-0.04,-0.12,"285,511",32.15,25.00,0,0,0,0,Nasdaq,Friday,2018-09-28
181868,127603,KLX Energy Services Holdings,KLXE,32.08,32.27,30.76,30.92,-1.09,-3.41,"228,443",32.27,25.00,0,0,0,0,Nasdaq,Monday,2018-10-01
181869,272493,KLX Energy Services Holdings,KLXE,30.93,32.2,30.11,32.00,1.08,3.49,"285,378",32.27,25.00,0,0,0,0,Nasdaq,Tuesday,2018-10-02
181870,344050,KLX Energy Services Holdings,KLXE,32.0,33.28,31.61,32.96,0.96,3.00,"376,054",33.28,25.00,0,0,0,0,Nasdaq,Wednesday,2018-10-03
181871,202792,KLX Energy Services Holdings,KLXE,32.98,33.64,32.11,32.88,-0.08,-0.24,"190,836",33.64,25.00,0,0,0,0,Nasdaq,Thursday,2018-10-04
181872,61429,KLX Energy Services Holdings,KLXE,32.85,33.12,32.14,32.73,-0.15,-0.46,"674,558",33.64,25.00,0,0,0,0,Nasdaq,Friday,2018-10-05
181873,129449,KLX Energy Services Holdings,KLXE,32.69,33.83,32.21,33.76,1.03,3.15,"203,953",33.83,25.00,0,0,0,0,Nasdaq,Monday,2018-10-08
181874,274343,KLX Energy Services Holdings,KLXE,33.64,34.81,33.02,34.49,0.73,2.16,"326,910",34.81,25.00,0,0,0,0,Nasdaq,Tuesday,2018-10-09
181875,345900,KLX Energy Services Holdings,KLXE,34.61,35.00,34.35,34.46,-0.03,-0.09,"312,692",35.0,25.00,0,0,0,0,Nasdaq,Wednesday,2018-10-10
181876,204642,KLX Energy Services Holdings,KLXE,35.10,35.10,33.83,34.37,-0.09,-0.26,"392,557",35.1,25.00,0,0,0,0,Nasdaq,Thursday,2018-10-11
181877,63275,KLX Energy Services Holdings,KLXE,34.91,34.93,32.71,33.11,-1.26,-3.67,"147,942",35.10,25.00,0,0,0,0,Nasdaq,Friday,2018-10-12
181878,131302,KLX Energy Services Holdings,KLXE,33.22,33.73,32.75,33.53,0.42,1.27,"168,619",35.10,25.00,0,0,0,0,Nasdaq,Monday,2018-10-15
