,Unnamed: 0,Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg,Stock,day,date
202922,184691,MongoDB,MDB,41.83,43.72,41.83,43.4,1.69,4.05,"584,986",46.26,24.62,0,0,0,46.23,Nasdaq,Thursday,2018-03-29
202923,289287,MongoDB,MDB,40.93,42.2,40.53,40.69,0.12,0.30,"347,429",46.26,24.62,0,0,0,37.10,Nasdaq,Wednesday,2018-04-11
202924,142538,MongoDB,MDB,40.73,41.54,39.39,40.21,-0.48,-1.18,"492,613",46.26,24.62,0,0,0,35.48,Nasdaq,Thursday,2018-04-12
202925,217733,MongoDB,MDB,39.02,39.34,37.88,38.35,-1.11,-2.81,"3,599,044",46.26,24.62,0,0,0,29.21,Nasdaq,Tuesday,2018-04-17
202926,291097,MongoDB,MDB,38.38,39.0,38.01,38.47,0.12,0.31,"990,595",46.26,24.62,0,0,0,29.62,Nasdaq,Wednesday,2018-04-18
202927,144350,MongoDB,MDB,38.37,38.74,37.8,37.82,-0.65,-1.69,"938,819",46.26,24.62,0,0,0,27.43,Nasdaq,Thursday,2018-04-19
202928,1122,MongoDB,MDB,37.57,38.25,37.09,37.77,-0.05,-0.13,"608,046",46.26,24.62,0,0,0,27.26,Nasdaq,Friday,2018-04-20
202929,219542,MongoDB,MDB,36.75,37.17,34.58,34.77,-1.98,-5.39,"981,636",46.26,24.62,0,0,0,17.15,Nasdaq,Tuesday,2018-04-24
202930,292909,MongoDB,MDB,35.08,35.41,32.35,34.9,0.13,0.37,"1,594,801",46.26,24.62,0,0,0,17.59,Nasdaq,Wednesday,2018-04-25
202931,2933,MongoDB,MDB,37.77,38.0,35.5,36.26,-1.13,-3.02,"844,343",46.26,24.62,0,0,0,22.17,Nasdaq,Friday,2018-04-27
202932,76391,MongoDB,MDB,36.5,37.17,35.55,35.99,-0.27,-0.74,"692,023",46.26,24.62,0,0,0,21.26,Nasdaq,Monday,2018-04-30
202933,256184,MongoDB,MDB,35.71,36.8,35.23,36.51,0.52,1.44,"960,122",46.26,24.62,0,0,0,23.01,Nasdaq,Tuesday,2018-05-01
202934,186503,MongoDB,MDB,37.25,38.9,36.83,38.55,1.44,3.88,"1,001,935",46.26,24.62,0,0,0,29.89,Nasdaq,Thursday,2018-05-03
202935,45101,MongoDB,MDB,38.61,39.35,36.3,36.97,-1.58,-4.10,"1,246,206",46.26,24.62,0,0,0,24.56,Nasdaq,Friday,2018-05-04
202936,114917,MongoDB,MDB,37.0,37.98,36.86,37.76,0.79,2.14,"561,884",46.26,24.62,0,0,0,27.22,Nasdaq,Monday,2018-05-07
202937,257997,MongoDB,MDB,37.95,41.01,37.79,41.01,3.25,8.61,"2,335,986",46.26,24.62,0,0,0,38.17,Nasdaq,Tuesday,2018-05-08
202938,329540,MongoDB,MDB,40.75,41.6,40.0,41.2,0.19,0.46,"573,070",46.26,24.62,0,0,0,38.81,Nasdaq,Wednesday,2018-05-09
