,Unnamed: 0,Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg,Stock,day,date
205781,184661,MGE Energy,MGEE,56.65,57.0,56.1,56.1,-0.35,-0.62,"96,740",68.70,51.05,1.29,2.30,19.89,-11.09,Nasdaq,Thursday,2018-03-29
205782,289257,MGE Energy,MGEE,56.8,56.95,56.1,56.8,-0.05,-0.09,"68,729",68.70,51.05,1.29,2.27,20.14,-9.98,Nasdaq,Wednesday,2018-04-11
205783,142508,MGE Energy,MGEE,56.8,57.0,55.75,56.0,-0.80,-1.41,"53,814",68.7,51.05,1.29,2.30,19.86,-11.25,Nasdaq,Thursday,2018-04-12
205784,217703,MGE Energy,MGEE,57.55,58.25,56.77,58.05,0.65,1.13,"42,020",68.70,51.05,1.29,2.22,20.59,-8.00,Nasdaq,Tuesday,2018-04-17
205785,291067,MGE Energy,MGEE,58.0,58.6,57.75,57.8,-0.25,-0.43,"43,312",68.7,51.05,1.29,2.23,20.50,-8.40,Nasdaq,Wednesday,2018-04-18
205786,144320,MGE Energy,MGEE,57.65,57.8,57.15,57.6,-0.20,-0.35,"39,811",68.70,51.05,1.29,2.24,20.43,-8.72,Nasdaq,Thursday,2018-04-19
205787,1092,MGE Energy,MGEE,57.35,57.85,57.15,57.45,-0.15,-0.26,"48,749",68.70,51.05,1.29,2.25,20.37,-8.95,Nasdaq,Friday,2018-04-20
205788,219513,MGE Energy,MGEE,57.65,58.2,57.2,58.0,0.45,0.78,"53,301",68.7,51.05,1.29,2.22,20.57,-8.08,Nasdaq,Tuesday,2018-04-24
205789,292879,MGE Energy,MGEE,57.9,58.45,57.35,57.65,-0.35,-0.60,"63,573",68.7,51.05,1.29,2.24,20.44,-8.64,Nasdaq,Wednesday,2018-04-25
205790,2903,MGE Energy,MGEE,58.2,58.6,58.1,58.35,0.10,0.17,"42,785",68.70,51.05,1.29,2.21,20.69,-7.53,Nasdaq,Friday,2018-04-27
205791,76361,MGE Energy,MGEE,58.3,58.85,58.05,58.05,-0.30,-0.51,"43,788",68.7,51.05,1.29,2.22,20.59,-8.00,Nasdaq,Monday,2018-04-30
205792,256154,MGE Energy,MGEE,58.2,58.8,57.9,58.75,0.70,1.21,"44,782",68.7,51.05,1.29,2.20,20.83,-6.89,Nasdaq,Tuesday,2018-05-01
205793,186473,MGE Energy,MGEE,58.85,59.25,58.05,58.85,0.05,0.09,"33,359",68.70,51.05,1.29,2.19,20.87,-6.74,Nasdaq,Thursday,2018-05-03
205794,45071,MGE Energy,MGEE,59.15,59.95,58.92,59.45,0.60,1.02,"35,103",68.70,51.05,1.29,2.17,21.08,-5.78,Nasdaq,Friday,2018-05-04
205795,114887,MGE Energy,MGEE,59.55,59.8,59.1,59.35,-0.10,-0.17,"46,398",68.7,51.05,1.29,2.17,21.05,-5.94,Nasdaq,Monday,2018-05-07
205796,257967,MGE Energy,MGEE,59.4,59.4,58.1,58.35,-1.00,-1.68,"78,170",68.70,51.05,1.29,2.21,20.69,-7.53,Nasdaq,Tuesday,2018-05-08
205797,329510,MGE Energy,MGEE,58.45,58.65,57.8,58.3,-0.05,-0.09,"38,843",68.70,51.05,1.29,2.21,20.53,-7.61,Nasdaq,Wednesday,2018-05-09
205798,188279,MGE Energy,MGEE,58.2,58.65,58.1,58.6,0.30,0.51,"35,410",68.7,51.05,1.29,2.20,20.63,-7.13,Nasdaq,Thursday,2018-05-10
205799,46887,MGE Energy,MGEE,58.5,58.75,58.0,58.1,-0.50,-0.85,"57,360",68.7,51.05,1.29,2.22,20.46,-7.92,Nasdaq,Friday,2018-05-11
205800,116700,MGE Energy,MGEE,58.2,58.2,57.05,57.2,-0.90,-1.55,"43,734",68.7,51.05,1.29,2.26,20.14,-9.35,Nasdaq,Monday,2018-05-14
205801,259778,MGE Energy,MGEE,57.05,57.6,56.5,56.85,-0.35,-0.61,"51,912",68.7,51.05,1.29,2.27,20.02,-9.90,Nasdaq,Tuesday,2018-05-15
205802,331335,MGE Energy,MGEE,56.95,57.1,56.1,56.6,-0.25,-0.44,"44,251",68.7,51.05,1.29,2.28,19.93,-10.30,Nasdaq,Wednesday,2018-05-16
205803,190089,MGE Energy,MGEE,56.9,57.15,56.5,57.15,0.55,0.97,"52,468",68.70,51.05,1.29,2.26,20.12,-9.43,Nasdaq,Thursday,2018-05-17
205804,48703,MGE Energy,MGEE,57.4,57.55,57.05,57.2,0.05,0.09,"62,753",68.7,51.05,1.29,2.26,20.14,-9.35,Nasdaq,Friday,2018-05-18
205805,118515,MGE Energy,MGEE,57.15,57.95,57.02,57.55,0.35,0.61,"36,384",68.70,51.05,1.29,2.24,20.26,-8.80,Nasdaq,Monday,2018-05-21
205806,261593,MGE Energy,MGEE,57.5,58.2,57.25,57.9,0.35,0.61,"37,437",68.7,51.05,1.29,2.23,20.39,-8.24,Nasdaq,Tuesday,2018-05-22
205807,333148,MGE Energy,MGEE,58.0,58.45,57.8,58.35,0.45,0.78,"36,800",68.70,51.05,1.29,2.21,20.55,-7.53,Nasdaq,Wednesday,2018-05-23
205808,191908,MGE Energy,MGEE,58.35,59.1,58.3,59.0,0.65,1.11,"25,801",68.70,51.05,1.29,2.19,20.77,-6.50,Nasdaq,Thursday,2018-05-24
205809,50524,MGE Energy,MGEE,58.95,59.3,58.55,58.9,-0.10,-0.17,"46,572",68.70,51.05,1.29,2.19,20.74,-6.66,Nasdaq,Friday,2018-05-25
205810,263411,MGE Energy,MGEE,58.55,59.85,58.3,59.75,0.85,1.44,"57,827",68.70,51.05,1.29,2.16,21.04,-5.31,Nasdaq,Tuesday,2018-05-29
205811,334965,MGE Energy,MGEE,59.8,60.7,59.35,60.45,0.70,1.17,"54,645",68.70,51.05,1.29,2.13,21.29,-4.20,Nasdaq,Wednesday,2018-05-30
205812,193722,MGE Energy,MGEE,60.15,60.55,59.5,59.65,-0.48,-0.79,"43,335",68.7,51.05,1.29,2.16,21.00,-5.47,Nasdaq,Thursday,2018-05-31
205813,35933,MGE Energy,MGEE,59.75,59.8,58.05,58.65,-1.00,-1.68,"66,461",68.70,51.05,1.29,2.20,20.65,-7.05,Nasdaq,Friday,2018-06-01
205814,107598,MGE Energy,MGEE,58.7,58.8,57.9,58.0,-0.65,-1.11,"78,160",68.70,51.05,1.29,2.22,20.42,-8.08,Nasdaq,Monday,2018-06-04
205815,248874,MGE Energy,MGEE,57.8,58.2,57.25,57.25,-0.75,-1.29,"60,913",68.7,51.05,1.29,2.25,20.16,-9.27,Nasdaq,Tuesday,2018-06-05
205816,322215,MGE Energy,MGEE,57.15,57.4,56.1,56.5,-0.75,-1.31,"60,990",68.70,51.05,1.29,2.28,19.89,-10.46,Nasdaq,Wednesday,2018-06-06
205817,177350,MGE Energy,MGEE,56.45,57.05,56.15,56.5,0,0,"54,062",68.70,51.05,1.29,2.28,19.89,-10.46,Nasdaq,Thursday,2018-06-07
205818,37761,MGE Energy,MGEE,56.45,57.15,56.1,56.3,-0.20,-0.35,"44,532",68.70,51.05,1.29,2.29,19.82,-10.78,Nasdaq,Friday,2018-06-08
205819,109422,MGE Energy,MGEE,56.25,56.25,55.3,55.9,-0.40,-0.71,"41,119",68.7,51.05,1.29,2.31,19.68,-11.41,Nasdaq,Monday,2018-06-11
205820,250697,MGE Energy,MGEE,55.8,56.65,55.75,56.45,0.55,0.98,"50,447",68.7,51.05,1.29,2.29,19.88,-10.54,Nasdaq,Tuesday,2018-06-12
