,Unnamed: 0,Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg,Stock,day,date
207756,184671,Middleby,MIDD,123.93,124.65,123.52,123.79,0.33,0.27,"296,110",142.00,107.53,0,0,23.58,-8.27,Nasdaq,Thursday,2018-03-29
207757,289267,Middleby,MIDD,123.77,124.91,122.86,123.68,-0.62,-0.50,"296,812",142.00,107.53,0,0,23.56,-8.35,Nasdaq,Wednesday,2018-04-11
207758,142518,Middleby,MIDD,124.25,124.68,122.21,122.55,-1.13,-0.91,"521,247",142.0,107.53,0,0,23.34,-9.19,Nasdaq,Thursday,2018-04-12
207759,217713,Middleby,MIDD,124.49,127.5,123.34,125.29,1.71,1.38,"368,959",142.00,107.53,0,0,23.86,-7.16,Nasdaq,Tuesday,2018-04-17
207760,291077,Middleby,MIDD,125.3,126.89,123.77,126.44,1.15,0.92,"314,408",142.0,107.53,0,0,24.08,-6.31,Nasdaq,Wednesday,2018-04-18
207761,144330,Middleby,MIDD,126.46,126.76,124.9,126.21,-0.23,-0.18,"535,113",142.00,107.53,0,0,24.04,-6.48,Nasdaq,Thursday,2018-04-19
207762,1102,Middleby,MIDD,126.67,127.91,124.68,127.7,1.49,1.18,"305,293",142.00,107.53,0,0,24.32,-5.37,Nasdaq,Friday,2018-04-20
207763,219523,Middleby,MIDD,128.08,128.46,124.78,125.8,-1.61,-1.26,"592,438",142.0,107.53,0,0,23.96,-6.78,Nasdaq,Tuesday,2018-04-24
207764,292889,Middleby,MIDD,125.06,126.74,124.7,126.23,0.43,0.34,"236,568",141.63,107.53,0,0,24.04,-6.46,Nasdaq,Wednesday,2018-04-25
207765,2913,Middleby,MIDD,128.31,129.07,127.61,127.96,-0.59,-0.46,"559,234",141.34,107.53,0,0,24.37,-5.18,Nasdaq,Friday,2018-04-27
207766,76371,Middleby,MIDD,127.97,129.03,125.42,125.84,-2.12,-1.66,"449,046",141.34,107.53,0,0,23.97,-6.75,Nasdaq,Monday,2018-04-30
207767,256164,Middleby,MIDD,125.59,127.15,124.43,126.98,1.14,0.91,"361,197",141.34,107.53,0,0,24.19,-5.91,Nasdaq,Tuesday,2018-05-01
207768,186483,Middleby,MIDD,125.79,126.89,124.11,124.84,-1.15,-0.91,"300,040",141.34,107.53,0,0,23.78,-7.49,Nasdaq,Thursday,2018-05-03
207769,45081,Middleby,MIDD,124.25,126.89,124.12,126.46,1.62,1.30,"227,414",141.34,107.53,0,0,24.09,-6.29,Nasdaq,Friday,2018-05-04
207770,114897,Middleby,MIDD,126.56,129.37,123.56,128.96,2.50,1.98,"639,416",141.34,107.53,0,0,24.56,-4.44,Nasdaq,Monday,2018-05-07
207771,257977,Middleby,MIDD,128.95,132.12,127.65,131.63,2.67,2.07,"493,631",138.89,107.53,0,0,25.07,-2.46,Nasdaq,Tuesday,2018-05-08
207772,329520,Middleby,MIDD,114.01,118.88,100.32,108.56,-23.07,-17.53,"8,654,640",138.89,100.32,0,0,20.68,-19.56,Nasdaq,Wednesday,2018-05-09
207773,188289,Middleby,MIDD,107.02,108.15,104.36,107.02,-1.54,-1.41,"2,044,249",138.89,100.32,0,0,20.62,-20.70,Nasdaq,Thursday,2018-05-10
207774,46897,Middleby,MIDD,105.98,108.02,105.79,107.32,0.30,0.28,"774,526",138.89,100.32,0,0,20.68,-20.47,Nasdaq,Friday,2018-05-11
207775,116710,Middleby,MIDD,107.74,108.1,105.31,105.96,-1.36,-1.27,"637,453",138.89,100.32,0,0,20.42,-21.48,Nasdaq,Monday,2018-05-14
207776,259788,Middleby,MIDD,105.88,107.39,104.61,104.85,-1.11,-1.05,"572,316",138.89,100.32,0,0,20.20,-22.30,Nasdaq,Tuesday,2018-05-15
207777,331345,Middleby,MIDD,104.7,105.8,104.52,104.97,0.12,0.11,"732,780",138.89,100.32,0,0,20.23,-22.22,Nasdaq,Wednesday,2018-05-16
207778,190099,Middleby,MIDD,104.32,105.45,103.45,103.96,-1.01,-0.96,"641,658",138.89,100.32,0,0,20.03,-22.96,Nasdaq,Thursday,2018-05-17
