,Unnamed: 0,Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg,Stock,day,date
213987,184163,Everspin Technologies,MRAM,7.54,7.72,7.2,7.55,0.08,1.07,"57,262",25.39,6.40,0,0,0,0.67,Nasdaq,Thursday,2018-03-29
213988,288765,Everspin Technologies,MRAM,7.75,7.92,7.57,7.66,-0.09,-1.16,"23,915",25.39,6.40,0,0,0,2.13,Nasdaq,Wednesday,2018-04-11
213989,142017,Everspin Technologies,MRAM,7.68,8.07,7.61,8.02,0.36,4.70,"42,519",25.39,6.4,0,0,0,6.93,Nasdaq,Thursday,2018-04-12
213990,217208,Everspin Technologies,MRAM,8.32,8.5,8.3,8.31,0.01,0.13,"51,314",25.39,6.40,0,0,0,10.81,Nasdaq,Tuesday,2018-04-17
213991,290570,Everspin Technologies,MRAM,8.38,8.5,8.26,8.29,-0.02,-0.25,"47,914",25.39,6.4,0,0,0,10.53,Nasdaq,Wednesday,2018-04-18
213992,143823,Everspin Technologies,MRAM,8.21,8.23,7.63,7.92,-0.37,-4.46,"60,301",25.39,6.40,0,0,0,5.60,Nasdaq,Thursday,2018-04-19
213993,596,Everspin Technologies,MRAM,7.89,7.89,7.6,7.61,-0.31,-3.91,"18,981",25.39,6.40,0,0,0,1.47,Nasdaq,Friday,2018-04-20
213994,219016,Everspin Technologies,MRAM,7.95,7.97,7.39,7.39,-0.50,-6.34,"64,620",25.39,6.4,0,0,0,-1.47,Nasdaq,Tuesday,2018-04-24
213995,292380,Everspin Technologies,MRAM,7.42,7.49,7.3,7.35,-0.04,-0.54,"33,838",25.39,6.4,0,0,0,-2.00,Nasdaq,Wednesday,2018-04-25
213996,2407,Everspin Technologies,MRAM,7.52,7.56,7.3,7.3,-0.09,-1.22,"28,397",25.39,6.40,0,0,0,-2.67,Nasdaq,Friday,2018-04-27
213997,75864,Everspin Technologies,MRAM,7.25,7.49,6.75,6.83,-0.47,-6.44,"125,856",25.39,6.4,0,0,0,-8.93,Nasdaq,Monday,2018-04-30
213998,255658,Everspin Technologies,MRAM,6.9,6.98,6.68,6.93,0.10,1.46,"108,811",25.39,6.4,0,0,0,-7.60,Nasdaq,Tuesday,2018-05-01
