,Unnamed: 0,Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg,Stock,day,date
223332,185185,The9 ADR,NCTY,0.46,0.5,0.46,0.5,0.02,5.24,"77,869",1.68,0.45,0,0,0,-21.90,Nasdaq,Thursday,2018-03-29
223333,289774,The9 ADR,NCTY,0.52,0.53,0.5,0.5,-0.01,-1.57,"118,873",1.68,0.45,0,0,0,-21.57,Nasdaq,Wednesday,2018-04-11
223334,143025,The9 ADR,NCTY,0.5,0.53,0.5,0.52,0.02,3.59,"175,665",1.68,0.45,0,0,0,-18.76,Nasdaq,Thursday,2018-04-12
223335,218221,The9 ADR,NCTY,0.48,0.52,0.47,0.49,0.01,1.79,"150,127",1.68,0.45,0,0,0,-23.48,Nasdaq,Tuesday,2018-04-17
223336,291586,The9 ADR,NCTY,0.48,0.49,0.46,0.47,-0.02,-4.23,"191,481",1.68,0.45,0,0,0,-26.71,Nasdaq,Wednesday,2018-04-18
223337,144838,The9 ADR,NCTY,0.47,0.5,0.47,0.5,0.03,6.59,"68,036",1.68,0.45,0,0,0,-21.89,Nasdaq,Thursday,2018-04-19
223338,1612,The9 ADR,NCTY,0.53,0.53,0.46,0.46,-0.04,-7.39,"166,487",1.68,0.45,0,0,0,-27.66,Nasdaq,Friday,2018-04-20
223339,220032,The9 ADR,NCTY,0.46,0.47,0.4,0.41,-0.06,-13.46,"300,853",1.68,0.4,0,0,0,-36.73,Nasdaq,Tuesday,2018-04-24
223340,293399,The9 ADR,NCTY,0.43,0.43,0.4,0.42,0.01,3.68,"755,854",1.68,0.4,0,0,0,-34.40,Nasdaq,Wednesday,2018-04-25
223341,3426,The9 ADR,NCTY,0.38,0.38,0.35,0.37,-0.00,-0.38,"217,672",1.68,0.35,0,0,0,-42.10,Nasdaq,Friday,2018-04-27
223342,76883,The9 ADR,NCTY,0.38,0.38,0.35,0.35,-0.02,-5.56,"180,308",1.68,0.35,0,0,0,-45.32,Nasdaq,Monday,2018-04-30
223343,256674,The9 ADR,NCTY,0.37,0.37,0.32,0.35,-0.00,-1.37,"197,987",1.68,0.32,0,0,0,-46.07,Nasdaq,Tuesday,2018-05-01
223344,186993,The9 ADR,NCTY,0.38,0.43,0.36,0.4,-0.01,-2.13,"191,861",1.68,0.32,0,0,0,-37.45,Nasdaq,Thursday,2018-05-03
223345,45591,The9 ADR,NCTY,0.45,0.45,0.38,0.4,-0.00,-0.10,"209,776",1.68,0.32,0,0,0,-37.51,Nasdaq,Friday,2018-05-04
223346,115406,The9 ADR,NCTY,0.42,0.42,0.38,0.39,-0.01,-3.11,"163,174",1.68,0.32,0,0,0,-39.45,Nasdaq,Monday,2018-05-07
223347,258484,The9 ADR,NCTY,0.39,0.41,0.33,0.37,-0.02,-5.30,"392,378",1.68,0.32,0,0,0,-42.67,Nasdaq,Tuesday,2018-05-08
223348,330034,The9 ADR,NCTY,1.08,3.5,0.95,1.56,0.46,41.69,"5,389,019",0,0,0,0,0,-18.76,Nasdaq,Wednesday,2018-05-09
223349,188798,The9 ADR,NCTY,1.66,2.1,1.4,1.54,-0.02,-1.28,"5,085,002",5.04,0.95,0,0,0,-19.80,Nasdaq,Thursday,2018-05-10
223350,47410,The9 ADR,NCTY,1.51,1.51,1.33,1.36,-0.18,-11.69,"403,388",5.04,0.95,0,0,0,-29.18,Nasdaq,Friday,2018-05-11
223351,117225,The9 ADR,NCTY,1.36,1.48,1.32,1.36,0,0,"135,321",5.04,0.95,0,0,0,-29.18,Nasdaq,Monday,2018-05-14
223352,260299,The9 ADR,NCTY,1.33,1.38,1.25,1.29,-0.07,-5.15,"153,529",5.04,0.95,0,0,0,-32.82,Nasdaq,Tuesday,2018-05-15
223353,331857,The9 ADR,NCTY,1.3,1.39,1.25,1.38,0.09,6.98,"120,121",5.04,0.95,0,0,0,-28.14,Nasdaq,Wednesday,2018-05-16
223354,190614,The9 ADR,NCTY,1.38,1.46,1.31,1.34,-0.04,-3.14,"66,222",5.04,0.95,0,0,0,-30.39,Nasdaq,Thursday,2018-05-17
223355,49227,The9 ADR,NCTY,1.33,1.36,1.3,1.3,-0.04,-2.75,"18,474",5.04,0.95,0,0,0,-32.30,Nasdaq,Friday,2018-05-18
223356,119039,The9 ADR,NCTY,1.35,1.35,1.27,1.28,-0.02,-1.54,"23,115",5.04,0.95,0,0,0,-33.34,Nasdaq,Monday,2018-05-21
223357,262117,The9 ADR,NCTY,1.3,1.3,1.25,1.27,-0.01,-0.78,"67,547",5.04,0.95,0,0,0,-33.86,Nasdaq,Tuesday,2018-05-22
223358,333668,The9 ADR,NCTY,1.3,1.3,1.21,1.24,-0.03,-2.44,"51,099",5.04,0.95,0,0,0,-35.48,Nasdaq,Wednesday,2018-05-23
223359,192430,The9 ADR,NCTY,1.22,1.25,1.14,1.15,-0.09,-7.18,"121,970",5.04,0.95,0,0,0,-40.11,Nasdaq,Thursday,2018-05-24
223360,51050,The9 ADR,NCTY,1.22,1.22,1.17,1.18,0.03,2.61,"27,320",5.04,0.95,0,0,0,-38.55,Nasdaq,Friday,2018-05-25
223361,263935,The9 ADR,NCTY,1.17,1.2,1.11,1.11,-0.07,-5.93,"48,401",5.04,0.95,0,0,0,-42.20,Nasdaq,Tuesday,2018-05-29
223362,335491,The9 ADR,NCTY,1.13,1.17,1.11,1.14,0.03,2.70,"144,801",5.04,0.95,0,0,0,-40.63,Nasdaq,Wednesday,2018-05-30
223363,194246,The9 ADR,NCTY,1.14,1.14,1.11,1.12,-0.02,-1.75,"62,089",5.04,0.95,0,0,0,-41.68,Nasdaq,Thursday,2018-05-31
223364,36460,The9 ADR,NCTY,1.12,1.14,1.05,1.07,-0.05,-4.46,"137,952",5.04,0.95,0,0,0,-44.28,Nasdaq,Friday,2018-06-01
223365,108124,The9 ADR,NCTY,1.07,1.09,1.02,1.06,-0.01,-0.93,"66,133",5.04,0.95,0,0,0,-44.80,Nasdaq,Monday,2018-06-04
223366,249401,The9 ADR,NCTY,1.06,1.07,1.02,1.03,-0.03,-2.83,"72,458",5.04,0.95,0,0,0,-46.36,Nasdaq,Tuesday,2018-06-05
223367,322743,The9 ADR,NCTY,1.03,1.28,1.02,1.26,0.23,22.33,"406,468",5.04,0.95,0,0,0,-34.39,Nasdaq,Wednesday,2018-06-06
223368,177878,The9 ADR,NCTY,1.3,1.38,1.18,1.24,-0.02,-1.59,"743,629",5.04,0.95,0,0,0,-35.43,Nasdaq,Thursday,2018-06-07
223369,38288,The9 ADR,NCTY,1.22,1.22,1.1,1.1,-0.14,-11.29,"89,623",5.04,0.95,0,0,0,-42.72,Nasdaq,Friday,2018-06-08
223370,109949,The9 ADR,NCTY,1.08,1.2,1.08,1.13,0.03,2.73,"71,605",5.04,0.95,0,0,0,-41.16,Nasdaq,Monday,2018-06-11
223371,251223,The9 ADR,NCTY,1.18,1.18,1.08,1.1,-0.03,-2.60,"42,555",5.04,0.95,0,0,0,-42.69,Nasdaq,Tuesday,2018-06-12
223372,324568,The9 ADR,NCTY,1.09,1.15,1.08,1.11,0.01,0.85,"46,426",5.04,0.95,0,0,0,-42.20,Nasdaq,Wednesday,2018-06-13
223373,179703,The9 ADR,NCTY,1.1,1.12,1.06,1.09,-0.02,-1.80,"23,138",5.04,0.95,0,0,0,-43.24,Nasdaq,Thursday,2018-06-14
223374,40110,The9 ADR,NCTY,1.07,1.12,1.07,1.08,-0.01,-0.92,"33,634",5.04,0.95,0,0,0,-43.76,Nasdaq,Friday,2018-06-15
223375,111769,The9 ADR,NCTY,1.12,1.12,1.08,1.1,0.02,1.81,"35,746",5.04,0.95,0,0,0,-42.74,Nasdaq,Monday,2018-06-18
223376,253040,The9 ADR,NCTY,1.1,1.1,1.07,1.08,-0.02,-1.77,"45,715",5.04,0.95,0,0,0,-43.76,Nasdaq,Tuesday,2018-06-19
223377,326384,The9 ADR,NCTY,1.06,1.08,1.06,1.06,-0.02,-1.76,"46,547",5.04,0.95,0,0,0,-44.75,Nasdaq,Wednesday,2018-06-20
223378,181525,The9 ADR,NCTY,1.04,1.1,1.03,1.05,-0.01,-1.04,"53,957",5.04,0.95,0,0,0,-45.32,Nasdaq,Thursday,2018-06-21
223379,41939,The9 ADR,NCTY,1.06,1.23,1.05,1.07,0.02,1.90,"202,976",5.04,0.95,0,0,0,-44.28,Nasdaq,Friday,2018-06-22
223380,113592,The9 ADR,NCTY,1.05,1.08,1.04,1.04,-0.03,-2.80,"75,353",5.04,0.95,0,0,0,-45.84,Nasdaq,Monday,2018-06-25
223381,254864,The9 ADR,NCTY,1.03,1.08,1.03,1.07,0.03,2.59,"26,611",5.04,0.95,0,0,0,-44.44,Nasdaq,Tuesday,2018-06-26
223382,328210,The9 ADR,NCTY,1.09,1.09,1.04,1.06,-0.01,-0.65,"24,588",5.04,0.95,0,0,0,-44.80,Nasdaq,Wednesday,2018-06-27
223383,183358,The9 ADR,NCTY,1.05,1.15,1.04,1.05,-0.01,-1.22,"132,094",5.04,0.95,0,0,0,-45.47,Nasdaq,Thursday,2018-06-28
223384,43778,The9 ADR,NCTY,1.06,1.09,1.01,1.01,-0.04,-3.54,"53,216",5.04,0.95,0,0,0,-47.40,Nasdaq,Friday,2018-06-29
223385,98966,The9 ADR,NCTY,1.05,1.05,1.0,1.02,0.01,0.99,"12,273",5.04,0.95,0,0,0,-46.88,Nasdaq,Monday,2018-07-02
223386,240235,The9 ADR,NCTY,1.05,1.05,1.01,1.02,0,0,"5,244",5.04,0.95,0,0,0,-46.88,Nasdaq,Tuesday,2018-07-03
223387,170543,The9 ADR,NCTY,1.06,1.06,1.02,1.02,0,0,"12,287",5.04,0.95,0,0,0,-46.88,Nasdaq,Thursday,2018-07-05
223388,29141,The9 ADR,NCTY,1.04,1.08,1.02,1.04,0.02,1.96,"86,456",5.04,0.95,0,0,0,-45.84,Nasdaq,Friday,2018-07-06
223389,100794,The9 ADR,NCTY,1.01,1.09,1.01,1.01,-0.03,-2.88,"26,118",5.04,0.95,0,0,0,-47.40,Nasdaq,Monday,2018-07-09
223390,242070,The9 ADR,NCTY,1.0,1.04,1.0,1.02,0.01,0.98,"35,373",5.04,0.95,0,0,0,-46.89,Nasdaq,Tuesday,2018-07-10
