,Unnamed: 0,Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg,Stock,day,date
227041,184757,NMI Holdings Cl A,NMIH,16.65,16.99,16.38,16.55,0.05,0.30,"537,634",21.92,10.10,0,0,45.97,-2.65,Nasdaq,Thursday,2018-03-29
227042,289352,NMI Holdings Cl A,NMIH,13.85,14.45,13.8,14.3,0.50,3.62,"821,147",21.92,10.10,0,0,39.72,-15.88,Nasdaq,Wednesday,2018-04-11
227043,142603,NMI Holdings Cl A,NMIH,14.5,14.75,14.4,14.75,0.45,3.15,"843,472",21.92,10.1,0,0,40.97,-13.24,Nasdaq,Thursday,2018-04-12
227044,217798,NMI Holdings Cl A,NMIH,14.55,14.7,14.3,14.4,-0.15,-1.03,"610,424",21.92,10.10,0,0,40.00,-15.29,Nasdaq,Tuesday,2018-04-17
227045,291162,NMI Holdings Cl A,NMIH,14.5,14.6,13.75,13.95,-0.45,-3.13,"666,791",21.92,10.1,0,0,38.75,-17.94,Nasdaq,Wednesday,2018-04-18
227046,144415,NMI Holdings Cl A,NMIH,14.2,14.55,13.9,14.0,0.05,0.36,"486,122",21.92,10.10,0,0,38.89,-17.65,Nasdaq,Thursday,2018-04-19
227047,1188,NMI Holdings Cl A,NMIH,13.95,14.4,13.95,14.4,0.40,2.86,"300,401",21.92,10.10,0,0,40.00,-15.29,Nasdaq,Friday,2018-04-20
227048,219608,NMI Holdings Cl A,NMIH,14.3,14.6,14.17,14.45,0.20,1.40,"290,798",21.92,10.1,0,0,40.14,-15.00,Nasdaq,Tuesday,2018-04-24
227049,292974,NMI Holdings Cl A,NMIH,14.4,14.55,13.8,13.9,-0.55,-3.81,"575,371",21.92,10.1,0,0,38.61,-18.24,Nasdaq,Wednesday,2018-04-25
227050,3000,NMI Holdings Cl A,NMIH,13.9,14.15,13.7,13.95,0.05,0.36,"460,573",21.92,10.10,0,0,38.75,-17.94,Nasdaq,Friday,2018-04-27
227051,76458,NMI Holdings Cl A,NMIH,14.0,14.25,13.75,13.85,-0.10,-0.72,"704,481",21.92,10.1,0,0,38.47,-18.53,Nasdaq,Monday,2018-04-30
227052,256251,NMI Holdings Cl A,NMIH,13.75,14.75,13.75,14.6,0.75,5.42,"615,200",21.92,10.1,0,0,40.56,-14.12,Nasdaq,Tuesday,2018-05-01
227053,186569,NMI Holdings Cl A,NMIH,15.35,16.0,14.66,15.8,0.20,1.28,"525,231",21.92,10.10,0,0,25.90,-7.06,Nasdaq,Thursday,2018-05-03
227054,45168,NMI Holdings Cl A,NMIH,15.85,16.65,15.6,16.5,0.70,4.43,"749,986",21.92,10.10,0,0,27.05,-2.94,Nasdaq,Friday,2018-05-04
227055,114983,NMI Holdings Cl A,NMIH,16.4,16.65,16.2,16.35,-0.15,-0.91,"493,275",21.92,10.1,0,0,26.80,-3.82,Nasdaq,Monday,2018-05-07
227056,258063,NMI Holdings Cl A,NMIH,16.45,16.55,16.0,16.45,0.10,0.61,"489,102",21.92,10.10,0,0,26.97,-3.24,Nasdaq,Tuesday,2018-05-08
227057,329606,NMI Holdings Cl A,NMIH,16.45,16.45,15.95,16.3,-0.15,-0.91,"302,823",21.92,10.10,0,0,26.72,-4.12,Nasdaq,Wednesday,2018-05-09
227058,188375,NMI Holdings Cl A,NMIH,16.35,16.38,16.0,16.25,-0.05,-0.31,"253,615",21.92,10.1,0,0,26.64,-4.41,Nasdaq,Thursday,2018-05-10
227059,46983,NMI Holdings Cl A,NMIH,16.35,16.35,15.05,16.15,-0.10,-0.62,"260,123",21.92,10.1,0,0,26.48,-5.00,Nasdaq,Friday,2018-05-11
227060,116797,NMI Holdings Cl A,NMIH,16.1,16.5,15.97,16.1,-0.05,-0.31,"595,563",21.92,10.1,0,0,26.39,-5.29,Nasdaq,Monday,2018-05-14
227061,259875,NMI Holdings Cl A,NMIH,16.1,16.6,16.1,16.45,0.35,2.17,"420,720",21.92,10.1,0,0,26.97,-3.24,Nasdaq,Tuesday,2018-05-15
227062,331431,NMI Holdings Cl A,NMIH,16.45,17.15,16.3,16.85,0.40,2.43,"399,293",21.92,10.1,0,0,27.62,-0.88,Nasdaq,Wednesday,2018-05-16
