,Unnamed: 0,Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg,Stock,day,date
232411,184469,InVivo Therapeutics Holdings,NVIV,0.54,0.55,0.52,0.54,0.01,0.94,"117,350",4.30,0.45,0,0,0,-30.52,Nasdaq,Thursday,2018-03-29
232412,289067,InVivo Therapeutics Holdings,NVIV,0.4,0.41,0.37,0.38,-0.02,-4.92,"298,916",4.30,0.33,0,0,0,-51.27,Nasdaq,Wednesday,2018-04-11
232413,142319,InVivo Therapeutics Holdings,NVIV,0.37,0.39,0.36,0.37,-0.01,-2.19,"488,848",4.3,0.33,0,0,0,-52.34,Nasdaq,Thursday,2018-04-12
232414,217512,InVivo Therapeutics Holdings,NVIV,8.17,9.53,7.71,9.4,1.02,12.24,"53,861",0,0,0,0,0,-51.17,Nasdaq,Tuesday,2018-04-17
232415,290875,InVivo Therapeutics Holdings,NVIV,9.45,9.45,8.53,8.53,-0.87,-9.26,"29,534",107.5,7.71,0,0,0,-55.69,Nasdaq,Wednesday,2018-04-18
232416,144127,InVivo Therapeutics Holdings,NVIV,8.46,9.37,7.8,8.25,-0.28,-3.28,"34,027",106.25,7.71,0,0,0,-57.14,Nasdaq,Thursday,2018-04-19
232417,901,InVivo Therapeutics Holdings,NVIV,8.24,8.75,8.21,8.59,0.34,4.12,"9,138",106.25,7.71,0,0,0,-55.38,Nasdaq,Friday,2018-04-20
232418,219322,InVivo Therapeutics Holdings,NVIV,8.12,8.36,7.85,8.19,0.07,0.86,"40,878",103.0,7.71,0,0,0,-57.45,Nasdaq,Tuesday,2018-04-24
232419,292686,InVivo Therapeutics Holdings,NVIV,7.89,8.02,6.8,6.8,-1.39,-16.97,"51,802",102.5,6.8,0,0,0,-64.68,Nasdaq,Wednesday,2018-04-25
232420,2712,InVivo Therapeutics Holdings,NVIV,6.38,8.18,6.38,7.84,1.44,22.50,"85,815",98.75,6.25,0,0,0,-59.27,Nasdaq,Friday,2018-04-27
232421,76171,InVivo Therapeutics Holdings,NVIV,7.78,8.38,7.21,7.3,-0.54,-6.89,"46,418",96.25,6.25,0,0,0,-62.08,Nasdaq,Monday,2018-04-30
232422,255964,InVivo Therapeutics Holdings,NVIV,7.26,7.95,7.26,7.9,0.60,8.22,"33,653",96.25,6.25,0,0,0,-58.96,Nasdaq,Tuesday,2018-05-01
232423,186279,InVivo Therapeutics Holdings,NVIV,10.46,11.33,8.01,8.26,-5.23,-38.77,"579,552",96.25,6.25,0,0,0,-57.09,Nasdaq,Thursday,2018-05-03
232424,44880,InVivo Therapeutics Holdings,NVIV,8.3,9.0,7.79,7.79,-0.47,-5.69,"166,676",96.25,6.25,0,0,0,-59.53,Nasdaq,Friday,2018-05-04
232425,114692,InVivo Therapeutics Holdings,NVIV,8.01,8.55,7.25,8.3,0.51,6.55,"120,965",96.25,6.25,0,0,0,-56.88,Nasdaq,Monday,2018-05-07
232426,257775,InVivo Therapeutics Holdings,NVIV,7.81,8.39,7.54,8.15,-0.15,-1.81,"115,276",96.25,6.25,0,0,0,-57.66,Nasdaq,Tuesday,2018-05-08
232427,329316,InVivo Therapeutics Holdings,NVIV,8.9,8.9,7.55,7.85,-0.30,-3.68,"142,104",96.25,6.25,0,0,0,-59.22,Nasdaq,Wednesday,2018-05-09
232428,188087,InVivo Therapeutics Holdings,NVIV,7.99,8.1,7.5,7.59,-0.26,-3.31,"122,534",96.25,6.25,0,0,0,-60.57,Nasdaq,Thursday,2018-05-10
232429,46695,InVivo Therapeutics Holdings,NVIV,7.64,7.89,7.36,7.5,-0.09,-1.25,"88,931",96.25,6.25,0,0,0,-61.06,Nasdaq,Friday,2018-05-11
232430,116508,InVivo Therapeutics Holdings,NVIV,7.64,8.35,7.4,8.2,0.70,9.41,"150,505",96.25,6.25,0,0,0,-57.40,Nasdaq,Monday,2018-05-14
232431,259586,InVivo Therapeutics Holdings,NVIV,8.11,9.37,7.8,8.62,0.42,5.06,"117,878",96.25,6.25,0,0,0,-55.25,Nasdaq,Tuesday,2018-05-15
232432,331141,InVivo Therapeutics Holdings,NVIV,8.78,9.01,7.75,7.82,-0.79,-9.23,"118,861",96.25,6.25,0,0,0,-59.38,Nasdaq,Wednesday,2018-05-16
232433,189898,InVivo Therapeutics Holdings,NVIV,7.92,8.3,7.5,7.86,0.04,0.51,"159,429",96.25,6.25,0,0,0,-59.17,Nasdaq,Thursday,2018-05-17
232434,48511,InVivo Therapeutics Holdings,NVIV,7.98,7.98,7.3,7.56,-0.30,-3.82,"90,466",96.25,6.25,0,0,0,-60.73,Nasdaq,Friday,2018-05-18
232435,118324,InVivo Therapeutics Holdings,NVIV,7.6,7.6,7.03,7.14,-0.42,-5.56,"70,095",96.25,6.25,0,0,0,-62.91,Nasdaq,Monday,2018-05-21
232436,261400,InVivo Therapeutics Holdings,NVIV,7.14,7.44,7.0,7.25,0.11,1.54,"113,495",96.25,6.25,0,0,0,-62.34,Nasdaq,Tuesday,2018-05-22
232437,332956,InVivo Therapeutics Holdings,NVIV,7.6,7.6,6.5,7.01,-0.24,-3.31,"132,170",96.25,6.25,0,0,0,-63.58,Nasdaq,Wednesday,2018-05-23
232438,191716,InVivo Therapeutics Holdings,NVIV,6.95,7.11,6.67,6.77,-0.24,-3.42,"36,789",96.25,6.25,0,0,0,-64.83,Nasdaq,Thursday,2018-05-24
232439,50330,InVivo Therapeutics Holdings,NVIV,6.75,6.9,6.61,6.75,-0.02,-0.30,"23,045",96.25,6.25,0,0,0,-64.94,Nasdaq,Friday,2018-05-25
