,Unnamed: 0,Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg,Stock,day,date
239904,184819,Organovo Holdings,ONVO,1.0,1.03,1.0,1.03,0.02,1.98,"268,204",3.20,0.93,0,0,0,-23.13,Nasdaq,Thursday,2018-03-29
239905,289411,Organovo Holdings,ONVO,1.02,1.08,1.0,1.01,-0.01,-0.98,"853,583",3.19,0.91,0,0,0,-24.63,Nasdaq,Wednesday,2018-04-11
239906,142664,Organovo Holdings,ONVO,1.01,1.06,0.99,1.05,0.04,3.96,"907,343",3.19,0.91,0,0,0,-21.64,Nasdaq,Thursday,2018-04-12
239907,217859,Organovo Holdings,ONVO,1.04,1.19,1.02,1.13,0.10,9.71,"1,890,978",3.19,0.91,0,0,0,-15.67,Nasdaq,Tuesday,2018-04-17
239908,291222,Organovo Holdings,ONVO,1.13,1.25,1.11,1.19,0.06,5.31,"1,707,422",3.19,0.91,0,0,0,-11.19,Nasdaq,Wednesday,2018-04-18
239909,144476,Organovo Holdings,ONVO,1.2,1.28,1.1,1.12,-0.07,-5.88,"1,061,614",3.19,0.91,0,0,0,-16.42,Nasdaq,Thursday,2018-04-19
239910,1249,Organovo Holdings,ONVO,1.1,1.21,1.1,1.18,0.06,5.36,"800,011",3.19,0.91,0,0,0,-11.94,Nasdaq,Friday,2018-04-20
239911,219669,Organovo Holdings,ONVO,1.13,1.19,1.12,1.13,0,0,"496,447",3.19,0.91,0,0,0,-15.67,Nasdaq,Tuesday,2018-04-24
239912,293035,Organovo Holdings,ONVO,1.14,1.17,1.13,1.16,0.03,2.65,"249,583",3.19,0.91,0,0,0,-13.43,Nasdaq,Wednesday,2018-04-25
239913,3061,Organovo Holdings,ONVO,1.18,1.31,1.18,1.25,0.08,6.36,"1,229,779",3.19,0.91,0,0,0,-6.34,Nasdaq,Friday,2018-04-27
239914,76519,Organovo Holdings,ONVO,1.27,1.32,1.22,1.24,-0.01,-1.20,"758,538",3.19,0.91,0,0,0,-7.46,Nasdaq,Monday,2018-04-30
239915,256312,Organovo Holdings,ONVO,1.25,1.26,1.21,1.24,0,0,"609,402",3.19,0.91,0,0,0,-7.46,Nasdaq,Tuesday,2018-05-01
239916,186630,Organovo Holdings,ONVO,1.24,1.26,1.16,1.2,-0.04,-3.23,"766,063",3.19,0.91,0,0,0,-10.45,Nasdaq,Thursday,2018-05-03
239917,45228,Organovo Holdings,ONVO,1.2,1.23,1.17,1.2,0,0,"412,120",3.19,0.91,0,0,0,-10.45,Nasdaq,Friday,2018-05-04
239918,115043,Organovo Holdings,ONVO,1.2,1.24,1.18,1.22,0.02,1.67,"418,204",3.19,0.91,0,0,0,-8.96,Nasdaq,Monday,2018-05-07
239919,258122,Organovo Holdings,ONVO,1.23,1.24,1.15,1.16,-0.06,-4.92,"849,743",3.19,0.91,0,0,0,-13.43,Nasdaq,Tuesday,2018-05-08
239920,329667,Organovo Holdings,ONVO,1.17,1.21,1.16,1.21,0.05,4.31,"534,720",3.19,0.91,0,0,0,-9.70,Nasdaq,Wednesday,2018-05-09
239921,188436,Organovo Holdings,ONVO,1.22,1.39,1.2,1.33,0.12,9.92,"2,140,779",3.19,0.91,0,0,0,-0.75,Nasdaq,Thursday,2018-05-10
239922,47044,Organovo Holdings,ONVO,1.36,1.49,1.32,1.47,0.14,10.53,"1,819,728",3.19,0.91,0,0,0,9.70,Nasdaq,Friday,2018-05-11
239923,116858,Organovo Holdings,ONVO,1.49,1.72,1.47,1.55,0.08,5.44,"3,465,204",3.19,0.91,0,0,0,15.67,Nasdaq,Monday,2018-05-14
239924,259935,Organovo Holdings,ONVO,1.6,1.75,1.57,1.74,0.19,12.26,"2,707,739",3.19,0.91,0,0,0,29.85,Nasdaq,Tuesday,2018-05-15
239925,331491,Organovo Holdings,ONVO,1.79,1.82,1.63,1.7,-0.04,-2.30,"2,476,018",3.19,0.91,0,0,0,26.87,Nasdaq,Wednesday,2018-05-16
239926,190246,Organovo Holdings,ONVO,1.66,1.79,1.66,1.74,0.04,2.35,"1,297,916",3.19,0.91,0,0,0,29.85,Nasdaq,Thursday,2018-05-17
239927,48860,Organovo Holdings,ONVO,1.77,1.77,1.7,1.71,-0.03,-1.72,"835,839",3.19,0.91,0,0,0,27.61,Nasdaq,Friday,2018-05-18
239928,118672,Organovo Holdings,ONVO,1.69,1.77,1.65,1.76,0.05,2.92,"944,266",3.19,0.91,0,0,0,31.34,Nasdaq,Monday,2018-05-21
239929,261750,Organovo Holdings,ONVO,1.75,2.0,1.74,1.95,0.19,10.80,"3,052,829",3.19,0.91,0,0,0,45.52,Nasdaq,Tuesday,2018-05-22
239930,333305,Organovo Holdings,ONVO,1.97,2.09,1.82,1.99,0.04,2.05,"2,670,647",3.19,0.91,0,0,0,48.51,Nasdaq,Wednesday,2018-05-23
239931,192063,Organovo Holdings,ONVO,1.97,2.08,1.78,1.84,-0.15,-7.54,"2,045,606",3.19,0.91,0,0,0,37.31,Nasdaq,Thursday,2018-05-24
239932,50681,Organovo Holdings,ONVO,1.81,1.9,1.78,1.89,0.05,2.72,"783,238",3.19,0.91,0,0,0,41.04,Nasdaq,Friday,2018-05-25
239933,263566,Organovo Holdings,ONVO,1.9,1.94,1.75,1.83,-0.06,-3.17,"1,018,364",3.19,0.91,0,0,0,36.57,Nasdaq,Tuesday,2018-05-29
239934,335121,Organovo Holdings,ONVO,1.83,1.95,1.82,1.93,0.10,5.46,"992,621",3.03,0.91,0,0,0,44.03,Nasdaq,Wednesday,2018-05-30
239935,193877,Organovo Holdings,ONVO,1.93,1.97,1.86,1.97,0.04,2.07,"1,340,928",3.03,0.91,0,0,0,47.01,Nasdaq,Thursday,2018-05-31
239936,36090,Organovo Holdings,ONVO,1.83,1.92,1.33,1.45,-0.52,-26.40,"5,573,332",3.03,0.91,0,0,0,8.21,Nasdaq,Friday,2018-06-01
239937,107755,Organovo Holdings,ONVO,1.4,1.43,1.26,1.4,-0.05,-3.45,"2,703,958",3.02,0.91,0,0,0,4.48,Nasdaq,Monday,2018-06-04
239938,249032,Organovo Holdings,ONVO,1.37,1.47,1.35,1.41,0.01,0.71,"1,139,322",2.95,0.91,0,0,0,5.22,Nasdaq,Tuesday,2018-06-05
239939,322373,Organovo Holdings,ONVO,1.41,1.47,1.37,1.4,-0.01,-0.71,"1,053,986",2.93,0.91,0,0,0,4.48,Nasdaq,Wednesday,2018-06-06
239940,177508,Organovo Holdings,ONVO,1.39,1.41,1.29,1.36,-0.04,-2.86,"1,287,685",2.92,0.91,0,0,0,1.49,Nasdaq,Thursday,2018-06-07
239941,37919,Organovo Holdings,ONVO,1.36,1.41,1.35,1.38,0.02,1.47,"730,387",2.78,0.91,0,0,0,2.99,Nasdaq,Friday,2018-06-08
239942,109580,Organovo Holdings,ONVO,1.39,1.56,1.39,1.49,0.11,7.97,"2,254,543",2.78,0.91,0,0,0,11.19,Nasdaq,Monday,2018-06-11
239943,250854,Organovo Holdings,ONVO,1.49,1.5,1.44,1.45,-0.04,-2.68,"793,933",2.78,0.91,0,0,0,8.21,Nasdaq,Tuesday,2018-06-12
239944,324198,Organovo Holdings,ONVO,1.46,1.5,1.44,1.46,0.01,0.69,"930,880",2.78,0.91,0,0,0,8.96,Nasdaq,Wednesday,2018-06-13
239945,179332,Organovo Holdings,ONVO,1.47,1.52,1.45,1.51,0.05,3.42,"1,033,487",2.78,0.91,0,0,0,12.69,Nasdaq,Thursday,2018-06-14
239946,39739,Organovo Holdings,ONVO,1.51,1.52,1.48,1.51,0,0,"1,121,488",2.78,0.91,0,0,0,12.69,Nasdaq,Friday,2018-06-15
239947,111400,Organovo Holdings,ONVO,1.52,1.52,1.47,1.49,-0.02,-1.32,"649,650",2.78,0.91,0,0,0,11.19,Nasdaq,Monday,2018-06-18
239948,252673,Organovo Holdings,ONVO,1.48,1.49,1.4,1.47,-0.02,-1.34,"665,306",2.78,0.91,0,0,0,9.70,Nasdaq,Tuesday,2018-06-19
239949,326017,Organovo Holdings,ONVO,1.47,1.55,1.46,1.54,0.07,4.76,"890,436",2.78,0.91,0,0,0,14.93,Nasdaq,Wednesday,2018-06-20
239950,181156,Organovo Holdings,ONVO,1.54,1.54,1.44,1.44,-0.10,-6.49,"873,804",2.78,0.91,0,0,0,7.46,Nasdaq,Thursday,2018-06-21
239951,41572,Organovo Holdings,ONVO,1.44,1.55,1.41,1.49,0.05,3.47,"1,584,458",2.78,0.91,0,0,0,11.19,Nasdaq,Friday,2018-06-22
239952,113227,Organovo Holdings,ONVO,1.48,1.48,1.41,1.42,-0.07,-4.70,"638,706",2.78,0.91,0,0,0,5.97,Nasdaq,Monday,2018-06-25
239953,254497,Organovo Holdings,ONVO,1.42,1.5,1.4,1.41,-0.01,-0.70,"849,311",2.76,0.91,0,0,0,5.22,Nasdaq,Tuesday,2018-06-26
239954,327843,Organovo Holdings,ONVO,1.41,1.45,1.36,1.37,-0.04,-2.84,"500,878",2.72,0.91,0,0,0,2.24,Nasdaq,Wednesday,2018-06-27
239955,182994,Organovo Holdings,ONVO,1.36,1.39,1.31,1.39,0.02,1.46,"465,863",2.72,0.91,0,0,0,3.73,Nasdaq,Thursday,2018-06-28
239956,43411,Organovo Holdings,ONVO,1.39,1.42,1.36,1.4,0.01,0.72,"557,952",2.72,0.91,0,0,0,4.48,Nasdaq,Friday,2018-06-29
239957,98597,Organovo Holdings,ONVO,1.37,1.41,1.31,1.36,-0.04,-2.86,"597,413",2.72,0.91,0,0,0,1.49,Nasdaq,Monday,2018-07-02
239958,239872,Organovo Holdings,ONVO,1.35,1.4,1.33,1.39,0.03,2.21,"202,954",2.72,0.91,0,0,0,3.73,Nasdaq,Tuesday,2018-07-03
239959,170177,Organovo Holdings,ONVO,1.4,1.4,1.32,1.33,-0.06,-4.32,"605,291",2.72,0.91,0,0,0,-0.75,Nasdaq,Thursday,2018-07-05
239960,28775,Organovo Holdings,ONVO,1.33,1.42,1.33,1.39,0.06,4.51,"801,373",2.72,0.91,0,0,0,3.73,Nasdaq,Friday,2018-07-06
239961,100426,Organovo Holdings,ONVO,1.4,1.43,1.36,1.39,-0.00,-0.00,"614,654",2.71,0.91,0,0,0,3.73,Nasdaq,Monday,2018-07-09
239962,241702,Organovo Holdings,ONVO,1.38,1.44,1.36,1.41,0.02,1.44,"558,026",2.7,0.91,0,0,0,5.22,Nasdaq,Tuesday,2018-07-10
