,Unnamed: 0,Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg,Stock,day,date
250403,184874,Perion Network,PERI,0.79,0.81,0.78,0.8,0,0,"66,798",2.06,0.77,0,0,0,-22.33,Nasdaq,Thursday,2018-03-29
250404,289466,Perion Network,PERI,0.75,0.78,0.74,0.75,-0.02,-3.02,"67,078",2.06,0.72,0,0,0,-27.48,Nasdaq,Wednesday,2018-04-11
250405,142719,Perion Network,PERI,0.75,0.76,0.74,0.76,0.01,1.74,"20,291",2.06,0.72,0,0,0,-26.21,Nasdaq,Thursday,2018-04-12
250406,217913,Perion Network,PERI,0.74,0.8,0.74,0.77,0.01,1.28,"52,910",2.06,0.72,0,0,0,-25.27,Nasdaq,Tuesday,2018-04-17
250407,291277,Perion Network,PERI,0.75,0.79,0.73,0.74,-0.03,-4.50,"37,575",2.06,0.72,0,0,0,-28.63,Nasdaq,Wednesday,2018-04-18
250408,144531,Perion Network,PERI,0.73,0.78,0.73,0.76,0.02,3.22,"42,104",2.06,0.72,0,0,0,-26.33,Nasdaq,Thursday,2018-04-19
250409,1304,Perion Network,PERI,0.75,0.77,0.74,0.74,-0.02,-2.48,"8,700",2.06,0.72,0,0,0,-28.16,Nasdaq,Friday,2018-04-20
250410,219723,Perion Network,PERI,0.72,0.75,0.72,0.73,0.01,1.12,"123,427",2.06,0.72,0,0,0,-29.12,Nasdaq,Tuesday,2018-04-24
250411,293091,Perion Network,PERI,0.72,0.73,0.72,0.72,-0.01,-1.25,"13,562",2.06,0.72,0,0,0,-30.00,Nasdaq,Wednesday,2018-04-25
250412,3117,Perion Network,PERI,0.73,0.75,0.73,0.73,-0.00,-0.49,"10,450",2.06,0.71,0,0,0,-29.11,Nasdaq,Friday,2018-04-27
250413,76575,Perion Network,PERI,0.71,0.74,0.71,0.74,0.01,0.86,"95,304",2.06,0.71,0,0,0,-28.50,Nasdaq,Monday,2018-04-30
250414,256368,Perion Network,PERI,0.71,0.74,0.71,0.72,-0.01,-1.83,"45,592",2.06,0.71,0,0,0,-29.81,Nasdaq,Tuesday,2018-05-01
250415,186685,Perion Network,PERI,0.72,0.74,0.72,0.72,0.01,0.71,"21,283",2.06,0.71,0,0,0,-30.09,Nasdaq,Thursday,2018-05-03
250416,45282,Perion Network,PERI,0.74,0.75,0.72,0.73,0.01,1.37,"41,338",2.06,0.71,0,0,0,-29.13,Nasdaq,Friday,2018-05-04
250417,115098,Perion Network,PERI,0.74,0.78,0.72,0.74,0.01,1.37,"302,150",2.06,0.71,0,0,0,-28.16,Nasdaq,Monday,2018-05-07
250418,258177,Perion Network,PERI,0.74,0.78,0.73,0.77,0.03,3.91,"65,159",2.06,0.71,0,0,0,-25.35,Nasdaq,Tuesday,2018-05-08
250419,329723,Perion Network,PERI,0.77,0.77,0.75,0.75,-0.02,-2.45,"94,747",2.06,0.71,0,0,0,-27.17,Nasdaq,Wednesday,2018-05-09
250420,188491,Perion Network,PERI,0.81,1.23,0.81,0.98,0.23,30.65,"3,513,456",2.06,0.71,0,0,0,-4.85,Nasdaq,Thursday,2018-05-10
250421,47100,Perion Network,PERI,0.93,0.97,0.85,0.87,-0.11,-11.22,"673,158",2.06,0.71,0,0,0,-15.53,Nasdaq,Friday,2018-05-11
250422,116914,Perion Network,PERI,0.88,0.99,0.88,0.93,0.06,6.90,"515,985",2.06,0.71,0,0,0,-9.71,Nasdaq,Monday,2018-05-14
250423,259990,Perion Network,PERI,0.94,0.98,0.9,0.96,0.03,3.74,"215,387",2.06,0.71,0,0,0,-6.33,Nasdaq,Tuesday,2018-05-15
250424,331547,Perion Network,PERI,0.95,1.09,0.95,1.06,0.10,9.87,"1,629,831",2.06,0.71,0,0,0,2.91,Nasdaq,Wednesday,2018-05-16
250425,190303,Perion Network,PERI,1.05,1.08,1.02,1.03,-0.03,-2.83,"393,088",2.06,0.71,0,0,0,0,Nasdaq,Thursday,2018-05-17
250426,48917,Perion Network,PERI,1.04,1.08,1.02,1.06,0.03,2.91,"265,388",2.06,0.71,0,0,0,2.91,Nasdaq,Friday,2018-05-18
250427,118729,Perion Network,PERI,1.08,1.09,1.02,1.06,0,0,"376,125",2.06,0.71,0,0,0,2.91,Nasdaq,Monday,2018-05-21
250428,261806,Perion Network,PERI,1.07,1.14,1.04,1.12,0.06,5.66,"434,789",2.06,0.71,0,0,0,8.74,Nasdaq,Tuesday,2018-05-22
250429,333360,Perion Network,PERI,1.11,1.14,1.1,1.13,0.01,0.89,"369,688",2.06,0.71,0,0,0,9.71,Nasdaq,Wednesday,2018-05-23
250430,192118,Perion Network,PERI,1.15,1.18,1.13,1.14,0.01,0.88,"297,295",2.06,0.71,0,0,0,10.68,Nasdaq,Thursday,2018-05-24
250431,50737,Perion Network,PERI,1.14,1.2,1.14,1.19,0.05,4.39,"372,802",2.06,0.71,0,0,0,15.53,Nasdaq,Friday,2018-05-25
250432,263623,Perion Network,PERI,1.21,1.25,1.2,1.25,0.06,5.04,"520,963",2.06,0.71,0,0,0,21.36,Nasdaq,Tuesday,2018-05-29
250433,335178,Perion Network,PERI,1.25,1.27,1.21,1.24,-0.01,-0.80,"293,357",2.06,0.71,0,0,0,20.39,Nasdaq,Wednesday,2018-05-30
250434,193934,Perion Network,PERI,1.24,1.24,1.16,1.22,-0.02,-1.61,"144,265",2.06,0.71,0,0,0,18.45,Nasdaq,Thursday,2018-05-31
250435,36147,Perion Network,PERI,1.22,1.25,1.15,1.2,-0.02,-1.64,"117,536",2.06,0.71,0,0,0,16.50,Nasdaq,Friday,2018-06-01
250436,107812,Perion Network,PERI,1.21,1.24,1.19,1.23,0.03,2.50,"260,148",2.06,0.71,0,0,0,19.42,Nasdaq,Monday,2018-06-04
250437,249089,Perion Network,PERI,1.22,1.23,1.2,1.22,-0.01,-0.81,"60,756",2.06,0.71,0,0,0,18.45,Nasdaq,Tuesday,2018-06-05
250438,322430,Perion Network,PERI,1.21,1.32,1.21,1.29,0.07,5.74,"236,408",2.06,0.71,0,0,0,25.24,Nasdaq,Wednesday,2018-06-06
250439,177565,Perion Network,PERI,1.28,1.29,1.24,1.26,-0.03,-2.33,"587,571",2.06,0.71,0,0,0,22.33,Nasdaq,Thursday,2018-06-07
250440,37976,Perion Network,PERI,1.26,1.35,1.26,1.32,0.06,4.76,"157,436",2.06,0.71,0,0,0,28.16,Nasdaq,Friday,2018-06-08
250441,109637,Perion Network,PERI,1.34,1.35,1.31,1.33,0.01,0.76,"182,071",2.06,0.71,0,0,0,29.13,Nasdaq,Monday,2018-06-11
250442,250911,Perion Network,PERI,1.32,1.34,1.3,1.33,0,0,"122,682",2.06,0.71,0,0,0,29.13,Nasdaq,Tuesday,2018-06-12
250443,324255,Perion Network,PERI,1.32,1.32,1.28,1.32,-0.01,-0.75,"626,962",2.04,0.71,0,0,0,28.16,Nasdaq,Wednesday,2018-06-13
