,Unnamed: 0,Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg,Stock,day,date
251318,184902,Preferred Bank Los Angeles,PFBC,64.18,65.41,62.81,64.2,0.12,0.19,"87,981",67.65,46.88,0.88,1.37,21.62,9.22,Nasdaq,Thursday,2018-03-29
251319,289494,Preferred Bank Los Angeles,PFBC,64.21,64.24,63.27,63.83,-0.67,-1.04,"64,115",67.65,46.88,0.88,1.38,21.49,8.59,Nasdaq,Wednesday,2018-04-11
251320,142747,Preferred Bank Los Angeles,PFBC,64.29,65.83,64.29,65.51,1.68,2.63,"39,189",67.65,46.88,0.88,1.34,22.06,11.45,Nasdaq,Thursday,2018-04-12
251321,217941,Preferred Bank Los Angeles,PFBC,65.96,66.19,64.78,65.37,-0.36,-0.55,"81,692",67.65,46.88,0.88,1.35,22.01,11.21,Nasdaq,Tuesday,2018-04-17
251322,291305,Preferred Bank Los Angeles,PFBC,65.53,65.75,64.9,65.26,-0.11,-0.17,"71,752",67.65,47.68,0.88,1.35,21.97,11.02,Nasdaq,Wednesday,2018-04-18
251323,144559,Preferred Bank Los Angeles,PFBC,64.96,66.68,64.96,66.44,1.18,1.81,"43,676",67.65,47.68,0.88,1.32,22.37,13.03,Nasdaq,Thursday,2018-04-19
251324,1332,Preferred Bank Los Angeles,PFBC,66.92,67.62,65.87,66.25,-0.19,-0.29,"129,908",67.65,48.89,0.88,1.33,19.78,12.71,Nasdaq,Friday,2018-04-20
251325,219751,Preferred Bank Los Angeles,PFBC,66.87,67.5,66.27,66.9,0.44,0.66,"75,872",67.65,48.89,0.88,1.32,19.97,13.81,Nasdaq,Tuesday,2018-04-24
251326,293119,Preferred Bank Los Angeles,PFBC,66.97,67.14,66.1,66.49,-0.41,-0.61,"74,342",67.65,48.89,0.88,1.32,19.85,13.12,Nasdaq,Wednesday,2018-04-25
251327,3145,Preferred Bank Los Angeles,PFBC,66.13,66.55,65.11,65.48,-0.48,-0.73,"43,959",67.65,48.89,0.88,1.34,19.55,11.40,Nasdaq,Friday,2018-04-27
251328,76603,Preferred Bank Los Angeles,PFBC,65.5,65.82,63.64,63.74,-1.74,-2.66,"85,472",67.65,48.89,0.88,1.38,19.03,8.44,Nasdaq,Monday,2018-04-30
251329,256396,Preferred Bank Los Angeles,PFBC,63.68,63.95,61.85,63.25,-0.49,-0.77,"192,292",67.65,48.89,0.88,1.39,18.88,7.60,Nasdaq,Tuesday,2018-05-01
251330,186712,Preferred Bank Los Angeles,PFBC,62.93,63.04,62.29,62.78,-0.26,-0.41,"70,901",67.65,48.89,0.88,1.40,18.74,6.81,Nasdaq,Thursday,2018-05-03
251331,45310,Preferred Bank Los Angeles,PFBC,62.48,64.28,62.4,63.25,0.47,0.75,"67,820",67.65,48.89,0.88,1.39,18.88,7.60,Nasdaq,Friday,2018-05-04
251332,115125,Preferred Bank Los Angeles,PFBC,63.36,63.95,62.66,63.47,0.22,0.35,"51,521",67.65,48.89,0.88,1.39,18.95,7.98,Nasdaq,Monday,2018-05-07
251333,258205,Preferred Bank Los Angeles,PFBC,63.43,64.18,63.09,63.75,0.28,0.44,"48,982",67.65,48.89,0.88,1.38,19.03,8.46,Nasdaq,Tuesday,2018-05-08
251334,329751,Preferred Bank Los Angeles,PFBC,64.01,64.39,63.32,63.8,0.05,0.08,"52,238",67.65,48.89,0.88,1.38,19.04,8.54,Nasdaq,Wednesday,2018-05-09
251335,188518,Preferred Bank Los Angeles,PFBC,63.81,64.0,63.07,63.26,-0.54,-0.85,"68,642",67.65,48.89,0.88,1.39,18.88,7.62,Nasdaq,Thursday,2018-05-10
251336,47128,Preferred Bank Los Angeles,PFBC,63.25,63.85,63.2,63.44,0.18,0.28,"64,896",67.65,48.89,0.88,1.39,18.94,7.93,Nasdaq,Friday,2018-05-11
251337,116942,Preferred Bank Los Angeles,PFBC,63.43,63.54,62.0,62.04,-1.40,-2.21,"122,375",67.65,48.89,0.88,1.42,18.52,5.55,Nasdaq,Monday,2018-05-14
251338,260018,Preferred Bank Los Angeles,PFBC,61.74,63.94,61.74,63.2,1.16,1.87,"94,922",67.65,48.89,0.88,1.39,18.87,7.52,Nasdaq,Tuesday,2018-05-15
251339,331575,Preferred Bank Los Angeles,PFBC,63.21,63.71,63.03,63.36,0.16,0.25,"61,633",67.65,48.89,0.88,1.39,18.91,7.79,Nasdaq,Wednesday,2018-05-16
251340,190332,Preferred Bank Los Angeles,PFBC,63.01,63.83,62.8,63.36,0,0,"71,613",67.65,48.89,0.88,1.39,18.91,7.79,Nasdaq,Thursday,2018-05-17
251341,48946,Preferred Bank Los Angeles,PFBC,63.53,63.76,62.82,62.91,-0.45,-0.71,"108,573",67.65,48.89,0.88,1.40,18.78,7.03,Nasdaq,Friday,2018-05-18
251342,118758,Preferred Bank Los Angeles,PFBC,62.99,64.59,62.99,64.52,1.61,2.56,"75,365",67.65,48.89,0.88,1.36,19.26,9.77,Nasdaq,Monday,2018-05-21
251343,261835,Preferred Bank Los Angeles,PFBC,64.55,65.99,64.55,65.81,1.29,2.00,"81,675",67.65,48.89,0.88,1.34,19.64,11.96,Nasdaq,Tuesday,2018-05-22
251344,333388,Preferred Bank Los Angeles,PFBC,65.5,66.7,65.25,65.89,0.08,0.12,"85,023",67.65,48.89,0.88,1.34,19.67,12.10,Nasdaq,Wednesday,2018-05-23
251345,192147,Preferred Bank Los Angeles,PFBC,65.75,65.75,64.07,65.26,-0.63,-0.96,"43,117",67.65,48.89,0.88,1.35,19.48,11.02,Nasdaq,Thursday,2018-05-24
251346,50766,Preferred Bank Los Angeles,PFBC,65.14,65.56,64.78,65.18,-0.08,-0.12,"46,168",67.65,48.89,0.88,1.35,19.46,10.89,Nasdaq,Friday,2018-05-25
251347,263652,Preferred Bank Los Angeles,PFBC,64.77,64.77,63.17,63.25,-1.93,-2.96,"90,415",67.65,48.89,0.88,1.39,18.88,7.60,Nasdaq,Tuesday,2018-05-29
251348,335207,Preferred Bank Los Angeles,PFBC,63.75,64.68,63.75,64.35,1.10,1.74,"82,495",67.65,48.89,0.88,1.37,19.21,9.48,Nasdaq,Wednesday,2018-05-30
251349,193962,Preferred Bank Los Angeles,PFBC,64.0,64.73,63.63,63.7,-0.65,-1.01,"49,436",67.65,48.89,0.88,1.38,19.01,8.37,Nasdaq,Thursday,2018-05-31
251350,36176,Preferred Bank Los Angeles,PFBC,64.12,64.61,63.8,64.17,0.47,0.74,"81,356",67.65,48.89,0.88,1.37,19.16,9.17,Nasdaq,Friday,2018-06-01
251351,107840,Preferred Bank Los Angeles,PFBC,64.25,66.3,64.25,66.09,1.92,2.99,"63,767",67.65,48.89,0.88,1.33,19.73,12.44,Nasdaq,Monday,2018-06-04
251352,249118,Preferred Bank Los Angeles,PFBC,66.03,66.14,65.31,65.9,-0.19,-0.29,"34,960",67.65,48.89,0.88,1.34,19.67,12.11,Nasdaq,Tuesday,2018-06-05
251353,322459,Preferred Bank Los Angeles,PFBC,66.08,66.99,65.64,66.93,1.03,1.56,"50,601",67.65,48.89,0.88,1.31,19.98,13.87,Nasdaq,Wednesday,2018-06-06
251354,177594,Preferred Bank Los Angeles,PFBC,67.13,67.88,66.45,67.53,0.60,0.90,"65,890",67.88,48.89,0.88,1.30,20.16,14.89,Nasdaq,Thursday,2018-06-07
251355,38005,Preferred Bank Los Angeles,PFBC,67.37,67.86,66.81,67.51,-0.02,-0.03,"62,813",67.88,48.89,0.88,1.30,20.15,14.85,Nasdaq,Friday,2018-06-08
251356,109666,Preferred Bank Los Angeles,PFBC,67.5,67.5,65.61,65.78,-1.73,-2.56,"44,950",67.88,48.89,0.88,1.34,19.64,11.91,Nasdaq,Monday,2018-06-11
251357,250940,Preferred Bank Los Angeles,PFBC,65.99,66.06,64.77,65.07,-0.71,-1.08,"40,598",67.88,48.89,0.88,1.35,19.42,10.70,Nasdaq,Tuesday,2018-06-12
251358,324284,Preferred Bank Los Angeles,PFBC,65.03,65.81,64.5,65.32,0.25,0.38,"50,607",67.88,48.89,0.88,1.35,19.50,11.13,Nasdaq,Wednesday,2018-06-13
251359,179418,Preferred Bank Los Angeles,PFBC,65.14,65.59,64.58,65.46,0.14,0.21,"38,589",67.88,48.89,0.88,1.34,19.54,11.36,Nasdaq,Thursday,2018-06-14
