,Unnamed: 0,Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg,Stock,day,date
253057,184912,Progenics Pharmaceuticals,PGNX,7.42,7.57,7.3,7.46,0.09,1.22,"977,635",10.31,4.60,0,0,0,25.38,Nasdaq,Thursday,2018-03-29
253058,289504,Progenics Pharmaceuticals,PGNX,7.17,7.41,7.15,7.25,0.02,0.28,"703,150",8.63,4.60,0,0,0,21.85,Nasdaq,Wednesday,2018-04-11
253059,142757,Progenics Pharmaceuticals,PGNX,7.32,7.44,7.23,7.34,0.09,1.24,"904,504",8.63,4.6,0,0,0,23.36,Nasdaq,Thursday,2018-04-12
253060,217951,Progenics Pharmaceuticals,PGNX,7.2,7.42,7.15,7.33,0.07,0.96,"731,115",8.63,4.60,0,0,0,23.19,Nasdaq,Tuesday,2018-04-17
253061,291315,Progenics Pharmaceuticals,PGNX,7.37,7.45,7.15,7.17,-0.16,-2.18,"748,935",8.63,4.6,0,0,0,20.50,Nasdaq,Wednesday,2018-04-18
253062,144569,Progenics Pharmaceuticals,PGNX,7.13,7.22,6.87,7.02,-0.15,-2.09,"906,180",8.63,4.60,0,0,0,17.98,Nasdaq,Thursday,2018-04-19
253063,1342,Progenics Pharmaceuticals,PGNX,7.0,7.1,6.95,7.0,-0.02,-0.28,"505,341",8.63,4.60,0,0,0,17.65,Nasdaq,Friday,2018-04-20
253064,219761,Progenics Pharmaceuticals,PGNX,7.13,7.17,6.88,6.97,-0.12,-1.69,"652,335",8.63,4.6,0,0,0,17.14,Nasdaq,Tuesday,2018-04-24
253065,293129,Progenics Pharmaceuticals,PGNX,6.99,7.04,6.88,6.96,-0.01,-0.14,"586,937",8.63,4.6,0,0,0,16.97,Nasdaq,Wednesday,2018-04-25
253066,3155,Progenics Pharmaceuticals,PGNX,6.94,7.0,6.76,6.84,-0.07,-1.01,"827,141",8.63,4.60,0,0,0,14.96,Nasdaq,Friday,2018-04-27
253067,76613,Progenics Pharmaceuticals,PGNX,6.84,6.89,6.49,6.51,-0.33,-4.82,"1,172,742",8.63,4.6,0,0,0,9.41,Nasdaq,Monday,2018-04-30
253068,256406,Progenics Pharmaceuticals,PGNX,6.55,6.63,6.48,6.6,0.09,1.38,"832,605",8.63,4.6,0,0,0,10.92,Nasdaq,Tuesday,2018-05-01
253069,186722,Progenics Pharmaceuticals,PGNX,6.72,6.81,6.58,6.66,-0.03,-0.45,"550,478",8.63,4.60,0,0,0,11.93,Nasdaq,Thursday,2018-05-03
253070,45320,Progenics Pharmaceuticals,PGNX,6.62,6.88,6.6,6.81,0.15,2.25,"633,673",8.63,4.60,0,0,0,14.45,Nasdaq,Friday,2018-05-04
253071,115135,Progenics Pharmaceuticals,PGNX,6.86,7.09,6.86,7.01,0.20,2.94,"692,304",8.63,4.6,0,0,0,17.82,Nasdaq,Monday,2018-05-07
253072,258215,Progenics Pharmaceuticals,PGNX,6.98,7.01,6.85,6.93,-0.08,-1.14,"755,942",8.63,4.60,0,0,0,16.47,Nasdaq,Tuesday,2018-05-08
253073,329761,Progenics Pharmaceuticals,PGNX,7.1,7.42,6.83,7.3,0.37,5.34,"1,473,594",8.63,4.60,0,0,0,22.69,Nasdaq,Wednesday,2018-05-09
253074,188528,Progenics Pharmaceuticals,PGNX,7.32,7.9,7.29,7.42,0.12,1.64,"1,708,778",8.63,4.6,0,0,0,24.71,Nasdaq,Thursday,2018-05-10
253075,47138,Progenics Pharmaceuticals,PGNX,7.47,7.66,7.36,7.5,0.08,1.08,"1,201,893",8.63,4.6,0,0,0,26.05,Nasdaq,Friday,2018-05-11
253076,116952,Progenics Pharmaceuticals,PGNX,7.48,7.57,7.41,7.44,-0.06,-0.80,"1,105,717",8.63,4.6,0,0,0,25.04,Nasdaq,Monday,2018-05-14
253077,260028,Progenics Pharmaceuticals,PGNX,7.35,7.43,7.33,7.37,-0.07,-0.94,"833,645",8.63,4.6,0,0,0,23.87,Nasdaq,Tuesday,2018-05-15
253078,331585,Progenics Pharmaceuticals,PGNX,7.35,7.52,7.35,7.52,0.15,2.04,"1,061,526",8.63,4.6,0,0,0,26.39,Nasdaq,Wednesday,2018-05-16
253079,190342,Progenics Pharmaceuticals,PGNX,7.52,7.52,7.27,7.3,-0.22,-2.93,"991,746",8.63,4.60,0,0,0,22.69,Nasdaq,Thursday,2018-05-17
253080,48956,Progenics Pharmaceuticals,PGNX,7.31,7.31,7.12,7.23,-0.07,-0.96,"1,492,729",8.63,4.6,0,0,0,21.51,Nasdaq,Friday,2018-05-18
253081,118768,Progenics Pharmaceuticals,PGNX,7.33,7.63,7.33,7.5,0.27,3.73,"1,310,680",8.63,4.60,0,0,0,26.05,Nasdaq,Monday,2018-05-21
253082,261845,Progenics Pharmaceuticals,PGNX,7.54,7.71,7.47,7.49,-0.01,-0.13,"1,261,534",8.63,4.6,0,0,0,25.88,Nasdaq,Tuesday,2018-05-22
253083,333398,Progenics Pharmaceuticals,PGNX,7.44,7.65,7.44,7.62,0.13,1.74,"1,092,412",8.63,4.60,0,0,0,28.07,Nasdaq,Wednesday,2018-05-23
253084,192157,Progenics Pharmaceuticals,PGNX,7.64,7.68,7.47,7.51,-0.11,-1.44,"641,023",8.63,4.60,0,0,0,26.22,Nasdaq,Thursday,2018-05-24
253085,50776,Progenics Pharmaceuticals,PGNX,7.54,7.56,7.42,7.52,0.01,0.13,"491,947",8.63,4.60,0,0,0,26.39,Nasdaq,Friday,2018-05-25
253086,263662,Progenics Pharmaceuticals,PGNX,7.58,7.62,7.45,7.49,-0.03,-0.40,"1,014,802",8.63,4.60,0,0,0,25.88,Nasdaq,Tuesday,2018-05-29
253087,335217,Progenics Pharmaceuticals,PGNX,7.5,7.61,7.48,7.61,0.12,1.60,"892,055",8.63,4.60,0,0,0,27.90,Nasdaq,Wednesday,2018-05-30
253088,193972,Progenics Pharmaceuticals,PGNX,7.59,7.65,7.55,7.6,-0.01,-0.13,"867,543",8.63,4.6,0,0,0,27.73,Nasdaq,Thursday,2018-05-31
253089,36186,Progenics Pharmaceuticals,PGNX,7.65,8.19,7.59,7.99,0.39,5.13,"2,032,175",8.63,4.60,0,0,0,34.29,Nasdaq,Friday,2018-06-01
253090,107850,Progenics Pharmaceuticals,PGNX,8.03,8.39,7.97,8.35,0.36,4.51,"1,665,702",8.63,4.60,0,0,0,40.34,Nasdaq,Monday,2018-06-04
253091,249128,Progenics Pharmaceuticals,PGNX,8.36,8.74,8.35,8.57,0.22,2.63,"1,707,508",8.74,4.6,0,0,0,44.03,Nasdaq,Tuesday,2018-06-05
253092,322469,Progenics Pharmaceuticals,PGNX,8.59,9.12,8.59,8.84,0.27,3.15,"1,724,282",9.12,4.60,0,0,0,48.57,Nasdaq,Wednesday,2018-06-06
253093,177604,Progenics Pharmaceuticals,PGNX,8.88,8.9,8.67,8.79,-0.05,-0.57,"739,851",9.12,4.60,0,0,0,47.73,Nasdaq,Thursday,2018-06-07
253094,38015,Progenics Pharmaceuticals,PGNX,8.73,8.91,8.62,8.73,-0.06,-0.68,"736,034",9.12,4.60,0,0,0,46.72,Nasdaq,Friday,2018-06-08
253095,109676,Progenics Pharmaceuticals,PGNX,8.7,8.9,8.7,8.79,0.06,0.69,"985,189",9.12,4.6,0,0,0,47.73,Nasdaq,Monday,2018-06-11
253096,250950,Progenics Pharmaceuticals,PGNX,8.78,9.0,8.77,8.8,0.01,0.11,"1,132,094",9.12,4.6,0,0,0,47.90,Nasdaq,Tuesday,2018-06-12
253097,324294,Progenics Pharmaceuticals,PGNX,8.84,9.0,8.74,8.99,0.19,2.16,"1,109,864",9.12,4.6,0,0,0,51.09,Nasdaq,Wednesday,2018-06-13
253098,179428,Progenics Pharmaceuticals,PGNX,9.02,9.1,8.77,8.86,-0.13,-1.45,"1,141,544",9.12,4.6,0,0,0,48.91,Nasdaq,Thursday,2018-06-14
253099,39835,Progenics Pharmaceuticals,PGNX,8.82,8.87,8.62,8.7,-0.16,-1.81,"2,031,732",9.12,4.60,0,0,0,46.22,Nasdaq,Friday,2018-06-15
253100,111495,Progenics Pharmaceuticals,PGNX,8.63,8.68,8.41,8.5,-0.20,-2.30,"1,315,126",9.12,4.60,0,0,0,42.86,Nasdaq,Monday,2018-06-18
253101,252768,Progenics Pharmaceuticals,PGNX,8.45,8.58,8.34,8.54,0.04,0.47,"1,364,334",9.12,4.6,0,0,0,43.53,Nasdaq,Tuesday,2018-06-19
253102,326113,Progenics Pharmaceuticals,PGNX,8.55,8.66,8.51,8.63,0.09,1.05,"870,024",9.12,4.60,0,0,0,45.04,Nasdaq,Wednesday,2018-06-20
253103,181252,Progenics Pharmaceuticals,PGNX,8.64,8.65,8.41,8.47,-0.16,-1.85,"630,145",9.12,4.6,0,0,0,42.35,Nasdaq,Thursday,2018-06-21
253104,41667,Progenics Pharmaceuticals,PGNX,8.46,8.5,8.31,8.49,0.02,0.24,"1,670,261",9.12,4.6,0,0,0,42.69,Nasdaq,Friday,2018-06-22
253105,113322,Progenics Pharmaceuticals,PGNX,8.46,8.49,8.04,8.13,-0.36,-4.24,"1,272,935",9.12,4.6,0,0,0,36.64,Nasdaq,Monday,2018-06-25
253106,254592,Progenics Pharmaceuticals,PGNX,8.21,8.45,8.14,8.42,0.29,3.57,"722,902",9.12,4.6,0,0,0,41.51,Nasdaq,Tuesday,2018-06-26
253107,327939,Progenics Pharmaceuticals,PGNX,8.45,8.51,8.11,8.16,-0.26,-3.09,"975,424",9.12,4.60,0,0,0,37.14,Nasdaq,Wednesday,2018-06-27
253108,183088,Progenics Pharmaceuticals,PGNX,8.17,8.48,7.82,8.1,-0.06,-0.74,"1,084,240",9.12,4.60,0,0,0,36.13,Nasdaq,Thursday,2018-06-28
253109,43506,Progenics Pharmaceuticals,PGNX,8.14,8.21,7.93,8.04,-0.06,-0.74,"909,166",9.12,4.60,0,0,0,35.13,Nasdaq,Friday,2018-06-29
253110,98693,Progenics Pharmaceuticals,PGNX,8.02,8.12,7.95,8.12,0.08,1.00,"698,662",9.12,4.6,0,0,0,36.47,Nasdaq,Monday,2018-07-02
253111,239967,Progenics Pharmaceuticals,PGNX,8.16,8.36,8.09,8.33,0.21,2.59,"579,041",9.12,4.6,0,0,0,40.00,Nasdaq,Tuesday,2018-07-03
253112,170272,Progenics Pharmaceuticals,PGNX,8.42,8.49,8.27,8.43,0.10,1.20,"791,333",9.12,4.6,0,0,0,41.68,Nasdaq,Thursday,2018-07-05
253113,28871,Progenics Pharmaceuticals,PGNX,8.42,8.57,8.34,8.5,0.07,0.83,"730,152",9.12,4.6,0,0,0,42.86,Nasdaq,Friday,2018-07-06
253114,100522,Progenics Pharmaceuticals,PGNX,8.52,8.61,8.38,8.48,-0.02,-0.24,"631,334",9.12,4.6,0,0,0,42.52,Nasdaq,Monday,2018-07-09
253115,241798,Progenics Pharmaceuticals,PGNX,8.58,8.58,8.23,8.38,-0.10,-1.18,"726,171",9.12,4.6,0,0,0,40.84,Nasdaq,Tuesday,2018-07-10
253116,316978,Progenics Pharmaceuticals,PGNX,8.34,8.45,8.27,8.33,-0.05,-0.60,"790,127",9.12,4.6,0,0,0,40.00,Nasdaq,Wednesday,2018-07-11
253117,172098,Progenics Pharmaceuticals,PGNX,8.4,8.44,8.29,8.37,0.04,0.48,"695,109",9.12,4.6,0,0,0,40.67,Nasdaq,Thursday,2018-07-12
253118,30692,Progenics Pharmaceuticals,PGNX,8.35,8.4,8.28,8.32,-0.05,-0.60,"794,528",9.12,4.6,0,0,0,39.83,Nasdaq,Friday,2018-07-13
253119,102347,Progenics Pharmaceuticals,PGNX,8.35,8.41,8.27,8.36,0.04,0.48,"981,968",9.12,4.6,0,0,0,40.50,Nasdaq,Monday,2018-07-16
253120,243622,Progenics Pharmaceuticals,PGNX,8.33,8.33,7.92,8.22,-0.14,-1.67,"1,196,698",9.12,4.6,0,0,0,38.15,Nasdaq,Tuesday,2018-07-17
253121,318807,Progenics Pharmaceuticals,PGNX,8.19,8.3,8.08,8.29,0.07,0.85,"585,114",9.12,4.6,0,0,0,39.33,Nasdaq,Wednesday,2018-07-18
253122,173931,Progenics Pharmaceuticals,PGNX,8.28,8.39,8.19,8.39,0.10,1.21,"684,297",9.12,4.60,0,0,0,41.01,Nasdaq,Thursday,2018-07-19
253123,32515,Progenics Pharmaceuticals,PGNX,8.35,8.48,8.23,8.26,-0.13,-1.55,"811,208",9.12,4.6,0,0,0,38.82,Nasdaq,Friday,2018-07-20
253124,104176,Progenics Pharmaceuticals,PGNX,8.28,8.35,7.82,7.96,-0.30,-3.63,"1,237,424",9.12,4.6,0,0,0,33.78,Nasdaq,Monday,2018-07-23
253125,245458,Progenics Pharmaceuticals,PGNX,7.97,8.06,7.49,7.64,-0.32,-4.02,"1,684,570",9.12,4.6,0,0,0,28.40,Nasdaq,Tuesday,2018-07-24
253126,320632,Progenics Pharmaceuticals,PGNX,7.7,7.77,7.31,7.32,-0.32,-4.19,"1,364,090",9.12,4.6,0,0,0,23.03,Nasdaq,Wednesday,2018-07-25
253127,175768,Progenics Pharmaceuticals,PGNX,7.35,7.54,7.13,7.41,0.09,1.23,"1,218,806",9.12,4.60,0,0,0,24.54,Nasdaq,Thursday,2018-07-26
253128,34354,Progenics Pharmaceuticals,PGNX,7.64,7.68,7.3,7.66,0.25,3.37,"1,689,681",9.12,4.6,0,0,0,28.74,Nasdaq,Friday,2018-07-27
253129,106017,Progenics Pharmaceuticals,PGNX,7.65,8.31,7.42,8.31,0.65,8.49,"1,752,444",9.12,4.6,0,0,0,39.66,Nasdaq,Monday,2018-07-30
253130,247301,Progenics Pharmaceuticals,PGNX,8.0,8.4,7.37,7.99,-0.33,-3.91,"8,763,418",9.12,4.6,0,0,0,34.20,Nasdaq,Tuesday,2018-07-31
253131,294956,Progenics Pharmaceuticals,PGNX,7.83,7.90,7.56,7.76,-0.23,-2.82,"1,731,135",9.12,4.6,0,0,0,30.42,Nasdaq,Wednesday,2018-08-01
253132,146395,Progenics Pharmaceuticals,PGNX,7.69,8.48,7.62,8.43,0.67,8.63,"2,010,769",9.12,4.60,0,0,0,41.68,Nasdaq,Thursday,2018-08-02
253133,4981,Progenics Pharmaceuticals,PGNX,8.46,9.29,8.43,9.18,0.75,8.90,"3,184,042",9.29,4.60,0,0,0,54.29,Nasdaq,Friday,2018-08-03
253134,78435,Progenics Pharmaceuticals,PGNX,9.18,9.42,8.88,8.94,-0.24,-2.61,"1,946,678",9.42,4.6,0,0,0,50.25,Nasdaq,Monday,2018-08-06
253135,221588,Progenics Pharmaceuticals,PGNX,8.97,9.0,8.7,8.93,-0.01,-0.11,"1,057,719",9.42,4.6,0,0,0,50.08,Nasdaq,Tuesday,2018-08-07
