,Unnamed: 0,Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg,Stock,day,date
257499,184834,Pacific Premier Bancorp,PPBI,40.45,40.6,40.0,40.2,-0.10,-0.25,"460,215",46.05,32.05,0,0,25.94,0.50,Nasdaq,Thursday,2018-03-29
257500,289426,Pacific Premier Bancorp,PPBI,40.6,40.85,40.2,40.7,-0.30,-0.73,"198,563",46.05,32.05,0,0,26.26,1.75,Nasdaq,Wednesday,2018-04-11
257501,142679,Pacific Premier Bancorp,PPBI,41.0,41.6,40.9,41.3,0.60,1.47,"149,277",46.05,32.05,0,0,26.65,3.25,Nasdaq,Thursday,2018-04-12
257502,217874,Pacific Premier Bancorp,PPBI,41.35,41.45,39.9,40.4,-0.65,-1.58,"349,618",46.05,32.05,0,0,26.06,1.00,Nasdaq,Tuesday,2018-04-17
257503,291237,Pacific Premier Bancorp,PPBI,40.55,40.7,40.0,40.05,-0.35,-0.87,"232,433",46.05,32.05,0,0,25.84,0.12,Nasdaq,Wednesday,2018-04-18
257504,144491,Pacific Premier Bancorp,PPBI,40.1,40.63,40.0,40.3,0.25,0.62,"319,326",46.05,32.05,0,0,26.00,0.75,Nasdaq,Thursday,2018-04-19
257505,1264,Pacific Premier Bancorp,PPBI,40.3,40.88,40.15,40.45,0.15,0.37,"194,537",46.05,32.05,0,0,26.10,1.13,Nasdaq,Friday,2018-04-20
257506,219684,Pacific Premier Bancorp,PPBI,40.8,41.15,40.25,40.7,0.20,0.49,"249,054",46.05,32.05,0,0,26.26,1.75,Nasdaq,Tuesday,2018-04-24
257507,293050,Pacific Premier Bancorp,PPBI,40.6,40.75,39.85,39.95,-0.75,-1.84,"441,194",46.05,32.05,0,0,25.77,-0.12,Nasdaq,Wednesday,2018-04-25
257508,3076,Pacific Premier Bancorp,PPBI,40.2,40.4,39.7,40.0,-0.15,-0.37,"638,239",46.05,32.05,0,0,25.81,0,Nasdaq,Friday,2018-04-27
257509,76534,Pacific Premier Bancorp,PPBI,40.2,40.35,39.5,39.75,-0.25,-0.63,"372,909",46.05,32.05,0,0,25.65,-0.63,Nasdaq,Monday,2018-04-30
257510,256327,Pacific Premier Bancorp,PPBI,39.95,39.95,38.55,39.45,-0.30,-0.75,"389,883",46.05,32.05,0,0,25.45,-1.37,Nasdaq,Tuesday,2018-05-01
257511,186645,Pacific Premier Bancorp,PPBI,38.45,39.4,38.15,39.35,0.70,1.81,"493,212",46.05,32.05,0,0,21.74,-1.63,Nasdaq,Thursday,2018-05-03
257512,45243,Pacific Premier Bancorp,PPBI,39.05,40.0,38.75,39.75,0.40,1.02,"372,313",46.05,32.05,0,0,21.96,-0.63,Nasdaq,Friday,2018-05-04
257513,115058,Pacific Premier Bancorp,PPBI,39.85,40.5,39.4,40.1,0.35,0.88,"305,249",46.05,32.05,0,0,22.15,0.25,Nasdaq,Monday,2018-05-07
257514,258137,Pacific Premier Bancorp,PPBI,40.05,40.65,40.05,40.55,0.45,1.12,"263,948",46.05,32.05,0,0,22.40,1.37,Nasdaq,Tuesday,2018-05-08
257515,329683,Pacific Premier Bancorp,PPBI,40.6,41.3,40.55,41.0,0.45,1.11,"398,857",46.05,32.05,0,0,22.65,2.50,Nasdaq,Wednesday,2018-05-09
257516,188451,Pacific Premier Bancorp,PPBI,41.0,41.65,40.7,41.2,0.20,0.49,"982,226",46.05,32.05,0,0,22.76,3.00,Nasdaq,Thursday,2018-05-10
257517,47059,Pacific Premier Bancorp,PPBI,41.15,41.6,41.0,41.35,0.15,0.36,"356,123",46.05,32.05,0,0,22.85,3.38,Nasdaq,Friday,2018-05-11
257518,116874,Pacific Premier Bancorp,PPBI,41.6,41.6,40.95,41.2,-0.15,-0.36,"456,507",46.05,32.05,0,0,22.76,3.00,Nasdaq,Monday,2018-05-14
257519,259951,Pacific Premier Bancorp,PPBI,41.25,41.8,41.15,41.5,0.30,0.73,"297,287",46.05,32.05,0,0,22.93,3.75,Nasdaq,Tuesday,2018-05-15
257520,331507,Pacific Premier Bancorp,PPBI,41.45,41.8,41.2,41.7,0.20,0.48,"368,778",46.05,32.05,0,0,23.04,4.25,Nasdaq,Wednesday,2018-05-16
257521,190262,Pacific Premier Bancorp,PPBI,41.75,41.9,41.4,41.85,0.15,0.36,"265,483",46.05,32.05,0,0,23.12,4.63,Nasdaq,Thursday,2018-05-17
257522,48876,Pacific Premier Bancorp,PPBI,42.0,42.45,41.75,41.9,0.05,0.12,"369,520",46.05,32.05,0,0,23.15,4.75,Nasdaq,Friday,2018-05-18
257523,118688,Pacific Premier Bancorp,PPBI,42.25,42.65,41.95,42.35,0.45,1.07,"225,630",46.05,32.05,0,0,23.40,5.88,Nasdaq,Monday,2018-05-21
257524,261766,Pacific Premier Bancorp,PPBI,42.5,42.95,42.2,42.55,0.20,0.47,"442,925",46.05,32.05,0,0,23.51,6.37,Nasdaq,Tuesday,2018-05-22
257525,333321,Pacific Premier Bancorp,PPBI,42.45,42.75,41.95,42.25,-0.30,-0.71,"192,610",46.05,32.05,0,0,23.34,5.63,Nasdaq,Wednesday,2018-05-23
257526,192079,Pacific Premier Bancorp,PPBI,42.2,42.2,41.1,41.35,-0.90,-2.13,"307,010",46.05,32.05,0,0,22.85,3.38,Nasdaq,Thursday,2018-05-24
257527,50697,Pacific Premier Bancorp,PPBI,41.35,41.7,41.1,41.4,0.05,0.12,"248,494",46.05,32.05,0,0,22.87,3.50,Nasdaq,Friday,2018-05-25
257528,263582,Pacific Premier Bancorp,PPBI,41.15,41.15,40.1,40.3,-1.10,-2.66,"278,356",46.05,32.05,0,0,22.27,0.75,Nasdaq,Tuesday,2018-05-29
257529,335137,Pacific Premier Bancorp,PPBI,40.75,41.5,40.6,41.35,1.05,2.61,"241,817",46.05,32.05,0,0,22.85,3.38,Nasdaq,Wednesday,2018-05-30
257530,193893,Pacific Premier Bancorp,PPBI,41.3,41.7,40.85,41.3,-0.05,-0.12,"246,221",46.05,32.05,0,0,22.82,3.25,Nasdaq,Thursday,2018-05-31
257531,36106,Pacific Premier Bancorp,PPBI,41.50,42.0,41.45,41.95,0.65,1.57,"360,204",46.05,32.05,0,0,23.18,4.88,Nasdaq,Friday,2018-06-01
257532,107771,Pacific Premier Bancorp,PPBI,42.0,42.25,41.6,42.05,0.10,0.24,"374,975",46.05,32.05,0,0,23.23,5.12,Nasdaq,Monday,2018-06-04
257533,249048,Pacific Premier Bancorp,PPBI,42.05,42.35,41.85,42.1,0.05,0.12,"270,174",46.05,32.05,0,0,23.26,5.25,Nasdaq,Tuesday,2018-06-05
257534,322389,Pacific Premier Bancorp,PPBI,42.25,42.65,42.1,42.15,0.05,0.12,"328,314",46.05,32.05,0,0,23.29,5.38,Nasdaq,Wednesday,2018-06-06
257535,177524,Pacific Premier Bancorp,PPBI,42.35,42.5,41.8,42.0,-0.15,-0.36,"368,771",46.05,32.05,0,0,23.20,5.00,Nasdaq,Thursday,2018-06-07
257536,37935,Pacific Premier Bancorp,PPBI,42.0,42.5,42.0,42.3,0.30,0.71,"456,041",46.05,32.05,0,0,23.37,5.75,Nasdaq,Friday,2018-06-08
257537,109596,Pacific Premier Bancorp,PPBI,42.35,42.5,41.4,41.6,-0.70,-1.65,"545,256",46.05,32.05,0,0,22.98,4.00,Nasdaq,Monday,2018-06-11
257538,250870,Pacific Premier Bancorp,PPBI,41.65,41.9,40.95,41.3,-0.30,-0.72,"335,912",46.05,32.05,0,0,22.82,3.25,Nasdaq,Tuesday,2018-06-12
257539,324214,Pacific Premier Bancorp,PPBI,41.45,41.65,40.8,41.15,-0.15,-0.36,"382,046",46.05,32.05,0,0,22.73,2.88,Nasdaq,Wednesday,2018-06-13
257540,179348,Pacific Premier Bancorp,PPBI,41.25,41.6,40.4,40.65,-0.50,-1.22,"325,136",46.05,32.05,0,0,22.46,1.63,Nasdaq,Thursday,2018-06-14
257541,39755,Pacific Premier Bancorp,PPBI,40.45,40.6,39.9,40.35,-0.30,-0.74,"927,465",46.05,32.05,0,0,22.29,0.88,Nasdaq,Friday,2018-06-15
257542,111416,Pacific Premier Bancorp,PPBI,39.9,40.8,39.9,40.55,0.20,0.50,"342,135",46.05,32.05,0,0,22.40,1.37,Nasdaq,Monday,2018-06-18
257543,252689,Pacific Premier Bancorp,PPBI,40.3,42.0,40.3,41.95,1.40,3.45,"955,732",46.05,32.05,0,0,23.18,4.88,Nasdaq,Tuesday,2018-06-19
257544,326033,Pacific Premier Bancorp,PPBI,42.0,42.9,42.0,42.75,0.80,1.91,"483,865",46.05,32.05,0,0,23.62,6.88,Nasdaq,Wednesday,2018-06-20
257545,181172,Pacific Premier Bancorp,PPBI,42.55,43.2,42.3,42.35,-0.40,-0.94,"395,576",46.05,32.05,0,0,23.40,5.88,Nasdaq,Thursday,2018-06-21
257546,41588,Pacific Premier Bancorp,PPBI,42.25,42.35,40.1,40.3,-2.05,-4.84,"1,774,946",46.05,32.05,0,0,22.27,0.75,Nasdaq,Friday,2018-06-22
257547,113243,Pacific Premier Bancorp,PPBI,40.25,40.4,39.27,39.6,-0.70,-1.74,"633,566",46.05,32.05,0,0,21.88,-1.00,Nasdaq,Monday,2018-06-25
257548,254513,Pacific Premier Bancorp,PPBI,39.6,39.9,39.18,39.55,-0.05,-0.13,"302,918",46.05,32.05,0,0,21.85,-1.13,Nasdaq,Tuesday,2018-06-26
257549,327859,Pacific Premier Bancorp,PPBI,39.35,39.35,38.6,38.7,-0.85,-2.15,"383,336",46.05,32.05,0,0,21.38,-3.25,Nasdaq,Wednesday,2018-06-27
257550,183010,Pacific Premier Bancorp,PPBI,38.65,39.1,38.45,38.65,-0.05,-0.13,"513,322",46.05,32.05,0,0,21.35,-3.38,Nasdaq,Thursday,2018-06-28
257551,43427,Pacific Premier Bancorp,PPBI,39.0,39.7,38.08,38.15,-0.50,-1.29,"316,889",46.05,32.05,0,0,21.08,-4.63,Nasdaq,Friday,2018-06-29
257552,98613,Pacific Premier Bancorp,PPBI,38.0,38.35,37.85,38.25,0.10,0.26,"320,017",46.05,32.05,0,0,21.13,-4.38,Nasdaq,Monday,2018-07-02
257553,239888,Pacific Premier Bancorp,PPBI,38.25,38.7,37.7,37.7,-0.55,-1.44,"175,639",46.05,32.05,0,0,20.83,-5.75,Nasdaq,Tuesday,2018-07-03
