,Unnamed: 0,Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg,Stock,day,date
259454,184910,Primo Water,PRMW,11.64,11.79,11.64,11.71,0.10,0.86,"108,113",13.86,10.47,0,0,0,-6.84,Nasdaq,Thursday,2018-03-29
259455,289502,Primo Water,PRMW,12.06,12.21,12.0,12.03,-0.08,-0.66,"79,784",13.86,10.47,0,0,0,-4.30,Nasdaq,Wednesday,2018-04-11
259456,142755,Primo Water,PRMW,12.05,12.16,11.91,11.95,-0.08,-0.67,"61,547",13.86,10.47,0,0,0,-4.93,Nasdaq,Thursday,2018-04-12
259457,217949,Primo Water,PRMW,12.33,12.53,11.52,12.34,0.06,0.49,"291,017",13.86,10.47,0,0,0,-1.83,Nasdaq,Tuesday,2018-04-17
259458,291313,Primo Water,PRMW,12.35,12.38,12.17,12.19,-0.15,-1.22,"152,120",13.86,10.47,0,0,0,-3.02,Nasdaq,Wednesday,2018-04-18
259459,144567,Primo Water,PRMW,12.17,12.4,12.05,12.37,0.18,1.48,"164,295",13.86,10.47,0,0,0,-1.59,Nasdaq,Thursday,2018-04-19
259460,1340,Primo Water,PRMW,12.31,12.53,12.25,12.51,0.14,1.13,"165,322",13.86,10.47,0,0,0,-0.48,Nasdaq,Friday,2018-04-20
259461,219759,Primo Water,PRMW,12.54,12.65,12.41,12.54,0.02,0.16,"128,850",13.86,10.47,0,0,0,-0.24,Nasdaq,Tuesday,2018-04-24
259462,293127,Primo Water,PRMW,12.53,12.67,12.48,12.65,0.11,0.88,"181,952",13.86,10.47,0,0,0,0.64,Nasdaq,Wednesday,2018-04-25
259463,3153,Primo Water,PRMW,12.69,12.92,12.66,12.8,0.11,0.87,"112,474",13.86,10.47,0,0,0,1.83,Nasdaq,Friday,2018-04-27
259464,76611,Primo Water,PRMW,12.8,13.1,12.79,13.04,0.24,1.87,"179,184",13.86,10.47,0,0,0,3.74,Nasdaq,Monday,2018-04-30
259465,256404,Primo Water,PRMW,13.0,13.18,12.89,13.15,0.11,0.84,"134,071",13.86,10.47,0,0,0,4.61,Nasdaq,Tuesday,2018-05-01
259466,186720,Primo Water,PRMW,13.1,13.29,13.09,13.27,0.16,1.22,"74,890",13.86,10.47,0,0,0,5.57,Nasdaq,Thursday,2018-05-03
259467,45318,Primo Water,PRMW,13.26,13.44,13.11,13.41,0.14,1.06,"120,578",13.86,10.47,0,0,0,6.68,Nasdaq,Friday,2018-05-04
259468,115133,Primo Water,PRMW,13.5,13.63,13.09,13.24,-0.17,-1.27,"213,811",13.86,10.47,0,0,0,5.33,Nasdaq,Monday,2018-05-07
259469,258213,Primo Water,PRMW,13.25,13.73,13.25,13.55,0.31,2.34,"457,927",13.86,10.47,0,0,0,7.80,Nasdaq,Tuesday,2018-05-08
259470,329759,Primo Water,PRMW,13.78,15.0,13.75,14.48,0.93,6.86,"981,208",15.00,10.47,0,0,0,15.19,Nasdaq,Wednesday,2018-05-09
259471,188526,Primo Water,PRMW,14.5,14.83,14.16,14.36,-0.12,-0.83,"295,790",15.0,10.47,0,0,71.80,14.24,Nasdaq,Thursday,2018-05-10
259472,47136,Primo Water,PRMW,14.42,14.66,14.14,14.22,-0.14,-0.97,"343,017",15.0,10.47,0,0,71.10,13.13,Nasdaq,Friday,2018-05-11
259473,116950,Primo Water,PRMW,14.43,14.58,13.96,13.99,-0.23,-1.62,"230,592",15.0,10.47,0,0,69.95,11.30,Nasdaq,Monday,2018-05-14
259474,260026,Primo Water,PRMW,13.25,14.22,13.25,14.11,0.12,0.86,"328,798",15.0,10.47,0,0,70.55,12.25,Nasdaq,Tuesday,2018-05-15
259475,331583,Primo Water,PRMW,14.19,14.4,14.08,14.3,0.19,1.35,"205,795",15.0,10.47,0,0,71.50,13.76,Nasdaq,Wednesday,2018-05-16
259476,190340,Primo Water,PRMW,14.35,14.7,14.1,14.54,0.24,1.68,"366,643",15.00,10.47,0,0,72.70,15.67,Nasdaq,Thursday,2018-05-17
259477,48954,Primo Water,PRMW,14.84,15.27,14.53,14.8,0.26,1.79,"3,270,859",15.27,10.47,0,0,74.00,17.74,Nasdaq,Friday,2018-05-18
259478,118766,Primo Water,PRMW,14.77,14.96,14.56,14.83,0.03,0.20,"723,514",15.27,10.47,0,0,74.15,17.98,Nasdaq,Monday,2018-05-21
259479,261843,Primo Water,PRMW,14.85,15.1,14.8,14.92,0.09,0.61,"601,056",15.27,10.47,0,0,74.60,18.70,Nasdaq,Tuesday,2018-05-22
