,Unnamed: 0,Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg,Stock,day,date
277355,184957,RBC Bearings,ROLL,122.06,125.34,117.25,124.2,2.61,2.15,"89,457",139.95,91.00,0,0,36.75,-1.74,Nasdaq,Thursday,2018-03-29
277356,289548,RBC Bearings,ROLL,121.36,124.12,120.92,122.44,0.35,0.29,"31,377",139.95,91.00,0,0,36.22,-3.13,Nasdaq,Wednesday,2018-04-11
277357,142800,RBC Bearings,ROLL,123.2,124.74,122.5,123.05,0.61,0.50,"28,087",139.95,91.0,0,0,36.41,-2.65,Nasdaq,Thursday,2018-04-12
277358,217995,RBC Bearings,ROLL,126.57,127.68,125.3,127.3,1.31,1.04,"131,392",139.95,91.00,0,0,37.66,0.71,Nasdaq,Tuesday,2018-04-17
277359,291359,RBC Bearings,ROLL,127.54,127.96,126.1,126.36,-0.94,-0.74,"110,912",139.95,92.09,0,0,37.38,-0.03,Nasdaq,Wednesday,2018-04-18
277360,144612,RBC Bearings,ROLL,126.02,127.4,124.76,126.0,-0.36,-0.28,"41,936",139.95,92.31,0,0,37.28,-0.32,Nasdaq,Thursday,2018-04-19
277361,1385,RBC Bearings,ROLL,125.41,126.44,122.99,125.22,-0.78,-0.62,"66,183",139.95,93.96,0,0,37.05,-0.93,Nasdaq,Friday,2018-04-20
277362,219805,RBC Bearings,ROLL,124.27,125.99,120.16,121.14,-2.78,-2.24,"78,327",139.95,94.97,0,0,35.84,-4.16,Nasdaq,Tuesday,2018-04-24
277363,293174,RBC Bearings,ROLL,121.25,121.64,119.75,119.97,-1.17,-0.97,"63,731",139.95,94.97,0,0,35.49,-5.09,Nasdaq,Wednesday,2018-04-25
277364,3199,RBC Bearings,ROLL,119.69,119.69,117.45,118.38,-0.90,-0.75,"32,769",139.95,94.97,0,0,35.02,-6.34,Nasdaq,Friday,2018-04-27
277365,76657,RBC Bearings,ROLL,118.8,121.18,116.24,116.38,-2.00,-1.69,"54,040",139.95,94.97,0,0,34.43,-7.93,Nasdaq,Monday,2018-04-30
277366,256450,RBC Bearings,ROLL,116.28,116.28,112.59,115.23,-1.15,-0.99,"131,464",139.95,94.97,0,0,34.09,-8.84,Nasdaq,Tuesday,2018-05-01
277367,186767,RBC Bearings,ROLL,114.31,114.31,111.61,113.15,-2.11,-1.83,"120,075",139.95,94.97,0,0,33.48,-10.48,Nasdaq,Thursday,2018-05-03
277368,45364,RBC Bearings,ROLL,112.86,116.03,112.5,114.98,1.83,1.62,"67,479",139.95,94.97,0,0,34.02,-9.03,Nasdaq,Friday,2018-05-04
277369,115180,RBC Bearings,ROLL,115.37,118.61,114.58,117.8,2.82,2.45,"69,574",139.95,94.97,0,0,34.85,-6.80,Nasdaq,Monday,2018-05-07
277370,258258,RBC Bearings,ROLL,117.76,120.56,117.76,120.43,2.63,2.23,"54,717",139.95,94.97,0,0,35.63,-4.72,Nasdaq,Tuesday,2018-05-08
277371,329806,RBC Bearings,ROLL,120.92,121.02,119.19,120.0,-0.43,-0.36,"52,307",139.95,94.97,0,0,35.50,-5.06,Nasdaq,Wednesday,2018-05-09
277372,188571,RBC Bearings,ROLL,119.72,121.94,119.3,120.67,0.67,0.56,"50,515",139.95,94.97,0,0,35.70,-4.53,Nasdaq,Thursday,2018-05-10
277373,47183,RBC Bearings,ROLL,120.68,122.27,120.04,121.93,1.26,1.04,"37,338",139.95,94.97,0,0,36.07,-3.54,Nasdaq,Friday,2018-05-11
277374,116997,RBC Bearings,ROLL,121.57,122.07,120.27,120.68,-1.25,-1.03,"63,362",139.95,94.97,0,0,35.70,-4.53,Nasdaq,Monday,2018-05-14
277375,260073,RBC Bearings,ROLL,120.07,122.63,119.12,120.09,-0.59,-0.49,"66,239",139.95,94.97,0,0,35.53,-4.99,Nasdaq,Tuesday,2018-05-15
277376,331629,RBC Bearings,ROLL,120.34,124.1,118.9,119.5,-0.59,-0.49,"187,221",139.95,94.97,0,0,35.36,-5.46,Nasdaq,Wednesday,2018-05-16
277377,190387,RBC Bearings,ROLL,119.29,121.54,118.32,120.93,1.43,1.20,"96,850",139.95,94.97,0,0,35.78,-4.33,Nasdaq,Thursday,2018-05-17
277378,49000,RBC Bearings,ROLL,121.72,123.53,120.0,123.26,2.33,1.93,"58,114",139.95,94.97,0,0,36.47,-2.48,Nasdaq,Friday,2018-05-18
277379,118812,RBC Bearings,ROLL,123.48,125.49,123.39,123.95,0.69,0.56,"90,853",139.95,94.97,0,0,36.67,-1.94,Nasdaq,Monday,2018-05-21
277380,261890,RBC Bearings,ROLL,124.36,125.44,122.33,122.38,-1.57,-1.27,"51,039",139.95,94.97,0,0,36.21,-3.18,Nasdaq,Tuesday,2018-05-22
277381,333442,RBC Bearings,ROLL,121.99,123.99,121.86,123.83,1.45,1.18,"61,454",139.95,94.97,0,0,36.64,-2.03,Nasdaq,Wednesday,2018-05-23
277382,192202,RBC Bearings,ROLL,123.53,125.14,123.12,124.47,0.64,0.52,"40,333",139.95,94.97,0,0,36.83,-1.53,Nasdaq,Thursday,2018-05-24
277383,50821,RBC Bearings,ROLL,123.9,124.91,121.76,122.86,-1.61,-1.29,"34,973",139.95,94.97,0,0,36.35,-2.80,Nasdaq,Friday,2018-05-25
277384,263707,RBC Bearings,ROLL,122.1,123.74,121.13,122.33,-0.53,-0.43,"46,989",139.95,94.97,0,0,36.19,-3.22,Nasdaq,Tuesday,2018-05-29
