,Unnamed: 0,Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg,Stock,day,date
278741,185000,RTI Surgical,RTIX,4.55,4.8,4.5,4.6,0.05,1.10,"167,870",6.00,3.80,0,0,0,12.20,Nasdaq,Thursday,2018-03-29
278742,289591,RTI Surgical,RTIX,4.85,4.95,4.7,4.8,-0.05,-1.03,"101,667",6.00,3.85,0,0,0,17.07,Nasdaq,Wednesday,2018-04-11
278743,142843,RTI Surgical,RTIX,4.85,4.85,4.7,4.7,-0.10,-2.08,"58,724",6.0,3.85,0,0,0,14.63,Nasdaq,Thursday,2018-04-12
278744,218038,RTI Surgical,RTIX,4.85,4.88,4.75,4.8,0,0,"69,579",6.00,3.85,0,0,0,17.07,Nasdaq,Tuesday,2018-04-17
278745,291402,RTI Surgical,RTIX,4.85,4.85,4.6,4.67,-0.13,-2.60,"107,625",6.0,3.85,0,0,0,14.02,Nasdaq,Wednesday,2018-04-18
278746,144655,RTI Surgical,RTIX,4.7,4.7,4.5,4.58,-0.10,-2.14,"108,209",6.00,3.85,0,0,0,11.59,Nasdaq,Thursday,2018-04-19
278747,1428,RTI Surgical,RTIX,4.55,4.65,4.55,4.6,0.02,0.55,"43,305",6.00,3.85,0,0,0,12.20,Nasdaq,Friday,2018-04-20
278748,219848,RTI Surgical,RTIX,4.5,4.55,4.4,4.45,-0.05,-1.11,"50,295",6.0,3.85,0,0,0,8.54,Nasdaq,Tuesday,2018-04-24
278749,293217,RTI Surgical,RTIX,4.5,4.5,4.4,4.4,-0.05,-1.12,"40,061",6.0,3.85,0,0,0,7.32,Nasdaq,Wednesday,2018-04-25
278750,3242,RTI Surgical,RTIX,4.4,4.45,4.35,4.4,0,0,"46,850",6.00,3.85,0,0,0,7.32,Nasdaq,Friday,2018-04-27
278751,76700,RTI Surgical,RTIX,4.4,4.45,4.4,4.4,0,0,"122,192",6.0,3.85,0,0,0,7.32,Nasdaq,Monday,2018-04-30
278752,256493,RTI Surgical,RTIX,4.4,4.55,4.4,4.5,0.10,2.27,"99,226",6.0,3.85,0,0,0,9.76,Nasdaq,Tuesday,2018-05-01
278753,186810,RTI Surgical,RTIX,4.45,4.5,4.2,4.25,-0.20,-4.49,"157,404",6.00,3.85,0,0,0,3.66,Nasdaq,Thursday,2018-05-03
278754,45407,RTI Surgical,RTIX,4.25,4.25,4.2,4.25,0,0,"57,361",6.00,3.85,0,0,420.79,3.66,Nasdaq,Friday,2018-05-04
278755,115223,RTI Surgical,RTIX,4.25,4.5,4.2,4.45,0.20,4.71,"80,238",6.0,3.85,0,0,440.59,8.54,Nasdaq,Monday,2018-05-07
278756,258301,RTI Surgical,RTIX,4.45,4.5,4.35,4.5,0.05,1.12,"92,402",6.00,3.85,0,0,445.54,9.76,Nasdaq,Tuesday,2018-05-08
278757,329849,RTI Surgical,RTIX,4.5,4.55,4.4,4.5,0,0,"88,243",6.00,3.85,0,0,445.54,9.76,Nasdaq,Wednesday,2018-05-09
278758,188614,RTI Surgical,RTIX,4.5,4.55,4.45,4.5,0,0,"56,343",6.0,3.85,0,0,445.54,9.76,Nasdaq,Thursday,2018-05-10
278759,47226,RTI Surgical,RTIX,4.5,4.55,4.45,4.5,0,0,"139,274",6.0,3.85,0,0,445.54,9.76,Nasdaq,Friday,2018-05-11
278760,117040,RTI Surgical,RTIX,4.55,4.6,4.5,4.5,0,0,"105,997",6.0,3.85,0,0,445.54,9.76,Nasdaq,Monday,2018-05-14
278761,260116,RTI Surgical,RTIX,4.5,4.55,4.45,4.45,-0.05,-1.11,"75,573",6.0,3.85,0,0,440.59,8.54,Nasdaq,Tuesday,2018-05-15
278762,331672,RTI Surgical,RTIX,4.5,4.55,4.45,4.45,0,0,"64,958",6.0,3.85,0,0,440.59,8.54,Nasdaq,Wednesday,2018-05-16
278763,190430,RTI Surgical,RTIX,4.5,4.6,4.45,4.55,0.10,2.25,"161,849",6.00,3.85,0,0,450.50,10.98,Nasdaq,Thursday,2018-05-17
278764,49043,RTI Surgical,RTIX,4.6,4.7,4.56,4.65,0.10,2.20,"111,642",6.0,3.85,0,0,460.40,13.41,Nasdaq,Friday,2018-05-18
278765,118855,RTI Surgical,RTIX,4.65,4.7,4.5,4.53,-0.13,-2.69,"92,006",6.00,3.85,0,0,448.02,10.37,Nasdaq,Monday,2018-05-21
278766,261933,RTI Surgical,RTIX,4.55,4.6,4.38,4.4,-0.13,-2.76,"66,256",6.0,3.85,0,0,435.64,7.32,Nasdaq,Tuesday,2018-05-22
278767,333484,RTI Surgical,RTIX,4.4,4.6,4.35,4.55,0.15,3.41,"80,128",6.00,3.85,0,0,450.50,10.98,Nasdaq,Wednesday,2018-05-23
