,Unnamed: 0,Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg,Stock,day,date
281029,185011,Sanderson Farms,SAFM,123.38,124.3,118.98,119.02,-4.14,-3.36,"538,018",176.43,101.83,1.28,1.08,8.87,-14.24,Nasdaq,Thursday,2018-03-29
281030,289602,Sanderson Farms,SAFM,113.72,114.65,111.08,113.15,-1.12,-0.98,"387,069",176.43,106.14,1.28,1.13,8.43,-18.47,Nasdaq,Wednesday,2018-04-11
281031,142854,Sanderson Farms,SAFM,112.96,113.44,111.24,111.28,-1.87,-1.65,"421,900",176.43,106.42,1.28,1.15,8.29,-19.82,Nasdaq,Thursday,2018-04-12
281032,218049,Sanderson Farms,SAFM,115.23,116.14,114.28,114.7,-0.55,-0.48,"250,162",176.43,108.03,1.28,1.12,8.55,-17.35,Nasdaq,Tuesday,2018-04-17
281033,291413,Sanderson Farms,SAFM,114.86,114.86,113.5,113.63,-1.07,-0.93,"192,366",176.43,108.82,1.28,1.13,8.47,-18.12,Nasdaq,Wednesday,2018-04-18
281034,144666,Sanderson Farms,SAFM,113.09,114.52,112.63,113.49,-0.14,-0.12,"182,424",176.43,108.82,1.28,1.13,8.46,-18.22,Nasdaq,Thursday,2018-04-19
281035,1439,Sanderson Farms,SAFM,113.04,113.96,112.08,113.65,0.16,0.14,"328,728",176.43,108.82,1.28,1.13,8.47,-18.11,Nasdaq,Friday,2018-04-20
281036,219859,Sanderson Farms,SAFM,114.39,115.2,112.73,113.57,-0.11,-0.10,"248,276",176.43,108.82,1.28,1.13,8.46,-18.17,Nasdaq,Tuesday,2018-04-24
281037,293228,Sanderson Farms,SAFM,113.84,117.17,113.4,115.06,1.49,1.31,"297,920",176.43,108.82,1.28,1.11,8.58,-17.09,Nasdaq,Wednesday,2018-04-25
281038,3253,Sanderson Farms,SAFM,116.37,117.52,114.2,114.7,-1.24,-1.07,"238,766",176.43,108.82,1.28,1.12,8.55,-17.35,Nasdaq,Friday,2018-04-27
281039,76711,Sanderson Farms,SAFM,114.95,116.96,111.1,111.16,-3.22,-2.82,"306,117",176.43,108.82,1.28,1.15,8.28,-19.90,Nasdaq,Monday,2018-04-30
281040,256504,Sanderson Farms,SAFM,110.89,113.79,110.76,113.44,2.28,2.05,"372,850",176.43,108.82,1.28,1.13,8.45,-18.26,Nasdaq,Tuesday,2018-05-01
281041,186821,Sanderson Farms,SAFM,114.06,117.9,112.44,112.48,-1.80,-1.58,"843,318",176.43,108.82,1.28,1.14,8.38,-18.95,Nasdaq,Thursday,2018-05-03
281042,45418,Sanderson Farms,SAFM,111.9,113.94,110.6,112.57,0.09,0.08,"261,479",176.43,108.82,1.28,1.14,8.39,-18.89,Nasdaq,Friday,2018-05-04
281043,115234,Sanderson Farms,SAFM,111.99,112.65,110.29,111.06,-1.51,-1.34,"438,437",176.43,108.82,1.28,1.15,8.28,-19.97,Nasdaq,Monday,2018-05-07
281044,258312,Sanderson Farms,SAFM,110.83,114.19,110.83,113.72,2.66,2.40,"249,075",176.43,108.82,1.28,1.13,8.48,-18.06,Nasdaq,Tuesday,2018-05-08
281045,329860,Sanderson Farms,SAFM,114.07,114.23,112.66,113.52,-0.20,-0.18,"252,841",176.43,108.82,1.28,1.13,8.46,-18.20,Nasdaq,Wednesday,2018-05-09
281046,188625,Sanderson Farms,SAFM,114.08,115.34,113.88,114.23,0.71,0.63,"182,275",176.43,108.82,1.28,1.12,8.51,-17.69,Nasdaq,Thursday,2018-05-10
281047,47237,Sanderson Farms,SAFM,114.89,116.23,113.0,113.67,-0.56,-0.49,"211,721",176.43,109.74,1.28,1.13,8.47,-18.09,Nasdaq,Friday,2018-05-11
281048,117051,Sanderson Farms,SAFM,113.65,114.33,112.29,113.18,-0.49,-0.43,"250,627",176.43,109.74,1.28,1.13,8.44,-18.45,Nasdaq,Monday,2018-05-14
281049,260127,Sanderson Farms,SAFM,112.18,112.36,108.42,110.53,-2.65,-2.34,"499,957",176.43,108.42,1.28,1.16,8.24,-20.36,Nasdaq,Tuesday,2018-05-15
281050,331683,Sanderson Farms,SAFM,110.59,112.69,110.0,111.22,0.69,0.62,"222,441",176.43,108.42,1.28,1.15,8.29,-19.86,Nasdaq,Wednesday,2018-05-16
281051,190441,Sanderson Farms,SAFM,110.87,112.23,110.41,111.94,0.72,0.65,"450,237",176.43,108.42,1.28,1.14,8.34,-19.34,Nasdaq,Thursday,2018-05-17
281052,49054,Sanderson Farms,SAFM,111.89,111.89,106.6,107.25,-4.69,-4.19,"637,384",176.43,106.6,1.28,1.19,7.99,-22.72,Nasdaq,Friday,2018-05-18
281053,118866,Sanderson Farms,SAFM,108.0,109.49,104.74,106.38,-0.87,-0.81,"625,781",176.43,104.74,1.28,1.20,7.93,-23.35,Nasdaq,Monday,2018-05-21
281054,261944,Sanderson Farms,SAFM,106.64,109.17,105.48,105.88,-0.50,-0.47,"461,278",176.43,104.74,1.28,1.21,7.89,-23.71,Nasdaq,Tuesday,2018-05-22
281055,333495,Sanderson Farms,SAFM,105.87,108.38,105.82,107.02,1.14,1.08,"538,149",176.43,104.74,1.28,1.20,7.98,-22.89,Nasdaq,Wednesday,2018-05-23
281056,192255,Sanderson Farms,SAFM,102.97,109.6,101.1,106.02,-1.00,-0.93,"1,778,655",176.43,101.10,1.28,1.21,7.90,-23.61,Nasdaq,Thursday,2018-05-24
281057,50875,Sanderson Farms,SAFM,104.63,106.92,100.0,100.96,-5.06,-4.77,"1,830,783",176.43,100.00,1.28,1.27,8.20,-27.25,Nasdaq,Friday,2018-05-25
281058,263761,Sanderson Farms,SAFM,100.65,106.59,100.65,103.08,2.12,2.10,"998,215",176.43,100.00,1.28,1.24,8.37,-25.72,Nasdaq,Tuesday,2018-05-29
281059,335316,Sanderson Farms,SAFM,101.83,102.61,99.83,99.96,-3.12,-3.03,"756,630",176.43,99.83,1.28,1.28,8.12,-27.97,Nasdaq,Wednesday,2018-05-30
281060,194071,Sanderson Farms,SAFM,99.07,100.82,97.48,97.88,-2.08,-2.08,"1,022,682",176.43,97.48,1.28,1.31,7.95,-29.47,Nasdaq,Thursday,2018-05-31
281061,36285,Sanderson Farms,SAFM,98.53,100.17,96.94,97.71,-0.17,-0.17,"516,526",176.43,96.94,1.28,1.31,7.93,-29.59,Nasdaq,Friday,2018-06-01
281062,107949,Sanderson Farms,SAFM,98.42,100.7,97.76,98.19,0.48,0.49,"597,534",176.43,96.94,1.28,1.30,7.97,-29.25,Nasdaq,Monday,2018-06-04
281063,249226,Sanderson Farms,SAFM,98.5,99.36,97.52,99.23,1.04,1.06,"469,752",176.43,96.94,1.28,1.29,8.06,-28.50,Nasdaq,Tuesday,2018-06-05
281064,322568,Sanderson Farms,SAFM,99.85,101.56,96.8,97.63,-1.60,-1.61,"835,822",176.43,96.80,1.28,1.31,7.93,-29.65,Nasdaq,Wednesday,2018-06-06
281065,177703,Sanderson Farms,SAFM,97.34,101.84,97.0,101.53,3.90,3.99,"853,633",176.43,96.80,1.28,1.26,8.24,-26.84,Nasdaq,Thursday,2018-06-07
281066,38113,Sanderson Farms,SAFM,101.53,104.22,101.37,104.01,2.48,2.44,"600,136",176.43,96.80,1.28,1.23,8.44,-25.05,Nasdaq,Friday,2018-06-08
281067,109774,Sanderson Farms,SAFM,103.58,106.27,103.58,104.39,0.38,0.37,"517,124",176.43,96.8,1.28,1.23,8.47,-24.78,Nasdaq,Monday,2018-06-11
281068,251049,Sanderson Farms,SAFM,104.08,104.48,101.07,101.41,-2.98,-2.85,"620,050",176.43,96.8,1.28,1.26,8.23,-26.93,Nasdaq,Tuesday,2018-06-12
281069,324393,Sanderson Farms,SAFM,101.68,104.29,101.45,104.21,2.80,2.76,"420,050",176.43,96.8,1.28,1.23,8.46,-24.91,Nasdaq,Wednesday,2018-06-13
281070,179527,Sanderson Farms,SAFM,104.77,104.94,102.8,103.14,-1.07,-1.03,"469,615",176.43,96.8,1.28,1.24,8.37,-25.68,Nasdaq,Thursday,2018-06-14
281071,39934,Sanderson Farms,SAFM,103.04,104.27,102.05,103.71,0.57,0.55,"537,677",176.43,96.80,1.28,1.23,8.42,-25.27,Nasdaq,Friday,2018-06-15
281072,111594,Sanderson Farms,SAFM,104.02,104.51,100.74,102.49,-1.22,-1.18,"407,938",176.43,96.80,1.28,1.25,8.32,-26.15,Nasdaq,Monday,2018-06-18
281073,252865,Sanderson Farms,SAFM,102.41,105.92,101.64,105.71,3.22,3.14,"418,099",176.43,96.8,1.28,1.21,8.58,-23.83,Nasdaq,Tuesday,2018-06-19
281074,326210,Sanderson Farms,SAFM,105.92,108.06,105.46,106.55,0.84,0.79,"465,301",176.43,96.80,1.28,1.20,8.65,-23.22,Nasdaq,Wednesday,2018-06-20
281075,181350,Sanderson Farms,SAFM,106.56,106.94,100.0,101.14,-5.41,-5.08,"675,995",176.43,96.8,1.28,1.27,8.21,-27.12,Nasdaq,Thursday,2018-06-21
281076,41764,Sanderson Farms,SAFM,101.66,102.75,100.09,100.51,-0.63,-0.62,"524,303",176.43,96.8,1.28,1.27,8.16,-27.58,Nasdaq,Friday,2018-06-22
281077,113419,Sanderson Farms,SAFM,100.73,101.55,99.03,101.32,0.81,0.81,"353,944",176.43,96.8,1.28,1.26,8.23,-26.99,Nasdaq,Monday,2018-06-25
281078,254690,Sanderson Farms,SAFM,101.31,103.95,100.25,102.62,1.30,1.28,"454,810",176.43,96.8,1.28,1.25,8.33,-26.06,Nasdaq,Tuesday,2018-06-26
281079,328036,Sanderson Farms,SAFM,102.95,103.97,100.29,102.2,-0.42,-0.41,"353,865",176.43,96.80,1.28,1.25,8.30,-26.36,Nasdaq,Wednesday,2018-06-27
281080,183184,Sanderson Farms,SAFM,101.84,104.84,101.84,103.98,1.78,1.74,"434,488",176.43,96.80,1.28,1.23,8.44,-25.08,Nasdaq,Thursday,2018-06-28
281081,43603,Sanderson Farms,SAFM,104.03,106.16,103.34,105.15,1.17,1.13,"580,890",176.43,96.80,1.28,1.22,8.54,-24.23,Nasdaq,Friday,2018-06-29
281082,98791,Sanderson Farms,SAFM,104.62,104.62,100.16,100.88,-4.27,-4.06,"552,800",176.43,96.8,1.28,1.27,8.19,-27.31,Nasdaq,Monday,2018-07-02
281083,240062,Sanderson Farms,SAFM,100.93,103.8,100.93,103.39,2.51,2.49,"189,749",176.43,96.8,1.28,1.24,8.39,-25.50,Nasdaq,Tuesday,2018-07-03
281084,170368,Sanderson Farms,SAFM,103.42,107.63,103.17,107.5,4.11,3.98,"421,593",176.43,96.8,1.28,1.19,8.73,-22.54,Nasdaq,Thursday,2018-07-05
281085,28967,Sanderson Farms,SAFM,108.0,109.89,106.83,108.28,0.78,0.73,"330,247",176.43,96.8,1.28,1.18,8.79,-21.98,Nasdaq,Friday,2018-07-06
281086,100619,Sanderson Farms,SAFM,108.72,109.14,106.88,108.38,0.10,0.09,"331,991",176.43,96.8,1.28,1.18,8.80,-21.91,Nasdaq,Monday,2018-07-09
281087,241895,Sanderson Farms,SAFM,108.21,108.21,105.01,105.19,-3.19,-2.94,"327,270",176.43,96.8,1.28,1.22,8.54,-24.20,Nasdaq,Tuesday,2018-07-10
281088,317074,Sanderson Farms,SAFM,105.19,106.06,104.84,105.15,-0.04,-0.04,"324,071",176.43,96.8,1.28,1.22,8.54,-24.23,Nasdaq,Wednesday,2018-07-11
281089,172194,Sanderson Farms,SAFM,105.68,108.69,104.63,106.43,1.28,1.22,"269,767",176.43,96.8,1.28,1.20,8.64,-23.31,Nasdaq,Thursday,2018-07-12
281090,30788,Sanderson Farms,SAFM,106.28,106.69,102.36,102.59,-3.84,-3.61,"617,734",176.43,96.8,1.28,1.25,8.33,-26.08,Nasdaq,Friday,2018-07-13
281091,102444,Sanderson Farms,SAFM,102.44,103.38,101.71,101.92,-0.67,-0.65,"311,183",176.43,96.8,1.28,1.26,8.27,-26.56,Nasdaq,Monday,2018-07-16
281092,243720,Sanderson Farms,SAFM,102.02,102.83,99.47,99.5,-2.42,-2.37,"549,951",176.43,96.8,1.28,1.29,8.08,-28.30,Nasdaq,Tuesday,2018-07-17
281093,318904,Sanderson Farms,SAFM,99.2,99.38,97.92,98.09,-1.41,-1.42,"369,817",176.43,96.8,1.28,1.30,7.96,-29.32,Nasdaq,Wednesday,2018-07-18
281094,174029,Sanderson Farms,SAFM,98.37,100.42,98.0,98.99,0.90,0.92,"419,909",176.43,96.80,1.28,1.29,8.04,-28.67,Nasdaq,Thursday,2018-07-19
281095,32614,Sanderson Farms,SAFM,98.95,99.9,97.5,99.04,0.05,0.05,"359,939",176.43,96.8,1.28,1.29,8.04,-28.64,Nasdaq,Friday,2018-07-20
281096,104277,Sanderson Farms,SAFM,99.36,100.79,98.35,99.95,0.91,0.92,"313,248",176.43,96.8,1.28,1.28,8.11,-27.98,Nasdaq,Monday,2018-07-23
281097,245559,Sanderson Farms,SAFM,100.31,101.49,98.55,98.94,-1.01,-1.01,"393,534",176.43,96.8,1.28,1.29,8.03,-28.71,Nasdaq,Tuesday,2018-07-24
281098,320732,Sanderson Farms,SAFM,98.53,98.74,95.97,97.36,-1.58,-1.60,"468,056",176.43,95.97,1.28,1.31,7.90,-29.85,Nasdaq,Wednesday,2018-07-25
281099,175868,Sanderson Farms,SAFM,97.07,100.14,97.07,99.76,2.40,2.47,"531,246",176.43,95.97,1.28,1.28,8.10,-28.12,Nasdaq,Thursday,2018-07-26
281100,34454,Sanderson Farms,SAFM,99.65,101.59,99.06,100.46,0.70,0.70,"299,065",176.43,95.97,1.28,1.27,8.16,-27.61,Nasdaq,Friday,2018-07-27
