,Unnamed: 0,Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg,Stock,day,date
286108,185024,SCYNEXIS,SCYX,1.33,1.37,1.29,1.34,0,0,"306,078",2.94,1.29,0,0,0,-42.24,Nasdaq,Thursday,2018-03-29
286109,289615,SCYNEXIS,SCYX,1.28,1.31,1.27,1.28,0.01,0.79,"290,327",2.94,1.22,0,0,0,-44.83,Nasdaq,Wednesday,2018-04-11
286110,142867,SCYNEXIS,SCYX,1.3,1.31,1.28,1.3,0.02,1.56,"151,943",2.94,1.22,0,0,0,-43.97,Nasdaq,Thursday,2018-04-12
286111,218062,SCYNEXIS,SCYX,1.27,1.31,1.26,1.28,0.01,0.80,"418,121",2.94,1.22,0,0,0,-44.83,Nasdaq,Tuesday,2018-04-17
286112,291426,SCYNEXIS,SCYX,1.3,1.3,1.25,1.25,-0.03,-2.34,"379,532",2.94,1.22,0,0,0,-46.12,Nasdaq,Wednesday,2018-04-18
286113,144679,SCYNEXIS,SCYX,1.25,1.31,1.25,1.28,0.03,2.40,"252,531",2.94,1.22,0,0,0,-44.83,Nasdaq,Thursday,2018-04-19
286114,1452,SCYNEXIS,SCYX,1.3,1.34,1.28,1.32,0.04,3.13,"199,433",2.94,1.22,0,0,0,-43.10,Nasdaq,Friday,2018-04-20
286115,219872,SCYNEXIS,SCYX,1.27,1.29,1.23,1.25,-0.01,-0.85,"192,169",2.88,1.22,0,0,0,-46.15,Nasdaq,Tuesday,2018-04-24
286116,293241,SCYNEXIS,SCYX,1.24,1.25,1.05,1.16,-0.09,-7.15,"744,240",2.85,1.05,0,0,0,-50.00,Nasdaq,Wednesday,2018-04-25
286117,3266,SCYNEXIS,SCYX,1.22,1.23,1.18,1.23,0,0,"84,114",2.85,1.05,0,0,0,-46.98,Nasdaq,Friday,2018-04-27
286118,76724,SCYNEXIS,SCYX,1.22,1.25,1.18,1.18,-0.05,-4.07,"95,543",2.85,1.05,0,0,0,-49.14,Nasdaq,Monday,2018-04-30
286119,256517,SCYNEXIS,SCYX,1.26,1.29,1.21,1.29,0.11,9.32,"714,908",2.82,1.05,0,0,0,-44.40,Nasdaq,Tuesday,2018-05-01
286120,186835,SCYNEXIS,SCYX,1.25,1.25,1.16,1.18,-0.07,-5.60,"404,213",2.79,1.05,0,0,0,-49.14,Nasdaq,Thursday,2018-05-03
286121,45432,SCYNEXIS,SCYX,1.18,1.2,1.13,1.17,-0.01,-0.85,"329,093",2.79,1.05,0,0,0,-49.57,Nasdaq,Friday,2018-05-04
286122,115248,SCYNEXIS,SCYX,1.2,1.21,1.15,1.18,0.01,0.85,"548,268",2.79,1.05,0,0,0,-49.14,Nasdaq,Monday,2018-05-07
286123,258326,SCYNEXIS,SCYX,1.21,1.32,1.19,1.29,0.11,9.32,"925,178",2.50,1.05,0,0,0,-44.40,Nasdaq,Tuesday,2018-05-08
286124,329874,SCYNEXIS,SCYX,1.29,1.29,1.24,1.28,-0.01,-0.78,"222,559",2.50,1.05,0,0,0,-44.83,Nasdaq,Wednesday,2018-05-09
286125,188639,SCYNEXIS,SCYX,1.27,1.27,1.23,1.24,-0.04,-3.13,"170,576",2.5,1.05,0,0,0,-46.55,Nasdaq,Thursday,2018-05-10
286126,47251,SCYNEXIS,SCYX,1.23,1.28,1.23,1.27,0.03,2.42,"168,847",2.5,1.05,0,0,0,-45.26,Nasdaq,Friday,2018-05-11
286127,117065,SCYNEXIS,SCYX,1.28,1.32,1.28,1.32,0.05,3.94,"447,520",2.5,1.05,0,0,0,-43.10,Nasdaq,Monday,2018-05-14
286128,260141,SCYNEXIS,SCYX,1.32,1.33,1.28,1.33,0.01,0.76,"237,262",2.5,1.05,0,0,0,-42.67,Nasdaq,Tuesday,2018-05-15
286129,331697,SCYNEXIS,SCYX,1.32,1.33,1.3,1.32,-0.01,-0.75,"161,299",2.5,1.05,0,0,0,-43.10,Nasdaq,Wednesday,2018-05-16
286130,190455,SCYNEXIS,SCYX,1.32,1.45,1.31,1.43,0.11,7.95,"1,132,669",2.50,1.05,0,0,0,-38.58,Nasdaq,Thursday,2018-05-17
286131,49068,SCYNEXIS,SCYX,1.45,1.66,1.4,1.63,0.20,14.39,"2,265,196",2.5,1.05,0,0,0,-29.74,Nasdaq,Friday,2018-05-18
286132,118880,SCYNEXIS,SCYX,1.7,1.78,1.64,1.67,0.04,2.45,"1,969,588",2.50,1.05,0,0,0,-28.02,Nasdaq,Monday,2018-05-21
286133,261958,SCYNEXIS,SCYX,1.68,1.68,1.54,1.56,-0.11,-6.59,"796,379",2.5,1.05,0,0,0,-32.76,Nasdaq,Tuesday,2018-05-22
286134,333509,SCYNEXIS,SCYX,1.56,1.63,1.54,1.59,0.03,1.92,"315,740",2.50,1.05,0,0,0,-31.47,Nasdaq,Wednesday,2018-05-23
286135,192270,SCYNEXIS,SCYX,1.72,1.79,1.64,1.73,0.14,8.81,"1,996,510",2.50,1.05,0,0,0,-25.43,Nasdaq,Thursday,2018-05-24
286136,50890,SCYNEXIS,SCYX,1.74,1.79,1.7,1.74,0.01,0.58,"507,834",2.50,1.05,0,0,0,-25.00,Nasdaq,Friday,2018-05-25
286137,263776,SCYNEXIS,SCYX,1.74,1.87,1.72,1.78,0.04,2.30,"1,113,455",2.50,1.05,0,0,0,-23.28,Nasdaq,Tuesday,2018-05-29
286138,335331,SCYNEXIS,SCYX,1.8,1.85,1.71,1.74,-0.04,-2.25,"623,842",2.50,1.05,0,0,0,-25.00,Nasdaq,Wednesday,2018-05-30
286139,194086,SCYNEXIS,SCYX,1.75,1.8,1.71,1.8,0.06,3.45,"436,049",2.5,1.05,0,0,0,-22.41,Nasdaq,Thursday,2018-05-31
286140,36300,SCYNEXIS,SCYX,1.80,1.81,1.74,1.77,-0.03,-1.67,"265,229",2.50,1.05,0,0,0,-23.71,Nasdaq,Friday,2018-06-01
286141,107964,SCYNEXIS,SCYX,1.77,1.77,1.63,1.74,-0.03,-1.69,"647,359",2.50,1.05,0,0,0,-25.00,Nasdaq,Monday,2018-06-04
286142,249241,SCYNEXIS,SCYX,1.73,1.8,1.73,1.76,0.02,1.15,"273,270",2.5,1.05,0,0,0,-24.14,Nasdaq,Tuesday,2018-06-05
286143,322583,SCYNEXIS,SCYX,1.82,1.9,1.76,1.79,0.03,1.70,"1,536,653",2.50,1.05,0,0,0,-22.84,Nasdaq,Wednesday,2018-06-06
286144,177718,SCYNEXIS,SCYX,1.8,1.8,1.76,1.8,0.01,0.56,"350,917",2.50,1.05,0,0,0,-22.41,Nasdaq,Thursday,2018-06-07
286145,38128,SCYNEXIS,SCYX,1.79,1.8,1.76,1.76,-0.04,-2.22,"184,092",2.50,1.05,0,0,0,-24.14,Nasdaq,Friday,2018-06-08
286146,109789,SCYNEXIS,SCYX,1.77,1.8,1.68,1.74,-0.02,-1.14,"465,282",2.5,1.05,0,0,0,-25.00,Nasdaq,Monday,2018-06-11
286147,251064,SCYNEXIS,SCYX,1.73,1.73,1.56,1.7,-0.04,-2.30,"855,930",2.5,1.05,0,0,0,-26.72,Nasdaq,Tuesday,2018-06-12
286148,324408,SCYNEXIS,SCYX,1.72,1.83,1.68,1.8,0.10,5.88,"1,000,935",2.5,1.05,0,0,0,-22.41,Nasdaq,Wednesday,2018-06-13
286149,179542,SCYNEXIS,SCYX,1.83,1.98,1.78,1.92,0.12,6.67,"2,405,814",2.5,1.05,0,0,0,-17.24,Nasdaq,Thursday,2018-06-14
286150,39949,SCYNEXIS,SCYX,1.92,1.97,1.84,1.97,0.05,2.60,"1,112,061",2.50,1.05,0,0,0,-15.09,Nasdaq,Friday,2018-06-15
286151,111609,SCYNEXIS,SCYX,1.95,1.96,1.77,1.83,-0.14,-7.11,"1,029,629",2.50,1.05,0,0,0,-21.12,Nasdaq,Monday,2018-06-18
286152,252880,SCYNEXIS,SCYX,1.82,1.83,1.73,1.77,-0.06,-3.01,"413,578",2.5,1.05,0,0,0,-23.49,Nasdaq,Tuesday,2018-06-19
286153,326225,SCYNEXIS,SCYX,1.79,1.82,1.74,1.75,-0.02,-1.41,"360,833",2.50,1.05,0,0,0,-24.57,Nasdaq,Wednesday,2018-06-20
286154,181365,SCYNEXIS,SCYX,1.75,1.78,1.68,1.71,-0.04,-2.29,"504,897",2.5,1.05,0,0,0,-26.29,Nasdaq,Thursday,2018-06-21
286155,41779,SCYNEXIS,SCYX,1.71,1.72,1.62,1.71,0,0,"479,182",2.5,1.05,0,0,0,-26.29,Nasdaq,Friday,2018-06-22
286156,113434,SCYNEXIS,SCYX,1.69,1.76,1.65,1.67,-0.04,-2.34,"351,304",2.5,1.05,0,0,0,-28.02,Nasdaq,Monday,2018-06-25
286157,254705,SCYNEXIS,SCYX,1.67,1.73,1.63,1.7,0.03,1.80,"312,065",2.5,1.05,0,0,0,-26.72,Nasdaq,Tuesday,2018-06-26
286158,328051,SCYNEXIS,SCYX,1.81,1.83,1.64,1.64,-0.06,-3.53,"1,077,453",2.50,1.05,0,0,0,-29.31,Nasdaq,Wednesday,2018-06-27
286159,183199,SCYNEXIS,SCYX,1.65,1.71,1.62,1.65,0.01,0.61,"322,467",2.50,1.05,0,0,0,-28.88,Nasdaq,Thursday,2018-06-28
286160,43618,SCYNEXIS,SCYX,1.75,1.75,1.6,1.64,-0.01,-0.61,"510,846",2.50,1.05,0,0,0,-29.31,Nasdaq,Friday,2018-06-29
286161,98806,SCYNEXIS,SCYX,1.63,1.7,1.61,1.69,0.05,3.05,"379,772",2.5,1.05,0,0,0,-27.16,Nasdaq,Monday,2018-07-02
286162,240077,SCYNEXIS,SCYX,1.71,1.75,1.68,1.73,0.04,2.37,"155,426",2.5,1.05,0,0,0,-25.43,Nasdaq,Tuesday,2018-07-03
