,Unnamed: 0,Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg,Stock,day,date
289103,150171,Saga Communications Cl A,SGA,0,36.1,36.1,36.1,0.10,0.28,492,46.8,35.0,1.20,3.32,97.15,-10.75,Nasdaq,Thursday,2018-08-16
289104,8751,Saga Communications Cl A,SGA,36.7,37.58,36.35,36.6,0.50,1.39,"6,079",46.8,35.0,1.20,3.28,98.49,-9.52,Nasdaq,Friday,2018-08-17
289105,82226,Saga Communications Cl A,SGA,36.4,37.15,36.4,36.9,0.30,0.82,"7,677",46.8,35.0,1.20,3.25,99.30,-8.78,Nasdaq,Monday,2018-08-20
289106,225369,Saga Communications Cl A,SGA,37.0,37.75,37.0,37.0,0.10,0.27,"6,089",46.8,35.0,1.20,3.24,99.57,-8.53,Nasdaq,Tuesday,2018-08-21
289107,300559,Saga Communications Cl A,SGA,37.5,37.6,37.25,37.4,0.40,1.08,"4,694",46.8,35.0,1.20,3.21,100.65,-7.54,Nasdaq,Wednesday,2018-08-22
289108,152004,Saga Communications Cl A,SGA,37.65,37.75,36.75,37.15,-0.25,-0.67,"5,009",46.8,35.0,1.20,3.23,99.97,-8.16,Nasdaq,Thursday,2018-08-23
289109,10589,Saga Communications Cl A,SGA,37.15,37.8,36.75,37.35,0.20,0.54,"6,231",46.8,35.0,1.20,3.21,100.51,-7.66,Nasdaq,Friday,2018-08-24
289110,84071,Saga Communications Cl A,SGA,37.55,38.0,37.15,37.45,0.10,0.27,"5,870",46.8,35.0,1.20,3.20,100.78,-7.42,Nasdaq,Monday,2018-08-27
289111,227215,Saga Communications Cl A,SGA,37.45,37.6,37.2,37.3,-0.15,-0.40,"1,757",46.8,35.0,1.20,3.22,100.38,-7.79,Nasdaq,Tuesday,2018-08-28
289112,302401,Saga Communications Cl A,SGA,37.8,37.8,37.35,37.5,0.20,0.54,"1,776",46.80,35.00,1.20,3.20,100.91,-7.29,Nasdaq,Wednesday,2018-08-29
289113,153841,Saga Communications Cl A,SGA,37.35,37.8,37.35,37.65,0.45,1.21,"2,537",46.80,35.00,1.20,3.19,101.32,-6.92,Nasdaq,Thursday,2018-08-30
289114,12430,Saga Communications Cl A,SGA,37.95,38.25,37.7,38.0,0.35,0.93,"4,186",46.8,35.0,1.20,3.16,102.26,-6.06,Nasdaq,Friday,2018-08-31
289115,282269,Saga Communications Cl A,SGA,37.75,38.25,37.75,37.9,-0.10,-0.26,"5,298",46.8,35.0,1.20,3.17,101.99,-6.30,Nasdaq,Tuesday,2018-09-04
289116,353814,Saga Communications Cl A,SGA,37.55,37.55,37.55,37.55,-0.35,-0.92,715,46.8,35.0,1.20,3.20,101.05,-7.17,Nasdaq,Wednesday,2018-09-05
289117,210701,Saga Communications Cl A,SGA,37.82,37.82,37.5,37.7,0.15,0.40,"1,026",46.8,35.0,1.20,3.18,101.45,-6.80,Nasdaq,Thursday,2018-09-06
289118,69334,Saga Communications Cl A,SGA,37.5,37.9,37.25,37.3,-0.40,-1.06,943,46.8,35.0,1.20,3.22,100.38,-7.79,Nasdaq,Friday,2018-09-07
289119,137356,Saga Communications Cl A,SGA,37.2,37.2,36.13,37.15,-0.15,-0.40,"3,826",46.8,35.0,1.20,3.23,99.97,-8.16,Nasdaq,Monday,2018-09-10
289120,284114,Saga Communications Cl A,SGA,36.85,36.85,36.1,36.2,-0.95,-2.56,"4,104",46.80,35.00,1.20,3.31,97.42,-10.51,Nasdaq,Tuesday,2018-09-11
289121,355655,Saga Communications Cl A,SGA,36.1,36.1,35.5,35.8,-0.40,-1.10,"6,574",46.8,35.0,1.20,3.35,96.34,-11.50,Nasdaq,Wednesday,2018-09-12
289122,212540,Saga Communications Cl A,SGA,35.95,36.0,35.7,35.7,-0.10,-0.28,"3,725",46.80,35.00,1.20,3.36,96.07,-11.74,Nasdaq,Thursday,2018-09-13
289123,71182,Saga Communications Cl A,SGA,35.35,36.1,35.2,35.45,-0.25,-0.70,"12,462",46.80,35.00,1.20,3.39,95.40,-12.36,Nasdaq,Friday,2018-09-14
289124,139202,Saga Communications Cl A,SGA,35.4,35.7,35.05,35.7,0.25,0.71,"2,047",46.80,35.00,1.20,3.36,96.07,-11.74,Nasdaq,Monday,2018-09-17
289125,285952,Saga Communications Cl A,SGA,35.5,36.65,35.5,36.4,0.70,1.96,"4,581",46.8,35.0,1.20,3.30,97.95,-10.01,Nasdaq,Tuesday,2018-09-18
289126,357493,Saga Communications Cl A,SGA,36.25,36.93,35.8,35.8,-0.60,-1.65,"3,865",46.80,35.00,1.20,3.35,96.34,-11.50,Nasdaq,Wednesday,2018-09-19
289127,214391,Saga Communications Cl A,SGA,36.25,36.45,36.1,36.15,0.35,0.98,"3,541",46.80,35.00,1.20,3.32,97.28,-10.63,Nasdaq,Thursday,2018-09-20
289128,73028,Saga Communications Cl A,SGA,35.95,36.8,35.95,36.8,0.65,1.80,"11,690",46.8,35.0,1.20,3.26,99.03,-9.02,Nasdaq,Friday,2018-09-21
289129,141042,Saga Communications Cl A,SGA,36.75,37.3,35.58,35.8,-1.00,-2.72,"5,853",46.8,35.0,1.20,3.35,96.34,-11.50,Nasdaq,Monday,2018-09-24
289130,287791,Saga Communications Cl A,SGA,35.6,36.75,35.6,36.75,0.95,2.65,"4,038",46.80,35.00,1.20,3.27,98.90,-9.15,Nasdaq,Tuesday,2018-09-25
289131,359336,Saga Communications Cl A,SGA,36.6,36.9,36.20,36.20,-0.55,-1.50,"3,979",46.80,35.00,1.20,3.31,97.42,-10.51,Nasdaq,Wednesday,2018-09-26
289132,216226,Saga Communications Cl A,SGA,36.35,36.46,35.80,36.05,-0.15,-0.41,"2,830",46.80,35.00,1.20,3.33,97.01,-10.88,Nasdaq,Thursday,2018-09-27
289133,74882,Saga Communications Cl A,SGA,35.80,36.15,35.80,36.15,0.10,0.28,"1,405",46.80,35.00,1.20,3.32,97.28,-10.63,Nasdaq,Friday,2018-09-28
289134,128105,Saga Communications Cl A,SGA,36.15,37.0,35.4,35.68,-0.47,-1.30,"7,461",46.60,35.00,1.20,3.36,96.02,-11.79,Nasdaq,Monday,2018-10-01
289135,272995,Saga Communications Cl A,SGA,35.57,35.81,35.51,35.51,-0.17,-0.48,"2,661",46.6,35.00,1.20,3.38,95.56,-12.21,Nasdaq,Tuesday,2018-10-02
289136,344550,Saga Communications Cl A,SGA,35.65,36.33,35.65,36.15,0.64,1.80,"2,882",46.6,35.00,1.20,3.32,97.28,-10.63,Nasdaq,Wednesday,2018-10-03
289137,203298,Saga Communications Cl A,SGA,36.12,36.12,35.87,35.87,-0.28,-0.77,830,46.60,35.00,1.20,3.35,96.53,-11.32,Nasdaq,Thursday,2018-10-04
289138,61931,Saga Communications Cl A,SGA,35.84,36.24,35.51,35.65,-0.22,-0.61,"1,880",46.6,35.00,1.20,3.37,95.94,-11.87,Nasdaq,Friday,2018-10-05
289139,129950,Saga Communications Cl A,SGA,35.95,35.98,35.95,35.98,0.33,0.93,"1,417",46.6,35.00,1.20,3.34,96.82,-11.05,Nasdaq,Monday,2018-10-08
289140,274850,Saga Communications Cl A,SGA,36.85,36.85,35.86,35.86,-0.12,-0.33,"5,248",46.6,35.00,1.20,3.35,96.50,-11.35,Nasdaq,Tuesday,2018-10-09
289141,346408,Saga Communications Cl A,SGA,36.08,37.24,35.78,35.78,-0.08,-0.22,"4,623",46.6,35.00,1.20,3.35,96.29,-11.55,Nasdaq,Wednesday,2018-10-10
289142,205147,Saga Communications Cl A,SGA,36.10,36.24,35.62,35.62,-0.16,-0.45,"2,948",46.6,35.00,1.20,3.37,95.86,-11.94,Nasdaq,Thursday,2018-10-11
289143,63779,Saga Communications Cl A,SGA,36.17,36.20,35.81,35.81,0.19,0.53,"2,531",46.60,35.00,1.20,3.35,96.37,-11.47,Nasdaq,Friday,2018-10-12
289144,131802,Saga Communications Cl A,SGA,35.86,36.19,35.81,36.19,0.38,1.06,"2,568",46.60,35.00,1.20,3.32,97.39,-10.53,Nasdaq,Monday,2018-10-15
289145,276705,Saga Communications Cl A,SGA,36.23,36.23,35.70,36.00,-0.19,-0.53,"6,122",46.6,35.00,1.20,3.33,96.88,-11.00,Nasdaq,Tuesday,2018-10-16
289146,348261,Saga Communications Cl A,SGA,35.54,35.78,35.30,35.42,-0.58,-1.61,"3,782",46.6,35.00,1.20,3.39,95.32,-12.44,Nasdaq,Wednesday,2018-10-17
289147,206994,Saga Communications Cl A,SGA,35.51,35.51,35.20,35.33,-0.09,-0.25,"2,378",46.3,35.00,1.20,3.40,95.08,-12.66,Nasdaq,Thursday,2018-10-18
289148,65629,Saga Communications Cl A,SGA,35.23,35.49,35.23,35.25,-0.08,-0.23,"3,023",46.25,35.00,1.20,3.40,94.86,-12.86,Nasdaq,Friday,2018-10-19
289149,133653,Saga Communications Cl A,SGA,35.80,35.98,35.45,35.50,0.25,0.71,"3,172",45.9,35.00,1.20,3.38,95.53,-12.24,Nasdaq,Monday,2018-10-22
289150,278563,Saga Communications Cl A,SGA,35.03,36.52,35.00,35.06,-0.44,-1.24,"2,932",45.65,35.00,1.20,3.42,94.35,-13.33,Nasdaq,Tuesday,2018-10-23
289151,350113,Saga Communications Cl A,SGA,35.00,35.11,34.83,34.83,-0.23,-0.66,"5,368",45.65,34.83,1.20,3.45,93.73,-13.89,Nasdaq,Wednesday,2018-10-24
289152,208851,Saga Communications Cl A,SGA,34.70,35.40,34.60,34.82,-0.01,-0.03,"5,784",45.65,34.60,1.20,3.45,93.70,-13.92,Nasdaq,Thursday,2018-10-25
289153,67484,Saga Communications Cl A,SGA,34.50,35.24,34.50,34.50,-0.32,-0.92,"11,615",45.65,34.50,1.20,3.48,92.84,-14.71,Nasdaq,Friday,2018-10-26
289154,135509,Saga Communications Cl A,SGA,34.72,35.40,34.25,34.98,0.48,1.39,"4,085",45.65,34.25,1.20,3.43,94.13,-13.52,Nasdaq,Monday,2018-10-29
289155,280420,Saga Communications Cl A,SGA,34.45,35.60,34.45,35.60,0.62,1.77,"1,251",45.65,34.25,1.20,3.37,95.80,-11.99,Nasdaq,Tuesday,2018-10-30
289156,351970,Saga Communications Cl A,SGA,35.93,35.93,34.85,35.04,-0.56,-1.57,"4,961",45.65,34.25,1.20,3.42,94.29,-13.37,Nasdaq,Wednesday,2018-10-31
289157,195909,Saga Communications Cl A,SGA,35.20,36.23,34.53,34.90,-0.14,-0.40,"2,830",45.65,34.25,1.20,3.44,93.92,-13.72,Nasdaq,Thursday,2018-11-01
289158,52716,Saga Communications Cl A,SGA,35.37,37.19,35.30,37.19,2.29,6.56,"5,912",45.65,34.25,1.20,3.23,100.08,-8.06,Nasdaq,Friday,2018-11-02
289159,120709,Saga Communications Cl A,SGA,37.20,37.20,36.55,36.55,-0.64,-1.72,"3,042",45.65,34.25,1.20,3.28,8.90,-9.64,Nasdaq,Monday,2018-11-05
289160,265599,Saga Communications Cl A,SGA,36.70,37.27,36.51,37.23,0.68,1.86,"1,819",45.65,34.25,1.20,3.22,9.07,-7.96,Nasdaq,Tuesday,2018-11-06
289161,337151,Saga Communications Cl A,SGA,37.13,37.57,36.85,37.57,0.34,0.91,"8,862",45.65,34.25,1.20,3.19,9.15,-7.12,Nasdaq,Wednesday,2018-11-07
289162,197755,Saga Communications Cl A,SGA,37.40,37.40,36.80,37.17,-0.40,-1.06,"7,187",45.65,34.25,1.20,3.23,9.05,-8.11,Nasdaq,Thursday,2018-11-08
289163,54558,Saga Communications Cl A,SGA,37.18,37.18,36.66,36.66,-0.51,-1.37,"2,044",45.65,34.25,1.20,3.27,8.93,-9.37,Nasdaq,Friday,2018-11-09
289164,122553,Saga Communications Cl A,SGA,37.67,37.71,36.50,36.50,-0.16,-0.44,"3,322",45.65,34.25,1.20,3.29,8.89,-9.77,Nasdaq,Monday,2018-11-12
289165,267450,Saga Communications Cl A,SGA,36.22,36.90,35.70,36.20,-0.30,-0.82,"3,477",45.65,34.25,1.20,3.31,8.84,-10.51,Nasdaq,Tuesday,2018-11-13
289166,338998,Saga Communications Cl A,SGA,36.20,36.20,36.09,36.09,-0.11,-0.30,"1,159",45.65,34.25,1.20,3.33,8.81,-10.78,Nasdaq,Wednesday,2018-11-14
289167,199602,Saga Communications Cl A,SGA,36.11,36.88,36.02,36.58,0.49,1.36,"3,018",45.65,34.25,1.20,3.28,8.93,-9.57,Nasdaq,Thursday,2018-11-15
289168,56408,Saga Communications Cl A,SGA,36.50,36.50,35.40,35.94,-0.64,-1.75,"4,978",45.65,34.25,1.20,3.34,8.78,-11.15,Nasdaq,Friday,2018-11-16
289169,124402,Saga Communications Cl A,SGA,36.19,36.80,36.03,36.45,0.51,1.42,"3,215",45.65,34.25,1.20,3.29,8.90,-9.89,Nasdaq,Monday,2018-11-19
289170,269298,Saga Communications Cl A,SGA,36.06,36.40,35.00,36.29,-0.16,-0.44,"9,666",45.65,34.25,1.20,3.31,8.86,-10.28,Nasdaq,Tuesday,2018-11-20
289171,340846,Saga Communications Cl A,SGA,36.14,36.24,35.05,35.60,-0.69,-1.90,"11,052",45.65,34.25,1.20,3.37,8.69,-11.99,Nasdaq,Wednesday,2018-11-21
289172,58236,Saga Communications Cl A,SGA,36.14,35.89,35.89,35.89,0.29,0.81,908,45.65,34.25,1.20,3.34,8.77,-11.27,Nasdaq,Friday,2018-11-23
289173,126251,Saga Communications Cl A,SGA,36.34,36.34,36.30,36.30,0.41,1.14,856,45.65,34.25,1.20,3.31,8.87,-10.26,Nasdaq,Monday,2018-11-26
289174,271145,Saga Communications Cl A,SGA,36.13,36.13,36.01,36.05,-0.25,-0.69,"2,230",45.65,34.25,1.20,3.33,8.80,-10.88,Nasdaq,Tuesday,2018-11-27
289175,342701,Saga Communications Cl A,SGA,36.28,37.70,36.28,37.27,1.22,3.38,"3,478",45.65,34.25,1.20,3.22,9.10,-7.86,Nasdaq,Wednesday,2018-11-28
289176,201445,Saga Communications Cl A,SGA,37.44,37.89,37.15,37.76,0.49,1.31,"9,397",45.65,34.25,1.20,3.18,9.22,-6.65,Nasdaq,Thursday,2018-11-29
289177,60083,Saga Communications Cl A,SGA,37.75,37.75,37.10,37.10,-0.66,-1.75,"4,917",45.4,34.25,1.20,3.23,9.06,-8.28,Nasdaq,Friday,2018-11-30
289178,85912,Saga Communications Cl A,SGA,37.80,37.80,37.10,37.25,0.15,0.40,"2,100",44.95,34.25,1.20,3.22,9.10,-7.91,Nasdaq,Monday,2018-12-03
289179,229059,Saga Communications Cl A,SGA,36.81,37.26,35.71,36.51,-0.74,-1.99,"5,411",44.95,34.25,1.20,3.29,8.92,-9.74,Nasdaq,Tuesday,2018-12-04
289180,155681,Saga Communications Cl A,SGA,36.18,36.50,36.18,36.43,-0.08,-0.22,"1,812",44.95,34.25,1.20,3.29,8.90,-9.94,Nasdaq,Thursday,2018-12-06
289181,14270,Saga Communications Cl A,SGA,35.85,35.85,33.66,34.35,-1.53,-4.26,"16,701",44.58,33.66,1.20,3.49,8.39,-15.08,Nasdaq,Friday,2018-12-07
289182,87757,Saga Communications Cl A,SGA,34.35,34.35,33.90,34.22,-0.13,-0.38,"2,482",43.9,33.66,1.20,3.51,8.36,-15.40,Nasdaq,Monday,2018-12-10
289183,230897,Saga Communications Cl A,SGA,34.10,34.15,34.00,34.00,-0.22,-0.64,969,43.9,33.66,1.20,3.53,8.30,-15.95,Nasdaq,Tuesday,2018-12-11
289184,304244,Saga Communications Cl A,SGA,34.00,34.27,33.76,34.24,0.24,0.71,"3,188",43.8,33.66,1.20,3.50,8.36,-15.35,Nasdaq,Wednesday,2018-12-12
289185,157522,Saga Communications Cl A,SGA,34.96,34.96,33.87,33.95,-0.29,-0.85,"2,337",43.75,33.66,1.20,3.53,8.29,-16.07,Nasdaq,Thursday,2018-12-13
289186,16109,Saga Communications Cl A,SGA,34.30,34.30,33.60,33.60,-0.35,-1.03,"2,598",43.0,33.60,1.20,3.57,8.21,-16.93,Nasdaq,Friday,2018-12-14
289187,89605,Saga Communications Cl A,SGA,33.60,33.60,33.25,33.25,-0.35,-1.04,"3,077",43.0,33.25,1.20,3.61,8.12,-17.80,Nasdaq,Monday,2018-12-17
289188,232745,Saga Communications Cl A,SGA,33.27,33.55,33.20,33.20,-0.05,-0.15,"3,430",43.0,33.20,1.20,3.61,8.11,-17.92,Nasdaq,Tuesday,2018-12-18
289189,306091,Saga Communications Cl A,SGA,33.30,33.50,33.10,33.14,-0.06,-0.18,"3,902",42.6,33.10,1.20,3.62,8.09,-18.07,Nasdaq,Wednesday,2018-12-19
289190,159370,Saga Communications Cl A,SGA,33.04,33.49,32.63,32.94,-0.20,-0.60,"4,613",42.6,32.63,1.20,3.64,8.04,-18.57,Nasdaq,Thursday,2018-12-20
289191,17956,Saga Communications Cl A,SGA,32.66,32.84,31.10,31.10,-1.84,-5.59,"13,999",42.6,31.10,1.20,3.86,7.60,-23.11,Nasdaq,Friday,2018-12-21
289192,91444,Saga Communications Cl A,SGA,31.19,31.39,30.05,30.30,-0.80,-2.57,"3,113",42.6,30.05,1.20,3.96,7.40,-25.09,Nasdaq,Monday,2018-12-24
289193,307940,Saga Communications Cl A,SGA,30.20,32.49,30.20,32.03,1.73,5.71,"6,825",42.6,30.05,1.20,3.75,7.82,-20.82,Nasdaq,Wednesday,2018-12-26
289194,161221,Saga Communications Cl A,SGA,34.66,34.66,31.54,32.66,0.63,1.97,"10,901",42.6,30.05,1.20,3.67,7.98,-19.26,Nasdaq,Thursday,2018-12-27
289195,19803,Saga Communications Cl A,SGA,32.65,33.23,32.65,33.11,0.45,1.38,"2,104",42.6,30.05,1.20,3.62,8.09,-18.15,Nasdaq,Friday,2018-12-28
289196,93290,Saga Communications Cl A,SGA,33.11,33.79,31.75,33.23,0.12,0.36,"3,957",42.6,30.05,1.20,3.61,8.12,-17.85,Nasdaq,Monday,2018-12-31
289197,309775,Saga Communications Cl A,SGA,33.08,33.49,31.78,33.49,0.26,0.78,"5,549",42.6,30.05,1.20,3.58,8.18,0.78,Nasdaq,Wednesday,2019-01-02
289198,163053,Saga Communications Cl A,SGA,33.42,33.53,32.78,33.15,-0.34,-1.02,"6,340",42.6,30.05,1.20,3.62,8.10,-0.24,Nasdaq,Thursday,2019-01-03
289199,21644,Saga Communications Cl A,SGA,33.30,34.80,32.46,33.76,0.61,1.84,"10,356",42.6,30.05,1.20,3.55,8.25,1.59,Nasdaq,Friday,2019-01-04
289200,95122,Saga Communications Cl A,SGA,33.50,34.39,31.69,34.39,0.63,1.87,"8,742",42.6,30.05,1.20,3.49,8.40,3.49,Nasdaq,Monday,2019-01-07
289201,234581,Saga Communications Cl A,SGA,34.65,35.89,34.30,35.89,1.50,4.36,"4,247",42.6,30.05,1.20,3.34,8.77,8.00,Nasdaq,Tuesday,2019-01-08
289202,311599,Saga Communications Cl A,SGA,35.70,36.01,35.70,36.00,0.11,0.31,"1,067",42.6,30.05,1.20,3.33,8.79,8.34,Nasdaq,Wednesday,2019-01-09
289203,164880,Saga Communications Cl A,SGA,36.99,36.99,34.65,35.63,-0.37,-1.03,"4,769",42.6,30.05,1.20,3.37,8.70,7.22,Nasdaq,Thursday,2019-01-10
289204,23474,Saga Communications Cl A,SGA,35.50,35.80,34.71,35.80,0.17,0.48,"7,980",42.6,30.05,1.20,3.35,8.74,7.73,Nasdaq,Friday,2019-01-11
289205,96945,Saga Communications Cl A,SGA,35.5,35.5,34.48,34.48,-1.32,-3.69,"3,356",42.6,30.05,1.20,3.48,8.42,3.76,Nasdaq,Monday,2019-01-14
289206,236409,Saga Communications Cl A,SGA,34.48,34.7,33.4,33.4,-1.08,-3.13,"3,983",42.6,30.05,1.20,3.59,8.16,0.51,Nasdaq,Tuesday,2019-01-15
289207,313427,Saga Communications Cl A,SGA,33.37,33.74,32.02,32.33,-1.07,-3.20,"6,958",42.6,30.05,1.20,3.71,7.90,-2.71,Nasdaq,Wednesday,2019-01-16
289208,166710,Saga Communications Cl A,SGA,32.29,34.5,32.29,33.1,0.77,2.38,"3,833",42.5,30.05,1.20,3.63,8.08,-0.39,Nasdaq,Thursday,2019-01-17
289209,25306,Saga Communications Cl A,SGA,33.24,34.83,32.4,32.4,-0.70,-2.11,"8,437",42.5,30.05,1.20,3.70,7.91,-2.50,Nasdaq,Friday,2019-01-18
289210,238234,Saga Communications Cl A,SGA,32.66,33.64,31.51,31.56,-0.84,-2.59,"10,460",42.45,30.05,1.20,3.80,7.71,-5.03,Nasdaq,Tuesday,2019-01-22
289211,315245,Saga Communications Cl A,SGA,32.6,34.88,31.61,31.86,0.30,0.95,"12,968",42.4,30.05,1.20,3.77,7.78,-4.12,Nasdaq,Wednesday,2019-01-23
289212,168531,Saga Communications Cl A,SGA,31.89,32.27,31.8,32.27,0.41,1.29,"5,578",42.0,30.05,1.20,3.72,7.88,-2.89,Nasdaq,Thursday,2019-01-24
289213,27130,Saga Communications Cl A,SGA,32.27,33.5,32.27,33.5,1.23,3.81,"3,101",42.0,30.05,1.20,3.58,8.18,0.81,Nasdaq,Friday,2019-01-25
