,Unnamed: 0,Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg,Stock,day,date
293208,185069,Sina,SINA,101.52,104.97,100.0,104.27,4.54,4.55,"1,215,381",124.60,63.05,0,0,49.89,3.95,Nasdaq,Thursday,2018-03-29
293209,289660,Sina,SINA,100.74,101.87,100.11,100.52,-0.72,-0.71,"588,200",124.60,63.05,0,0,48.10,0.21,Nasdaq,Wednesday,2018-04-11
293210,142911,Sina,SINA,101.01,101.29,98.29,98.82,-1.70,-1.69,"652,378",124.6,63.05,0,0,47.28,-1.49,Nasdaq,Thursday,2018-04-12
293211,218107,Sina,SINA,95.26,96.73,94.26,96.26,1.45,1.53,"1,009,199",124.60,63.05,0,0,46.06,-4.04,Nasdaq,Tuesday,2018-04-17
293212,291471,Sina,SINA,96.74,97.84,94.35,94.79,-1.47,-1.53,"850,717",124.6,63.32,0,0,45.35,-5.50,Nasdaq,Wednesday,2018-04-18
293213,144723,Sina,SINA,94.79,95.7,94.05,95.3,0.51,0.54,"415,840",124.60,63.93,0,0,45.60,-4.99,Nasdaq,Thursday,2018-04-19
293214,1496,Sina,SINA,95.25,96.32,94.16,96.0,0.70,0.73,"817,719",124.60,64.61,0,0,45.93,-4.30,Nasdaq,Friday,2018-04-20
293215,219917,Sina,SINA,96.17,97.01,91.67,92.83,-2.51,-2.63,"805,059",124.6,67.76,0,0,44.42,-7.46,Nasdaq,Tuesday,2018-04-24
293216,293284,Sina,SINA,93.02,93.17,89.79,91.62,-1.21,-1.30,"861,273",124.6,67.92,0,0,43.84,-8.66,Nasdaq,Wednesday,2018-04-25
293217,3310,Sina,SINA,95.26,95.33,93.25,94.29,1.08,1.16,"390,457",124.60,70.00,0,0,45.11,-6.00,Nasdaq,Friday,2018-04-27
293218,76768,Sina,SINA,94.73,96.25,94.11,95.54,1.25,1.33,"762,069",124.6,70.05,0,0,45.71,-4.76,Nasdaq,Monday,2018-04-30
293219,256559,Sina,SINA,95.0,95.91,93.87,95.01,-0.53,-0.55,"536,214",124.6,70.05,0,0,45.46,-5.28,Nasdaq,Tuesday,2018-05-01
293220,186879,Sina,SINA,94.53,94.9,92.69,93.88,-1.08,-1.14,"756,164",124.60,70.05,0,0,44.92,-6.41,Nasdaq,Thursday,2018-05-03
293221,45476,Sina,SINA,92.78,94.83,91.96,94.13,0.25,0.27,"809,945",124.60,70.35,0,0,45.04,-6.16,Nasdaq,Friday,2018-05-04
293222,115291,Sina,SINA,95.0,99.7,95.0,98.61,4.48,4.76,"1,489,942",124.6,71.7,0,0,47.18,-1.69,Nasdaq,Monday,2018-05-07
293223,258369,Sina,SINA,99.35,100.38,98.38,99.98,1.37,1.39,"1,208,370",124.60,73.82,0,0,47.84,-0.33,Nasdaq,Tuesday,2018-05-08
