,Unnamed: 0,Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg,Stock,day,date
305215,185114,S&T Bancorp,STBA,40.79,40.99,39.91,39.94,-0.70,-1.72,"179,780",43.17,32.48,0.88,2.20,19.11,0.33,Nasdaq,Thursday,2018-03-29
305216,289705,S&T Bancorp,STBA,40.82,40.97,40.43,40.85,-0.17,-0.41,"48,860",43.17,32.48,0.88,2.15,19.55,2.61,Nasdaq,Wednesday,2018-04-11
305217,142956,S&T Bancorp,STBA,41.03,41.66,40.92,41.43,0.58,1.42,"35,774",43.17,32.48,0.88,2.12,19.82,4.07,Nasdaq,Thursday,2018-04-12
305218,218152,S&T Bancorp,STBA,41.57,41.66,40.75,41.1,-0.19,-0.46,"79,878",43.17,32.75,0.88,2.14,19.67,3.24,Nasdaq,Tuesday,2018-04-17
305219,291516,S&T Bancorp,STBA,41.24,41.48,40.83,40.95,-0.15,-0.36,"103,560",43.17,32.75,1.00,2.44,19.59,2.86,Nasdaq,Wednesday,2018-04-18
305220,144768,S&T Bancorp,STBA,41.45,42.74,41.03,42.47,1.52,3.71,"196,366",43.17,32.75,1.00,2.35,20.32,6.68,Nasdaq,Thursday,2018-04-19
305221,1541,S&T Bancorp,STBA,42.08,42.17,41.47,41.96,-0.51,-1.20,"108,068",43.17,32.75,1.00,2.38,18.09,5.40,Nasdaq,Friday,2018-04-20
305222,219961,S&T Bancorp,STBA,42.75,44.13,42.74,43.51,0.78,1.83,"173,868",44.13,32.75,1.00,2.30,18.75,9.29,Nasdaq,Tuesday,2018-04-24
305223,293328,S&T Bancorp,STBA,43.5,43.85,43.0,43.13,-0.38,-0.87,"89,404",44.13,32.75,1.00,2.32,18.59,8.34,Nasdaq,Wednesday,2018-04-25
305224,3354,S&T Bancorp,STBA,43.26,43.89,42.82,43.28,0.17,0.39,"81,033",44.13,32.75,1.00,2.31,18.66,8.72,Nasdaq,Friday,2018-04-27
305225,76812,S&T Bancorp,STBA,43.4,43.72,42.61,42.68,-0.60,-1.39,"70,261",44.13,32.75,1.00,2.34,18.40,7.21,Nasdaq,Monday,2018-04-30
305226,256603,S&T Bancorp,STBA,42.69,43.3,41.98,43.22,0.54,1.27,"90,593",44.13,32.75,1.00,2.31,18.63,8.57,Nasdaq,Tuesday,2018-05-01
305227,186923,S&T Bancorp,STBA,42.87,42.94,42.23,42.46,-0.64,-1.48,"59,468",44.13,32.75,1.00,2.36,18.30,6.66,Nasdaq,Thursday,2018-05-03
305228,45521,S&T Bancorp,STBA,42.38,43.48,42.23,43.04,0.58,1.37,"48,797",44.13,32.75,1.00,2.32,18.55,8.11,Nasdaq,Friday,2018-05-04
305229,115336,S&T Bancorp,STBA,43.18,43.71,42.97,43.33,0.29,0.67,"45,071",44.13,32.75,1.00,2.31,18.68,8.84,Nasdaq,Monday,2018-05-07
305230,258415,S&T Bancorp,STBA,43.38,43.95,43.38,43.9,0.57,1.32,"50,438",44.13,32.75,1.00,2.28,18.92,10.27,Nasdaq,Tuesday,2018-05-08
305231,329964,S&T Bancorp,STBA,43.97,44.5,43.65,44.28,0.38,0.87,"58,167",44.50,32.75,1.00,2.26,19.09,11.23,Nasdaq,Wednesday,2018-05-09
305232,188728,S&T Bancorp,STBA,44.28,44.5,44.06,44.4,0.12,0.27,"64,074",44.5,32.75,1.00,2.25,19.14,11.53,Nasdaq,Thursday,2018-05-10
305233,47340,S&T Bancorp,STBA,44.35,44.58,43.83,44.3,-0.10,-0.23,"55,437",44.58,32.75,1.00,2.26,19.09,11.28,Nasdaq,Friday,2018-05-11
305234,117156,S&T Bancorp,STBA,44.43,44.47,43.54,43.67,-0.63,-1.42,"94,390",44.58,32.75,1.00,2.29,18.82,9.70,Nasdaq,Monday,2018-05-14
305235,260230,S&T Bancorp,STBA,43.61,44.31,43.61,43.87,0.20,0.46,"104,724",44.58,32.75,1.00,2.28,18.91,10.20,Nasdaq,Tuesday,2018-05-15
305236,331788,S&T Bancorp,STBA,44.01,44.67,43.58,44.42,0.55,1.25,"125,943",44.67,32.75,1.00,2.25,19.15,11.58,Nasdaq,Wednesday,2018-05-16
305237,190545,S&T Bancorp,STBA,44.4,45.09,44.15,44.93,0.51,1.15,"117,890",45.09,32.75,1.00,2.23,19.37,12.86,Nasdaq,Thursday,2018-05-17
305238,49159,S&T Bancorp,STBA,45.18,45.32,40.47,45.0,0.07,0.16,"351,242",45.32,32.75,1.00,2.22,19.40,13.04,Nasdaq,Friday,2018-05-18
305239,118970,S&T Bancorp,STBA,45.03,45.57,44.56,45.39,0.39,0.87,"110,536",45.57,32.75,1.00,2.20,19.56,14.02,Nasdaq,Monday,2018-05-21
305240,262048,S&T Bancorp,STBA,45.5,45.91,45.11,45.46,0.07,0.15,"74,363",45.91,32.75,1.00,2.20,19.59,14.19,Nasdaq,Tuesday,2018-05-22
305241,333599,S&T Bancorp,STBA,45.34,45.44,44.76,45.35,-0.11,-0.24,"52,920",45.91,32.75,1.00,2.21,19.55,13.92,Nasdaq,Wednesday,2018-05-23
305242,192361,S&T Bancorp,STBA,45.17,45.28,44.46,45.24,-0.11,-0.24,"43,817",45.91,32.75,1.00,2.21,19.50,13.64,Nasdaq,Thursday,2018-05-24
305243,50981,S&T Bancorp,STBA,45.09,45.45,45.02,45.22,-0.02,-0.04,"41,365",45.91,32.75,1.00,2.21,19.49,13.59,Nasdaq,Friday,2018-05-25
305244,263866,S&T Bancorp,STBA,44.93,44.97,44.1,44.79,-0.43,-0.95,"71,256",45.91,32.75,1.00,2.23,19.31,12.51,Nasdaq,Tuesday,2018-05-29
305245,335422,S&T Bancorp,STBA,45.11,45.63,45.08,45.58,0.79,1.76,"73,684",45.91,32.75,1.00,2.19,19.65,14.49,Nasdaq,Wednesday,2018-05-30
