,Unnamed: 0,Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg,Stock,day,date
308995,185074,Skyworks Solutions,SWKS,99.72,101.24,98.85,100.26,1.39,1.41,"1,978,879",117.65,93.05,1.28,1.28,22.73,5.59,Nasdaq,Thursday,2018-03-29
308996,289665,Skyworks Solutions,SWKS,97.55,98.95,97.1,98.37,0.36,0.37,"1,126,617",117.65,93.05,1.28,1.30,22.31,3.60,Nasdaq,Wednesday,2018-04-11
308997,142916,Skyworks Solutions,SWKS,98.83,100.19,98.51,99.91,1.54,1.57,"1,155,804",117.65,93.05,1.28,1.28,22.66,5.22,Nasdaq,Thursday,2018-04-12
308998,218112,Skyworks Solutions,SWKS,98.34,99.86,97.88,99.45,1.72,1.76,"1,279,801",117.65,93.05,1.28,1.29,22.55,4.74,Nasdaq,Tuesday,2018-04-17
308999,291476,Skyworks Solutions,SWKS,99.21,99.73,97.92,98.96,-0.49,-0.49,"1,121,432",117.65,93.05,1.28,1.29,22.44,4.22,Nasdaq,Wednesday,2018-04-18
309000,144728,Skyworks Solutions,SWKS,97.22,97.24,93.73,93.88,-5.08,-5.13,"2,910,738",117.65,93.05,1.28,1.36,21.29,-1.13,Nasdaq,Thursday,2018-04-19
309001,1501,Skyworks Solutions,SWKS,93.37,93.7,90.38,91.18,-2.70,-2.88,"4,838,587",117.65,90.38,1.28,1.40,20.68,-3.97,Nasdaq,Friday,2018-04-20
309002,219922,Skyworks Solutions,SWKS,88.47,89.66,86.86,87.77,-0.87,-0.98,"2,566,631",117.65,86.86,1.28,1.46,19.90,-7.56,Nasdaq,Tuesday,2018-04-24
309003,293289,Skyworks Solutions,SWKS,87.9,88.74,86.31,87.81,0.04,0.05,"2,009,495",117.65,86.31,1.28,1.46,19.91,-7.52,Nasdaq,Wednesday,2018-04-25
309004,3315,Skyworks Solutions,SWKS,88.77,89.03,86.94,87.08,-1.32,-1.49,"1,374,725",117.65,86.31,1.28,1.47,19.75,-8.29,Nasdaq,Friday,2018-04-27
309005,76773,Skyworks Solutions,SWKS,87.08,88.46,86.13,86.76,-0.32,-0.37,"2,111,767",117.65,86.13,1.28,1.48,19.67,-8.63,Nasdaq,Monday,2018-04-30
309006,256564,Skyworks Solutions,SWKS,86.79,91.03,86.75,90.9,4.14,4.77,"3,744,668",117.65,86.13,1.28,1.41,20.61,-4.27,Nasdaq,Tuesday,2018-05-01
309007,186884,Skyworks Solutions,SWKS,90.5,92.98,89.53,92.25,0.89,0.97,"3,162,307",117.65,86.13,1.28,1.39,20.92,-2.84,Nasdaq,Thursday,2018-05-03
309008,45481,Skyworks Solutions,SWKS,89.83,96.28,88.0,96.2,3.95,4.28,"4,657,703",117.65,86.13,1.28,1.33,21.81,1.32,Nasdaq,Friday,2018-05-04
309009,115296,Skyworks Solutions,SWKS,96.27,96.45,92.47,95.34,-0.86,-0.89,"3,562,593",117.65,86.13,1.28,1.34,20.24,0.41,Nasdaq,Monday,2018-05-07
309010,258374,Skyworks Solutions,SWKS,95.42,96.79,95.3,96.62,1.28,1.34,"1,980,039",117.65,86.13,1.28,1.32,20.51,1.76,Nasdaq,Tuesday,2018-05-08
309011,329923,Skyworks Solutions,SWKS,96.71,96.98,94.5,95.55,-1.07,-1.11,"2,182,309",117.65,86.13,1.28,1.34,20.29,0.63,Nasdaq,Wednesday,2018-05-09
309012,188687,Skyworks Solutions,SWKS,95.91,97.17,95.8,97.07,1.52,1.59,"1,781,854",117.65,86.13,1.28,1.32,20.61,2.23,Nasdaq,Thursday,2018-05-10
309013,47299,Skyworks Solutions,SWKS,96.88,97.73,96.57,97.01,-0.06,-0.06,"1,708,666",117.65,86.13,1.28,1.32,20.60,2.17,Nasdaq,Friday,2018-05-11
309014,117115,Skyworks Solutions,SWKS,98.1,100.2,97.65,99.02,2.01,2.07,"1,635,347",117.65,86.13,1.28,1.29,21.02,4.29,Nasdaq,Monday,2018-05-14
309015,260189,Skyworks Solutions,SWKS,98.31,98.33,97.13,97.89,-1.13,-1.14,"2,459,728",117.65,86.13,1.28,1.31,20.78,3.10,Nasdaq,Tuesday,2018-05-15
309016,331747,Skyworks Solutions,SWKS,98.42,98.88,97.93,98.84,0.95,0.97,"1,287,779",117.65,86.13,1.28,1.30,20.99,4.10,Nasdaq,Wednesday,2018-05-16
309017,190504,Skyworks Solutions,SWKS,98.42,100.1,98.3,99.71,0.87,0.88,"1,395,331",117.65,86.13,1.28,1.28,21.17,5.01,Nasdaq,Thursday,2018-05-17
309018,49118,Skyworks Solutions,SWKS,98.31,99.18,97.85,98.49,-1.22,-1.22,"1,933,631",117.65,86.13,1.28,1.30,20.91,3.73,Nasdaq,Friday,2018-05-18
