,Unnamed: 0,Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg,Stock,day,date
323596,185112,Stars Group,TSG,26.3,27.9,26.3,27.55,1.25,4.75,"1,274,337",29.80,15.85,0,0,21.52,18.24,Nasdaq,Thursday,2018-03-29
323597,289703,Stars Group,TSG,27.0,27.55,27.0,27.4,0.30,1.11,"104,284",29.80,15.85,0,0,21.41,17.60,Nasdaq,Wednesday,2018-04-11
323598,142954,Stars Group,TSG,27.45,27.88,27.4,27.75,0.35,1.28,"265,712",29.8,15.85,0,0,21.68,19.10,Nasdaq,Thursday,2018-04-12
323599,218150,Stars Group,TSG,28.1,28.4,27.95,28.2,0.20,0.71,"144,270",29.80,15.85,0,0,22.03,21.03,Nasdaq,Tuesday,2018-04-17
323600,291514,Stars Group,TSG,28.2,28.55,28.2,28.35,0.15,0.53,"124,642",29.8,15.85,0,0,22.15,21.67,Nasdaq,Wednesday,2018-04-18
323601,144766,Stars Group,TSG,28.4,29.05,28.35,28.9,0.55,1.94,"114,780",29.80,15.85,0,0,22.58,24.03,Nasdaq,Thursday,2018-04-19
323602,1539,Stars Group,TSG,28.95,29.35,28.8,29.3,0.40,1.38,"174,552",29.80,15.85,0,0,22.89,25.75,Nasdaq,Friday,2018-04-20
323603,219959,Stars Group,TSG,33.1,33.1,31.45,31.45,-2.00,-5.98,"922,282",33.5,15.85,0,0,24.57,34.98,Nasdaq,Tuesday,2018-04-24
323604,293326,Stars Group,TSG,31.25,31.45,30.65,30.95,-0.50,-1.59,"303,931",33.5,15.85,0,0,24.18,32.83,Nasdaq,Wednesday,2018-04-25
323605,3352,Stars Group,TSG,31.0,31.45,30.7,31.25,0.40,1.30,"416,224",33.50,15.85,0,0,24.41,34.12,Nasdaq,Friday,2018-04-27
323606,76810,Stars Group,TSG,31.2,32.25,31.04,31.15,-0.10,-0.32,"395,421",33.5,15.85,0,0,24.34,33.69,Nasdaq,Monday,2018-04-30
323607,256601,Stars Group,TSG,31.1,31.55,30.85,31.5,0.35,1.12,"186,739",33.5,15.85,0,0,24.61,35.19,Nasdaq,Tuesday,2018-05-01
323608,186921,Stars Group,TSG,32.95,33.45,32.65,32.95,-0.05,-0.15,"220,138",33.50,15.85,0,0,25.74,41.42,Nasdaq,Thursday,2018-05-03
323609,45519,Stars Group,TSG,33.0,33.4,32.5,33.3,0.35,1.06,"167,466",33.50,15.85,0,0,26.02,42.92,Nasdaq,Friday,2018-05-04
323610,115334,Stars Group,TSG,33.55,33.8,33.2,33.6,0.30,0.90,"188,997",33.8,15.85,0,0,26.25,44.21,Nasdaq,Monday,2018-05-07
