,Unnamed: 0,Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg,Stock,day,date
325356,185178,Tetraphase Pharmaceuticals,TTPH,3.14,3.23,3.0,3.07,0.16,5.50,"1,641,198",9.93,2.05,0,0,0,-51.27,Nasdaq,Thursday,2018-03-29
325357,289768,Tetraphase Pharmaceuticals,TTPH,3.02,3.09,2.98,3.08,0.03,0.98,"684,723",8.75,2.05,0,0,0,-51.11,Nasdaq,Wednesday,2018-04-11
325358,143019,Tetraphase Pharmaceuticals,TTPH,3.1,3.19,3.03,3.18,0.10,3.25,"1,162,001",8.75,2.05,0,0,0,-49.52,Nasdaq,Thursday,2018-04-12
325359,218215,Tetraphase Pharmaceuticals,TTPH,3.24,3.24,3.05,3.05,-0.19,-5.86,"1,124,171",8.75,2.05,0,0,0,-51.59,Nasdaq,Tuesday,2018-04-17
325360,291580,Tetraphase Pharmaceuticals,TTPH,3.07,3.11,3.0,3.02,-0.03,-0.98,"426,265",8.75,2.05,0,0,0,-52.06,Nasdaq,Wednesday,2018-04-18
325361,144832,Tetraphase Pharmaceuticals,TTPH,3.05,3.14,3.0,3.14,0.12,3.97,"509,078",8.75,2.05,0,0,0,-50.16,Nasdaq,Thursday,2018-04-19
325362,1606,Tetraphase Pharmaceuticals,TTPH,3.13,3.27,3.12,3.23,0.09,2.87,"759,750",8.75,2.05,0,0,0,-48.73,Nasdaq,Friday,2018-04-20
325363,220026,Tetraphase Pharmaceuticals,TTPH,3.17,3.23,3.06,3.1,-0.07,-2.21,"477,093",8.75,2.05,0,0,0,-50.79,Nasdaq,Tuesday,2018-04-24
325364,293393,Tetraphase Pharmaceuticals,TTPH,3.11,3.31,3.04,3.18,0.08,2.58,"860,738",8.75,2.05,0,0,0,-49.52,Nasdaq,Wednesday,2018-04-25
325365,3420,Tetraphase Pharmaceuticals,TTPH,3.18,3.24,3.11,3.21,0.04,1.26,"556,245",8.75,2.05,0,0,0,-49.05,Nasdaq,Friday,2018-04-27
325366,76877,Tetraphase Pharmaceuticals,TTPH,3.21,3.27,3.14,3.22,0.01,0.31,"472,945",8.75,2.05,0,0,0,-48.89,Nasdaq,Monday,2018-04-30
