,Unnamed: 0,Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg,Stock,day,date
329481,185251,United Community Banks,UCBI,31.74,31.93,31.53,31.65,0,0,"369,845",33.60,24.47,0.48,1.52,33.46,12.47,Nasdaq,Thursday,2018-03-29
329482,289839,United Community Banks,UCBI,31.96,32.04,31.69,31.85,-0.31,-0.96,"346,803",33.60,24.47,0.48,1.51,33.67,13.18,Nasdaq,Wednesday,2018-04-11
329483,143089,United Community Banks,UCBI,32.1,32.75,32.03,32.58,0.73,2.29,"403,225",33.6,24.47,0.48,1.47,34.44,15.78,Nasdaq,Thursday,2018-04-12
329484,218287,United Community Banks,UCBI,32.33,32.33,30.52,31.62,-0.55,-1.71,"387,436",33.60,24.47,0.48,1.52,33.43,12.37,Nasdaq,Tuesday,2018-04-17
329485,291650,United Community Banks,UCBI,31.79,31.95,31.44,31.58,-0.04,-0.13,"294,013",33.6,24.47,0.48,1.52,33.39,12.22,Nasdaq,Wednesday,2018-04-18
329486,144903,United Community Banks,UCBI,31.53,32.21,31.53,32.14,0.56,1.77,"232,941",33.60,24.47,0.48,1.49,33.98,14.21,Nasdaq,Thursday,2018-04-19
329487,1678,United Community Banks,UCBI,32.07,32.49,32.07,32.39,0.25,0.78,"521,791",33.60,24.47,0.48,1.48,34.24,15.10,Nasdaq,Friday,2018-04-20
329488,220098,United Community Banks,UCBI,32.98,33.27,32.54,32.77,-0.01,-0.03,"363,809",33.6,24.47,0.48,1.46,34.64,16.45,Nasdaq,Tuesday,2018-04-24
329489,293464,United Community Banks,UCBI,32.13,32.84,32.05,32.5,-0.27,-0.82,"444,789",33.6,24.47,0.48,1.48,34.36,15.49,Nasdaq,Wednesday,2018-04-25
329490,3491,United Community Banks,UCBI,32.37,32.7,32.28,32.54,0.14,0.43,"283,537",33.60,24.47,0.48,1.48,29.97,15.64,Nasdaq,Friday,2018-04-27
329491,76948,United Community Banks,UCBI,32.6,32.74,31.93,31.93,-0.61,-1.87,"269,819",33.6,24.47,0.48,1.50,29.40,13.47,Nasdaq,Monday,2018-04-30
329492,256739,United Community Banks,UCBI,31.91,32.22,31.41,32.1,0.17,0.53,"378,056",33.6,24.47,0.48,1.50,29.56,14.07,Nasdaq,Tuesday,2018-05-01
329493,187058,United Community Banks,UCBI,31.87,31.97,31.29,31.68,-0.37,-1.15,"201,413",33.60,24.47,0.48,1.52,29.17,12.58,Nasdaq,Thursday,2018-05-03
329494,45656,United Community Banks,UCBI,31.52,32.47,31.38,32.13,0.45,1.42,"220,872",33.60,24.47,0.48,1.49,29.59,14.18,Nasdaq,Friday,2018-05-04
329495,115469,United Community Banks,UCBI,32.3,32.58,32.01,32.38,0.25,0.78,"232,373",33.6,24.47,0.48,1.48,29.82,15.07,Nasdaq,Monday,2018-05-07
329496,258547,United Community Banks,UCBI,32.34,32.86,32.34,32.57,0.19,0.59,"204,976",33.60,24.47,0.48,1.47,29.99,15.74,Nasdaq,Tuesday,2018-05-08
329497,330099,United Community Banks,UCBI,32.75,33.18,32.56,32.93,0.36,1.11,"257,622",33.60,24.47,0.48,1.46,30.33,17.02,Nasdaq,Wednesday,2018-05-09
329498,188861,United Community Banks,UCBI,32.93,33.3,32.75,33.25,0.32,0.97,"349,279",33.6,24.47,0.48,1.44,30.62,18.16,Nasdaq,Thursday,2018-05-10
329499,47475,United Community Banks,UCBI,33.13,33.72,33.13,33.24,-0.01,-0.03,"324,382",33.72,24.47,0.48,1.44,30.61,18.12,Nasdaq,Friday,2018-05-11
329500,117288,United Community Banks,UCBI,33.27,33.32,32.7,32.77,-0.47,-1.41,"331,960",33.72,24.47,0.60,1.83,30.18,16.45,Nasdaq,Monday,2018-05-14
329501,260362,United Community Banks,UCBI,32.67,33.4,32.67,33.01,0.24,0.73,"419,468",33.72,24.47,0.60,1.82,30.40,17.31,Nasdaq,Tuesday,2018-05-15
329502,331922,United Community Banks,UCBI,33.06,33.38,32.85,33.17,0.16,0.48,"265,255",33.72,24.47,0.60,1.81,30.55,17.87,Nasdaq,Wednesday,2018-05-16
329503,190679,United Community Banks,UCBI,33.17,33.49,32.99,33.43,0.26,0.78,"260,324",33.72,24.47,0.60,1.79,30.79,18.80,Nasdaq,Thursday,2018-05-17
