,Unnamed: 0,Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg,Stock,day,date
333908,344816,Upwork,UPWK,23.0,23.49,20.33,21.18,6.18,41.20,"8,348,776",23.49,15.00,0,0,0,0,Nasdaq,Wednesday,2018-10-03
333909,203562,Upwork,UPWK,21.50,21.51,20.58,20.96,-0.22,-1.04,"1,111,423",0,0,0,0,0,0,Nasdaq,Thursday,2018-10-04
333910,62196,Upwork,UPWK,20.95,21.78,20.85,20.99,0.03,0.14,"905,940",23.49,20.33,0,0,0,0,Nasdaq,Friday,2018-10-05
333911,130215,Upwork,UPWK,20.95,20.95,19.84,20.04,-0.95,-4.53,"793,208",23.49,19.84,0,0,0,0,Nasdaq,Monday,2018-10-08
333912,275115,Upwork,UPWK,20.00,20.30,19.70,19.94,-0.10,-0.50,"1,243,958",23.49,19.70,0,0,0,0,Nasdaq,Tuesday,2018-10-09
333913,346673,Upwork,UPWK,20.00,20.14,19.70,20.00,0.06,0.30,"1,077,555",23.49,19.70,0,0,0,0,Nasdaq,Wednesday,2018-10-10
333914,205410,Upwork,UPWK,19.83,20.32,18.79,19.04,-0.96,-4.80,"1,228,295",23.49,18.79,0,0,0,0,Nasdaq,Thursday,2018-10-11
333915,64044,Upwork,UPWK,19.30,19.90,19.00,19.21,0.17,0.89,"358,925",23.49,18.79,0,0,0,0,Nasdaq,Friday,2018-10-12
333916,132066,Upwork,UPWK,19.30,19.74,19.00,19.43,0.22,1.15,"329,139",23.49,18.79,0,0,0,0,Nasdaq,Monday,2018-10-15
333917,276970,Upwork,UPWK,19.35,20.86,19.35,20.20,0.77,3.96,"362,705",23.49,18.79,0,0,0,0,Nasdaq,Tuesday,2018-10-16
333918,348526,Upwork,UPWK,20.03,20.38,20.00,20.10,-0.10,-0.50,"147,546",23.49,18.79,0,0,0,0,Nasdaq,Wednesday,2018-10-17
333919,207259,Upwork,UPWK,20.10,20.22,19.01,19.14,-0.96,-4.78,"228,153",23.49,18.79,0,0,0,0,Nasdaq,Thursday,2018-10-18
333920,65893,Upwork,UPWK,19.15,20.48,19.15,19.44,0.30,1.57,"337,885",23.49,18.79,0,0,0,0,Nasdaq,Friday,2018-10-19
333921,133918,Upwork,UPWK,19.66,19.83,18.00,18.95,-0.49,-2.52,"259,596",23.49,18.00,0,0,0,0,Nasdaq,Monday,2018-10-22
333922,278829,Upwork,UPWK,18.55,19.26,18.00,18.80,-0.15,-0.79,"279,127",23.49,18.00,0,0,0,0,Nasdaq,Tuesday,2018-10-23
333923,350376,Upwork,UPWK,18.93,19.11,17.24,17.24,-1.56,-8.30,"362,156",23.49,17.24,0,0,0,0,Nasdaq,Wednesday,2018-10-24
333924,209115,Upwork,UPWK,17.26,20.33,16.70,19.50,2.26,13.11,"1,141,777",23.49,16.70,0,0,0,0,Nasdaq,Thursday,2018-10-25
333925,67749,Upwork,UPWK,19.50,19.66,18.60,18.69,-0.81,-4.15,"666,744",23.49,16.70,0,0,0,0,Nasdaq,Friday,2018-10-26
333926,135774,Upwork,UPWK,19.15,19.22,17.78,17.99,-0.70,-3.75,"529,333",23.49,16.70,0,0,0,0,Nasdaq,Monday,2018-10-29
333927,280684,Upwork,UPWK,18.05,19.04,18.05,18.84,0.85,4.72,"355,935",23.49,16.70,0,0,0,0,Nasdaq,Tuesday,2018-10-30
333928,352236,Upwork,UPWK,19.46,19.82,19.11,19.20,0.36,1.91,"337,640",23.49,16.70,0,0,0,0,Nasdaq,Wednesday,2018-10-31
333929,196172,Upwork,UPWK,19.38,20.64,19.22,20.23,1.03,5.36,"311,357",23.49,16.70,0,0,0,0,Nasdaq,Thursday,2018-11-01
333930,52978,Upwork,UPWK,20.65,20.74,19.56,20.26,0.03,0.15,"250,808",23.49,16.70,0,0,0,0,Nasdaq,Friday,2018-11-02
333931,120972,Upwork,UPWK,20.59,20.60,19.18,19.34,-0.92,-4.54,"203,481",23.49,16.70,0,0,0,0,Nasdaq,Monday,2018-11-05
333932,265864,Upwork,UPWK,19.43,19.95,19.34,19.40,0.06,0.31,"120,162",23.49,16.70,0,0,0,0,Nasdaq,Tuesday,2018-11-06
333933,337415,Upwork,UPWK,19.76,21.11,19.51,20.29,0.89,4.59,"567,903",23.49,16.70,0,0,0,0,Nasdaq,Wednesday,2018-11-07
333934,198020,Upwork,UPWK,20.02,20.20,15.84,18.07,-2.22,-10.94,"2,367,328",23.49,15.84,0,0,0,0,Nasdaq,Thursday,2018-11-08
333935,54824,Upwork,UPWK,18.49,18.57,17.52,17.68,-0.39,-2.16,"736,508",23.49,15.84,0,0,0,0,Nasdaq,Friday,2018-11-09
333936,122818,Upwork,UPWK,17.98,18.20,17.50,17.70,0.02,0.11,"264,332",23.49,15.84,0,0,0,0,Nasdaq,Monday,2018-11-12
333937,267714,Upwork,UPWK,17.80,18.45,17.80,18.11,0.41,2.32,"341,749",23.49,15.84,0,0,0,0,Nasdaq,Tuesday,2018-11-13
333938,339264,Upwork,UPWK,18.47,18.65,18.23,18.55,0.44,2.43,"219,317",23.49,15.84,0,0,0,0,Nasdaq,Wednesday,2018-11-14
333939,199867,Upwork,UPWK,18.50,18.85,18.45,18.74,0.19,1.02,"246,225",23.49,15.84,0,0,0,0,Nasdaq,Thursday,2018-11-15
333940,56673,Upwork,UPWK,18.66,19.52,18.64,19.20,0.46,2.45,"360,144",23.49,15.84,0,0,0,0,Nasdaq,Friday,2018-11-16
333941,124669,Upwork,UPWK,19.20,19.20,16.24,16.46,-2.74,-14.27,"623,753",23.49,15.84,0,0,0,0,Nasdaq,Monday,2018-11-19
333942,269567,Upwork,UPWK,15.98,16.88,15.68,16.10,-0.36,-2.19,"482,303",23.49,15.68,0,0,0,0,Nasdaq,Tuesday,2018-11-20
333943,341115,Upwork,UPWK,16.27,16.98,15.91,16.65,0.55,3.42,"312,611",23.49,15.68,0,0,0,0,Nasdaq,Wednesday,2018-11-21
333944,58501,Upwork,UPWK,17.18,17.18,16.63,16.89,0.24,1.44,"134,776",23.49,15.68,0,0,0,0,Nasdaq,Friday,2018-11-23
333945,126520,Upwork,UPWK,17.10,17.31,16.71,17.00,0.11,0.65,"383,269",23.49,15.68,0,0,0,0,Nasdaq,Monday,2018-11-26
333946,271413,Upwork,UPWK,16.95,17.07,16.65,16.71,-0.29,-1.71,"107,150",23.49,15.68,0,0,0,0,Nasdaq,Tuesday,2018-11-27
333947,342968,Upwork,UPWK,16.76,17.83,16.58,17.63,0.92,5.51,"307,405",23.49,15.68,0,0,0,0,Nasdaq,Wednesday,2018-11-28
333948,201714,Upwork,UPWK,17.74,18.20,17.64,18.05,0.42,2.38,"242,275",23.49,15.68,0,0,0,0,Nasdaq,Thursday,2018-11-29
333949,60353,Upwork,UPWK,18.21,19.00,18.05,18.63,0.58,3.21,"351,670",23.49,15.68,0,0,0,0,Nasdaq,Friday,2018-11-30
333950,86181,Upwork,UPWK,19.32,19.42,18.65,18.89,0.26,1.40,"251,354",23.49,15.68,0,0,0,0,Nasdaq,Monday,2018-12-03
