,Unnamed: 0,Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg,Stock,day,date
334460,185272,USA Truck,USAK,24.51,25.9,24.51,25.49,1.12,4.60,"74,863",27.94,5.73,0,0,27.41,40.60,Nasdaq,Thursday,2018-03-29
334461,289860,USA Truck,USAK,26.54,26.64,25.96,26.4,-0.27,-1.01,"24,142",27.94,5.73,0,0,28.39,45.62,Nasdaq,Wednesday,2018-04-11
334462,143110,USA Truck,USAK,26.45,27.57,26.45,26.65,0.25,0.95,"50,686",27.94,5.73,0,0,28.66,46.99,Nasdaq,Thursday,2018-04-12
334463,218308,USA Truck,USAK,27.62,27.62,26.53,26.9,-0.42,-1.54,"61,148",27.94,5.73,0,0,28.92,48.37,Nasdaq,Tuesday,2018-04-17
334464,291671,USA Truck,USAK,27.06,27.51,27.02,27.48,0.58,2.16,"61,631",27.94,5.73,0,0,29.55,51.57,Nasdaq,Wednesday,2018-04-18
334465,144924,USA Truck,USAK,27.31,29.15,27.31,28.16,0.68,2.47,"295,719",29.15,5.73,0,0,30.28,55.32,Nasdaq,Thursday,2018-04-19
334466,1699,USA Truck,USAK,28.34,28.72,27.32,27.88,-0.28,-0.99,"110,806",29.15,5.73,0,0,29.98,53.78,Nasdaq,Friday,2018-04-20
334467,220119,USA Truck,USAK,28.03,28.36,26.12,26.43,-1.54,-5.51,"118,952",29.15,5.73,0,0,28.42,45.78,Nasdaq,Tuesday,2018-04-24
334468,293485,USA Truck,USAK,26.4,26.92,24.66,25.54,-0.89,-3.37,"155,410",29.15,5.73,0,0,27.46,40.87,Nasdaq,Wednesday,2018-04-25
334469,3512,USA Truck,USAK,24.6,25.19,22.33,24.99,0.52,2.13,"239,273",29.15,5.73,0,0,26.87,37.84,Nasdaq,Friday,2018-04-27
334470,76969,USA Truck,USAK,24.73,25.38,23.49,24.03,-0.96,-3.84,"189,813",29.15,5.73,0,0,14.39,32.54,Nasdaq,Monday,2018-04-30
334471,256760,USA Truck,USAK,24.06,24.59,23.89,24.34,0.31,1.29,"145,525",29.15,5.73,0,0,14.57,34.25,Nasdaq,Tuesday,2018-05-01
334472,187080,USA Truck,USAK,25.58,25.81,24.93,25.21,-0.34,-1.33,"59,933",29.15,5.73,0,0,15.10,39.05,Nasdaq,Thursday,2018-05-03
334473,45678,USA Truck,USAK,25.21,25.21,24.44,24.63,-0.58,-2.30,"95,568",29.15,5.73,0,0,14.75,35.85,Nasdaq,Friday,2018-05-04
334474,115491,USA Truck,USAK,24.26,25.37,24.26,25.03,0.40,1.62,"83,019",29.15,5.73,0,0,14.99,38.06,Nasdaq,Monday,2018-05-07
334475,258569,USA Truck,USAK,25.04,25.71,25.04,25.27,0.24,0.96,"73,891",29.15,5.73,0,0,15.13,39.38,Nasdaq,Tuesday,2018-05-08
334476,330121,USA Truck,USAK,25.3,25.96,25.03,25.22,-0.05,-0.20,"33,669",29.15,5.73,0,0,15.10,39.11,Nasdaq,Wednesday,2018-05-09
