,Unnamed: 0,Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg,Stock,day,date
337857,185295,Viacom Cl A,VIA,38.9,40.05,38.9,39.6,0.70,1.80,"31,703",49.00,28.20,0.80,2.02,7.92,13.47,Nasdaq,Thursday,2018-03-29
337858,289883,Viacom Cl A,VIA,35.95,35.95,35.05,35.25,-0.75,-2.08,"19,504",47.15,28.20,0.80,2.27,7.05,1.00,Nasdaq,Wednesday,2018-04-11
337859,143133,Viacom Cl A,VIA,35.45,35.75,35.05,35.05,-0.20,-0.57,"23,728",46.8,28.2,0.80,2.28,7.01,0.43,Nasdaq,Thursday,2018-04-12
337860,218331,Viacom Cl A,VIA,36.85,36.85,35.95,36.4,0.10,0.28,"15,266",46.80,28.20,0.80,2.20,7.28,4.30,Nasdaq,Tuesday,2018-04-17
337861,291694,Viacom Cl A,VIA,35.7,36.3,35.5,35.85,-0.55,-1.51,"23,227",46.8,28.2,0.80,2.23,7.17,2.72,Nasdaq,Wednesday,2018-04-18
337862,144947,Viacom Cl A,VIA,35.8,36.35,35.5,35.7,-0.15,-0.42,"20,096",46.45,28.20,0.80,2.24,7.14,2.29,Nasdaq,Thursday,2018-04-19
337863,1722,Viacom Cl A,VIA,35.8,36.05,35.1,35.5,-0.20,-0.56,"17,341",45.95,28.20,0.80,2.25,7.10,1.72,Nasdaq,Friday,2018-04-20
337864,220142,Viacom Cl A,VIA,36.05,36.25,35.15,35.65,-0.35,-0.97,"22,808",45.4,28.2,0.80,2.24,7.13,2.15,Nasdaq,Tuesday,2018-04-24
337865,293508,Viacom Cl A,VIA,36.3,38.35,35.05,36.9,1.25,3.51,"113,624",45.4,28.2,0.80,2.17,7.38,5.73,Nasdaq,Wednesday,2018-04-25
337866,3535,Viacom Cl A,VIA,35.95,35.95,35.15,35.7,-0.35,-0.97,"19,040",45.40,28.20,0.80,2.24,6.66,2.29,Nasdaq,Friday,2018-04-27
337867,76992,Viacom Cl A,VIA,35.85,36.0,35.0,35.55,-0.15,-0.42,"77,637",44.95,28.2,0.80,2.25,6.63,1.86,Nasdaq,Monday,2018-04-30
337868,256783,Viacom Cl A,VIA,35.55,35.8,35.0,35.65,0.10,0.28,"71,348",44.9,28.2,0.80,2.24,6.65,2.15,Nasdaq,Tuesday,2018-05-01
337869,187103,Viacom Cl A,VIA,34.1,34.45,33.15,33.9,-0.35,-1.02,"54,854",42.55,28.20,0.80,2.36,6.32,-2.87,Nasdaq,Thursday,2018-05-03
337870,45701,Viacom Cl A,VIA,33.65,36.1,33.65,35.2,1.30,3.83,"30,452",42.55,28.20,0.80,2.27,6.57,0.86,Nasdaq,Friday,2018-05-04
337871,115514,Viacom Cl A,VIA,35.2,35.55,35.0,35.25,0.05,0.14,"15,708",42.55,28.2,0.80,2.27,6.58,1.00,Nasdaq,Monday,2018-05-07
337872,258592,Viacom Cl A,VIA,35.3,35.6,34.35,34.6,-0.65,-1.84,"21,033",42.55,28.20,0.80,2.31,6.46,-0.86,Nasdaq,Tuesday,2018-05-08
337873,330144,Viacom Cl A,VIA,34.7,35.1,34.45,34.85,0.25,0.72,"16,828",42.55,28.20,0.80,2.30,6.50,-0.14,Nasdaq,Wednesday,2018-05-09
337874,188906,Viacom Cl A,VIA,34.75,35.55,34.75,35.4,0.55,1.58,"27,217",42.55,28.2,0.80,2.26,6.60,1.43,Nasdaq,Thursday,2018-05-10
337875,47520,Viacom Cl A,VIA,35.2,35.65,34.88,35.25,-0.15,-0.42,"10,749",42.55,28.2,0.80,2.27,6.58,1.00,Nasdaq,Friday,2018-05-11
