,Unnamed: 0,Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg,Stock,day,date
339698,346686,Valley National Bancorp,VLY,11.39,11.48,11.23,11.25,-0.13,-1.14,"2,198,059",13.38,10.84,0,0,20.09,0.27,Nasdaq,Wednesday,2018-10-10
339699,205423,Valley National Bancorp,VLY,11.22,11.34,10.97,10.97,-0.28,-2.49,"2,705,051",13.38,10.84,0,0,19.59,-2.23,Nasdaq,Thursday,2018-10-11
339700,64057,Valley National Bancorp,VLY,11.11,11.25,10.31,10.63,-0.34,-3.10,"4,319,452",13.38,10.31,0,0,18.98,-5.26,Nasdaq,Friday,2018-10-12
339701,132078,Valley National Bancorp,VLY,10.61,10.77,10.61,10.66,0.03,0.28,"2,125,520",13.38,10.31,0,0,19.04,-4.99,Nasdaq,Monday,2018-10-15
339702,276983,Valley National Bancorp,VLY,10.75,10.76,10.45,10.69,0.03,0.28,"1,917,026",13.38,10.31,0,0,19.09,-4.72,Nasdaq,Tuesday,2018-10-16
339703,348539,Valley National Bancorp,VLY,10.63,10.83,10.51,10.71,0.02,0.19,"1,714,841",13.38,10.31,0,0,19.13,-4.55,Nasdaq,Wednesday,2018-10-17
339704,207272,Valley National Bancorp,VLY,10.67,10.79,10.56,10.58,-0.13,-1.21,"1,197,111",13.38,10.31,0,0,18.89,-5.70,Nasdaq,Thursday,2018-10-18
339705,65906,Valley National Bancorp,VLY,10.53,10.65,10.37,10.38,-0.20,-1.89,"2,052,140",13.38,10.31,0,0,18.54,-7.49,Nasdaq,Friday,2018-10-19
339706,133931,Valley National Bancorp,VLY,10.38,10.60,10.09,10.11,-0.27,-2.60,"2,604,226",13.38,10.09,0,0,18.05,-9.89,Nasdaq,Monday,2018-10-22
339707,278842,Valley National Bancorp,VLY,9.93,10.21,9.90,10.08,-0.03,-0.30,"2,742,743",13.38,9.90,0,0,18.00,-10.16,Nasdaq,Tuesday,2018-10-23
339708,350389,Valley National Bancorp,VLY,10.15,10.15,9.60,9.61,-0.47,-4.66,"3,251,287",13.38,9.60,0,0,17.16,-14.35,Nasdaq,Wednesday,2018-10-24
339709,209128,Valley National Bancorp,VLY,9.74,9.98,9.32,9.60,-0.01,-0.10,"6,545,936",13.38,9.32,0,0,17.14,-14.44,Nasdaq,Thursday,2018-10-25
339710,67762,Valley National Bancorp,VLY,9.43,9.75,9.41,9.64,0.04,0.42,"3,365,487",13.38,9.32,0,0,15.55,-14.08,Nasdaq,Friday,2018-10-26
339711,135787,Valley National Bancorp,VLY,9.68,10.27,9.68,10.16,0.52,5.39,"5,220,660",13.38,9.32,0,0,16.39,-9.45,Nasdaq,Monday,2018-10-29
339712,280697,Valley National Bancorp,VLY,10.18,10.30,9.86,10.10,-0.06,-0.59,"5,381,803",13.38,9.32,0,0,16.29,-9.98,Nasdaq,Tuesday,2018-10-30
339713,352249,Valley National Bancorp,VLY,10.20,10.25,9.94,9.98,-0.12,-1.19,"3,936,755",13.38,9.32,0,0,16.10,-11.05,Nasdaq,Wednesday,2018-10-31
339714,196185,Valley National Bancorp,VLY,10.08,10.10,9.94,10.02,0.04,0.40,"4,484,560",13.38,9.32,0,0,16.16,-10.70,Nasdaq,Thursday,2018-11-01
339715,52991,Valley National Bancorp,VLY,10.10,10.17,9.85,10.01,-0.01,-0.10,"2,065,530",13.38,9.32,0,0,16.15,-10.78,Nasdaq,Friday,2018-11-02
339716,120985,Valley National Bancorp,VLY,9.98,10.10,9.89,9.98,-0.03,-0.30,"1,908,614",13.38,9.32,0,0,16.10,-11.05,Nasdaq,Monday,2018-11-05
339717,265877,Valley National Bancorp,VLY,9.98,10.10,9.88,10.09,0.11,1.10,"1,754,538",13.38,9.32,0,0,16.27,-10.07,Nasdaq,Tuesday,2018-11-06
339718,337428,Valley National Bancorp,VLY,10.14,10.18,9.81,10.04,-0.05,-0.50,"3,290,433",13.38,9.32,0,0,16.19,-10.52,Nasdaq,Wednesday,2018-11-07
339719,198033,Valley National Bancorp,VLY,10.01,10.18,9.98,10.08,0.04,0.40,"1,749,199",13.38,9.32,0,0,16.26,-10.16,Nasdaq,Thursday,2018-11-08
339720,54837,Valley National Bancorp,VLY,10.04,10.14,9.99,10.07,-0.01,-0.10,"2,160,087",13.38,9.32,0,0,16.24,-10.25,Nasdaq,Friday,2018-11-09
339721,122831,Valley National Bancorp,VLY,10.07,10.14,9.90,9.92,-0.15,-1.49,"2,513,088",13.38,9.32,0,0,16.00,-11.59,Nasdaq,Monday,2018-11-12
339722,267727,Valley National Bancorp,VLY,9.98,10.16,9.96,10.01,0.09,0.91,"2,586,139",13.38,9.32,0,0,16.15,-10.78,Nasdaq,Tuesday,2018-11-13
339723,339277,Valley National Bancorp,VLY,10.10,10.15,9.74,9.87,-0.14,-1.40,"1,769,795",13.38,9.32,0,0,15.92,-12.03,Nasdaq,Wednesday,2018-11-14
339724,199880,Valley National Bancorp,VLY,9.84,10.17,9.75,10.12,0.25,2.53,"3,446,237",13.38,9.32,0,0,16.32,-9.80,Nasdaq,Thursday,2018-11-15
339725,56686,Valley National Bancorp,VLY,10.04,10.13,9.83,10.07,-0.05,-0.49,"1,527,162",13.38,9.32,0.44,4.37,16.24,-10.25,Nasdaq,Friday,2018-11-16
339726,124682,Valley National Bancorp,VLY,10.01,10.29,10.00,10.10,0.03,0.30,"1,762,190",13.38,9.32,0.44,4.36,16.29,-9.98,Nasdaq,Monday,2018-11-19
339727,269580,Valley National Bancorp,VLY,10.06,10.21,9.97,10.06,-0.04,-0.40,"2,472,256",13.38,9.32,0.44,4.37,16.23,-10.34,Nasdaq,Tuesday,2018-11-20
339728,341128,Valley National Bancorp,VLY,10.08,10.32,9.99,10.08,0.02,0.20,"1,920,746",13.38,9.32,0.44,4.37,16.26,-10.16,Nasdaq,Wednesday,2018-11-21
