,Unnamed: 0,Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg,Stock,day,date
347588,185342,Wingstop,WING,47.34,48.11,47.13,47.23,-0.04,-0.08,"402,733",49.69,27.29,0.28,0.59,50.78,21.16,Nasdaq,Thursday,2018-03-29
347589,289928,Wingstop,WING,48.0,48.69,47.73,48.3,0.15,0.31,"406,023",49.69,27.79,0.28,0.58,51.94,23.91,Nasdaq,Wednesday,2018-04-11
347590,143179,Wingstop,WING,48.68,49.1,48.21,48.26,-0.04,-0.08,"174,971",49.69,27.79,0.28,0.58,51.89,23.81,Nasdaq,Thursday,2018-04-12
347591,218376,Wingstop,WING,51.85,52.0,50.34,51.22,0.13,0.25,"803,882",52.00,27.79,0.28,0.55,55.08,31.40,Nasdaq,Tuesday,2018-04-17
347592,291740,Wingstop,WING,51.45,51.8,50.98,51.28,0.06,0.12,"464,737",52.0,27.79,0.28,0.55,55.14,31.55,Nasdaq,Wednesday,2018-04-18
347593,144992,Wingstop,WING,51.08,51.83,50.64,50.83,-0.45,-0.88,"420,566",52.00,27.79,0.28,0.55,54.66,30.40,Nasdaq,Thursday,2018-04-19
347594,1767,Wingstop,WING,51.08,51.72,50.42,50.76,-0.07,-0.14,"515,077",52.00,28.00,0.28,0.55,54.58,30.22,Nasdaq,Friday,2018-04-20
347595,220188,Wingstop,WING,50.19,50.94,49.3,49.51,-0.65,-1.30,"459,188",52.0,28.28,0.28,0.57,53.24,27.01,Nasdaq,Tuesday,2018-04-24
347596,293552,Wingstop,WING,49.74,50.45,49.74,49.94,0.43,0.87,"416,840",52.0,28.28,0.28,0.56,53.70,28.12,Nasdaq,Wednesday,2018-04-25
347597,3579,Wingstop,WING,49.22,50.08,48.82,49.46,0.06,0.12,"484,611",52.00,28.28,0.28,0.57,53.18,26.89,Nasdaq,Friday,2018-04-27
347598,77036,Wingstop,WING,49.78,50.18,48.84,48.86,-0.60,-1.21,"350,134",52.0,28.28,0.28,0.57,52.54,25.35,Nasdaq,Monday,2018-04-30
347599,256826,Wingstop,WING,48.95,49.51,46.52,48.98,0.12,0.25,"665,272",52.0,28.28,0.28,0.57,52.67,25.65,Nasdaq,Tuesday,2018-05-01
347600,187147,Wingstop,WING,47.99,49.66,47.23,49.26,1.06,2.20,"977,541",52.00,28.28,0.28,0.57,52.97,26.37,Nasdaq,Thursday,2018-05-03
347601,45745,Wingstop,WING,52.53,55.85,51.07,53.38,4.12,8.36,"2,016,797",55.85,28.28,0.28,0.52,58.02,36.94,Nasdaq,Friday,2018-05-04
347602,115558,Wingstop,WING,53.82,54.71,53.5,53.97,0.59,1.11,"891,214",55.85,28.28,0.28,0.52,58.66,38.46,Nasdaq,Monday,2018-05-07
347603,258637,Wingstop,WING,53.72,54.86,53.69,54.34,0.37,0.69,"577,031",55.85,28.28,0.28,0.52,59.07,39.40,Nasdaq,Tuesday,2018-05-08
347604,330189,Wingstop,WING,54.22,54.46,52.88,53.23,-1.11,-2.04,"465,679",55.85,28.28,0.28,0.53,57.86,36.56,Nasdaq,Wednesday,2018-05-09
347605,188950,Wingstop,WING,53.18,54.24,52.92,53.28,0.05,0.10,"466,736",55.85,28.28,0.28,0.53,57.92,36.70,Nasdaq,Thursday,2018-05-10
347606,47564,Wingstop,WING,53.22,53.26,51.8,52.15,-1.14,-2.13,"305,447",55.85,28.28,0.28,0.54,56.68,33.79,Nasdaq,Friday,2018-05-11
347607,117377,Wingstop,WING,52.39,52.46,50.9,51.03,-1.12,-2.15,"626,526",55.85,28.28,0.28,0.55,55.47,30.91,Nasdaq,Monday,2018-05-14
