,Unnamed: 0,Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg,Stock,day,date
354173,184170,ExOne,XONE,7.05,7.42,7.03,7.28,0.27,3.85,"96,906",14.43,6.72,0,0,0,-13.33,Nasdaq,Thursday,2018-03-29
354174,288772,ExOne,XONE,7.39,7.61,7.39,7.45,0.05,0.68,"133,777",14.43,6.72,0,0,0,-11.31,Nasdaq,Wednesday,2018-04-11
354175,142024,ExOne,XONE,7.5,7.73,7.34,7.38,-0.07,-0.94,"110,365",14.43,6.72,0,0,0,-12.14,Nasdaq,Thursday,2018-04-12
354176,217215,ExOne,XONE,7.54,7.78,7.49,7.73,0.26,3.48,"139,066",14.43,6.72,0,0,0,-7.98,Nasdaq,Tuesday,2018-04-17
354177,290577,ExOne,XONE,7.73,7.83,7.56,7.6,-0.13,-1.68,"119,328",14.43,6.72,0,0,0,-9.52,Nasdaq,Wednesday,2018-04-18
354178,143830,ExOne,XONE,7.62,7.76,7.58,7.71,0.11,1.45,"33,999",14.43,6.72,0,0,0,-8.21,Nasdaq,Thursday,2018-04-19
354179,603,ExOne,XONE,7.61,7.98,7.61,7.94,0.23,2.98,"102,233",14.43,6.72,0,0,0,-5.48,Nasdaq,Friday,2018-04-20
354180,219023,ExOne,XONE,7.64,7.68,7.36,7.47,-0.11,-1.45,"65,041",14.43,6.72,0,0,0,-11.07,Nasdaq,Tuesday,2018-04-24
354181,292386,ExOne,XONE,7.5,7.51,7.17,7.21,-0.26,-3.48,"137,458",14.43,6.72,0,0,0,-14.17,Nasdaq,Wednesday,2018-04-25
354182,2414,ExOne,XONE,7.14,7.15,6.91,7.0,-0.12,-1.69,"126,979",14.43,6.72,0,0,0,-16.67,Nasdaq,Friday,2018-04-27
354183,75871,ExOne,XONE,7.03,7.15,6.92,6.92,-0.08,-1.14,"91,238",14.43,6.72,0,0,0,-17.62,Nasdaq,Monday,2018-04-30
354184,255665,ExOne,XONE,6.9,7.01,6.82,6.94,0.02,0.29,"81,341",14.43,6.72,0,0,0,-17.38,Nasdaq,Tuesday,2018-05-01
354185,185982,ExOne,XONE,6.95,6.97,6.79,6.85,-0.12,-1.72,"70,244",14.43,6.72,0,0,0,-18.45,Nasdaq,Thursday,2018-05-03
354186,44582,ExOne,XONE,6.78,7.17,6.72,7.05,0.20,2.92,"253,226",14.43,6.72,0,0,0,-16.07,Nasdaq,Friday,2018-05-04
354187,114395,ExOne,XONE,7.13,7.26,7.01,7.04,-0.01,-0.14,"96,793",14.43,6.72,0,0,0,-16.19,Nasdaq,Monday,2018-05-07
354188,257478,ExOne,XONE,7.04,7.13,6.96,7.0,-0.04,-0.57,"107,706",14.43,6.72,0,0,0,-16.67,Nasdaq,Tuesday,2018-05-08
354189,329018,ExOne,XONE,7.01,7.23,6.97,7.19,0.19,2.71,"121,643",14.43,6.72,0,0,0,-14.40,Nasdaq,Wednesday,2018-05-09
354190,187795,ExOne,XONE,7.21,7.29,7.0,7.02,-0.17,-2.36,"237,755",14.43,6.72,0,0,0,-16.43,Nasdaq,Thursday,2018-05-10
354191,46396,ExOne,XONE,6.7,6.86,6.26,6.48,-0.54,-7.69,"553,420",14.43,6.26,0,0,0,-22.86,Nasdaq,Friday,2018-05-11
