,Unnamed: 0,Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg,Stock,day,date
358268,143218,Zions Bancorp WT,ZIONZ,17.9,17.9,17.9,17.9,1.33,8.03,"1,000",20.59,6.44,0,0,0,21.36,Nasdaq,Thursday,2018-04-12
358269,220227,Zions Bancorp WT,ZIONZ,19.09,20.2,19.09,19.1,1.20,6.70,"17,972",20.59,6.44,0,0,0,29.49,Nasdaq,Tuesday,2018-04-24
358270,293590,Zions Bancorp WT,ZIONZ,18.41,19.6,18.41,19.6,0.50,2.62,"1,200",20.59,6.44,0,0,0,32.88,Nasdaq,Wednesday,2018-04-25
358271,77074,Zions Bancorp WT,ZIONZ,19.65,19.65,19.65,19.65,0.05,0.26,300,20.59,6.44,0,0,0,33.22,Nasdaq,Monday,2018-04-30
358272,256863,Zions Bancorp WT,ZIONZ,18.77,18.83,18.77,18.83,-0.82,-4.19,200,20.59,6.44,0,0,0,27.64,Nasdaq,Tuesday,2018-05-01
358273,45784,Zions Bancorp WT,ZIONZ,19.25,19.25,19.22,19.22,-0.61,-3.08,975,20.59,6.44,0,0,0,30.31,Nasdaq,Friday,2018-05-04
358274,115597,Zions Bancorp WT,ZIONZ,19.3,19.4,18.95,19.4,0.18,0.94,"12,568",20.59,6.44,0,0,0,31.53,Nasdaq,Monday,2018-05-07
358275,258676,Zions Bancorp WT,ZIONZ,19.95,20.45,19.66,19.66,0.26,1.34,"16,210",20.59,6.44,0,0,0,33.29,Nasdaq,Tuesday,2018-05-08
358276,330226,Zions Bancorp WT,ZIONZ,20.43,21.0,20.43,21.0,1.34,6.82,"4,111",21.00,6.44,0,0,0,42.37,Nasdaq,Wednesday,2018-05-09
358277,188988,Zions Bancorp WT,ZIONZ,20.83,21.55,20.83,21.55,0.55,2.62,"3,400",21.55,6.44,0,0,0,46.10,Nasdaq,Thursday,2018-05-10
358278,47602,Zions Bancorp WT,ZIONZ,21.71,21.9,21.24,21.35,-0.20,-0.93,"32,433",21.9,6.44,0,0,0,44.75,Nasdaq,Friday,2018-05-11
358279,117415,Zions Bancorp WT,ZIONZ,21.5,21.5,21.5,21.5,0.15,0.70,100,21.9,6.44,0,0,0,45.76,Nasdaq,Monday,2018-05-14
358280,260490,Zions Bancorp WT,ZIONZ,21.5,21.5,21.34,21.5,0,0,"8,100",21.9,6.44,0,0,0,45.76,Nasdaq,Tuesday,2018-05-15
358281,332050,Zions Bancorp WT,ZIONZ,21.39,21.65,21.3,21.65,0.15,0.71,"3,765",21.9,6.44,0,0,0,46.80,Nasdaq,Wednesday,2018-05-16
358282,190806,Zions Bancorp WT,ZIONZ,21.7,22.2,21.7,22.0,0.35,1.60,"1,100",22.20,6.44,0,0,0,49.15,Nasdaq,Thursday,2018-05-17
358283,49419,Zions Bancorp WT,ZIONZ,21.8,21.8,21.8,21.8,-0.20,-0.91,100,22.2,6.44,0,0,0,47.80,Nasdaq,Friday,2018-05-18
358284,119232,Zions Bancorp WT,ZIONZ,22.28,22.28,22.28,22.28,0.48,2.20,101,22.28,6.44,0,0,0,51.05,Nasdaq,Monday,2018-05-21
358285,262310,Zions Bancorp WT,ZIONZ,22.5,22.75,22.5,22.75,0.47,2.11,300,22.75,6.44,0,0,0,54.24,Nasdaq,Tuesday,2018-05-22
358286,333860,Zions Bancorp WT,ZIONZ,21.83,21.83,21.83,21.83,-0.92,-4.04,100,22.75,6.44,0,0,0,48.00,Nasdaq,Wednesday,2018-05-23
