,Unnamed: 0,Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg,Stock,day,date
606496,770,Five Oaks Investment,OAKS,2.94,2.94,2.89,2.91,-0.02,-0.68,"123,559",5.61,2.82,0.24,8.25,72.75,-27.25,Thursday,Thursday,2018/03/29
606497,763,Five Oaks Investment,OAKS,2.93,2.95,2.88,2.93,...,...,"77,155",5.61,2.55,0.24,8.19,73.25,-26.75,Wednesday,Wednesday,2018/04/11
606498,765,Five Oaks Investment,OAKS,2.91,2.92,2.85,2.85,-0.08,-2.73,"84,912",5.61,2.55,0.24,8.42,71.25,-28.75,Thursday,Thursday,2018/04/12
606499,759,Five Oaks Investment,OAKS,2.82,2.85,2.81,2.83,0.01,0.35,"212,432",5.61,2.55,0.24,8.48,70.75,-29.25,Tuesday,Tuesday,2018/04/17
606500,761,Five Oaks Investment,OAKS,2.83,2.85,2.82,2.83,...,...,"72,330",5.61,2.55,0.24,8.48,70.75,-29.25,Wednesday,Wednesday,2018/04/18
606501,765,Five Oaks Investment,OAKS,2.81,2.88,2.81,2.87,0.04,1.41,"56,967",5.61,2.55,0.24,8.36,71.75,-28.25,Thursday,Thursday,2018/04/19
606502,761,Five Oaks Investment,OAKS,2.9,2.91,2.85,2.86,-0.01,-0.35,"73,686",5.61,2.55,0.24,8.39,71.50,-28.50,Friday,Friday,2018/04/20
606503,762,Five Oaks Investment,OAKS,2.83,2.85,2.81,2.82,-0.01,-0.35,"67,011",5.61,2.55,0.24,8.51,70.50,-29.50,Tuesday,Tuesday,2018/04/24
606504,767,Five Oaks Investment,OAKS,2.81,2.84,2.77,2.8,-0.02,-0.71,"56,348",5.61,2.55,0.24,8.57,70.00,-30.00,Wednesday,Wednesday,2018/04/25
606505,764,Five Oaks Investment,OAKS,2.84,2.84,2.8,2.82,...,...,"31,962",5.61,2.55,0.24,8.51,70.50,-29.50,Friday,Friday,2018/04/27
606506,763,Five Oaks Investment,OAKS,2.82,2.84,2.8,2.83,0.01,0.35,"72,017",5.61,2.55,0.24,8.48,70.75,-29.25,Monday,Monday,2018/04/30
606507,768,Five Oaks Investment,OAKS,2.81,2.83,2.8,2.83,...,...,"28,480",5.61,2.55,0.24,8.48,70.75,-29.25,Tuesday,Tuesday,2018/05/01
606508,766,Five Oaks Investment,OAKS,2.81,2.83,2.8,2.82,0.03,1.08,"120,753",5.61,2.55,0.24,8.51,70.50,-29.50,Thursday,Thursday,2018/05/03
606509,765,Five Oaks Investment,OAKS,2.81,2.9,2.81,2.89,0.07,2.48,"84,672",5.61,2.55,0.24,8.30,72.25,-27.75,Friday,Friday,2018/05/04
606510,768,Five Oaks Investment,OAKS,2.86,2.93,2.86,2.9,0.01,0.35,"62,984",5.61,2.55,0.24,8.28,72.50,-27.50,Monday,Monday,2018/05/07
606511,764,Five Oaks Investment,OAKS,2.92,2.94,2.85,2.85,-0.05,-1.72,"67,807",5.61,2.55,0.24,8.42,71.25,-28.75,Tuesday,Tuesday,2018/05/08
606512,770,Five Oaks Investment,OAKS,2.89,2.9,2.85,2.86,0.01,0.35,"137,736",5.61,2.55,0.24,8.39,71.50,-28.50,Wednesday,Wednesday,2018/05/09
606513,767,Five Oaks Investment,OAKS,2.88,2.9,2.87,2.89,0.03,1.05,"55,929",5.61,2.55,0.24,8.30,72.25,-27.75,Thursday,Thursday,2018/05/10
606514,767,Five Oaks Investment,OAKS,2.9,3.06,2.89,3.04,0.15,5.19,"190,964",5.61,2.55,0.24,7.89,76.00,-24.00,Friday,Friday,2018/05/11
606515,767,Five Oaks Investment,OAKS,3.02,3.13,3.0,3.08,0.06,1.99,"115,997",5.61,2.55,0.24,7.79,7.51,-23.00,Monday,Monday,2018/05/14
606516,769,Five Oaks Investment,OAKS,3.09,3.16,3.09,3.13,0.05,1.62,"105,003",5.61,2.55,0.24,7.67,7.63,-21.75,Tuesday,Tuesday,2018/05/15
606517,768,Five Oaks Investment,OAKS,3.13,3.15,3.07,3.1,-0.03,-0.96,"78,978",5.61,2.55,0.24,7.74,7.56,-22.50,Wednesday,Wednesday,2018/05/16
606518,767,Five Oaks Investment,OAKS,3.07,3.23,3.07,3.2,0.10,3.23,"133,891",5.61,2.55,0.24,7.50,7.80,-20.00,Thursday,Thursday,2018/05/17
606519,770,Five Oaks Investment,OAKS,3.2,3.26,3.2,3.25,0.05,1.56,"88,224",5.61,2.55,0.24,7.38,7.93,-18.75,Friday,Friday,2018/05/18
606520,768,Five Oaks Investment,OAKS,3.25,3.32,3.23,3.3,0.05,1.54,"151,690",5.61,2.55,0.24,7.27,8.05,-17.50,Monday,Monday,2018/05/21
606521,766,Five Oaks Investment,OAKS,3.28,3.35,3.28,3.34,0.04,1.21,"73,513",5.61,2.55,0.24,7.19,8.15,-16.50,Tuesday,Tuesday,2018/05/22
606522,771,Five Oaks Investment,OAKS,3.35,3.4,3.33,3.4,0.06,1.80,"162,041",5.61,2.55,0.24,7.06,8.29,-15.00,Wednesday,Wednesday,2018/05/23
606523,769,Five Oaks Investment,OAKS,3.4,3.43,3.36,3.4,...,...,"109,774",5.61,2.55,0.24,7.06,8.29,-15.00,Thursday,Thursday,2018/05/24
606524,774,Five Oaks Investment,OAKS,3.43,3.45,3.4,3.44,0.04,1.18,"109,034",5.61,2.55,0.24,6.98,8.39,-14.00,Friday,Friday,2018/05/25
