,Unnamed: 0,Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg,Stock,day,date
627784,1245,Open Text,OTEX,34.22,34.89,33.98,34.8,0.76,2.23,"519,929",40.31,30.88,0.53,1.52,49.01,-2.44,Thursday,Thursday,2018/03/29
627785,1227,Open Text,OTEX,34.55,34.55,34.15,34.19,-0.45,-1.30,"393,052",40.31,30.88,0.53,1.54,48.15,-4.15,Wednesday,Wednesday,2018/04/11
627786,1230,Open Text,OTEX,34.47,34.61,34.23,34.45,0.26,0.76,"183,915",40.31,30.88,0.53,1.53,48.52,-3.42,Thursday,Thursday,2018/04/12
627787,1235,Open Text,OTEX,34.76,36.46,34.74,35.86,1.31,3.79,"1,681,286",40.31,30.88,0.53,1.47,50.51,0.53,Tuesday,Tuesday,2018/04/17
627788,1239,Open Text,OTEX,35.9,35.99,35.61,35.79,-0.07,-0.20,"397,379",40.31,30.88,0.53,1.48,50.41,0.34,Wednesday,Wednesday,2018/04/18
627789,1240,Open Text,OTEX,35.72,36.08,35.24,35.42,-0.37,-1.03,"318,655",40.31,30.88,0.53,1.49,49.89,-0.70,Thursday,Thursday,2018/04/19
627790,1238,Open Text,OTEX,35.42,35.42,35.07,35.3,-0.12,-0.34,"433,887",40.31,30.88,0.53,1.50,49.72,-1.04,Friday,Friday,2018/04/20
627791,1237,Open Text,OTEX,35.44,35.54,34.81,34.93,-0.26,-0.74,"280,646",40.31,30.88,0.53,1.51,49.20,-2.07,Tuesday,Tuesday,2018/04/24
627792,1239,Open Text,OTEX,34.82,35.08,34.59,35.04,0.11,0.31,"255,367",40.31,30.88,0.53,1.51,49.35,-1.77,Wednesday,Wednesday,2018/04/25
627793,1236,Open Text,OTEX,35.8,35.99,35.45,35.53,0.01,0.03,"310,829",40.31,30.88,0.53,1.49,50.04,-0.39,Friday,Friday,2018/04/27
627794,1238,Open Text,OTEX,35.69,36.06,35.31,35.33,-0.20,-0.56,"301,440",40.31,30.88,0.53,1.49,49.76,-0.95,Monday,Monday,2018/04/30
