,Unnamed: 0,Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg,Stock,day,date
628996,1265,Ovascience,OVAS,0.81,0.84,0.8,0.81,...,0.14,"1,505,409",2.01,0.79,...,...,...,-42.07,Thursday,Thursday,2018/03/29
628997,1245,Ovascience,OVAS,0.82,0.82,0.78,0.8,-0.01,-1.62,"376,476",1.96,0.71,...,...,...,-42.66,Wednesday,Wednesday,2018/04/11
628998,1249,Ovascience,OVAS,0.8,0.82,0.77,0.8,...,0.22,"424,622",1.96,0.71,...,...,...,-42.53,Thursday,Thursday,2018/04/12
628999,1254,Ovascience,OVAS,0.88,0.89,0.86,0.86,-0.01,-1.53,"134,181",1.96,0.71,...,...,...,-38.49,Tuesday,Tuesday,2018/04/17
629000,1257,Ovascience,OVAS,0.87,0.89,0.85,0.87,...,0.46,"85,176",1.96,0.71,...,...,...,-38.21,Wednesday,Wednesday,2018/04/18
629001,1259,Ovascience,OVAS,0.87,0.89,0.85,0.87,...,0.32,"106,462",1.96,0.71,...,...,...,-38.01,Thursday,Thursday,2018/04/19
629002,1257,Ovascience,OVAS,0.86,0.9,0.85,0.87,...,0.25,"86,585",1.96,0.71,...,...,...,-37.85,Friday,Friday,2018/04/20
629003,1256,Ovascience,OVAS,0.86,0.89,0.84,0.84,-0.01,-1.08,"142,119",1.96,0.71,...,...,...,-39.80,Tuesday,Tuesday,2018/04/24
629004,1258,Ovascience,OVAS,0.84,0.9,0.84,0.88,0.03,4.13,"668,607",1.96,0.71,...,...,...,-37.31,Wednesday,Wednesday,2018/04/25
629005,1255,Ovascience,OVAS,0.92,0.92,0.88,0.9,-0.01,-1.17,"93,067",1.96,0.71,...,...,...,-35.67,Friday,Friday,2018/04/27
629006,1257,Ovascience,OVAS,0.91,0.92,0.88,0.88,-0.02,-2.29,"97,417",1.96,0.71,...,...,...,-37.14,Monday,Monday,2018/04/30
629007,1254,Ovascience,OVAS,0.88,0.89,0.87,0.89,0.01,1.01,"91,377",1.96,0.71,...,...,...,-36.51,Tuesday,Tuesday,2018/05/01
629008,1250,Ovascience,OVAS,0.91,0.95,0.89,0.92,0.01,0.67,"183,987",1.96,0.71,...,...,...,-34.29,Thursday,Thursday,2018/05/03
629009,1255,Ovascience,OVAS,1.01,1.01,0.93,0.95,0.03,3.26,"1,193,840",1.96,0.71,...,...,...,-32.14,Friday,Friday,2018/05/04
629010,1260,Ovascience,OVAS,0.96,0.98,0.93,0.95,-0.00,-0.03,"431,087",1.96,0.71,...,...,...,-32.16,Monday,Monday,2018/05/07
629011,1259,Ovascience,OVAS,0.93,0.96,0.9,0.92,-0.03,-3.12,"699,870",1.96,0.71,...,...,...,-34.28,Tuesday,Tuesday,2018/05/08
629012,1263,Ovascience,OVAS,0.91,0.93,0.9,0.93,...,0.53,"128,335",1.96,0.71,...,...,...,-33.93,Wednesday,Wednesday,2018/05/09
629013,1253,Ovascience,OVAS,0.91,0.94,0.9,0.93,0.01,0.77,"165,528",1.96,0.71,...,...,...,-33.42,Thursday,Thursday,2018/05/10
629014,1260,Ovascience,OVAS,0.93,0.94,0.91,0.93,-0.00,-0.27,"133,491",1.96,0.71,...,...,...,-33.60,Friday,Friday,2018/05/11
629015,1262,Ovascience,OVAS,0.93,0.94,0.91,0.93,...,0.25,"88,517",1.96,0.71,...,...,...,-33.44,Monday,Monday,2018/05/14
