,Unnamed: 0,Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg,Stock,day,date
637031,560,Pathfinder Bancorp,PBHC,15.4,15.45,15.40,15.45,0.24,1.60,345,16.64,14.46,0.23,1.49,21.46,0.34,Thursday,Thursday,2018/03/29
637032,547,Pathfinder Bancorp,PBHC,15.35,15.35,15.25,15.25,-0.55,-3.48,"3,091",16.64,14.53,0.24,1.57,18.27,-0.97,Wednesday,Wednesday,2018/04/11
637033,543,Pathfinder Bancorp,PBHC,15.45,15.45,15.4,15.4,0.15,0.98,856,16.64,14.53,0.24,1.56,18.45,...,Thursday,Thursday,2018/04/12
637034,555,Pathfinder Bancorp,PBHC,15.12,15.15,15.03,15.04,-0.06,-0.40,"1,020",16.64,14.53,0.24,1.60,18.02,-2.34,Wednesday,Wednesday,2018/04/18
637035,536,Pathfinder Bancorp,PBHC,15.0,15.5,15.0,15.5,0.52,3.47,"6,011",16.64,14.53,0.24,1.55,18.57,0.65,Thursday,Thursday,2018/04/19
637036,541,Pathfinder Bancorp,PBHC,15.66,15.66,15.5,15.58,0.08,0.50,"2,398",16.64,14.53,0.24,1.54,18.66,1.15,Friday,Friday,2018/04/20
637037,546,Pathfinder Bancorp,PBHC,15.65,15.8,15.6,15.6,0.02,0.14,"1,727",16.64,14.53,0.24,1.54,18.69,1.30,Tuesday,Tuesday,2018/04/24
637038,543,Pathfinder Bancorp,PBHC,15.9,15.9,15.65,15.65,0.05,0.32,875,16.64,14.53,0.24,1.53,18.75,1.62,Wednesday,Wednesday,2018/04/25
637039,535,Pathfinder Bancorp,PBHC,16.34,16.42,15.58,15.76,-0.25,-1.57,"4,697",16.64,14.53,0.24,1.52,18.88,2.34,Friday,Friday,2018/04/27
637040,562,Pathfinder Bancorp,PBHC,16.2,16.2,15.72,15.91,0.15,0.95,"8,615",16.64,14.53,0.24,1.51,19.06,3.31,Monday,Monday,2018/04/30
637041,528,Pathfinder Bancorp,PBHC,15.91,16.64,15.9,15.92,0.01,0.06,"31,796",16.64,14.60,0.24,1.51,19.08,3.38,Tuesday,Tuesday,2018/05/01
637042,549,Pathfinder Bancorp,PBHC,15.88,15.94,15.75,15.78,0.18,1.15,"4,504",16.64,14.60,0.24,1.52,17.84,2.47,Thursday,Thursday,2018/05/03
637043,543,Pathfinder Bancorp,PBHC,15.75,15.86,15.62,15.84,0.06,0.38,"3,797",16.64,14.60,0.24,1.52,17.91,2.86,Friday,Friday,2018/05/04
637044,568,Pathfinder Bancorp,PBHC,15.58,15.79,15.44,15.7,-0.14,-0.88,"2,788",16.64,14.60,0.24,1.53,17.75,1.95,Monday,Monday,2018/05/07
637045,541,Pathfinder Bancorp,PBHC,15.55,15.65,15.55,15.65,-0.05,-0.29,401,16.64,14.6,0.24,1.53,17.70,1.65,Tuesday,Tuesday,2018/05/08
637046,562,Pathfinder Bancorp,PBHC,15.54,15.75,15.5,15.6,-0.05,-0.34,"6,677",16.64,14.6,0.24,1.54,17.64,1.30,Wednesday,Wednesday,2018/05/09
637047,555,Pathfinder Bancorp,PBHC,15.84,16.05,15.00,15.05,-0.55,-3.53,"14,816",16.64,14.60,0.24,1.59,17.01,-2.27,Thursday,Thursday,2018/05/10
637048,555,Pathfinder Bancorp,PBHC,15.25,15.5,15.25,15.25,0.20,1.33,"2,492",16.64,14.60,0.24,1.57,17.24,-0.97,Friday,Friday,2018/05/11
637049,553,Pathfinder Bancorp,PBHC,15.25,15.2,15.2,15.2,-0.05,-0.33,127,16.64,14.60,0.24,1.58,17.18,-1.30,Monday,Monday,2018/05/14
637050,550,Pathfinder Bancorp,PBHC,15.39,15.8,15.35,15.7,0.50,3.29,"6,546",16.64,14.60,0.24,1.53,17.75,1.95,Tuesday,Tuesday,2018/05/15
637051,549,Pathfinder Bancorp,PBHC,15.85,16.2,15.7,16.0,0.30,1.91,"5,258",16.64,14.60,0.24,1.50,18.09,3.90,Wednesday,Wednesday,2018/05/16
637052,537,Pathfinder Bancorp,PBHC,16.0,16.0,16.0,16.0,...,0.01,218,16.64,14.60,0.24,1.50,18.09,3.91,Thursday,Thursday,2018/05/17
637053,537,Pathfinder Bancorp,PBHC,15.97,16.31,15.85,16.05,0.05,0.30,"11,380",16.64,14.60,0.24,1.50,18.14,4.22,Friday,Friday,2018/05/18
637054,551,Pathfinder Bancorp,PBHC,16.2,16.33,16.00,16.2,0.15,0.93,"5,163",16.64,14.60,0.24,1.48,18.31,5.19,Monday,Monday,2018/05/21
637055,546,Pathfinder Bancorp,PBHC,15.81,16.07,15.57,16.07,-0.13,-0.79,"2,530",16.64,14.60,0.24,1.49,18.17,4.36,Tuesday,Tuesday,2018/05/22
637056,551,Pathfinder Bancorp,PBHC,16.11,16.11,15.85,15.85,-0.22,-1.38,"2,754",16.64,14.60,0.24,1.51,17.92,2.92,Wednesday,Wednesday,2018/05/23
637057,552,Pathfinder Bancorp,PBHC,15.85,16.12,15.85,16.0,0.15,0.95,"5,159",16.64,14.60,0.24,1.50,18.09,3.90,Thursday,Thursday,2018/05/24
637058,534,Pathfinder Bancorp,PBHC,16.06,16.12,16.06,16.12,0.12,0.75,"1,803",16.64,14.60,0.24,1.49,18.22,4.68,Friday,Friday,2018/05/25
637059,537,Pathfinder Bancorp,PBHC,16.12,16.12,16.12,16.12,...,...,640,16.64,14.60,0.24,1.49,18.22,4.68,Tuesday,Tuesday,2018/05/29
637060,552,Pathfinder Bancorp,PBHC,16.11,16.12,15.71,15.85,-0.27,-1.67,"6,849",16.64,14.60,0.24,1.51,17.92,2.92,Wednesday,Wednesday,2018/05/30
637061,551,Pathfinder Bancorp,PBHC,16.12,16.12,15.44,16.06,0.21,1.32,"13,914",16.64,14.60,0.24,1.49,18.16,4.29,Friday,Friday,2018/06/01
637062,540,Pathfinder Bancorp,PBHC,15.90,16.04,15.83,15.88,-0.18,-1.12,"4,421",16.64,14.60,0.24,1.51,17.95,3.12,Monday,Monday,2018/06/04
637063,548,Pathfinder Bancorp,PBHC,15.75,15.75,15.75,15.75,-0.13,-0.82,"4,867",16.64,14.60,0.24,1.52,17.80,2.27,Tuesday,Tuesday,2018/06/05
637064,560,Pathfinder Bancorp,PBHC,16.09,16.09,15.75,15.75,...,...,"1,553",16.64,14.60,0.24,1.52,17.80,2.27,Wednesday,Wednesday,2018/06/06
637065,553,Pathfinder Bancorp,PBHC,15.93,15.93,15.93,15.93,0.18,1.11,286,16.64,14.6,0.24,1.51,18.00,3.41,Thursday,Thursday,2018/06/07
637066,545,Pathfinder Bancorp,PBHC,16.09,16.09,15.75,15.75,-0.18,-1.10,789,16.64,14.6,0.24,1.52,17.80,2.27,Friday,Friday,2018/06/08
637067,549,Pathfinder Bancorp,PBHC,15.75,15.81,15.75,15.75,...,...,"2,470",16.64,14.60,0.24,1.52,17.80,2.27,Monday,Monday,2018/06/11
637068,555,Pathfinder Bancorp,PBHC,15.87,15.87,15.87,15.87,0.12,0.79,356,16.64,14.6,0.24,1.51,17.95,3.08,Wednesday,Wednesday,2018/06/13
637069,559,Pathfinder Bancorp,PBHC,15.75,15.9,15.75,15.8,-0.07,-0.47,"2,869",16.64,14.6,0.24,1.52,17.86,2.60,Thursday,Thursday,2018/06/14
637070,535,Pathfinder Bancorp,PBHC,15.97,15.97,15.97,15.97,0.17,1.08,"2,152",16.64,14.6,0.24,1.50,18.05,3.70,Friday,Friday,2018/06/15
637071,543,Pathfinder Bancorp,PBHC,15.75,16.1,15.75,15.85,-0.12,-0.75,"2,281",16.64,14.60,0.24,1.51,17.92,2.92,Tuesday,Tuesday,2018/06/19
637072,553,Pathfinder Bancorp,PBHC,15.75,15.86,15.75,15.78,-0.07,-0.43,"1,402",16.64,14.60,0.24,1.52,17.84,2.48,Wednesday,Wednesday,2018/06/20
637073,554,Pathfinder Bancorp,PBHC,15.92,15.92,15.92,15.92,0.14,0.90,190,16.64,14.60,0.24,1.51,18.00,3.40,Thursday,Thursday,2018/06/21
