,Unnamed: 0,Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg,Stock,day,date
643476,1305,Peoples Bancorp (Ohio),PEBO,35.52,36.01,35.38,35.45,-0.07,-0.20,"163,449",36.99,29.55,1.04,2.93,16.88,8.68,Thursday,Thursday,2018/03/29
643477,1285,Peoples Bancorp (Ohio),PEBO,35.41,35.7,35.04,35.33,-0.23,-0.65,"18,497",36.99,29.55,1.04,2.94,16.82,8.31,Wednesday,Wednesday,2018/04/11
643478,1289,Peoples Bancorp (Ohio),PEBO,35.78,35.96,35.59,35.8,0.47,1.33,"28,426",36.99,29.55,1.04,2.91,17.05,9.75,Thursday,Thursday,2018/04/12
643479,1293,Peoples Bancorp (Ohio),PEBO,36.11,36.16,35.54,35.75,-0.23,-0.64,"29,335",36.99,29.55,1.04,2.91,17.02,9.60,Tuesday,Tuesday,2018/04/17
643480,1297,Peoples Bancorp (Ohio),PEBO,35.97,36.05,35.64,35.9,0.15,0.42,"36,041",36.99,29.55,1.04,2.90,17.10,10.06,Wednesday,Wednesday,2018/04/18
643481,1299,Peoples Bancorp (Ohio),PEBO,35.79,36.54,35.39,36.2,0.30,0.84,"32,020",36.99,29.55,1.04,2.87,17.24,10.97,Thursday,Thursday,2018/04/19
643482,1297,Peoples Bancorp (Ohio),PEBO,36.14,36.56,35.44,36.1,-0.10,-0.28,"75,902",36.99,29.55,1.04,2.88,17.19,10.67,Friday,Friday,2018/04/20
643483,1295,Peoples Bancorp (Ohio),PEBO,37.22,37.7,36.86,37.61,0.94,2.56,"42,055",37.7,29.55,1.04,2.77,17.91,15.30,Tuesday,Tuesday,2018/04/24
643484,1299,Peoples Bancorp (Ohio),PEBO,37.88,38.03,37.06,37.11,-0.50,-1.33,"27,327",38.03,29.55,1.12,3.02,16.42,13.76,Wednesday,Wednesday,2018/04/25
643485,1296,Peoples Bancorp (Ohio),PEBO,36.96,37.11,36.21,36.26,-0.52,-1.41,"67,275",38.03,29.55,1.12,3.09,16.04,11.16,Friday,Friday,2018/04/27
643486,1298,Peoples Bancorp (Ohio),PEBO,36.49,36.66,35.83,35.86,-0.40,-1.10,"40,556",38.03,29.55,1.12,3.12,15.87,9.93,Monday,Monday,2018/04/30
643487,1295,Peoples Bancorp (Ohio),PEBO,35.83,36.29,35.52,35.89,0.03,0.08,"71,618",38.03,29.55,1.12,3.12,15.88,10.02,Tuesday,Tuesday,2018/05/01
643488,1290,Peoples Bancorp (Ohio),PEBO,35.82,35.96,35.35,35.69,-0.18,-0.50,"25,389",38.03,29.55,1.12,3.14,15.79,9.41,Thursday,Thursday,2018/05/03
643489,1294,Peoples Bancorp (Ohio),PEBO,35.43,36.39,35.43,36.13,0.72,2.03,"49,287",38.03,29.55,1.12,3.10,15.99,10.76,Friday,Friday,2018/05/04
643490,1300,Peoples Bancorp (Ohio),PEBO,36.21,36.55,35.78,36.21,0.08,0.22,"36,054",38.03,29.55,1.12,3.09,16.02,11.01,Monday,Monday,2018/05/07
643491,1299,Peoples Bancorp (Ohio),PEBO,36.26,36.77,36.25,36.65,0.44,1.22,"41,641",38.03,29.55,1.12,3.06,16.22,12.35,Tuesday,Tuesday,2018/05/08
643492,1303,Peoples Bancorp (Ohio),PEBO,36.64,36.98,36.56,36.71,0.06,0.16,"30,238",38.03,29.55,1.12,3.05,16.24,12.54,Wednesday,Wednesday,2018/05/09
643493,1293,Peoples Bancorp (Ohio),PEBO,36.72,36.98,36.5,36.78,0.07,0.19,"26,340",38.03,29.55,1.12,3.05,16.27,12.75,Thursday,Thursday,2018/05/10
643494,1301,Peoples Bancorp (Ohio),PEBO,36.77,37.0,36.46,36.57,-0.21,-0.57,"82,164",38.03,29.55,1.12,3.06,16.18,12.11,Friday,Friday,2018/05/11
643495,1302,Peoples Bancorp (Ohio),PEBO,36.66,36.69,35.82,35.87,-0.70,-1.91,"68,118",38.03,29.55,1.12,3.12,15.87,9.96,Monday,Monday,2018/05/14
643496,1299,Peoples Bancorp (Ohio),PEBO,35.84,36.24,35.64,36.08,0.21,0.59,"53,638",38.03,29.55,1.12,3.10,15.96,10.61,Tuesday,Tuesday,2018/05/15
643497,1306,Peoples Bancorp (Ohio),PEBO,36.09,36.33,36.07,36.23,0.15,0.42,"56,834",38.03,29.55,1.12,3.09,16.03,11.07,Wednesday,Wednesday,2018/05/16
643498,1300,Peoples Bancorp (Ohio),PEBO,36.27,36.65,36.14,36.53,0.30,0.83,"58,311",38.03,29.55,1.12,3.07,16.16,11.99,Thursday,Thursday,2018/05/17
643499,1300,Peoples Bancorp (Ohio),PEBO,36.7,36.88,36.6,36.6,0.07,0.19,"48,149",38.03,29.55,1.12,3.06,16.19,12.20,Friday,Friday,2018/05/18
643500,1299,Peoples Bancorp (Ohio),PEBO,36.73,37.12,36.7,37.02,0.42,1.15,"35,876",38.03,29.55,1.12,3.03,16.38,13.49,Monday,Monday,2018/05/21
643501,1301,Peoples Bancorp (Ohio),PEBO,37.05,37.47,37.02,37.26,0.24,0.65,"34,194",38.03,29.55,1.12,3.01,16.49,14.22,Tuesday,Tuesday,2018/05/22
643502,1296,Peoples Bancorp (Ohio),PEBO,37.12,37.41,37.03,37.16,-0.10,-0.27,"36,348",38.03,29.55,1.12,3.01,16.44,13.92,Wednesday,Wednesday,2018/05/23
643503,1298,Peoples Bancorp (Ohio),PEBO,37.14,37.22,36.55,37.1,-0.06,-0.16,"49,169",38.03,29.55,1.12,3.02,16.42,13.73,Thursday,Thursday,2018/05/24
643504,1303,Peoples Bancorp (Ohio),PEBO,37.17,37.21,36.86,37.14,0.04,0.11,"24,430",38.03,29.55,1.12,3.02,16.43,13.86,Friday,Friday,2018/05/25
643505,1298,Peoples Bancorp (Ohio),PEBO,36.96,37.13,36.47,36.83,-0.31,-0.83,"34,152",38.03,29.55,1.12,3.04,16.30,12.91,Tuesday,Tuesday,2018/05/29
643506,1304,Peoples Bancorp (Ohio),PEBO,36.96,37.82,36.96,37.61,0.78,2.12,"43,297",38.03,29.55,1.12,2.98,16.64,15.30,Wednesday,Wednesday,2018/05/30
643507,1297,Peoples Bancorp (Ohio),PEBO,37.6,37.91,37.29,37.53,-0.08,-0.21,"39,800",38.03,29.55,1.12,2.98,16.61,15.05,Thursday,Thursday,2018/05/31
643508,1306,Peoples Bancorp (Ohio),PEBO,37.68,38.05,37.68,38.01,0.48,1.28,"45,858",38.05,29.55,1.12,2.95,16.82,16.52,Friday,Friday,2018/06/01
643509,1307,Peoples Bancorp (Ohio),PEBO,38.13,38.46,37.93,38.38,0.37,0.97,"30,234",38.46,29.55,1.12,2.92,16.98,17.66,Monday,Monday,2018/06/04
643510,1303,Peoples Bancorp (Ohio),PEBO,38.41,38.54,38.12,38.31,-0.07,-0.18,"39,027",38.54,29.55,1.12,2.92,16.95,17.44,Tuesday,Tuesday,2018/06/05
643511,1313,Peoples Bancorp (Ohio),PEBO,38.58,38.64,38.48,38.62,0.31,0.81,"38,132",38.64,29.55,1.12,2.90,17.09,18.39,Wednesday,Wednesday,2018/06/06
643512,1310,Peoples Bancorp (Ohio),PEBO,38.63,38.75,38.4,38.57,-0.05,-0.13,"51,953",38.75,29.55,1.12,2.90,17.07,18.24,Thursday,Thursday,2018/06/07
643513,1307,Peoples Bancorp (Ohio),PEBO,38.51,38.89,38.38,38.68,0.11,0.29,"29,206",38.89,29.55,1.12,2.90,17.12,18.58,Friday,Friday,2018/06/08
643514,1306,Peoples Bancorp (Ohio),PEBO,38.74,38.8,37.92,38.12,-0.56,-1.45,"29,166",38.89,29.55,1.12,2.94,16.87,16.86,Monday,Monday,2018/06/11
643515,1302,Peoples Bancorp (Ohio),PEBO,38.12,38.13,37.53,37.72,-0.40,-1.05,"29,188",38.89,29.55,1.12,2.97,16.69,15.63,Tuesday,Tuesday,2018/06/12
643516,1304,Peoples Bancorp (Ohio),PEBO,37.84,38.38,37.67,38.06,0.34,0.90,"52,158",38.89,29.55,1.12,2.94,16.84,16.68,Wednesday,Wednesday,2018/06/13
643517,1305,Peoples Bancorp (Ohio),PEBO,38.24,38.31,37.8,38.18,0.12,0.32,"50,848",38.89,29.55,1.12,2.93,16.89,17.04,Thursday,Thursday,2018/06/14
643518,1302,Peoples Bancorp (Ohio),PEBO,38.18,38.68,37.83,38.41,0.23,0.60,"90,037",38.89,29.55,1.12,2.92,17.00,17.75,Friday,Friday,2018/06/15
