,Unnamed: 0,Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg,Stock,day,date
651983,1322,PHI Non-Voting,PHIIK,9.71,10.24,9.71,10.24,0.62,6.44,"13,088",13.25,8.09,...,...,21.79,-11.50,Thursday,Thursday,2018/03/29
651984,1302,PHI Non-Voting,PHIIK,10.37,10.66,10.36,10.62,0.24,2.31,"32,031",13.25,8.09,...,...,22.60,-8.21,Wednesday,Wednesday,2018/04/11
651985,1306,PHI Non-Voting,PHIIK,10.6,10.7,10.13,10.62,...,...,"36,819",13.25,8.09,...,...,22.60,-8.21,Thursday,Thursday,2018/04/12
651986,1310,PHI Non-Voting,PHIIK,10.74,10.85,10.67,10.72,0.03,0.28,"31,012",13.25,8.09,...,...,22.81,-7.35,Tuesday,Tuesday,2018/04/17
651987,1314,PHI Non-Voting,PHIIK,10.72,11.29,10.68,11.17,0.45,4.20,"178,541",13.25,8.09,...,...,23.77,-3.46,Wednesday,Wednesday,2018/04/18
651988,1316,PHI Non-Voting,PHIIK,11.22,11.3,11.2,11.23,0.06,0.54,"34,733",13.25,8.09,...,...,23.89,-2.94,Thursday,Thursday,2018/04/19
651989,1314,PHI Non-Voting,PHIIK,11.2,11.83,11.2,11.77,0.54,4.81,"21,147",13.25,8.09,...,...,25.04,1.73,Friday,Friday,2018/04/20
651990,1312,PHI Non-Voting,PHIIK,11.52,12.22,11.52,11.98,0.47,4.08,"72,497",13.25,8.09,...,...,25.49,3.54,Tuesday,Tuesday,2018/04/24
651991,1316,PHI Non-Voting,PHIIK,11.94,12.45,11.86,12.38,0.40,3.34,"73,849",13.25,8.09,...,...,26.34,7.00,Wednesday,Wednesday,2018/04/25
651992,1313,PHI Non-Voting,PHIIK,12.55,12.55,12.27,12.45,0.01,0.08,"41,406",13.25,8.09,...,...,26.49,7.61,Friday,Friday,2018/04/27
651993,1315,PHI Non-Voting,PHIIK,12.56,12.64,12.39,12.53,0.08,0.64,"30,673",13.25,8.09,...,...,26.66,8.30,Monday,Monday,2018/04/30
651994,1312,PHI Non-Voting,PHIIK,12.54,12.57,12.43,12.54,0.01,0.08,"15,862",13.25,8.09,...,...,26.68,8.38,Tuesday,Tuesday,2018/05/01
651995,1306,PHI Non-Voting,PHIIK,12.63,12.81,12.61,12.72,-0.08,-0.63,"6,508",13.25,8.09,...,...,27.06,9.94,Thursday,Thursday,2018/05/03
651996,1311,PHI Non-Voting,PHIIK,12.71,13.2,12.45,13.14,0.42,3.30,"30,708",13.25,8.09,...,...,27.96,13.57,Friday,Friday,2018/05/04
651997,1316,PHI Non-Voting,PHIIK,12.91,13.39,12.33,13.17,0.03,0.23,"90,631",13.39,8.09,...,...,28.02,13.83,Monday,Monday,2018/05/07
651998,1316,PHI Non-Voting,PHIIK,13.18,13.25,12.65,12.89,-0.28,-2.13,"23,724",13.39,8.09,...,...,34.84,11.41,Tuesday,Tuesday,2018/05/08
651999,1320,PHI Non-Voting,PHIIK,12.93,12.93,12.71,12.81,-0.08,-0.62,"24,755",13.39,8.09,...,...,34.62,10.72,Wednesday,Wednesday,2018/05/09
652000,1309,PHI Non-Voting,PHIIK,12.89,12.89,12.51,12.82,0.01,0.08,"11,463",13.39,8.09,...,...,34.65,10.80,Thursday,Thursday,2018/05/10
652001,1318,PHI Non-Voting,PHIIK,12.85,12.85,12.55,12.65,-0.17,-1.33,"20,856",13.39,8.09,...,...,34.19,9.33,Friday,Friday,2018/05/11
652002,1319,PHI Non-Voting,PHIIK,12.64,13.06,12.51,12.54,-0.11,-0.87,"9,177",13.39,8.09,...,...,33.89,8.38,Monday,Monday,2018/05/14
652003,1316,PHI Non-Voting,PHIIK,12.52,12.52,12.13,12.24,-0.30,-2.39,"24,874",13.39,8.09,...,...,33.08,5.79,Tuesday,Tuesday,2018/05/15
652004,1323,PHI Non-Voting,PHIIK,12.25,12.81,12.25,12.38,0.14,1.14,"27,748",13.39,8.09,...,...,33.46,7.00,Wednesday,Wednesday,2018/05/16
652005,1317,PHI Non-Voting,PHIIK,12.37,12.81,12.37,12.79,0.41,3.31,"40,154",13.39,8.09,...,...,34.57,10.54,Thursday,Thursday,2018/05/17
652006,1317,PHI Non-Voting,PHIIK,12.85,12.98,12.61,12.72,-0.07,-0.55,"23,612",13.39,8.09,...,...,34.38,9.94,Friday,Friday,2018/05/18
652007,1316,PHI Non-Voting,PHIIK,12.72,12.91,12.44,12.61,-0.11,-0.86,"14,738",13.39,8.09,...,...,34.08,8.99,Monday,Monday,2018/05/21
652008,1318,PHI Non-Voting,PHIIK,12.65,12.75,12.2,12.24,-0.37,-2.93,"16,094",13.39,8.09,...,...,33.08,5.79,Tuesday,Tuesday,2018/05/22
652009,1312,PHI Non-Voting,PHIIK,12.25,12.79,12.25,12.51,0.27,2.21,"19,830",13.39,8.09,...,...,33.81,8.12,Wednesday,Wednesday,2018/05/23
652010,1315,PHI Non-Voting,PHIIK,12.43,12.57,12.31,12.41,-0.10,-0.80,"19,858",13.39,8.09,...,...,33.54,7.26,Thursday,Thursday,2018/05/24
652011,1320,PHI Non-Voting,PHIIK,12.38,12.38,11.83,12.05,-0.36,-2.90,"26,901",13.39,8.09,...,...,32.57,4.15,Friday,Friday,2018/05/25
652012,1315,PHI Non-Voting,PHIIK,11.92,12.11,11.37,11.45,-0.60,-4.98,"53,055",13.39,8.09,...,...,30.95,-1.04,Tuesday,Tuesday,2018/05/29
652013,1321,PHI Non-Voting,PHIIK,11.45,11.61,11.37,11.45,...,...,"49,337",13.39,8.09,...,...,30.95,-1.04,Wednesday,Wednesday,2018/05/30
652014,1313,PHI Non-Voting,PHIIK,11.46,11.55,11.38,11.4,-0.05,-0.44,"75,590",13.39,8.09,...,...,30.81,-1.47,Thursday,Thursday,2018/05/31
652015,1323,PHI Non-Voting,PHIIK,11.46,11.66,11.16,11.29,-0.11,-0.96,"57,152",13.39,8.72,...,...,30.51,-2.42,Friday,Friday,2018/06/01
652016,1323,PHI Non-Voting,PHIIK,11.31,11.78,11.22,11.38,0.09,0.80,"53,346",13.39,8.72,...,...,30.76,-1.64,Monday,Monday,2018/06/04
652017,1320,PHI Non-Voting,PHIIK,11.44,11.77,11.43,11.54,0.16,1.41,"42,821",13.39,8.72,...,...,31.19,-0.26,Tuesday,Tuesday,2018/06/05
652018,1330,PHI Non-Voting,PHIIK,11.57,11.71,11.37,11.54,...,...,"26,336",13.39,8.72,...,...,31.19,-0.26,Wednesday,Wednesday,2018/06/06
652019,1327,PHI Non-Voting,PHIIK,11.57,11.68,11.43,11.49,-0.05,-0.43,"26,261",13.39,9.26,...,...,31.05,-0.69,Thursday,Thursday,2018/06/07
652020,1324,PHI Non-Voting,PHIIK,11.54,11.63,11.35,11.4,-0.09,-0.78,"47,819",13.39,9.26,...,...,30.81,-1.47,Friday,Friday,2018/06/08
652021,1323,PHI Non-Voting,PHIIK,11.45,11.65,11.35,11.44,0.04,0.35,"38,526",13.39,9.26,...,...,30.92,-1.12,Monday,Monday,2018/06/11
652022,1319,PHI Non-Voting,PHIIK,11.41,11.55,11.36,11.44,...,...,"25,741",13.39,9.26,...,...,30.92,-1.12,Tuesday,Tuesday,2018/06/12
652023,1321,PHI Non-Voting,PHIIK,11.42,11.46,11.36,11.39,-0.05,-0.44,"23,430",13.39,9.26,...,...,30.78,-1.56,Wednesday,Wednesday,2018/06/13
652024,1322,PHI Non-Voting,PHIIK,11.39,11.43,11.25,11.3,-0.09,-0.79,"24,656",13.39,9.26,...,...,30.54,-2.33,Thursday,Thursday,2018/06/14
652025,1319,PHI Non-Voting,PHIIK,11.23,12.36,11.11,11.78,0.48,4.25,"80,106",13.39,9.26,...,...,31.84,1.82,Friday,Friday,2018/06/15
652026,1320,PHI Non-Voting,PHIIK,11.91,11.91,11.68,11.76,-0.02,-0.17,"57,019",13.39,9.26,...,...,31.78,1.64,Monday,Monday,2018/06/18
652027,1316,PHI Non-Voting,PHIIK,11.76,11.76,11.22,11.3,-0.46,-3.91,"29,237",13.39,9.26,...,...,30.54,-2.33,Tuesday,Tuesday,2018/06/19
652028,1315,PHI Non-Voting,PHIIK,11.36,11.36,10.83,11.11,-0.19,-1.68,"59,455",13.39,9.26,...,...,30.03,-3.98,Wednesday,Wednesday,2018/06/20
652029,1322,PHI Non-Voting,PHIIK,11.06,11.06,10.5,10.58,-0.53,-4.77,"79,318",13.39,9.26,...,...,28.59,-8.56,Thursday,Thursday,2018/06/21
652030,1327,PHI Non-Voting,PHIIK,10.62,10.79,10.5,10.71,0.13,1.23,"87,708",13.39,9.26,...,...,28.95,-7.43,Friday,Friday,2018/06/22
652031,1324,PHI Non-Voting,PHIIK,10.61,10.69,10.34,10.53,-0.18,-1.68,"35,474",13.39,9.26,...,...,28.46,-8.99,Monday,Monday,2018/06/25
652032,1321,PHI Non-Voting,PHIIK,10.51,10.95,10.26,10.66,0.13,1.23,"25,557",13.39,9.26,...,...,28.81,-7.87,Tuesday,Tuesday,2018/06/26
652033,1326,PHI Non-Voting,PHIIK,10.64,10.84,10.44,10.47,-0.19,-1.78,"24,526",13.39,9.26,...,...,28.30,-9.51,Wednesday,Wednesday,2018/06/27
652034,1332,PHI Non-Voting,PHIIK,10.46,10.61,10.38,10.45,-0.02,-0.19,"37,009",13.39,9.26,...,...,28.24,-9.68,Thursday,Thursday,2018/06/28
652035,1336,PHI Non-Voting,PHIIK,10.41,10.57,10.12,10.17,-0.28,-2.68,"45,489",13.39,9.26,...,...,27.49,-12.10,Friday,Friday,2018/06/29
652036,1333,PHI Non-Voting,PHIIK,10.28,10.47,10.14,10.27,0.10,0.98,"48,189",13.39,9.26,...,...,27.76,-11.24,Monday,Monday,2018/07/02
652037,1319,PHI Non-Voting,PHIIK,10.31,10.36,10.15,10.2,-0.07,-0.68,"15,017",13.39,9.26,...,...,27.57,-11.84,Tuesday,Tuesday,2018/07/03
652038,1328,PHI Non-Voting,PHIIK,10.2,10.25,9.92,10.04,-0.16,-1.57,"41,715",13.39,9.26,...,...,27.14,-13.22,Thursday,Thursday,2018/07/05
652039,1327,PHI Non-Voting,PHIIK,10.05,10.17,9.63,9.7,-0.34,-3.39,"92,860",13.39,9.26,...,...,26.22,-16.16,Friday,Friday,2018/07/06
652040,1325,PHI Non-Voting,PHIIK,10.02,10.02,9.31,9.44,-0.26,-2.68,"125,875",13.39,9.31,...,...,25.51,-18.41,Monday,Monday,2018/07/09
652041,1331,PHI Non-Voting,PHIIK,9.42,9.77,9.35,9.5,0.06,0.64,"156,292",13.39,9.31,...,...,25.68,-17.89,Tuesday,Tuesday,2018/07/10
652042,1320,PHI Non-Voting,PHIIK,9.5,9.65,9.22,9.27,-0.23,-2.42,"80,476",13.39,9.22,...,...,25.05,-19.88,Wednesday,Wednesday,2018/07/11
652043,1323,PHI Non-Voting,PHIIK,9.43,9.73,9.26,9.54,0.27,2.91,"42,339",13.39,9.22,...,...,25.78,-17.55,Thursday,Thursday,2018/07/12
652044,1318,PHI Non-Voting,PHIIK,9.5,9.81,9.14,9.2,-0.34,-3.56,"136,020",13.39,9.14,...,...,24.86,-20.48,Friday,Friday,2018/07/13
652045,1321,PHI Non-Voting,PHIIK,9.16,9.2,8.85,9.04,-0.16,-1.74,"91,142",13.39,8.85,...,...,24.43,-21.87,Monday,Monday,2018/07/16
652046,1319,PHI Non-Voting,PHIIK,9.01,9.16,8.92,9.03,-0.01,-0.11,"27,662",13.39,8.85,...,...,24.41,-21.95,Tuesday,Tuesday,2018/07/17
652047,1326,PHI Non-Voting,PHIIK,9.04,9.04,8.87,8.92,-0.11,-1.22,"36,591",13.39,8.85,...,...,24.11,-22.90,Wednesday,Wednesday,2018/07/18
652048,1332,PHI Non-Voting,PHIIK,8.93,9.03,8.75,8.87,-0.05,-0.56,"41,633",13.39,8.75,...,...,23.97,-23.34,Thursday,Thursday,2018/07/19
652049,1323,PHI Non-Voting,PHIIK,8.85,8.99,8.54,8.69,-0.18,-2.03,"57,180",13.39,8.54,...,...,23.49,-24.89,Friday,Friday,2018/07/20
652050,1326,PHI Non-Voting,PHIIK,8.76,8.86,8.35,8.5,-0.19,-2.19,"90,969",13.39,8.35,...,...,22.97,-26.53,Monday,Monday,2018/07/23
652051,1332,PHI Non-Voting,PHIIK,8.52,8.84,8.32,8.77,0.27,3.18,"91,781",13.39,8.32,...,...,23.70,-24.20,Tuesday,Tuesday,2018/07/24
652052,1323,PHI Non-Voting,PHIIK,8.78,8.87,8.71,8.81,0.04,0.46,"37,483",13.39,8.32,...,...,23.81,-23.85,Wednesday,Wednesday,2018/07/25
652053,1329,PHI Non-Voting,PHIIK,8.84,8.97,8.75,8.95,0.14,1.59,"28,513",13.39,8.32,...,...,24.19,-22.64,Thursday,Thursday,2018/07/26
652054,1333,PHI Non-Voting,PHIIK,9.01,9.03,8.61,8.65,-0.30,-3.35,"29,549",13.39,8.32,...,...,23.38,-25.24,Friday,Friday,2018/07/27
652055,1334,PHI Non-Voting,PHIIK,8.71,8.8,8.38,8.41,-0.24,-2.77,"35,728",13.39,8.32,...,...,22.73,-27.31,Monday,Monday,2018/07/30
652056,1332,PHI Non-Voting,PHIIK,8.4,8.52,8.29,8.31,-0.10,-1.19,"37,973",13.39,8.29,...,...,22.46,-28.18,Tuesday,Tuesday,2018/07/31
652057,1328,PHI Non-Voting,PHIIK,8.32,8.38,8.11,8.34,0.03,0.36,"53,686",13.39,8.11,...,...,22.54,-27.92,Wednesday,Wednesday,2018/08/01
652058,1329,PHI Non-Voting,PHIIK,8.35,8.46,8.23,8.29,-0.05,-0.60,"12,163",13.39,8.11,...,...,22.41,-28.35,Thursday,Thursday,2018/08/02
652059,1327,PHI Non-Voting,PHIIK,8.28,8.46,8.15,8.28,-0.01,-0.12,"48,957",13.39,8.11,...,...,22.38,-28.44,Friday,Friday,2018/08/03
652060,1323,PHI Non-Voting,PHIIK,8.45,8.49,8.16,8.19,-0.09,-1.09,"16,956",13.39,8.11,...,...,22.14,-29.21,Monday,Monday,2018/08/06
652061,1323,PHI Non-Voting,PHIIK,8.2,8.26,8.16,8.25,0.06,0.73,"78,968",13.39,8.11,...,...,22.30,-28.69,Tuesday,Tuesday,2018/08/07
652062,1324,PHI Non-Voting,PHIIK,8.26,8.3,8.01,8.12,-0.13,-1.58,"125,549",13.39,8.01,...,...,21.95,-29.82,Wednesday,Wednesday,2018/08/08
652063,1324,PHI Non-Voting,PHIIK,8.2,8.56,8.07,8.18,0.06,0.74,"150,182",13.39,8.01,...,...,22.11,-29.30,Thursday,Thursday,2018/08/09
652064,1325,PHI Non-Voting,PHIIK,8.11,8.24,7.52,7.64,-0.54,-6.60,"82,776",13.39,7.52,...,...,20.65,-33.97,Friday,Friday,2018/08/10
652065,1335,PHI Non-Voting,PHIIK,7.57,7.85,7.11,7.61,-0.03,-0.39,"145,675",13.39,7.11,...,...,58.54,-34.23,Monday,Monday,2018/08/13
