,Unnamed: 0,Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg,Stock,day,date
660306,195,CPI Card Group,PMTS,3.1,3.1,3.0,3.02,-0.07,-2.43,"18,494",21.50,2.45,...,...,...,-17.85,Thursday,Thursday,2018/03/29
660307,199,CPI Card Group,PMTS,2.49,2.49,2.45,2.47,-0.03,-1.20,"10,180",20.75,2.45,...,...,...,-32.70,Wednesday,Wednesday,2018/04/11
660308,193,CPI Card Group,PMTS,2.46,2.5,2.44,2.45,-0.02,-0.81,"6,845",20.0,2.44,...,...,...,-33.24,Thursday,Thursday,2018/04/12
660309,192,CPI Card Group,PMTS,2.6,2.69,2.6,2.67,0.08,3.09,"26,257",19.75,2.4,...,...,...,-27.25,Tuesday,Tuesday,2018/04/17
660310,195,CPI Card Group,PMTS,2.65,2.73,2.63,2.64,-0.03,-1.12,"10,943",19.75,2.40,...,...,...,-28.07,Wednesday,Wednesday,2018/04/18
660311,189,CPI Card Group,PMTS,2.65,2.65,2.55,2.55,-0.09,-3.41,"20,197",19.75,2.4,...,...,...,-30.52,Thursday,Thursday,2018/04/19
660312,192,CPI Card Group,PMTS,2.52,2.52,2.49,2.49,-0.06,-2.35,"10,964",19.75,2.40,...,...,...,-32.15,Friday,Friday,2018/04/20
660313,198,CPI Card Group,PMTS,2.45,2.47,2.38,2.42,-0.01,-0.41,"13,416",18.75,2.38,...,...,...,-34.06,Tuesday,Tuesday,2018/04/24
660314,190,CPI Card Group,PMTS,2.41,2.54,2.36,2.49,0.07,2.89,"42,904",18.75,2.36,...,...,...,-32.15,Wednesday,Wednesday,2018/04/25
660315,185,CPI Card Group,PMTS,2.53,2.68,2.53,2.63,0.12,4.78,"8,706",18.75,2.36,...,...,...,-28.34,Friday,Friday,2018/04/27
660316,192,CPI Card Group,PMTS,2.65,2.73,2.57,2.57,-0.06,-2.28,"25,198",18.75,2.36,...,...,...,-29.97,Monday,Monday,2018/04/30
660317,187,CPI Card Group,PMTS,2.6,2.82,2.6,2.77,0.20,7.78,"17,410",18.75,2.36,...,...,...,-24.52,Tuesday,Tuesday,2018/05/01
660318,188,CPI Card Group,PMTS,2.84,2.84,2.8,2.82,-0.02,-0.70,"5,694",18.50,2.36,...,...,...,-23.16,Thursday,Thursday,2018/05/03
660319,186,CPI Card Group,PMTS,2.8,2.8,2.73,2.74,-0.08,-2.84,"23,479",18.50,2.36,...,...,...,-25.34,Friday,Friday,2018/05/04
660320,201,CPI Card Group,PMTS,2.74,2.78,2.5,2.54,-0.20,-7.30,"52,949",18.50,2.36,...,...,...,-30.79,Monday,Monday,2018/05/07
660321,188,CPI Card Group,PMTS,2.55,2.6,2.44,2.44,-0.10,-3.94,"47,313",18.5,2.36,...,...,...,-33.51,Tuesday,Tuesday,2018/05/08
660322,197,CPI Card Group,PMTS,2.45,2.66,2.23,2.24,-0.20,-8.20,"38,899",18.5,2.23,...,...,...,-38.96,Wednesday,Wednesday,2018/05/09
660323,189,CPI Card Group,PMTS,2.25,2.45,2.23,2.45,0.21,9.38,"18,342",18.5,2.23,...,...,...,-33.24,Thursday,Thursday,2018/05/10
660324,194,CPI Card Group,PMTS,2.45,2.49,2.39,2.47,0.02,0.82,"7,077",18.50,2.23,...,...,...,-32.70,Friday,Friday,2018/05/11
660325,188,CPI Card Group,PMTS,2.47,2.47,2.42,2.42,-0.05,-2.02,"5,336",18.5,2.23,...,...,...,-34.06,Monday,Monday,2018/05/14
660326,194,CPI Card Group,PMTS,2.39,2.39,2.35,2.36,-0.06,-2.48,"8,866",18.5,2.23,...,...,...,-35.69,Tuesday,Tuesday,2018/05/15
660327,190,CPI Card Group,PMTS,2.35,2.39,2.35,2.36,...,...,"15,585",18.50,2.23,...,...,...,-35.69,Wednesday,Wednesday,2018/05/16
660328,190,CPI Card Group,PMTS,2.33,2.74,2.33,2.65,0.29,12.29,"27,081",18.50,2.23,...,...,...,-27.79,Thursday,Thursday,2018/05/17
660329,189,CPI Card Group,PMTS,2.66,3.25,2.66,2.68,0.03,1.13,"162,094",18.5,2.23,...,...,...,-26.98,Friday,Friday,2018/05/18
660330,198,CPI Card Group,PMTS,2.68,2.75,2.67,2.71,0.03,1.12,"12,789",18.5,2.23,...,...,...,-26.16,Monday,Monday,2018/05/21
660331,198,CPI Card Group,PMTS,2.72,2.87,2.66,2.66,-0.05,-1.85,"30,563",18.50,2.23,...,...,...,-27.52,Tuesday,Tuesday,2018/05/22
660332,192,CPI Card Group,PMTS,2.68,2.84,2.68,2.84,0.18,6.77,"26,843",18.5,2.23,...,...,...,-22.62,Wednesday,Wednesday,2018/05/23
660333,198,CPI Card Group,PMTS,2.84,2.84,2.75,2.78,-0.06,-2.11,"31,889",18.50,2.23,...,...,...,-24.25,Thursday,Thursday,2018/05/24
660334,187,CPI Card Group,PMTS,2.75,2.85,2.75,2.8,0.02,0.72,"11,391",18.50,2.23,...,...,...,-23.71,Friday,Friday,2018/05/25
660335,189,CPI Card Group,PMTS,2.79,2.85,2.66,2.7,-0.10,-3.57,"23,581",18.50,2.23,...,...,...,-26.43,Tuesday,Tuesday,2018/05/29
660336,193,CPI Card Group,PMTS,2.7,2.76,2.66,2.73,0.03,1.11,"13,182",18.50,2.23,...,...,...,-25.61,Wednesday,Wednesday,2018/05/30
660337,192,CPI Card Group,PMTS,2.71,2.76,2.61,2.66,-0.07,-2.56,"11,340",18.50,2.23,...,...,...,-27.52,Thursday,Thursday,2018/05/31
660338,195,CPI Card Group,PMTS,2.64,2.91,2.63,2.83,0.17,6.39,"37,865",18.50,2.23,...,...,...,-22.89,Friday,Friday,2018/06/01
660339,189,CPI Card Group,PMTS,2.86,2.89,2.75,2.76,-0.07,-2.47,"6,208",18.50,2.23,...,...,...,-24.80,Monday,Monday,2018/06/04
660340,190,CPI Card Group,PMTS,2.81,2.81,2.7,2.74,-0.02,-0.72,"11,435",18.5,2.23,...,...,...,-25.34,Tuesday,Tuesday,2018/06/05
660341,195,CPI Card Group,PMTS,2.74,2.77,2.68,2.68,-0.06,-2.19,"5,339",18.50,2.23,...,...,...,-26.98,Wednesday,Wednesday,2018/06/06
660342,199,CPI Card Group,PMTS,2.71,2.82,2.71,2.8,0.12,4.48,"7,782",18.5,2.23,...,...,...,-23.71,Thursday,Thursday,2018/06/07
660343,193,CPI Card Group,PMTS,2.77,2.88,2.77,2.85,0.05,1.79,"9,298",18.5,2.23,...,...,...,-22.34,Friday,Friday,2018/06/08
660344,195,CPI Card Group,PMTS,2.91,2.94,2.83,2.86,0.01,0.35,"31,812",18.50,2.23,...,...,...,-22.07,Monday,Monday,2018/06/11
660345,195,CPI Card Group,PMTS,2.85,2.89,2.85,2.88,0.02,0.70,"6,754",18.5,2.23,...,...,...,-21.53,Tuesday,Tuesday,2018/06/12
660346,195,CPI Card Group,PMTS,2.83,2.9,2.8,2.81,-0.07,-2.43,"5,861",18.5,2.23,...,...,...,-23.43,Wednesday,Wednesday,2018/06/13
660347,195,CPI Card Group,PMTS,2.85,2.85,2.45,2.51,-0.30,-10.68,"51,771",18.5,2.23,...,...,...,-31.61,Thursday,Thursday,2018/06/14
660348,187,CPI Card Group,PMTS,2.51,2.53,2.49,2.53,0.02,0.80,"30,241",18.5,2.23,...,...,...,-31.06,Friday,Friday,2018/06/15
