,Unnamed: 0,Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg,Stock,day,date
671134,1437,Party City Holdco,PRTY,15.8,15.93,15.35,15.6,-0.15,-0.95,"941,051",17.05,9.50,...,...,8.52,11.83,Thursday,Thursday,2018/03/29
671135,1427,Party City Holdco,PRTY,15.55,16.0,15.55,15.85,0.25,1.60,"392,859",17.05,9.50,...,...,8.66,13.62,Wednesday,Wednesday,2018/04/11
671136,1432,Party City Holdco,PRTY,15.85,16.05,15.65,15.85,...,...,"360,107",17.05,9.50,...,...,8.66,13.62,Thursday,Thursday,2018/04/12
671137,1420,Party City Holdco,PRTY,15.6,15.7,15.35,15.5,0.05,0.32,"357,236",17.05,9.50,...,...,8.47,11.11,Tuesday,Tuesday,2018/04/17
671138,1425,Party City Holdco,PRTY,15.55,15.65,15.45,15.5,...,...,"258,690",17.05,9.5,...,...,8.47,11.11,Wednesday,Wednesday,2018/04/18
671139,1431,Party City Holdco,PRTY,16.15,16.27,15.75,16.0,0.50,3.23,"1,129,845",17.05,9.50,...,...,8.74,14.70,Thursday,Thursday,2018/04/19
671140,1421,Party City Holdco,PRTY,16.0,16.15,15.8,15.85,-0.15,-0.94,"434,304",17.05,9.50,...,...,8.66,13.62,Friday,Friday,2018/04/20
671141,1428,Party City Holdco,PRTY,16.0,16.15,15.75,15.95,-0.05,-0.31,"489,925",17.05,9.50,...,...,8.72,14.34,Tuesday,Tuesday,2018/04/24
671142,1430,Party City Holdco,PRTY,15.85,16.02,15.75,16.0,0.05,0.31,"299,772",17.05,9.50,...,...,8.74,14.70,Wednesday,Wednesday,2018/04/25
671143,1427,Party City Holdco,PRTY,15.85,16.05,15.8,16.0,0.15,0.95,"504,088",17.00,9.50,...,...,8.74,14.70,Friday,Friday,2018/04/27
671144,1427,Party City Holdco,PRTY,16.0,16.15,15.7,15.75,-0.25,-1.56,"525,100",17.00,9.50,...,...,8.61,12.90,Monday,Monday,2018/04/30
671145,1437,Party City Holdco,PRTY,15.75,16.0,15.55,16.0,0.25,1.59,"1,939,214",17.00,9.50,...,...,8.74,14.70,Tuesday,Tuesday,2018/05/01
671146,1427,Party City Holdco,PRTY,15.75,15.8,15.35,15.5,-0.25,-1.59,"358,616",17.00,9.50,...,...,8.47,11.11,Thursday,Thursday,2018/05/03
671147,1428,Party City Holdco,PRTY,15.3,15.85,15.1,15.8,0.30,1.94,"700,514",17.0,9.50,...,...,8.63,13.26,Friday,Friday,2018/05/04
671148,1434,Party City Holdco,PRTY,15.9,15.9,15.03,15.1,-0.70,-4.43,"860,806",17.0,9.50,...,...,8.25,8.24,Monday,Monday,2018/05/07
671149,1426,Party City Holdco,PRTY,15.0,15.05,14.65,14.9,-0.20,-1.32,"965,980",17.0,9.5,...,...,8.14,6.81,Tuesday,Tuesday,2018/05/08
671150,1439,Party City Holdco,PRTY,15.75,15.95,14.65,14.9,...,...,"1,187,808",17.0,9.50,...,...,8.14,6.81,Wednesday,Wednesday,2018/05/09
671151,1434,Party City Holdco,PRTY,15.1,15.6,14.8,15.45,0.55,3.69,"720,298",17.00,9.50,...,...,8.31,10.75,Thursday,Thursday,2018/05/10
671152,1432,Party City Holdco,PRTY,15.4,15.5,15.0,15.45,...,...,"499,956",17.00,9.50,...,...,8.31,10.75,Friday,Friday,2018/05/11
671153,1435,Party City Holdco,PRTY,15.45,15.75,15.45,15.6,0.15,0.97,"455,590",17.0,9.50,...,...,8.39,11.83,Monday,Monday,2018/05/14
671154,1434,Party City Holdco,PRTY,15.6,15.85,15.2,15.35,-0.25,-1.60,"758,466",17.0,9.50,...,...,8.25,10.04,Tuesday,Tuesday,2018/05/15
671155,1436,Party City Holdco,PRTY,14.8,15.1,14.4,14.6,-0.75,-4.89,"6,868,679",17.00,9.50,...,...,7.85,4.66,Wednesday,Wednesday,2018/05/16
671156,1434,Party City Holdco,PRTY,14.65,14.9,14.55,14.7,0.10,0.68,"1,316,429",17.00,9.50,...,...,7.90,5.38,Thursday,Thursday,2018/05/17
671157,1435,Party City Holdco,PRTY,14.75,14.8,14.4,14.55,-0.15,-1.02,"957,465",17.0,9.50,...,...,7.82,4.30,Friday,Friday,2018/05/18
671158,1436,Party City Holdco,PRTY,14.65,14.8,14.4,14.6,0.05,0.34,"1,112,582",17.00,9.50,...,...,7.85,4.66,Monday,Monday,2018/05/21
671159,1433,Party City Holdco,PRTY,14.65,14.75,14.25,14.35,-0.25,-1.71,"1,344,283",17.0,9.50,...,...,7.72,2.87,Tuesday,Tuesday,2018/05/22
671160,1435,Party City Holdco,PRTY,14.4,14.57,14.3,14.45,0.10,0.70,"798,338",17.00,9.50,...,...,7.77,3.58,Wednesday,Wednesday,2018/05/23
671161,1438,Party City Holdco,PRTY,14.35,14.45,14.18,14.4,-0.05,-0.35,"674,354",17.00,9.50,...,...,7.74,3.23,Thursday,Thursday,2018/05/24
671162,1441,Party City Holdco,PRTY,14.35,14.6,14.22,14.6,0.20,1.39,"455,985",17.00,9.50,...,...,7.85,4.66,Friday,Friday,2018/05/25
671163,1439,Party City Holdco,PRTY,14.5,14.55,14.43,14.5,-0.10,-0.68,"624,782",17.00,9.50,...,...,7.80,3.94,Tuesday,Tuesday,2018/05/29
