,Unnamed: 0,Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg,Stock,day,date
673591,1343,Pintec Technology Holdings ADR,PT,14.35,15.1,11.8,12.49,0.61,5.13,"172,766",...,...,...,...,...,...,Thursday,Thursday,2018/10/25
673592,1344,Pintec Technology Holdings ADR,PT,12.24,12.44,11.88,12.2,-0.29,-2.32,"19,491",15.1,11.80,...,...,...,...,Friday,Friday,2018/10/26
673593,1343,Pintec Technology Holdings ADR,PT,12.5,12.5,11.88,11.88,-0.32,-2.62,"31,535",15.10,11.80,...,...,...,...,Monday,Monday,2018/10/29
673594,1342,Pintec Technology Holdings ADR,PT,11.88,12.04,11.88,11.88,...,...,"7,696",15.1,11.80,...,...,...,...,Tuesday,Tuesday,2018/10/30
673595,1345,Pintec Technology Holdings ADR,PT,11.88,11.96,11.75,11.8,-0.08,-0.67,"9,046",15.10,11.75,...,...,...,...,Wednesday,Wednesday,2018/10/31
673596,1342,Pintec Technology Holdings ADR,PT,11.82,11.85,11.75,11.75,-0.05,-0.40,"9,349",15.1,11.75,...,...,...,...,Thursday,Thursday,2018/11/01
673597,1342,Pintec Technology Holdings ADR,PT,11.86,11.86,11.65,11.65,-0.10,-0.87,"5,242",15.1,11.65,...,...,...,...,Friday,Friday,2018/11/02
673598,1338,Pintec Technology Holdings ADR,PT,11.65,11.8,11.63,11.63,-0.02,-0.16,"3,990",15.10,11.63,...,...,...,...,Tuesday,Tuesday,2018/11/06
673599,1340,Pintec Technology Holdings ADR,PT,11.65,11.65,10.01,10.5,-1.13,-9.74,"4,535",15.10,10.01,...,...,...,...,Wednesday,Wednesday,2018/11/07
673600,1339,Pintec Technology Holdings ADR,PT,10.75,11.0,10.75,11.0,0.50,4.78,"3,618",15.1,10.01,...,...,...,...,Thursday,Thursday,2018/11/08
673601,1335,Pintec Technology Holdings ADR,PT,11.75,11.75,11.0,11.7,0.70,6.36,"1,563",15.1,10.01,...,...,...,...,Friday,Friday,2018/11/09
673602,1337,Pintec Technology Holdings ADR,PT,11.7,11.7,10.18,11.0,-0.70,-5.98,"2,054",15.1,10.01,...,...,...,...,Tuesday,Tuesday,2018/11/13
673603,1337,Pintec Technology Holdings ADR,PT,11.05,11.05,10.99,11.0,...,...,"2,210",15.1,10.01,...,...,...,...,Wednesday,Wednesday,2018/11/14
