,Unnamed: 0,Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg,Stock,day,date
677455,1521,PVH Corp.,PVH,151.95,154.74,150.0,151.43,7.41,5.15,"2,726,511",157.96,96.85,0.15,0.10,22.53,10.36,Thursday,Thursday,2018/03/29
677456,1511,PVH Corp.,PVH,156.68,159.43,156.68,158.01,0.06,0.04,"757,118",160.22,96.85,0.15,0.09,23.07,15.16,Wednesday,Wednesday,2018/04/11
677457,1515,PVH Corp.,PVH,159.36,162.79,159.0,162.25,4.24,2.68,"1,068,377",162.79,96.85,0.15,0.09,23.69,18.25,Thursday,Thursday,2018/04/12
677458,1503,PVH Corp.,PVH,161.16,161.97,160.0,161.27,0.84,0.52,"1,001,490",163.58,96.85,0.15,0.09,23.54,17.54,Tuesday,Tuesday,2018/04/17
677459,1508,PVH Corp.,PVH,162.19,163.78,160.61,161.01,-0.26,-0.16,"767,024",163.78,96.85,0.15,0.09,23.51,17.35,Wednesday,Wednesday,2018/04/18
677460,1514,PVH Corp.,PVH,160.84,161.65,159.66,160.36,-0.65,-0.40,"622,917",163.78,96.85,0.15,0.09,23.41,16.87,Thursday,Thursday,2018/04/19
677461,1505,PVH Corp.,PVH,159.92,160.6,158.82,159.48,-0.88,-0.55,"793,906",163.78,96.85,0.15,0.09,23.28,16.23,Friday,Friday,2018/04/20
677462,1512,PVH Corp.,PVH,161.23,161.98,159.32,159.83,-0.43,-0.27,"686,277",163.78,96.85,0.15,0.09,23.33,16.49,Tuesday,Tuesday,2018/04/24
677463,1514,PVH Corp.,PVH,159.59,161.08,158.29,158.77,-1.06,-0.66,"606,245",163.78,96.85,0.15,0.09,23.18,15.71,Wednesday,Wednesday,2018/04/25
677464,1511,PVH Corp.,PVH,160.61,162.34,159.97,160.51,-0.08,-0.05,"594,442",163.78,96.85,0.15,0.09,23.43,16.98,Friday,Friday,2018/04/27
677465,1511,PVH Corp.,PVH,160.93,161.44,159.67,159.67,-0.84,-0.52,"609,500",163.78,96.85,0.15,0.09,23.31,16.37,Monday,Monday,2018/04/30
677466,1521,PVH Corp.,PVH,158.75,159.56,155.0,155.36,-4.31,-2.70,"953,479",163.78,96.85,0.15,0.10,22.68,13.23,Tuesday,Tuesday,2018/05/01
677467,1512,PVH Corp.,PVH,151.1,152.58,150.25,151.46,-0.80,-0.53,"1,077,057",163.78,96.85,0.15,0.10,22.11,10.39,Thursday,Thursday,2018/05/03
677468,1513,PVH Corp.,PVH,151.31,152.83,149.15,152.27,0.81,0.53,"1,016,367",163.78,96.85,0.15,0.10,22.23,10.98,Friday,Friday,2018/05/04
677469,1518,PVH Corp.,PVH,152.17,152.57,149.75,151.52,-0.75,-0.49,"696,322",163.78,96.85,0.15,0.10,22.12,10.43,Monday,Monday,2018/05/07
677470,1510,PVH Corp.,PVH,151.66,152.61,150.7,151.71,0.19,0.13,"787,803",163.78,96.85,0.15,0.10,22.15,10.57,Tuesday,Tuesday,2018/05/08
677471,1523,PVH Corp.,PVH,151.71,153.34,151.37,153.06,1.35,0.89,"556,855",163.78,96.85,0.15,0.10,22.34,11.55,Wednesday,Wednesday,2018/05/09
677472,1518,PVH Corp.,PVH,153.45,153.97,151.95,153.0,-0.06,-0.04,"653,144",163.78,96.85,0.15,0.10,22.34,11.51,Thursday,Thursday,2018/05/10
677473,1516,PVH Corp.,PVH,153.25,153.9,152.46,153.19,0.19,0.12,"488,165",163.78,96.85,0.15,0.10,22.36,11.65,Friday,Friday,2018/05/11
677474,1519,PVH Corp.,PVH,153.52,155.28,152.92,154.32,1.13,0.74,"738,613",163.78,96.85,0.15,0.10,22.53,12.47,Monday,Monday,2018/05/14
677475,1518,PVH Corp.,PVH,153.91,156.11,153.05,154.61,0.29,0.19,"596,734",163.78,96.85,0.15,0.10,22.57,12.68,Tuesday,Tuesday,2018/05/15
677476,1520,PVH Corp.,PVH,155.0,156.63,154.04,155.21,0.64,0.41,"753,721",163.78,96.85,0.15,0.10,22.66,13.12,Wednesday,Wednesday,2018/05/16
677477,1518,PVH Corp.,PVH,154.64,158.25,154.02,156.24,1.03,0.66,"989,012",163.78,96.85,0.15,0.10,22.81,13.87,Thursday,Thursday,2018/05/17
677478,1518,PVH Corp.,PVH,155.49,155.89,153.96,155.11,-1.13,-0.72,"592,171",163.78,96.85,0.15,0.10,22.64,13.05,Friday,Friday,2018/05/18
677479,1519,PVH Corp.,PVH,155.53,156.46,154.31,154.54,-0.57,-0.37,"592,170",163.78,100.37,0.15,0.10,22.56,12.63,Monday,Monday,2018/05/21
677480,1516,PVH Corp.,PVH,155.4,155.88,153.93,154.62,0.08,0.05,"697,989",163.78,100.37,0.15,0.10,22.57,12.69,Tuesday,Tuesday,2018/05/22
677481,1518,PVH Corp.,PVH,154.38,158.92,154.23,158.04,3.42,2.21,"1,004,755",163.78,100.37,0.15,0.09,23.07,15.18,Wednesday,Wednesday,2018/05/23
677482,1522,PVH Corp.,PVH,157.6,159.06,156.86,158.54,0.50,0.32,"565,460",163.78,102.05,0.15,0.09,23.14,15.55,Thursday,Thursday,2018/05/24
677483,1525,PVH Corp.,PVH,157.96,158.87,157.25,157.82,-0.72,-0.45,"550,160",163.78,102.05,0.15,0.10,23.04,15.02,Friday,Friday,2018/05/25
677484,1523,PVH Corp.,PVH,156.65,157.4,154.77,155.11,-2.71,-1.72,"1,257,033",163.78,102.05,0.15,0.10,22.64,13.05,Tuesday,Tuesday,2018/05/29
677485,1525,PVH Corp.,PVH,156.0,157.01,155.37,155.5,0.39,0.25,"2,122,054",163.78,102.05,0.15,0.10,22.70,13.33,Wednesday,Wednesday,2018/05/30
677486,1522,PVH Corp.,PVH,155.75,160.46,155.04,160.0,4.50,2.89,"2,704,726",163.78,102.05,0.15,0.09,23.36,16.61,Thursday,Thursday,2018/05/31
677487,1525,PVH Corp.,PVH,162.0,162.49,157.72,158.96,-1.04,-0.65,"1,259,889",163.78,102.05,0.15,0.09,19.27,15.85,Friday,Friday,2018/06/01
677488,1516,PVH Corp.,PVH,159.1,159.83,157.26,159.83,0.87,0.55,"905,943",163.78,102.05,0.15,0.09,19.37,16.49,Monday,Monday,2018/06/04
677489,1517,PVH Corp.,PVH,159.85,161.19,158.8,160.96,1.13,0.71,"929,429",163.78,102.05,0.15,0.09,19.51,17.31,Tuesday,Tuesday,2018/06/05
677490,1523,PVH Corp.,PVH,161.54,164.5,160.7,164.4,3.44,2.14,"1,100,673",164.5,102.05,0.15,0.09,19.93,19.82,Wednesday,Wednesday,2018/06/06
677491,1519,PVH Corp.,PVH,165.0,167.7,164.6,165.11,0.71,0.43,"924,039",167.7,102.81,0.15,0.09,20.01,20.33,Thursday,Thursday,2018/06/07
677492,1512,PVH Corp.,PVH,165.0,168.27,164.26,168.16,3.05,1.85,"807,398",168.27,102.81,0.15,0.09,20.38,22.56,Friday,Friday,2018/06/08
677493,1518,PVH Corp.,PVH,168.52,169.22,166.38,166.5,-1.66,-0.99,"549,460",169.22,104.34,0.15,0.09,20.18,21.35,Monday,Monday,2018/06/11
