,Unnamed: 0,Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg,Stock,day,date
683430,1372,Quality Systems,QSII,13.66,13.75,13.45,13.65,0.07,0.52,"305,206",17.74,12.24,...,...,48.75,0.52,Thursday,Thursday,2018/03/29
683431,1350,Quality Systems,QSII,13.51,13.68,13.47,13.53,-0.04,-0.29,"278,814",17.74,12.24,...,...,48.32,-0.37,Wednesday,Wednesday,2018/04/11
683432,1354,Quality Systems,QSII,13.55,13.6,13.35,13.45,-0.08,-0.59,"219,060",17.74,12.24,...,...,48.04,-0.96,Thursday,Thursday,2018/04/12
683433,1359,Quality Systems,QSII,13.57,13.94,13.56,13.89,0.38,2.81,"184,292",17.74,12.24,...,...,49.61,2.28,Tuesday,Tuesday,2018/04/17
683434,1363,Quality Systems,QSII,13.91,14.08,13.75,13.94,0.05,0.36,"190,101",17.74,12.24,...,...,49.79,2.65,Wednesday,Wednesday,2018/04/18
683435,1365,Quality Systems,QSII,13.92,14.07,13.81,14.0,0.06,0.43,"207,348",17.74,12.24,...,...,50.00,3.09,Thursday,Thursday,2018/04/19
683436,1362,Quality Systems,QSII,13.97,14.11,13.95,14.06,0.06,0.43,"157,337",17.74,12.24,...,...,50.21,3.53,Friday,Friday,2018/04/20
683437,1361,Quality Systems,QSII,13.95,14.04,13.6,13.71,-0.40,-2.83,"237,236",17.74,12.24,...,...,48.96,0.96,Tuesday,Tuesday,2018/04/24
683438,1365,Quality Systems,QSII,13.69,13.79,13.45,13.71,...,...,"135,503",17.74,12.24,...,...,48.96,0.96,Wednesday,Wednesday,2018/04/25
683439,1361,Quality Systems,QSII,13.63,13.68,13.5,13.53,-0.09,-0.66,"161,286",17.74,12.24,...,...,48.32,-0.37,Friday,Friday,2018/04/27
683440,1363,Quality Systems,QSII,13.52,13.6,13.39,13.43,-0.10,-0.74,"245,424",17.74,12.24,...,...,47.96,-1.10,Monday,Monday,2018/04/30
683441,1360,Quality Systems,QSII,13.45,13.72,13.42,13.71,0.28,2.08,"384,608",17.74,12.24,...,...,48.96,0.96,Tuesday,Tuesday,2018/05/01
683442,1355,Quality Systems,QSII,13.69,13.69,13.17,13.45,-0.33,-2.39,"338,025",17.74,12.24,...,...,48.04,-0.96,Thursday,Thursday,2018/05/03
683443,1359,Quality Systems,QSII,13.41,13.91,13.27,13.4,-0.05,-0.37,"384,069",17.74,12.24,...,...,47.86,-1.33,Friday,Friday,2018/05/04
683444,1365,Quality Systems,QSII,13.5,13.78,13.44,13.73,0.33,2.46,"568,139",17.74,12.24,...,...,49.04,1.10,Monday,Monday,2018/05/07
683445,1364,Quality Systems,QSII,13.73,14.5,13.73,14.42,0.69,5.03,"277,816",17.74,12.24,...,...,51.50,6.19,Tuesday,Tuesday,2018/05/08
683446,1369,Quality Systems,QSII,14.41,14.66,14.28,14.63,0.21,1.46,"238,146",17.74,12.24,...,...,52.25,7.73,Wednesday,Wednesday,2018/05/09
683447,1358,Quality Systems,QSII,14.6,14.84,14.23,14.65,0.02,0.14,"174,189",17.74,12.24,...,...,52.32,7.88,Thursday,Thursday,2018/05/10
683448,1367,Quality Systems,QSII,14.64,14.74,14.57,14.66,0.01,0.07,"123,679",17.74,12.24,...,...,52.36,7.95,Friday,Friday,2018/05/11
683449,1368,Quality Systems,QSII,14.7,14.7,14.36,14.4,-0.26,-1.77,"150,784",17.74,12.24,...,...,51.43,6.04,Monday,Monday,2018/05/14
683450,1365,Quality Systems,QSII,14.37,14.59,14.28,14.43,0.03,0.21,"188,828",17.74,12.24,...,...,51.54,6.26,Tuesday,Tuesday,2018/05/15
683451,1372,Quality Systems,QSII,14.49,14.93,14.3,14.85,0.42,2.91,"256,847",17.74,12.24,...,...,53.04,9.35,Wednesday,Wednesday,2018/05/16
683452,1367,Quality Systems,QSII,14.8,14.95,13.75,14.7,-0.15,-1.01,"235,453",17.74,12.24,...,...,52.50,8.25,Thursday,Thursday,2018/05/17
683453,1366,Quality Systems,QSII,14.78,14.87,14.65,14.81,0.11,0.75,"173,758",17.74,12.24,...,...,52.89,9.06,Friday,Friday,2018/05/18
683454,1365,Quality Systems,QSII,14.82,14.82,14.51,14.63,-0.18,-1.22,"170,198",17.74,12.24,...,...,52.25,7.73,Monday,Monday,2018/05/21
683455,1368,Quality Systems,QSII,14.62,14.71,14.44,14.48,-0.15,-1.03,"152,498",17.74,12.24,...,...,51.71,6.63,Tuesday,Tuesday,2018/05/22
683456,1362,Quality Systems,QSII,14.48,14.75,14.46,14.64,0.16,1.10,"172,172",17.74,12.24,...,...,52.29,7.81,Wednesday,Wednesday,2018/05/23
683457,1365,Quality Systems,QSII,14.64,15.14,14.58,15.05,0.41,2.80,"398,327",17.74,12.24,...,...,53.75,10.82,Thursday,Thursday,2018/05/24
683458,1370,Quality Systems,QSII,15.45,17.72,15.45,16.99,1.94,12.89,"2,328,838",17.74,12.24,...,...,424.75,25.11,Friday,Friday,2018/05/25
683459,1365,Quality Systems,QSII,16.74,16.99,16.48,16.97,-0.02,-0.12,"475,941",17.74,12.24,...,...,424.25,24.96,Tuesday,Tuesday,2018/05/29
683460,1371,Quality Systems,QSII,17.03,17.28,16.64,16.83,-0.14,-0.82,"975,353",17.74,12.24,...,...,420.75,23.93,Wednesday,Wednesday,2018/05/30
683461,1363,Quality Systems,QSII,17.26,17.96,17.01,17.6,0.77,4.58,"1,506,907",17.96,12.24,...,...,440.00,29.60,Thursday,Thursday,2018/05/31
683462,1373,Quality Systems,QSII,17.65,17.93,17.03,17.2,-0.40,-2.27,"514,256",17.96,12.24,...,...,430.00,26.66,Friday,Friday,2018/06/01
683463,1373,Quality Systems,QSII,17.15,17.38,16.74,17.16,-0.04,-0.23,"364,856",17.96,12.24,...,...,429.00,26.36,Monday,Monday,2018/06/04
683464,1370,Quality Systems,QSII,17.2,17.93,17.2,17.71,0.55,3.21,"342,333",17.96,12.24,...,...,442.75,30.41,Tuesday,Tuesday,2018/06/05
683465,1380,Quality Systems,QSII,17.69,17.87,17.62,17.69,-0.02,-0.11,"292,089",17.96,12.24,...,...,442.25,30.27,Wednesday,Wednesday,2018/06/06
683466,1377,Quality Systems,QSII,17.63,17.73,17.45,17.47,-0.22,-1.24,"335,199",17.96,12.24,...,...,436.75,28.65,Thursday,Thursday,2018/06/07
683467,1374,Quality Systems,QSII,17.54,17.75,17.4,17.7,0.23,1.32,"254,873",17.96,12.24,...,...,442.50,30.34,Friday,Friday,2018/06/08
683468,1373,Quality Systems,QSII,17.72,17.78,17.56,17.64,-0.06,-0.34,"180,141",17.96,12.24,...,...,441.00,29.90,Monday,Monday,2018/06/11
