,Unnamed: 0,Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg,Stock,day,date
683915,1374,Quantenna Communications,QTNA,13.36,13.82,13.35,13.7,0.37,2.78,"155,642",22.50,9.60,...,...,15.49,12.30,Thursday,Thursday,2018/03/29
683916,1352,Quantenna Communications,QTNA,13.34,13.81,13.3,13.51,0.01,0.07,"113,137",22.50,9.60,...,...,15.28,10.74,Wednesday,Wednesday,2018/04/11
683917,1356,Quantenna Communications,QTNA,13.55,14.11,13.55,13.71,0.20,1.48,"193,957",22.5,9.6,...,...,15.50,12.38,Thursday,Thursday,2018/04/12
683918,1361,Quantenna Communications,QTNA,13.63,13.88,13.48,13.8,0.23,1.69,"126,803",22.50,9.60,...,...,15.60,13.11,Tuesday,Tuesday,2018/04/17
683919,1365,Quantenna Communications,QTNA,13.79,14.06,13.66,13.83,0.03,0.22,"120,595",22.5,9.6,...,...,15.64,13.36,Wednesday,Wednesday,2018/04/18
683920,1367,Quantenna Communications,QTNA,13.89,13.89,13.5,13.66,-0.17,-1.23,"100,728",22.50,9.60,...,...,15.45,11.97,Thursday,Thursday,2018/04/19
683921,1364,Quantenna Communications,QTNA,13.61,13.71,13.4,13.48,-0.18,-1.32,"101,754",22.50,9.60,...,...,15.24,10.49,Friday,Friday,2018/04/20
683922,1363,Quantenna Communications,QTNA,13.05,13.4,12.95,13.05,0.04,0.31,"197,460",22.5,9.6,...,...,14.76,6.97,Tuesday,Tuesday,2018/04/24
683923,1367,Quantenna Communications,QTNA,13.14,13.15,12.8,13.05,...,...,"182,259",22.5,9.6,...,...,14.76,6.97,Wednesday,Wednesday,2018/04/25
683924,1363,Quantenna Communications,QTNA,13.12,13.4,13.0,13.3,0.23,1.76,"201,745",22.50,9.60,...,...,15.04,9.02,Friday,Friday,2018/04/27
683925,1365,Quantenna Communications,QTNA,13.31,13.31,12.48,12.67,-0.63,-4.74,"526,452",22.5,9.6,...,...,14.33,3.85,Monday,Monday,2018/04/30
683926,1362,Quantenna Communications,QTNA,14.86,15.4,14.47,15.13,2.46,19.42,"1,307,122",22.5,9.6,...,...,18.35,24.02,Tuesday,Tuesday,2018/05/01
683927,1357,Quantenna Communications,QTNA,14.35,14.94,14.25,14.8,0.47,3.28,"323,785",22.50,9.60,...,...,17.95,21.31,Thursday,Thursday,2018/05/03
683928,1361,Quantenna Communications,QTNA,14.76,15.4,14.7,15.01,0.21,1.42,"256,353",22.50,9.60,...,...,18.21,23.03,Friday,Friday,2018/05/04
683929,1367,Quantenna Communications,QTNA,15.04,15.42,14.99,15.08,0.07,0.47,"340,354",22.5,9.6,...,...,18.29,23.61,Monday,Monday,2018/05/07
683930,1366,Quantenna Communications,QTNA,15.12,15.39,14.67,14.7,-0.38,-2.52,"891,039",22.50,9.60,...,...,17.83,20.49,Tuesday,Tuesday,2018/05/08
683931,1371,Quantenna Communications,QTNA,14.62,14.88,14.45,14.8,0.10,0.68,"296,434",21.52,9.60,...,...,17.95,21.31,Wednesday,Wednesday,2018/05/09
683932,1360,Quantenna Communications,QTNA,14.81,14.9,14.55,14.64,-0.16,-1.08,"218,751",21.29,9.6,...,...,17.76,20.00,Thursday,Thursday,2018/05/10
683933,1369,Quantenna Communications,QTNA,14.61,14.85,14.48,14.6,-0.04,-0.27,"282,458",21.29,9.6,...,...,17.71,19.67,Friday,Friday,2018/05/11
683934,1370,Quantenna Communications,QTNA,14.63,14.66,14.26,14.3,-0.30,-2.05,"136,889",21.29,9.6,...,...,17.35,17.21,Monday,Monday,2018/05/14
683935,1367,Quantenna Communications,QTNA,14.39,14.83,14.28,14.73,0.43,3.01,"484,627",21.24,9.6,...,...,17.87,20.74,Tuesday,Tuesday,2018/05/15
683936,1374,Quantenna Communications,QTNA,14.71,15.21,14.54,15.14,0.41,2.78,"545,382",21.24,9.6,...,...,18.36,24.10,Wednesday,Wednesday,2018/05/16
