,Unnamed: 0,Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg,Stock,day,date
689195,612,Reliant Bancorp,RBNC,22.36,22.8,22.25,22.79,0.54,2.43,"12,593",27.49,21.10,0.24,1.05,25.61,-11.12,Thursday,Thursday,2018/03/29
689196,599,Reliant Bancorp,RBNC,22.51,22.96,22.5,22.88,0.37,1.64,"4,378",27.49,21.31,0.32,1.40,25.71,-10.76,Wednesday,Wednesday,2018/04/11
689197,595,Reliant Bancorp,RBNC,23.0,23.33,22.87,22.87,-0.01,-0.04,"7,412",27.49,21.31,0.32,1.40,25.70,-10.80,Thursday,Thursday,2018/04/12
689198,602,Reliant Bancorp,RBNC,23.0,23.39,23.0,23.32,0.40,1.77,"4,432",27.49,21.31,0.32,1.37,26.21,-9.03,Tuesday,Tuesday,2018/04/17
689199,608,Reliant Bancorp,RBNC,23.36,23.5,23.1,23.39,0.07,0.28,"7,376",27.49,21.31,0.32,1.37,26.28,-8.78,Wednesday,Wednesday,2018/04/18
689200,590,Reliant Bancorp,RBNC,23.5,23.73,23.35,23.55,0.16,0.68,"2,093",27.49,21.31,0.32,1.36,26.46,-8.15,Thursday,Thursday,2018/04/19
689201,595,Reliant Bancorp,RBNC,23.26,23.3,23.09,23.09,-0.46,-1.95,"3,829",27.49,21.31,0.32,1.39,25.94,-9.95,Friday,Friday,2018/04/20
689202,604,Reliant Bancorp,RBNC,23.25,23.39,23.25,23.25,-0.07,-0.30,"1,589",27.49,21.31,0.32,1.38,26.12,-9.32,Tuesday,Tuesday,2018/04/24
689203,597,Reliant Bancorp,RBNC,23.0,23.15,22.67,22.81,-0.44,-1.89,"11,122",27.49,21.31,0.32,1.40,25.63,-11.04,Wednesday,Wednesday,2018/04/25
689204,589,Reliant Bancorp,RBNC,23.0,23.0,22.85,23.0,0.14,0.61,"2,040",27.49,21.31,0.32,1.39,25.84,-10.30,Friday,Friday,2018/04/27
689205,618,Reliant Bancorp,RBNC,23.0,23.14,23.0,23.0,...,...,"4,792",27.49,21.31,0.32,1.39,23.96,-10.30,Monday,Monday,2018/04/30
689206,582,Reliant Bancorp,RBNC,23.0,23.15,22.9,23.15,0.15,0.65,"3,849",27.49,21.31,0.32,1.38,24.11,-9.71,Tuesday,Tuesday,2018/05/01
689207,602,Reliant Bancorp,RBNC,23.45,23.45,23.33,23.33,-0.06,-0.26,"2,559",27.49,21.42,0.32,1.37,24.30,-9.01,Thursday,Thursday,2018/05/03
689208,595,Reliant Bancorp,RBNC,23.2,23.47,23.2,23.4,0.07,0.30,"2,780",27.49,21.42,0.32,1.37,24.38,-8.74,Friday,Friday,2018/05/04
689209,628,Reliant Bancorp,RBNC,23.50,23.50,23.3,23.47,0.07,0.30,"11,963",27.49,21.42,0.32,1.36,24.45,-8.46,Monday,Monday,2018/05/07
689210,598,Reliant Bancorp,RBNC,23.5,23.76,23.35,23.72,0.25,1.07,"21,496",27.49,21.42,0.32,1.35,24.71,-7.49,Tuesday,Tuesday,2018/05/08
689211,618,Reliant Bancorp,RBNC,23.82,24.0,23.82,23.88,0.16,0.67,"9,946",27.49,21.42,0.32,1.34,24.88,-6.86,Wednesday,Wednesday,2018/05/09
689212,609,Reliant Bancorp,RBNC,23.9,23.9,23.68,23.75,-0.13,-0.54,"8,460",27.49,21.42,0.32,1.35,24.74,-7.37,Thursday,Thursday,2018/05/10
689213,610,Reliant Bancorp,RBNC,23.65,23.99,23.65,23.9,0.15,0.63,"13,883",27.49,21.42,0.32,1.34,24.90,-6.79,Friday,Friday,2018/05/11
689214,611,Reliant Bancorp,RBNC,23.9,24.0,23.62,23.92,0.02,0.08,"5,046",27.49,21.42,0.32,1.34,24.92,-6.71,Monday,Monday,2018/05/14
