,Unnamed: 0,Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg,Stock,day,date
690104,1430,Rocket Pharmaceuticals,RCKT,17.42,18.82,17.07,18.75,1.40,8.07,"378,431",19.97,3.40,...,...,...,79.60,Thursday,Thursday,2018/03/29
690105,1409,Rocket Pharmaceuticals,RCKT,16.25,17.11,16.06,16.58,0.28,1.72,"173,442",20.60,3.40,...,...,...,58.81,Wednesday,Wednesday,2018/04/11
690106,1412,Rocket Pharmaceuticals,RCKT,16.75,16.93,16.25,16.58,...,...,"154,379",20.6,3.4,...,...,...,58.81,Thursday,Thursday,2018/04/12
690107,1417,Rocket Pharmaceuticals,RCKT,16.42,17.06,16.03,16.91,0.68,4.19,"317,243",20.60,3.40,...,...,...,61.97,Tuesday,Tuesday,2018/04/17
690108,1421,Rocket Pharmaceuticals,RCKT,16.87,17.8,16.66,17.39,0.48,2.84,"378,099",20.6,3.4,...,...,...,66.57,Wednesday,Wednesday,2018/04/18
690109,1422,Rocket Pharmaceuticals,RCKT,17.24,17.54,17.0,17.1,-0.29,-1.67,"227,811",20.60,3.40,...,...,...,63.79,Thursday,Thursday,2018/04/19
690110,1420,Rocket Pharmaceuticals,RCKT,17.12,17.39,16.9,17.27,0.17,0.99,"201,686",20.60,3.40,...,...,...,65.42,Friday,Friday,2018/04/20
690111,1419,Rocket Pharmaceuticals,RCKT,16.95,17.59,16.15,16.41,-0.40,-2.38,"116,191",20.6,3.4,...,...,...,57.18,Tuesday,Tuesday,2018/04/24
690112,1424,Rocket Pharmaceuticals,RCKT,16.44,16.6,15.9,16.52,0.11,0.67,"99,269",20.6,3.4,...,...,...,58.24,Wednesday,Wednesday,2018/04/25
690113,1420,Rocket Pharmaceuticals,RCKT,16.92,17.1,16.58,17.06,0.23,1.37,"49,306",20.60,3.40,...,...,...,63.41,Friday,Friday,2018/04/27
690114,1422,Rocket Pharmaceuticals,RCKT,17.11,17.39,16.84,17.24,0.18,1.06,"73,989",20.6,3.4,...,...,...,65.13,Monday,Monday,2018/04/30
690115,1419,Rocket Pharmaceuticals,RCKT,17.23,17.32,16.94,17.04,-0.20,-1.16,"177,403",20.6,3.4,...,...,...,63.22,Tuesday,Tuesday,2018/05/01
690116,1414,Rocket Pharmaceuticals,RCKT,17.15,17.31,16.61,16.77,-0.43,-2.50,"97,554",20.60,3.40,...,...,...,60.63,Thursday,Thursday,2018/05/03
690117,1418,Rocket Pharmaceuticals,RCKT,16.74,16.81,16.4,16.53,-0.24,-1.43,"84,478",20.60,3.40,...,...,...,58.33,Friday,Friday,2018/05/04
690118,1424,Rocket Pharmaceuticals,RCKT,16.75,17.36,16.7,17.3,0.77,4.66,"98,227",20.6,3.4,...,...,...,65.71,Monday,Monday,2018/05/07
690119,1422,Rocket Pharmaceuticals,RCKT,17.18,17.61,17.16,17.3,...,...,"161,717",20.60,3.40,...,...,...,65.71,Tuesday,Tuesday,2018/05/08
690120,1428,Rocket Pharmaceuticals,RCKT,17.36,17.73,17.36,17.62,0.32,1.85,"109,680",20.60,3.40,...,...,...,68.77,Wednesday,Wednesday,2018/05/09
690121,1415,Rocket Pharmaceuticals,RCKT,17.73,17.84,17.44,17.8,0.18,1.02,"100,268",20.6,3.4,...,...,...,70.50,Thursday,Thursday,2018/05/10
690122,1426,Rocket Pharmaceuticals,RCKT,17.61,18.19,16.34,17.97,0.17,0.96,"310,826",20.6,3.4,...,...,...,72.13,Friday,Friday,2018/05/11
690123,1427,Rocket Pharmaceuticals,RCKT,17.97,19.1,17.95,18.95,0.98,5.45,"352,814",20.6,3.4,...,...,...,81.51,Monday,Monday,2018/05/14
690124,1424,Rocket Pharmaceuticals,RCKT,18.72,20.39,17.57,20.0,1.05,5.54,"473,001",20.6,3.4,...,...,...,91.57,Tuesday,Tuesday,2018/05/15
690125,1430,Rocket Pharmaceuticals,RCKT,20.12,21.87,19.44,21.33,1.33,6.65,"896,207",21.87,3.4,...,...,...,104.31,Wednesday,Wednesday,2018/05/16
690126,1426,Rocket Pharmaceuticals,RCKT,21.97,22.4,19.61,19.93,-1.40,-6.56,"866,622",22.40,3.40,...,...,...,90.90,Thursday,Thursday,2018/05/17
690127,1425,Rocket Pharmaceuticals,RCKT,19.98,19.99,19.17,19.9,-0.03,-0.15,"242,697",22.4,3.4,...,...,...,90.61,Friday,Friday,2018/05/18
690128,1424,Rocket Pharmaceuticals,RCKT,19.93,20.5,19.04,19.39,-0.51,-2.56,"331,776",22.40,3.40,...,...,...,85.73,Monday,Monday,2018/05/21
690129,1427,Rocket Pharmaceuticals,RCKT,19.52,20.37,19.52,20.07,0.68,3.51,"209,743",22.4,3.4,...,...,...,92.24,Tuesday,Tuesday,2018/05/22
690130,1420,Rocket Pharmaceuticals,RCKT,20.0,20.77,19.6,20.64,0.57,2.84,"293,341",22.40,3.40,...,...,...,97.70,Wednesday,Wednesday,2018/05/23
690131,1424,Rocket Pharmaceuticals,RCKT,20.69,20.99,20.27,20.45,-0.19,-0.92,"115,468",22.40,3.40,...,...,...,95.88,Thursday,Thursday,2018/05/24
690132,1429,Rocket Pharmaceuticals,RCKT,20.53,20.69,20.24,20.49,0.04,0.20,"177,615",22.40,3.40,...,...,...,96.26,Friday,Friday,2018/05/25
690133,1424,Rocket Pharmaceuticals,RCKT,20.38,20.58,19.45,20.0,-0.49,-2.39,"330,337",22.40,3.40,...,...,...,91.57,Tuesday,Tuesday,2018/05/29
690134,1430,Rocket Pharmaceuticals,RCKT,20.13,21.47,20.13,20.99,0.99,4.95,"275,624",22.40,3.40,...,...,...,101.05,Wednesday,Wednesday,2018/05/30
690135,1422,Rocket Pharmaceuticals,RCKT,20.98,21.73,19.05,19.44,-1.55,-7.38,"753,189",22.4,3.4,...,...,...,86.21,Thursday,Thursday,2018/05/31
690136,1432,Rocket Pharmaceuticals,RCKT,19.62,20.78,19.23,19.85,0.41,2.11,"331,607",22.40,3.40,...,...,...,90.13,Friday,Friday,2018/06/01
690137,1432,Rocket Pharmaceuticals,RCKT,19.93,23.05,19.08,23.0,3.15,15.87,"783,471",23.05,3.40,...,...,...,120.31,Monday,Monday,2018/06/04
690138,1428,Rocket Pharmaceuticals,RCKT,23.0,24.28,21.66,22.18,-0.82,-3.57,"745,627",24.28,3.4,...,...,...,112.45,Tuesday,Tuesday,2018/06/05
690139,1439,Rocket Pharmaceuticals,RCKT,22.22,22.37,21.54,21.87,-0.31,-1.40,"180,541",24.28,3.40,...,...,...,109.48,Wednesday,Wednesday,2018/06/06
690140,1436,Rocket Pharmaceuticals,RCKT,21.75,21.75,20.56,21.49,-0.38,-1.74,"267,517",24.28,3.40,...,...,...,105.84,Thursday,Thursday,2018/06/07
690141,1432,Rocket Pharmaceuticals,RCKT,21.29,22.24,21.29,21.93,0.44,2.05,"226,154",24.28,3.40,...,...,...,110.06,Friday,Friday,2018/06/08
690142,1431,Rocket Pharmaceuticals,RCKT,22.0,22.01,20.71,21.08,-0.85,-3.88,"163,896",24.28,3.4,...,...,...,101.92,Monday,Monday,2018/06/11
690143,1428,Rocket Pharmaceuticals,RCKT,21.15,22.0,21.15,21.45,0.37,1.76,"147,713",24.28,3.4,...,...,...,105.46,Tuesday,Tuesday,2018/06/12
690144,1430,Rocket Pharmaceuticals,RCKT,21.5,21.78,20.83,21.15,-0.30,-1.40,"178,974",24.28,3.4,...,...,...,102.59,Wednesday,Wednesday,2018/06/13
690145,1431,Rocket Pharmaceuticals,RCKT,21.25,21.41,20.65,21.17,0.02,0.09,"264,289",24.28,3.4,...,...,...,102.78,Thursday,Thursday,2018/06/14
690146,1428,Rocket Pharmaceuticals,RCKT,21.11,22.09,21.0,21.89,0.72,3.40,"302,204",24.28,3.40,...,...,...,109.67,Friday,Friday,2018/06/15
690147,1429,Rocket Pharmaceuticals,RCKT,21.57,22.13,21.15,21.38,-0.51,-2.33,"210,176",24.28,3.40,...,...,...,104.79,Monday,Monday,2018/06/18
690148,1424,Rocket Pharmaceuticals,RCKT,21.09,21.96,20.57,21.82,0.44,2.06,"265,114",24.28,3.4,...,...,...,109.00,Tuesday,Tuesday,2018/06/19
690149,1423,Rocket Pharmaceuticals,RCKT,21.91,23.02,21.67,22.09,0.27,1.24,"328,634",24.28,3.40,...,...,...,111.59,Wednesday,Wednesday,2018/06/20
690150,1431,Rocket Pharmaceuticals,RCKT,22.15,22.52,20.01,20.45,-1.64,-7.42,"396,097",24.28,3.4,...,...,...,95.88,Thursday,Thursday,2018/06/21
690151,1435,Rocket Pharmaceuticals,RCKT,20.46,21.06,19.44,20.42,-0.03,-0.15,"2,362,783",24.28,3.4,...,...,...,95.59,Friday,Friday,2018/06/22
690152,1432,Rocket Pharmaceuticals,RCKT,20.43,21.69,19.99,20.61,0.19,0.93,"579,345",24.28,3.4,...,...,...,97.41,Monday,Monday,2018/06/25
690153,1430,Rocket Pharmaceuticals,RCKT,20.6,21.75,18.95,20.87,0.26,1.26,"802,374",24.28,3.4,...,...,...,99.90,Tuesday,Tuesday,2018/06/26
690154,1434,Rocket Pharmaceuticals,RCKT,20.76,20.98,20.08,20.11,-0.76,-3.64,"297,645",24.28,3.40,...,...,...,92.62,Wednesday,Wednesday,2018/06/27
690155,1439,Rocket Pharmaceuticals,RCKT,20.05,20.18,18.85,19.25,-0.86,-4.28,"300,755",24.28,3.40,...,...,...,84.39,Thursday,Thursday,2018/06/28
690156,1444,Rocket Pharmaceuticals,RCKT,19.36,19.82,18.61,19.63,0.38,1.97,"367,464",24.28,3.40,...,...,...,88.03,Friday,Friday,2018/06/29
690157,1442,Rocket Pharmaceuticals,RCKT,19.43,19.43,18.33,19.1,-0.53,-2.70,"156,477",24.28,3.4,...,...,...,82.95,Monday,Monday,2018/07/02
690158,1425,Rocket Pharmaceuticals,RCKT,19.17,20.3,18.35,18.89,-0.21,-1.10,"264,061",24.28,3.4,...,...,...,80.94,Tuesday,Tuesday,2018/07/03
690159,1435,Rocket Pharmaceuticals,RCKT,19.09,19.43,18.25,18.5,-0.39,-2.06,"187,090",24.28,3.4,...,...,...,77.20,Thursday,Thursday,2018/07/05
690160,1434,Rocket Pharmaceuticals,RCKT,18.6,19.6,18.51,19.17,0.67,3.62,"251,584",24.28,3.4,...,...,...,83.62,Friday,Friday,2018/07/06
690161,1433,Rocket Pharmaceuticals,RCKT,19.18,19.79,18.72,19.68,0.51,2.66,"176,601",24.28,3.4,...,...,...,88.51,Monday,Monday,2018/07/09
690162,1439,Rocket Pharmaceuticals,RCKT,20.25,21.49,19.93,21.42,1.74,8.84,"271,131",24.28,3.56,...,...,...,105.17,Tuesday,Tuesday,2018/07/10
