,Unnamed: 0,Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg,Stock,day,date
694892,1557,Regency Centers,REG,59.16,59.52,58.55,58.98,-0.04,-0.07,"1,310,331",70.64,54.87,2.22,3.76,83.26,-14.74,Thursday,Thursday,2018/03/29
694893,1545,Regency Centers,REG,58.82,59.35,58.49,58.87,-0.11,-0.19,"888,289",70.64,54.87,2.22,3.77,83.10,-14.90,Wednesday,Wednesday,2018/04/11
694894,1549,Regency Centers,REG,59.22,59.22,57.71,58.19,-0.68,-1.16,"780,692",70.64,54.87,2.22,3.82,82.14,-15.89,Thursday,Thursday,2018/04/12
694895,1536,Regency Centers,REG,58.71,59.16,58.21,58.58,0.05,0.09,"1,039,073",70.64,54.87,2.22,3.79,82.69,-15.32,Tuesday,Tuesday,2018/04/17
694896,1544,Regency Centers,REG,58.68,58.87,58.13,58.24,-0.34,-0.58,"779,543",70.64,54.87,2.22,3.81,82.21,-15.81,Wednesday,Wednesday,2018/04/18
694897,1547,Regency Centers,REG,58.1,58.1,56.66,57.1,-1.14,-1.96,"785,277",70.64,54.87,2.22,3.89,80.60,-17.46,Thursday,Thursday,2018/04/19
694898,1540,Regency Centers,REG,57.15,57.52,56.07,56.12,-0.98,-1.72,"709,282",70.64,54.87,2.22,3.96,79.22,-18.88,Friday,Friday,2018/04/20
694899,1548,Regency Centers,REG,55.95,56.39,55.77,56.18,0.07,0.12,"774,488",70.64,54.87,2.22,3.95,79.31,-18.79,Tuesday,Tuesday,2018/04/24
694900,1548,Regency Centers,REG,56.12,56.46,55.43,56.0,-0.18,-0.32,"480,175",70.64,54.87,2.22,3.96,79.05,-19.05,Wednesday,Wednesday,2018/04/25
694901,1546,Regency Centers,REG,57.24,58.91,57.09,58.78,1.54,2.69,"872,318",70.64,54.87,2.22,3.78,82.98,-15.03,Friday,Friday,2018/04/27
694902,1546,Regency Centers,REG,58.92,59.39,58.49,58.85,0.07,0.12,"1,270,965",70.64,54.87,2.22,3.77,83.07,-14.93,Monday,Monday,2018/04/30
694903,1556,Regency Centers,REG,58.85,59.52,58.15,59.26,0.41,0.70,"879,301",70.64,54.87,2.22,3.75,83.65,-14.34,Tuesday,Tuesday,2018/05/01
694904,1548,Regency Centers,REG,58.06,58.4,57.68,57.75,-0.36,-0.62,"1,010,860",70.64,54.87,2.22,3.84,45.07,-16.52,Thursday,Thursday,2018/05/03
694905,1548,Regency Centers,REG,57.64,58.92,57.64,58.76,1.01,1.75,"709,917",70.64,54.87,2.22,3.78,45.86,-15.06,Friday,Friday,2018/05/04
694906,1554,Regency Centers,REG,59.04,59.2,58.63,58.9,0.14,0.24,"536,791",70.64,54.87,2.22,3.77,45.97,-14.86,Monday,Monday,2018/05/07
694907,1545,Regency Centers,REG,58.8,58.87,57.94,58.09,-0.81,-1.38,"801,441",70.64,54.87,2.22,3.82,45.33,-16.03,Tuesday,Tuesday,2018/05/08
694908,1558,Regency Centers,REG,58.03,58.7,57.74,58.65,0.56,0.96,"628,323",70.64,54.87,2.22,3.79,45.77,-15.22,Wednesday,Wednesday,2018/05/09
694909,1554,Regency Centers,REG,58.96,59.11,58.49,58.64,-0.01,-0.02,"620,981",70.64,54.87,2.22,3.79,45.76,-15.24,Thursday,Thursday,2018/05/10
694910,1551,Regency Centers,REG,58.82,59.08,58.45,58.55,-0.09,-0.15,"683,026",70.64,54.87,2.22,3.79,45.69,-15.37,Friday,Friday,2018/05/11
694911,1553,Regency Centers,REG,58.41,58.81,57.36,57.7,-0.85,-1.45,"764,058",70.64,54.87,2.22,3.85,45.03,-16.59,Monday,Monday,2018/05/14
694912,1551,Regency Centers,REG,56.77,56.97,56.14,56.4,-0.75,-1.30,"1,303,912",70.64,54.87,2.22,3.94,44.01,-18.47,Tuesday,Tuesday,2018/05/15
694913,1554,Regency Centers,REG,56.68,56.95,56.15,56.29,-0.11,-0.20,"1,174,447",70.64,54.87,2.22,3.94,43.93,-18.63,Wednesday,Wednesday,2018/05/16
694914,1551,Regency Centers,REG,56.35,56.68,55.88,56.27,-0.02,-0.04,"913,739",70.64,54.87,2.22,3.95,43.91,-18.66,Thursday,Thursday,2018/05/17
694915,1550,Regency Centers,REG,55.88,56.08,55.46,55.7,-0.57,-1.01,"1,616,751",70.64,54.87,2.22,3.99,43.47,-19.49,Friday,Friday,2018/05/18
694916,1552,Regency Centers,REG,56.11,56.95,55.38,56.66,0.96,1.72,"918,552",70.64,54.87,2.22,3.92,44.22,-18.10,Monday,Monday,2018/05/21
694917,1550,Regency Centers,REG,56.68,57.39,56.58,57.2,0.54,0.95,"1,340,017",70.64,54.87,2.22,3.88,44.64,-17.32,Tuesday,Tuesday,2018/05/22
694918,1552,Regency Centers,REG,57.35,58.01,57.11,57.6,0.40,0.70,"1,634,006",70.64,54.87,2.22,3.85,44.95,-16.74,Wednesday,Wednesday,2018/05/23
694919,1556,Regency Centers,REG,57.81,58.08,57.07,57.38,-0.22,-0.38,"1,028,421",70.64,54.87,2.22,3.87,44.78,-17.06,Thursday,Thursday,2018/05/24
694920,1559,Regency Centers,REG,57.59,57.88,57.33,57.8,0.42,0.73,"1,109,811",70.64,54.87,2.22,3.84,45.11,-16.45,Friday,Friday,2018/05/25
694921,1557,Regency Centers,REG,57.43,58.19,57.16,58.0,0.20,0.35,"1,338,272",70.64,54.87,2.22,3.83,45.26,-16.16,Tuesday,Tuesday,2018/05/29
694922,1558,Regency Centers,REG,57.96,58.61,57.57,58.41,0.41,0.71,"1,339,371",70.64,54.87,2.22,3.80,45.58,-15.57,Wednesday,Wednesday,2018/05/30
694923,1556,Regency Centers,REG,58.41,58.53,57.89,58.08,-0.33,-0.56,"1,408,400",70.64,54.87,2.22,3.82,45.33,-16.05,Thursday,Thursday,2018/05/31
694924,1558,Regency Centers,REG,58.19,58.62,57.62,57.76,-0.32,-0.55,"1,497,951",70.64,54.87,2.22,3.84,45.08,-16.51,Friday,Friday,2018/06/01
694925,1549,Regency Centers,REG,58.02,58.52,57.89,58.46,0.70,1.21,"1,050,456",70.64,54.87,2.22,3.80,45.62,-15.50,Monday,Monday,2018/06/04
694926,1550,Regency Centers,REG,58.63,59.3,58.46,58.82,0.36,0.62,"1,272,228",70.64,54.87,2.22,3.77,45.90,-14.98,Tuesday,Tuesday,2018/06/05
694927,1557,Regency Centers,REG,58.71,59.28,58.42,59.17,0.35,0.60,"1,312,643",70.64,54.87,2.22,3.75,46.18,-14.47,Wednesday,Wednesday,2018/06/06
694928,1552,Regency Centers,REG,59.14,59.53,58.72,59.16,-0.01,-0.02,"1,527,242",70.64,54.87,2.22,3.75,46.17,-14.48,Thursday,Thursday,2018/06/07
694929,1546,Regency Centers,REG,59.19,59.61,58.85,59.47,0.31,0.52,"1,257,229",70.64,54.87,2.22,3.73,46.41,-14.04,Friday,Friday,2018/06/08
694930,1552,Regency Centers,REG,59.53,59.74,59.19,59.32,-0.15,-0.25,"991,749",70.64,54.87,2.22,3.74,46.29,-14.25,Monday,Monday,2018/06/11
694931,1548,Regency Centers,REG,59.32,60.59,59.2,60.42,1.10,1.85,"1,435,789",70.64,54.87,2.22,3.67,47.15,-12.66,Tuesday,Tuesday,2018/06/12
694932,1550,Regency Centers,REG,60.51,60.66,59.17,59.37,-1.05,-1.74,"824,991",70.64,54.87,2.22,3.74,46.33,-14.18,Wednesday,Wednesday,2018/06/13
694933,1550,Regency Centers,REG,59.56,60.2,59.49,60.01,0.64,1.08,"820,330",70.64,54.87,2.22,3.70,46.83,-13.26,Thursday,Thursday,2018/06/14
694934,1550,Regency Centers,REG,59.94,60.38,59.55,59.71,-0.30,-0.50,"1,533,594",70.64,54.87,2.22,3.72,46.60,-13.69,Friday,Friday,2018/06/15
694935,1549,Regency Centers,REG,59.55,59.95,59.08,59.64,-0.07,-0.12,"1,020,273",70.64,54.87,2.22,3.72,46.54,-13.79,Monday,Monday,2018/06/18
694936,1552,Regency Centers,REG,59.55,59.86,58.93,59.06,-0.58,-0.97,"986,598",70.64,54.87,2.22,3.76,46.09,-14.63,Tuesday,Tuesday,2018/06/19
