,Unnamed: 0,Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg,Stock,day,date
698167,1576,REV Group,REVG,20.67,20.93,20.51,20.76,0.18,0.87,"529,000",33.15,20.47,0.20,0.96,25.32,-36.18,Thursday,Thursday,2018/03/29
698168,1564,REV Group,REVG,19.84,20.04,19.65,19.85,-0.05,-0.25,"516,628",33.15,19.53,0.20,1.01,24.21,-38.98,Wednesday,Wednesday,2018/04/11
698169,1568,REV Group,REVG,19.88,20.21,19.85,20.0,0.15,0.76,"349,978",33.15,19.53,0.20,1.00,24.39,-38.52,Thursday,Thursday,2018/04/12
698170,1555,REV Group,REVG,20.15,20.25,18.4,18.42,-1.78,-8.81,"1,397,773",33.15,18.40,0.20,1.09,22.46,-43.38,Tuesday,Tuesday,2018/04/17
698171,1563,REV Group,REVG,18.42,18.96,18.29,18.8,0.38,2.06,"963,332",33.15,18.29,0.20,1.06,22.93,-42.21,Wednesday,Wednesday,2018/04/18
698172,1566,REV Group,REVG,18.9,18.9,18.53,18.65,-0.15,-0.80,"681,326",33.15,18.29,0.20,1.07,22.74,-42.67,Thursday,Thursday,2018/04/19
698173,1559,REV Group,REVG,18.62,18.75,18.43,18.54,-0.11,-0.59,"624,114",33.15,18.29,0.20,1.08,22.61,-43.01,Friday,Friday,2018/04/20
698174,1567,REV Group,REVG,18.28,18.42,17.6,18.0,-0.19,-1.04,"678,712",33.15,17.60,0.20,1.11,21.95,-44.67,Tuesday,Tuesday,2018/04/24
698175,1567,REV Group,REVG,17.95,18.06,17.57,17.97,-0.03,-0.17,"517,012",33.15,17.57,0.20,1.11,21.91,-44.76,Wednesday,Wednesday,2018/04/25
698176,1565,REV Group,REVG,18.12,18.25,17.96,18.23,0.08,0.44,"353,717",33.15,17.57,0.20,1.10,22.23,-43.96,Friday,Friday,2018/04/27
698177,1565,REV Group,REVG,18.2,18.35,18.0,18.05,-0.18,-0.99,"379,402",33.15,17.57,0.20,1.11,22.01,-44.51,Monday,Monday,2018/04/30
698178,1575,REV Group,REVG,17.98,18.16,17.61,18.15,0.10,0.55,"445,561",33.15,17.57,0.20,1.10,22.13,-44.21,Tuesday,Tuesday,2018/05/01
698179,1567,REV Group,REVG,17.62,17.64,16.79,17.38,-0.30,-1.70,"472,056",33.15,16.79,0.20,1.15,21.20,-46.57,Thursday,Thursday,2018/05/03
698180,1567,REV Group,REVG,17.38,17.81,17.25,17.69,0.31,1.78,"270,499",33.15,16.79,0.20,1.13,21.57,-45.62,Friday,Friday,2018/05/04
698181,1573,REV Group,REVG,17.74,18.66,17.52,18.43,0.74,4.18,"419,321",33.15,16.79,0.20,1.09,22.48,-43.34,Monday,Monday,2018/05/07
698182,1564,REV Group,REVG,18.37,18.43,17.85,18.0,-0.43,-2.33,"290,051",33.15,16.79,0.20,1.11,21.95,-44.67,Tuesday,Tuesday,2018/05/08
698183,1577,REV Group,REVG,18.02,18.31,17.81,17.85,-0.15,-0.83,"346,084",33.15,16.79,0.20,1.12,21.77,-45.13,Wednesday,Wednesday,2018/05/09
698184,1573,REV Group,REVG,17.83,17.95,17.57,17.7,-0.15,-0.84,"382,735",33.15,16.79,0.20,1.13,21.59,-45.59,Thursday,Thursday,2018/05/10
698185,1570,REV Group,REVG,17.67,17.93,17.16,17.41,-0.29,-1.64,"287,942",33.15,16.79,0.20,1.15,21.23,-46.48,Friday,Friday,2018/05/11
