,Unnamed: 0,Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg,Stock,day,date
698757,1569,Resideo Technologies,REZI,28.00,28.67,24.50,25.82,-2.03,-7.29,"18,882,991",32.55,24.50,...,...,...,...,Monday,Monday,2018/10/29
698758,1573,Resideo Technologies,REZI,24.80,25.00,20.51,21.06,-4.76,-18.44,"8,188,551",32.55,20.51,...,...,...,...,Tuesday,Tuesday,2018/10/30
698759,1580,Resideo Technologies,REZI,21.22,22.51,19.31,21.05,-0.01,-0.05,"8,145,009",32.55,19.31,...,...,...,...,Wednesday,Wednesday,2018/10/31
698760,1579,Resideo Technologies,REZI,20.88,23.73,20.42,22.00,0.95,4.51,"9,961,146",32.55,19.31,...,...,...,...,Thursday,Thursday,2018/11/01
698761,1575,Resideo Technologies,REZI,22.00,23.97,20.55,23.78,1.78,8.09,"8,067,016",32.55,19.31,...,...,...,...,Friday,Friday,2018/11/02
698762,1570,Resideo Technologies,REZI,23.53,25.01,23.38,24.71,0.93,3.91,"5,318,476",32.55,19.31,...,...,...,...,Monday,Monday,2018/11/05
698763,1578,Resideo Technologies,REZI,24.32,24.66,23.50,24.09,-0.62,-2.51,"5,160,374",32.55,19.31,...,...,...,...,Tuesday,Tuesday,2018/11/06
698764,1571,Resideo Technologies,REZI,24.0,24.17,22.51,23.7,-0.39,-1.62,"3,685,047",32.55,19.31,...,...,...,...,Wednesday,Wednesday,2018/11/07
698765,1569,Resideo Technologies,REZI,23.01,23.64,22.16,22.21,-1.49,-6.29,"2,284,230",32.55,19.31,...,...,...,...,Thursday,Thursday,2018/11/08
698766,1565,Resideo Technologies,REZI,21.73,22.08,21.46,21.97,-0.24,-1.08,"2,070,453",32.55,19.31,...,...,...,...,Friday,Friday,2018/11/09
698767,1570,Resideo Technologies,REZI,22.14,22.23,21.14,21.37,-0.60,-2.73,"2,112,044",32.55,19.31,...,...,...,...,Monday,Monday,2018/11/12
698768,1566,Resideo Technologies,REZI,21.16,22.00,20.99,21.26,-0.11,-0.51,"2,773,235",32.55,19.31,...,...,...,...,Tuesday,Tuesday,2018/11/13
698769,1566,Resideo Technologies,REZI,21.99,22.95,21.37,21.49,0.23,1.08,"3,749,326",32.55,19.31,...,...,...,...,Wednesday,Wednesday,2018/11/14
698770,1568,Resideo Technologies,REZI,21.08,22.61,21.01,22.03,0.54,2.51,"2,515,847",32.55,19.31,...,...,...,...,Thursday,Thursday,2018/11/15
698771,1567,Resideo Technologies,REZI,22.00,22.00,20.95,21.02,-1.01,-4.58,"2,494,857",32.55,19.31,...,...,...,...,Friday,Friday,2018/11/16
698772,1580,Resideo Technologies,REZI,21.04,21.04,19.43,19.43,-1.59,-7.56,"2,565,430",32.55,19.31,...,...,...,...,Monday,Monday,2018/11/19
698773,1569,Resideo Technologies,REZI,19.34,19.63,18.77,19.52,0.09,0.46,"1,407,102",32.55,18.77,...,...,...,...,Tuesday,Tuesday,2018/11/20
698774,1558,Resideo Technologies,REZI,19.50,20.24,19.26,19.68,0.16,0.82,"1,074,512",32.55,18.77,...,...,...,...,Wednesday,Wednesday,2018/11/21
698775,1555,Resideo Technologies,REZI,19.16,19.85,19.13,19.41,-0.27,-1.37,"406,011",32.55,18.77,...,...,...,...,Friday,Friday,2018/11/23
698776,1569,Resideo Technologies,REZI,19.61,20.10,19.25,19.91,0.50,2.58,"1,411,492",32.55,18.77,...,...,...,...,Monday,Monday,2018/11/26
698777,1566,Resideo Technologies,REZI,19.30,19.99,19.16,19.35,-0.56,-2.81,"3,087,293",32.55,18.77,...,...,...,...,Tuesday,Tuesday,2018/11/27
698778,1565,Resideo Technologies,REZI,19.17,20.32,19.14,20.16,0.81,4.19,"1,283,194",32.55,18.77,...,...,...,...,Wednesday,Wednesday,2018/11/28
698779,1570,Resideo Technologies,REZI,20.02,20.91,19.9,20.75,0.59,2.93,"1,774,126",32.55,18.77,...,...,...,...,Thursday,Thursday,2018/11/29
698780,1572,Resideo Technologies,REZI,20.97,21.3,20.47,20.63,-0.12,-0.58,"2,605,530",32.55,18.77,...,...,...,...,Friday,Friday,2018/11/30
698781,1560,Resideo Technologies,REZI,20.73,21.17,20.51,20.95,0.32,1.55,"1,047,858",32.55,18.77,...,...,...,...,Monday,Monday,2018/12/03
698782,1572,Resideo Technologies,REZI,20.87,20.96,20.23,20.4,-0.55,-2.63,"1,557,809",32.55,18.77,...,...,...,...,Tuesday,Tuesday,2018/12/04
698783,1569,Resideo Technologies,REZI,20.45,20.64,19.8,20.6,0.20,0.98,"1,303,284",32.55,18.77,...,...,...,...,Thursday,Thursday,2018/12/06
698784,1561,Resideo Technologies,REZI,20.64,21.31,20.53,21.05,0.45,2.18,"2,961,052",32.55,18.77,...,...,...,...,Friday,Friday,2018/12/07
698785,1571,Resideo Technologies,REZI,21.1,21.7,20.66,21.57,0.52,2.47,"1,388,313",32.55,18.77,...,...,...,...,Monday,Monday,2018/12/10
698786,1567,Resideo Technologies,REZI,21.93,22.18,21.18,21.48,-0.09,-0.42,"1,325,400",32.55,18.77,...,...,...,...,Tuesday,Tuesday,2018/12/11
698787,1569,Resideo Technologies,REZI,21.43,22.07,21.22,21.44,-0.04,-0.19,"1,186,875",32.55,18.77,...,...,...,...,Wednesday,Wednesday,2018/12/12
698788,1564,Resideo Technologies,REZI,21.46,22.3,21.28,22.12,0.68,3.17,"1,664,600",32.55,18.77,...,...,...,...,Thursday,Thursday,2018/12/13
698789,1559,Resideo Technologies,REZI,21.99,22.79,21.49,22.53,0.41,1.85,"1,437,154",32.55,18.77,...,...,...,...,Friday,Friday,2018/12/14
698790,1564,Resideo Technologies,REZI,22.64,22.64,22.09,22.26,-0.27,-1.20,"2,504,117",32.55,18.77,...,...,...,...,Monday,Monday,2018/12/17
698791,1559,Resideo Technologies,REZI,22.23,22.92,22.06,22.81,0.55,2.47,"1,375,752",32.55,18.77,...,...,...,...,Tuesday,Tuesday,2018/12/18
698792,1565,Resideo Technologies,REZI,22.86,23.43,22.24,22.42,-0.39,-1.71,"1,778,591",32.55,18.77,...,...,...,...,Wednesday,Wednesday,2018/12/19
698793,1559,Resideo Technologies,REZI,22.15,22.31,20.92,21.49,-0.93,-4.15,"1,917,608",32.55,18.77,...,...,...,...,Thursday,Thursday,2018/12/20
698794,1558,Resideo Technologies,REZI,21.42,21.45,19.7,20.08,-1.41,-6.56,"3,733,842",32.55,18.77,...,...,...,...,Friday,Friday,2018/12/21
698795,1554,Resideo Technologies,REZI,19.78,20.13,19.44,19.45,-0.63,-3.14,"537,177",32.55,18.77,...,...,...,...,Monday,Monday,2018/12/24
