,Unnamed: 0,Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg,Stock,day,date
706306,1541,Ra Medical Systems,RMED,21.50,22.00,19.00,20.00,3.00,17.65,"2,364,997",22.0,17.00,...,...,...,...,Thursday,Thursday,2018/09/27
706307,1554,Ra Medical Systems,RMED,19.95,20.17,17.59,18.20,-1.80,-9.00,"205,398",22.0,17.59,...,...,...,...,Friday,Friday,2018/09/28
706308,1548,Ra Medical Systems,RMED,18.20,18.26,14.60,14.81,-3.39,-18.63,"648,362",22.00,14.60,...,...,...,...,Monday,Monday,2018/10/01
706309,1544,Ra Medical Systems,RMED,14.81,15.43,13.52,14.29,-0.52,-3.51,"415,458",22.00,13.52,...,...,...,...,Tuesday,Tuesday,2018/10/02
706310,1549,Ra Medical Systems,RMED,14.28,14.49,13.32,14.49,0.20,1.40,"260,808",22.00,13.32,...,...,...,...,Wednesday,Wednesday,2018/10/03
706311,1552,Ra Medical Systems,RMED,14.43,14.43,12.65,13.90,-0.59,-4.07,"142,488",22.0,12.65,...,...,...,...,Thursday,Thursday,2018/10/04
706312,1544,Ra Medical Systems,RMED,13.80,13.88,13.10,13.42,-0.48,-3.45,"210,423",22.0,12.65,...,...,...,...,Friday,Friday,2018/10/05
706313,1544,Ra Medical Systems,RMED,13.60,13.66,12.81,13.00,-0.42,-3.13,"54,777",22.0,12.65,...,...,...,...,Monday,Monday,2018/10/08
706314,1542,Ra Medical Systems,RMED,12.90,13.20,12.12,12.70,-0.30,-2.31,"138,914",22.0,12.12,...,...,...,...,Tuesday,Tuesday,2018/10/09
706315,1543,Ra Medical Systems,RMED,12.69,12.69,12.11,12.25,-0.45,-3.54,"85,487",22.0,12.11,...,...,...,...,Wednesday,Wednesday,2018/10/10
706316,1547,Ra Medical Systems,RMED,12.24,12.49,12.10,12.20,-0.05,-0.41,"74,792",22.0,12.10,...,...,...,...,Thursday,Thursday,2018/10/11
706317,1545,Ra Medical Systems,RMED,12.73,12.73,11.55,12.07,-0.13,-1.07,"99,697",22.0,11.55,...,...,...,...,Friday,Friday,2018/10/12
706318,1543,Ra Medical Systems,RMED,11.04,12.48,11.04,11.24,-0.83,-6.88,"127,986",22.00,11.04,...,...,...,...,Monday,Monday,2018/10/15
706319,1547,Ra Medical Systems,RMED,11.20,11.70,10.76,11.40,0.16,1.42,"149,534",22.0,10.76,...,...,...,...,Tuesday,Tuesday,2018/10/16
706320,1544,Ra Medical Systems,RMED,11.34,11.60,10.99,11.20,-0.20,-1.75,"84,729",22.0,10.76,...,...,...,...,Wednesday,Wednesday,2018/10/17
706321,1546,Ra Medical Systems,RMED,11.17,11.98,11.00,11.95,0.75,6.70,"89,779",22.0,10.76,...,...,...,...,Thursday,Thursday,2018/10/18
706322,1540,Ra Medical Systems,RMED,12.00,13.70,11.99,13.35,1.40,11.72,"176,151",22.0,10.76,...,...,...,...,Friday,Friday,2018/10/19
706323,1549,Ra Medical Systems,RMED,13.29,13.35,10.73,12.01,-1.34,-10.04,"270,102",22.0,10.73,...,...,...,...,Monday,Monday,2018/10/22
706324,1543,Ra Medical Systems,RMED,11.89,11.94,11.25,11.50,-0.51,-4.25,"121,000",22.0,10.73,...,...,...,...,Tuesday,Tuesday,2018/10/23
706325,1547,Ra Medical Systems,RMED,11.50,11.80,10.80,11.30,-0.20,-1.74,"124,420",22.0,10.73,...,...,...,...,Wednesday,Wednesday,2018/10/24
706326,1545,Ra Medical Systems,RMED,11.40,11.50,10.72,10.77,-0.53,-4.69,"102,494",22.0,10.72,...,...,...,...,Thursday,Thursday,2018/10/25
706327,1544,Ra Medical Systems,RMED,10.82,11.75,10.50,11.20,0.43,3.99,"110,553",22.00,10.50,...,...,...,...,Friday,Friday,2018/10/26
706328,1542,Ra Medical Systems,RMED,11.28,11.49,10.60,10.71,-0.49,-4.37,"38,285",22.00,10.50,...,...,...,...,Monday,Monday,2018/10/29
706329,1547,Ra Medical Systems,RMED,10.71,11.00,10.35,10.60,-0.11,-1.03,"40,570",22.00,10.35,...,...,...,...,Tuesday,Tuesday,2018/10/30
706330,1553,Ra Medical Systems,RMED,10.59,10.91,10.38,10.70,0.10,0.94,"67,665",22.00,10.35,...,...,...,...,Wednesday,Wednesday,2018/10/31
706331,1551,Ra Medical Systems,RMED,10.75,11.00,10.48,10.55,-0.15,-1.40,"84,668",22.0,10.35,...,...,...,...,Thursday,Thursday,2018/11/01
706332,1548,Ra Medical Systems,RMED,10.75,11.20,10.75,10.85,0.30,2.84,"63,405",22.0,10.35,...,...,...,...,Friday,Friday,2018/11/02
706333,1543,Ra Medical Systems,RMED,10.93,10.93,10.41,10.41,-0.44,-4.06,"34,464",22.0,10.35,...,...,...,...,Monday,Monday,2018/11/05
706334,1550,Ra Medical Systems,RMED,10.38,10.45,9.33,9.97,-0.44,-4.23,"116,494",22.0,9.33,...,...,...,...,Tuesday,Tuesday,2018/11/06
706335,1543,Ra Medical Systems,RMED,10.01,10.75,9.75,9.75,-0.22,-2.21,"29,986",22.0,9.33,...,...,...,...,Wednesday,Wednesday,2018/11/07
706336,1542,Ra Medical Systems,RMED,9.74,9.85,8.75,8.81,-0.94,-9.64,"102,296",22.0,8.75,...,...,...,...,Thursday,Thursday,2018/11/08
706337,1538,Ra Medical Systems,RMED,8.84,9.25,8.29,8.91,0.10,1.14,"128,248",22.00,8.29,...,...,...,...,Friday,Friday,2018/11/09
706338,1543,Ra Medical Systems,RMED,8.83,9.04,8.41,8.41,-0.50,-5.61,"64,093",22.0,8.29,...,...,...,...,Monday,Monday,2018/11/12
706339,1539,Ra Medical Systems,RMED,8.67,8.67,7.50,8.23,-0.18,-2.14,"136,730",22.0,7.50,...,...,...,...,Tuesday,Tuesday,2018/11/13
706340,1541,Ra Medical Systems,RMED,8.52,9.17,7.76,8.48,0.25,3.04,"215,180",22.0,7.50,...,...,...,...,Wednesday,Wednesday,2018/11/14
706341,1542,Ra Medical Systems,RMED,8.42,8.88,8.17,8.55,0.07,0.83,"109,283",22.00,7.50,...,...,...,...,Thursday,Thursday,2018/11/15
706342,1539,Ra Medical Systems,RMED,8.62,9.00,7.85,8.14,-0.41,-4.80,"120,774",22.0,7.50,...,...,...,...,Friday,Friday,2018/11/16
706343,1553,Ra Medical Systems,RMED,8.22,8.60,7.93,8.31,0.17,2.09,"102,767",22.0,7.50,...,...,...,...,Monday,Monday,2018/11/19
706344,1542,Ra Medical Systems,RMED,8.25,8.46,8.04,8.17,-0.14,-1.68,"46,018",22.00,7.50,...,...,...,...,Tuesday,Tuesday,2018/11/20
706345,1532,Ra Medical Systems,RMED,8.20,8.66,8.20,8.40,0.23,2.82,"116,750",22.0,7.50,...,...,...,...,Wednesday,Wednesday,2018/11/21
706346,1530,Ra Medical Systems,RMED,8.29,8.34,7.78,7.79,-0.61,-7.26,"69,430",22.0,7.50,...,...,...,...,Friday,Friday,2018/11/23
706347,1543,Ra Medical Systems,RMED,7.82,8.21,7.82,8.10,0.31,3.98,"196,227",22.00,7.50,...,...,...,...,Monday,Monday,2018/11/26
706348,1538,Ra Medical Systems,RMED,8.10,8.42,7.88,7.92,-0.18,-2.22,"129,010",22.0,7.5,...,...,...,...,Tuesday,Tuesday,2018/11/27
706349,1540,Ra Medical Systems,RMED,8.02,8.39,7.99,8.32,0.40,5.05,"206,192",22.0,7.5,...,...,...,...,Wednesday,Wednesday,2018/11/28
706350,1543,Ra Medical Systems,RMED,8.39,8.99,8.11,8.99,0.67,8.05,"59,903",22.0,7.5,...,...,...,...,Thursday,Thursday,2018/11/29
