,Unnamed: 0,Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg,Stock,day,date
706961,1431,Rockwell Medical,RMTI,5.3,5.44,5.14,5.21,-0.09,-1.70,"118,906",8.98,4.84,...,...,...,-10.48,Thursday,Thursday,2018/03/29
706962,1410,Rockwell Medical,RMTI,5.84,6.18,5.84,6.16,0.33,5.66,"542,145",8.98,4.84,...,...,...,5.84,Wednesday,Wednesday,2018/04/11
706963,1413,Rockwell Medical,RMTI,6.17,6.55,6.17,6.24,0.08,1.30,"349,039",8.98,4.84,...,...,...,7.22,Thursday,Thursday,2018/04/12
706964,1418,Rockwell Medical,RMTI,5.79,5.94,5.53,5.59,-0.16,-2.78,"222,727",8.98,4.84,...,...,...,-3.95,Tuesday,Tuesday,2018/04/17
706965,1422,Rockwell Medical,RMTI,5.67,5.7,5.6,5.65,0.06,1.07,"121,243",8.98,4.84,...,...,...,-2.92,Wednesday,Wednesday,2018/04/18
706966,1423,Rockwell Medical,RMTI,5.62,5.7,5.46,5.52,-0.13,-2.30,"138,932",8.98,4.84,...,...,...,-5.15,Thursday,Thursday,2018/04/19
706967,1421,Rockwell Medical,RMTI,5.48,5.65,5.42,5.6,0.08,1.45,"107,093",8.98,4.84,...,...,...,-3.78,Friday,Friday,2018/04/20
706968,1420,Rockwell Medical,RMTI,5.51,5.86,5.44,5.54,0.05,0.91,"220,604",8.98,4.84,...,...,...,-4.81,Tuesday,Tuesday,2018/04/24
706969,1425,Rockwell Medical,RMTI,5.51,5.58,5.27,5.38,-0.16,-2.89,"188,950",8.98,4.84,...,...,...,-7.56,Wednesday,Wednesday,2018/04/25
706970,1421,Rockwell Medical,RMTI,5.38,5.4,5.28,5.32,-0.05,-0.93,"110,234",8.98,4.84,...,...,...,-8.59,Friday,Friday,2018/04/27
706971,1423,Rockwell Medical,RMTI,5.32,5.36,5.26,5.29,-0.03,-0.56,"93,285",8.98,4.84,...,...,...,-9.11,Monday,Monday,2018/04/30
706972,1420,Rockwell Medical,RMTI,5.29,5.37,5.2,5.29,...,...,"162,714",8.86,4.84,...,...,...,-9.11,Tuesday,Tuesday,2018/05/01
706973,1415,Rockwell Medical,RMTI,5.31,5.34,5.18,5.31,-0.03,-0.56,"94,005",8.70,4.84,...,...,...,-8.76,Thursday,Thursday,2018/05/03
706974,1419,Rockwell Medical,RMTI,5.27,5.4,5.22,5.31,...,...,"77,799",8.70,4.84,...,...,...,-8.76,Friday,Friday,2018/05/04
706975,1425,Rockwell Medical,RMTI,5.31,5.67,5.31,5.59,0.28,5.27,"166,876",8.7,4.84,...,...,...,-3.95,Monday,Monday,2018/05/07
706976,1423,Rockwell Medical,RMTI,5.66,5.9,5.27,5.47,-0.12,-2.15,"335,190",8.70,4.84,...,...,...,-6.01,Tuesday,Tuesday,2018/05/08
706977,1429,Rockwell Medical,RMTI,5.44,5.73,5.34,5.71,0.24,4.39,"154,001",8.70,4.84,...,...,...,-1.89,Wednesday,Wednesday,2018/05/09
706978,1416,Rockwell Medical,RMTI,5.7,5.79,5.33,5.36,-0.35,-6.13,"269,723",8.7,4.84,...,...,...,-7.90,Thursday,Thursday,2018/05/10
706979,1427,Rockwell Medical,RMTI,5.58,5.81,5.29,5.57,0.21,3.92,"366,425",8.7,4.84,...,...,...,-4.30,Friday,Friday,2018/05/11
706980,1428,Rockwell Medical,RMTI,5.55,5.71,5.35,5.43,-0.14,-2.51,"189,070",8.7,4.84,...,...,...,-6.70,Monday,Monday,2018/05/14
706981,1425,Rockwell Medical,RMTI,5.36,6.16,5.36,6.04,0.61,11.23,"511,585",8.7,4.84,...,...,...,3.78,Tuesday,Tuesday,2018/05/15
706982,1431,Rockwell Medical,RMTI,6.02,6.09,5.7,5.9,-0.14,-2.32,"244,548",8.7,4.84,...,...,...,1.37,Wednesday,Wednesday,2018/05/16
706983,1427,Rockwell Medical,RMTI,5.92,6.11,5.81,6.07,0.17,2.88,"204,176",8.70,4.84,...,...,...,4.30,Thursday,Thursday,2018/05/17
