,Unnamed: 0,Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg,Stock,day,date
707911,1566,RenaissanceRe Holdings,RNR,138.61,138.77,137.23,138.51,0.44,0.32,"171,876",152.0,116.50,1.32,0.95,...,10.29,Thursday,Thursday,2018/03/29
707912,1554,RenaissanceRe Holdings,RNR,137.57,138.98,137.41,138.2,0.68,0.49,"165,928",152.00,116.50,1.32,0.96,...,10.04,Wednesday,Wednesday,2018/04/11
707913,1558,RenaissanceRe Holdings,RNR,138.86,139.29,135.73,136.06,-2.14,-1.55,"236,765",152.00,116.50,1.32,0.97,...,8.34,Thursday,Thursday,2018/04/12
707914,1545,RenaissanceRe Holdings,RNR,137.77,137.98,136.08,136.53,-0.51,-0.37,"117,483",152.00,116.50,1.32,0.97,...,8.71,Tuesday,Tuesday,2018/04/17
707915,1553,RenaissanceRe Holdings,RNR,136.75,137.52,135.57,135.85,-0.68,-0.50,"148,772",152.0,116.5,1.32,0.97,...,8.17,Wednesday,Wednesday,2018/04/18
707916,1556,RenaissanceRe Holdings,RNR,135.31,137.13,134.87,136.73,0.88,0.65,"243,067",152.00,116.50,1.32,0.97,...,8.87,Thursday,Thursday,2018/04/19
707917,1549,RenaissanceRe Holdings,RNR,136.92,138.49,136.6,138.04,1.31,0.96,"253,372",152.00,116.50,1.32,0.96,...,9.91,Friday,Friday,2018/04/20
707918,1557,RenaissanceRe Holdings,RNR,136.73,138.22,136.08,136.62,-0.20,-0.15,"349,329",152.00,116.50,1.32,0.97,...,8.78,Tuesday,Tuesday,2018/04/24
707919,1557,RenaissanceRe Holdings,RNR,136.75,137.2,135.96,136.76,0.14,0.10,"287,105",152.0,116.50,1.32,0.97,...,8.89,Wednesday,Wednesday,2018/04/25
707920,1555,RenaissanceRe Holdings,RNR,137.07,139.01,136.81,137.68,0.58,0.42,"152,920",152.00,116.50,1.32,0.96,...,9.63,Friday,Friday,2018/04/27
707921,1555,RenaissanceRe Holdings,RNR,137.66,137.9,135.94,136.04,-1.64,-1.19,"445,010",152.00,116.50,1.32,0.97,...,8.32,Monday,Monday,2018/04/30
707922,1565,RenaissanceRe Holdings,RNR,135.85,136.61,134.98,135.52,-0.52,-0.38,"248,304",152.00,116.50,1.32,0.97,...,7.91,Tuesday,Tuesday,2018/05/01
707923,1557,RenaissanceRe Holdings,RNR,127.96,128.16,124.22,125.49,-3.86,-2.98,"592,403",152.00,116.50,1.32,1.05,...,-0.08,Thursday,Thursday,2018/05/03
707924,1557,RenaissanceRe Holdings,RNR,125.74,128.0,124.72,127.33,1.84,1.47,"295,274",152.0,116.50,1.32,1.04,...,1.39,Friday,Friday,2018/05/04
