,Unnamed: 0,Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg,Stock,day,date
718584,1546,Rayonier Advanced Materials,RYAM,21.42,21.88,21.26,21.47,0.10,0.47,"1,042,479",22.07,11.88,0.28,1.30,4.02,4.99,Thursday,Thursday,2018/03/29
718585,1536,Rayonier Advanced Materials,RYAM,20.98,21.12,20.62,20.68,-0.33,-1.57,"525,227",22.23,11.88,0.28,1.35,3.88,1.12,Wednesday,Wednesday,2018/04/11
718586,1540,Rayonier Advanced Materials,RYAM,20.72,20.93,20.56,20.75,0.07,0.34,"309,290",22.23,11.88,0.28,1.35,3.89,1.47,Thursday,Thursday,2018/04/12
718587,1528,Rayonier Advanced Materials,RYAM,21.41,22.4,21.38,22.31,1.08,5.09,"1,041,818",22.40,11.88,0.28,1.26,4.18,9.10,Tuesday,Tuesday,2018/04/17
718588,1533,Rayonier Advanced Materials,RYAM,22.5,22.96,22.16,22.3,-0.01,-0.04,"1,078,881",22.96,11.88,0.28,1.26,4.18,9.05,Wednesday,Wednesday,2018/04/18
718589,1539,Rayonier Advanced Materials,RYAM,22.3,22.35,21.68,21.93,-0.37,-1.66,"481,323",22.96,11.88,0.28,1.28,4.11,7.24,Thursday,Thursday,2018/04/19
718590,1530,Rayonier Advanced Materials,RYAM,21.87,22.26,21.69,22.07,0.14,0.64,"815,449",22.96,11.88,0.28,1.27,4.14,7.92,Friday,Friday,2018/04/20
718591,1537,Rayonier Advanced Materials,RYAM,22.38,22.45,21.4,21.72,-0.58,-2.60,"810,748",22.96,11.88,0.28,1.29,4.07,6.21,Tuesday,Tuesday,2018/04/24
718592,1539,Rayonier Advanced Materials,RYAM,21.75,21.97,21.54,21.6,-0.12,-0.55,"349,658",22.96,11.88,0.28,1.30,4.05,5.62,Wednesday,Wednesday,2018/04/25
718593,1536,Rayonier Advanced Materials,RYAM,21.4,21.62,20.97,21.58,0.28,1.31,"892,970",22.96,11.88,0.28,1.30,4.04,5.53,Friday,Friday,2018/04/27
718594,1536,Rayonier Advanced Materials,RYAM,21.68,21.83,21.38,21.4,-0.18,-0.83,"635,175",22.96,11.88,0.28,1.31,4.01,4.65,Monday,Monday,2018/04/30
718595,1546,Rayonier Advanced Materials,RYAM,21.46,21.46,20.07,20.83,-0.57,-2.66,"798,574",22.96,11.88,0.28,1.34,3.90,1.86,Tuesday,Tuesday,2018/05/01
718596,1537,Rayonier Advanced Materials,RYAM,20.66,20.66,19.77,19.78,-0.94,-4.54,"721,071",22.96,12.52,0.28,1.42,3.71,-3.28,Thursday,Thursday,2018/05/03
718597,1538,Rayonier Advanced Materials,RYAM,19.78,20.86,19.66,20.25,0.47,2.38,"818,658",22.96,12.52,0.28,1.38,3.80,-0.98,Friday,Friday,2018/05/04
718598,1543,Rayonier Advanced Materials,RYAM,20.22,20.6,19.98,20.29,0.04,0.20,"746,078",22.96,12.52,0.28,1.38,3.80,-0.78,Monday,Monday,2018/05/07
718599,1535,Rayonier Advanced Materials,RYAM,19.9,19.9,17.79,18.49,-1.80,-8.87,"1,724,387",22.96,12.52,0.28,1.51,3.47,-9.58,Tuesday,Tuesday,2018/05/08
718600,1548,Rayonier Advanced Materials,RYAM,18.74,19.65,18.7,19.33,0.84,4.54,"1,152,243",22.96,12.52,0.28,1.45,3.51,-5.48,Wednesday,Wednesday,2018/05/09
718601,1543,Rayonier Advanced Materials,RYAM,19.42,19.77,19.04,19.62,0.29,1.50,"952,778",22.96,12.52,0.28,1.43,3.56,-4.06,Thursday,Thursday,2018/05/10
718602,1541,Rayonier Advanced Materials,RYAM,19.7,19.7,18.96,19.21,-0.41,-2.09,"525,627",22.96,12.52,0.28,1.46,3.48,-6.06,Friday,Friday,2018/05/11
718603,1543,Rayonier Advanced Materials,RYAM,19.26,19.53,19.2,19.21,...,...,"866,147",22.96,12.52,0.28,1.46,3.48,-6.06,Monday,Monday,2018/05/14
718604,1542,Rayonier Advanced Materials,RYAM,19.16,19.23,18.66,19.03,-0.18,-0.94,"792,254",22.96,12.52,0.28,1.47,3.45,-6.94,Tuesday,Tuesday,2018/05/15
718605,1544,Rayonier Advanced Materials,RYAM,19.09,19.51,19.03,19.15,0.12,0.63,"704,740",22.96,12.52,0.28,1.46,3.47,-6.36,Wednesday,Wednesday,2018/05/16
718606,1542,Rayonier Advanced Materials,RYAM,19.15,19.66,19.09,19.55,0.40,2.09,"771,492",22.96,12.52,0.28,1.43,3.55,-4.40,Thursday,Thursday,2018/05/17
718607,1542,Rayonier Advanced Materials,RYAM,19.64,19.72,19.19,19.29,-0.26,-1.33,"625,858",22.96,12.52,0.28,1.45,3.50,-5.67,Friday,Friday,2018/05/18
718608,1543,Rayonier Advanced Materials,RYAM,19.28,19.33,18.92,19.03,-0.26,-1.35,"819,569",22.96,12.52,0.28,1.47,3.45,-6.94,Monday,Monday,2018/05/21
718609,1540,Rayonier Advanced Materials,RYAM,18.97,19.18,18.24,18.26,-0.77,-4.05,"688,474",22.96,12.52,0.28,1.53,3.31,-10.71,Tuesday,Tuesday,2018/05/22
718610,1542,Rayonier Advanced Materials,RYAM,18.14,18.29,17.86,17.98,-0.28,-1.53,"857,885",22.96,12.52,0.28,1.56,3.26,-12.08,Wednesday,Wednesday,2018/05/23
718611,1546,Rayonier Advanced Materials,RYAM,17.96,18.36,17.66,18.31,0.33,1.84,"816,644",22.96,12.52,0.28,1.53,3.32,-10.46,Thursday,Thursday,2018/05/24
718612,1549,Rayonier Advanced Materials,RYAM,18.15,18.27,17.85,18.23,-0.08,-0.44,"1,345,134",22.96,12.68,0.28,1.54,3.31,-10.86,Friday,Friday,2018/05/25
718613,1547,Rayonier Advanced Materials,RYAM,18.03,18.38,17.73,17.85,-0.38,-2.08,"1,117,095",22.96,12.68,0.28,1.57,3.21,-12.71,Tuesday,Tuesday,2018/05/29
718614,1549,Rayonier Advanced Materials,RYAM,17.85,18.04,17.84,17.91,0.06,0.34,"462,425",22.96,12.68,0.28,1.56,3.22,-12.42,Wednesday,Wednesday,2018/05/30
718615,1546,Rayonier Advanced Materials,RYAM,17.89,18.01,17.56,17.91,...,...,"666,992",22.96,12.68,0.28,1.56,3.22,-12.42,Thursday,Thursday,2018/05/31
718616,1549,Rayonier Advanced Materials,RYAM,17.98,18.05,17.69,17.88,-0.03,-0.17,"688,592",22.96,12.68,0.28,1.57,3.21,-12.57,Friday,Friday,2018/06/01
718617,1540,Rayonier Advanced Materials,RYAM,17.95,18.12,17.9,17.99,0.11,0.62,"605,333",22.96,12.68,0.28,1.56,3.23,-12.03,Monday,Monday,2018/06/04
718618,1541,Rayonier Advanced Materials,RYAM,18.02,18.24,17.84,18.17,0.18,1.00,"547,289",22.96,12.68,0.28,1.54,3.26,-11.15,Tuesday,Tuesday,2018/06/05
718619,1547,Rayonier Advanced Materials,RYAM,18.24,18.47,18.22,18.3,0.13,0.72,"521,873",22.96,12.68,0.28,1.53,3.29,-10.51,Wednesday,Wednesday,2018/06/06
718620,1543,Rayonier Advanced Materials,RYAM,18.33,18.39,18.0,18.3,...,...,"438,745",22.96,12.68,0.28,1.53,3.29,-10.51,Thursday,Thursday,2018/06/07
718621,1536,Rayonier Advanced Materials,RYAM,18.25,18.76,18.11,18.58,0.28,1.53,"514,878",22.96,12.68,0.28,1.51,3.34,-9.14,Friday,Friday,2018/06/08
718622,1542,Rayonier Advanced Materials,RYAM,18.56,18.73,18.14,18.2,-0.38,-2.05,"503,755",22.96,12.68,0.28,1.54,3.27,-11.00,Monday,Monday,2018/06/11
718623,1538,Rayonier Advanced Materials,RYAM,18.28,18.3,17.73,18.0,-0.20,-1.10,"567,325",22.96,12.68,0.28,1.56,3.23,-11.98,Tuesday,Tuesday,2018/06/12
718624,1539,Rayonier Advanced Materials,RYAM,17.98,17.98,17.23,17.26,-0.74,-4.11,"756,820",22.96,12.68,0.28,1.62,3.10,-15.60,Wednesday,Wednesday,2018/06/13
