,Unnamed: 0,Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg,Stock,day,date
727610,479,Companhia de Saneamento Basico do Estado de Sao Paulo ADR,SBS,10.34,10.63,10.24,10.59,0.27,2.62,"2,740,698",11.96,8.15,...,...,9.22,1.34,Thursday,Thursday,2018/03/29
727611,478,Companhia de Saneamento Basico do Estado de Sao Paulo ADR,SBS,9.72,10.1,9.71,10.02,0.28,2.87,"1,091,882",11.96,8.15,...,...,8.67,-4.11,Wednesday,Wednesday,2018/04/11
727612,479,Companhia de Saneamento Basico do Estado de Sao Paulo ADR,SBS,9.99,10.05,9.87,9.91,-0.11,-1.10,"1,335,181",11.96,8.15,...,...,8.57,-5.17,Thursday,Thursday,2018/04/12
727613,477,Companhia de Saneamento Basico do Estado de Sao Paulo ADR,SBS,9.76,9.85,9.73,9.78,0.04,0.41,"1,569,424",11.96,8.15,...,...,8.46,-6.41,Tuesday,Tuesday,2018/04/17
727614,478,Companhia de Saneamento Basico do Estado de Sao Paulo ADR,SBS,9.84,10.06,9.84,10.02,0.24,2.45,"1,887,157",11.96,8.15,...,...,8.67,-4.11,Wednesday,Wednesday,2018/04/18
727615,479,Companhia de Saneamento Basico do Estado de Sao Paulo ADR,SBS,9.97,10.18,9.94,10.14,0.12,1.20,"1,186,712",11.96,8.15,...,...,8.77,-2.97,Thursday,Thursday,2018/04/19
727616,476,Companhia de Saneamento Basico do Estado de Sao Paulo ADR,SBS,10.05,10.11,9.88,10.06,-0.08,-0.79,"1,305,518",11.96,8.15,...,...,8.70,-3.73,Friday,Friday,2018/04/20
727617,479,Companhia de Saneamento Basico do Estado de Sao Paulo ADR,SBS,10.03,10.16,9.9,9.99,-0.03,-0.30,"1,696,202",11.96,8.15,...,...,8.64,-4.40,Tuesday,Tuesday,2018/04/24
727618,481,Companhia de Saneamento Basico do Estado de Sao Paulo ADR,SBS,9.93,10.01,9.8,10.0,0.01,0.10,"1,223,699",11.96,8.15,...,...,8.65,-4.31,Wednesday,Wednesday,2018/04/25
727619,480,Companhia de Saneamento Basico do Estado de Sao Paulo ADR,SBS,10.3,10.38,10.25,10.31,0.18,1.78,"1,141,916",11.96,8.15,...,...,8.92,-1.34,Friday,Friday,2018/04/27
727620,479,Companhia de Saneamento Basico do Estado de Sao Paulo ADR,SBS,9.95,10.16,9.95,9.98,-0.02,-0.19,"1,552,751",11.96,8.15,...,...,8.63,-4.50,Monday,Monday,2018/04/30
727621,483,Companhia de Saneamento Basico do Estado de Sao Paulo ADR,SBS,9.97,9.98,9.78,9.95,-0.03,-0.30,"1,371,685",11.96,8.15,...,...,8.61,-4.78,Tuesday,Tuesday,2018/05/01
727622,481,Companhia de Saneamento Basico do Estado de Sao Paulo ADR,SBS,9.67,9.71,9.46,9.61,-0.13,-1.33,"1,066,291",11.96,8.15,...,...,8.31,-8.04,Thursday,Thursday,2018/05/03
727623,479,Companhia de Saneamento Basico do Estado de Sao Paulo ADR,SBS,9.52,9.66,9.48,9.59,-0.02,-0.21,"1,632,947",11.96,8.15,...,...,8.30,-8.23,Friday,Friday,2018/05/04
727624,482,Companhia de Saneamento Basico do Estado de Sao Paulo ADR,SBS,9.2,9.26,9.11,9.12,-0.47,-4.90,"1,455,236",11.96,8.15,...,...,7.89,-12.73,Monday,Monday,2018/05/07
727625,481,Companhia de Saneamento Basico do Estado de Sao Paulo ADR,SBS,9.31,9.31,9.02,9.17,0.05,0.55,"1,115,064",11.96,8.15,...,...,7.93,-12.25,Tuesday,Tuesday,2018/05/08
727626,483,Companhia de Saneamento Basico do Estado de Sao Paulo ADR,SBS,9.16,9.21,9.05,9.08,-0.09,-0.98,"1,583,995",11.96,8.15,...,...,7.85,-13.11,Wednesday,Wednesday,2018/05/09
727627,483,Companhia de Saneamento Basico do Estado de Sao Paulo ADR,SBS,8.8,8.82,8.54,8.58,-0.50,-5.51,"2,982,342",11.96,8.15,...,...,7.42,-17.89,Thursday,Thursday,2018/05/10
727628,483,Companhia de Saneamento Basico do Estado de Sao Paulo ADR,SBS,8.59,8.63,7.96,8.03,-0.55,-6.41,"3,490,771",11.96,7.96,...,...,6.95,-23.16,Friday,Friday,2018/05/11
727629,481,Companhia de Saneamento Basico do Estado de Sao Paulo ADR,SBS,8.12,8.19,7.66,7.73,-0.30,-3.74,"4,457,806",11.96,7.66,...,...,6.69,-26.03,Monday,Monday,2018/05/14
727630,483,Companhia de Saneamento Basico do Estado de Sao Paulo ADR,SBS,7.66,7.72,7.38,7.58,-0.15,-1.94,"5,780,167",11.96,7.38,...,...,6.56,-27.46,Tuesday,Tuesday,2018/05/15
727631,483,Companhia de Saneamento Basico do Estado de Sao Paulo ADR,SBS,7.51,7.6,7.45,7.54,-0.04,-0.53,"2,164,244",11.96,7.38,...,...,6.52,-27.85,Wednesday,Wednesday,2018/05/16
727632,482,Companhia de Saneamento Basico do Estado de Sao Paulo ADR,SBS,7.51,7.55,7.34,7.46,-0.08,-1.06,"3,416,592",11.96,7.34,...,...,6.45,-28.61,Thursday,Thursday,2018/05/17
727633,482,Companhia de Saneamento Basico do Estado de Sao Paulo ADR,SBS,7.1,7.17,6.98,7.06,-0.40,-5.36,"5,543,112",11.96,6.98,...,...,6.11,-32.44,Friday,Friday,2018/05/18
727634,482,Companhia de Saneamento Basico do Estado de Sao Paulo ADR,SBS,7.13,7.13,6.9,7.01,-0.05,-0.71,"2,282,443",11.96,6.90,...,...,6.06,-32.92,Monday,Monday,2018/05/21
727635,483,Companhia de Saneamento Basico do Estado de Sao Paulo ADR,SBS,7.11,7.26,7.04,7.17,0.16,2.28,"2,181,106",11.96,6.90,...,...,6.20,-31.39,Tuesday,Tuesday,2018/05/22
727636,483,Companhia de Saneamento Basico do Estado de Sao Paulo ADR,SBS,7.19,7.21,7.06,7.17,...,...,"1,923,122",11.96,6.90,...,...,6.20,-31.39,Wednesday,Wednesday,2018/05/23
727637,483,Companhia de Saneamento Basico do Estado de Sao Paulo ADR,SBS,7.11,7.13,7.04,7.11,-0.06,-0.84,"1,469,319",11.96,6.90,...,...,6.44,-31.96,Thursday,Thursday,2018/05/24
727638,486,Companhia de Saneamento Basico do Estado de Sao Paulo ADR,SBS,7.18,7.35,7.08,7.11,...,...,"2,301,247",11.96,6.90,...,...,6.44,-31.96,Friday,Friday,2018/05/25
727639,483,Companhia de Saneamento Basico do Estado de Sao Paulo ADR,SBS,6.92,7.01,6.88,6.92,-0.19,-2.67,"1,399,904",11.96,6.88,...,...,6.27,-33.78,Tuesday,Tuesday,2018/05/29
727640,484,Companhia de Saneamento Basico do Estado de Sao Paulo ADR,SBS,7.0,7.03,6.84,6.91,-0.01,-0.14,"2,185,198",11.96,6.84,...,...,6.26,-33.88,Wednesday,Wednesday,2018/05/30
727641,484,Companhia de Saneamento Basico do Estado de Sao Paulo ADR,SBS,6.97,6.98,6.84,6.87,-0.04,-0.58,"814,624",11.96,6.84,...,...,6.22,-34.26,Thursday,Thursday,2018/05/31
