,Unnamed: 0,Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg,Stock,day,date
728589,637,Saban Capital Acquisition,SCAC,9.98,9.98,9.94,9.94,...,...,"3,500",10.20,9.84,...,...,339.25,0.30,Thursday,Thursday,2018/03/29
728590,623,Saban Capital Acquisition,SCAC,9.95,9.95,9.95,9.95,-0.01,-0.15,647,10.20,9.84,...,...,339.59,0.40,Wednesday,Wednesday,2018/04/11
728591,626,Saban Capital Acquisition,SCAC,9.99,9.99,9.99,9.99,-0.01,-0.10,"1,749",10.2,9.84,...,...,340.96,0.81,Tuesday,Tuesday,2018/04/17
728592,632,Saban Capital Acquisition,SCAC,10.0,10.0,10.0,10.0,0.01,0.10,"21,398",10.20,9.84,...,...,341.30,0.91,Wednesday,Wednesday,2018/04/18
728593,614,Saban Capital Acquisition,SCAC,10.0,10.0,10.0,10.0,...,...,"6,293",10.2,9.84,...,...,341.30,0.91,Thursday,Thursday,2018/04/19
728594,618,Saban Capital Acquisition,SCAC,10.0,10.02,9.99,10.01,0.01,0.10,"464,761",10.20,9.84,...,...,341.64,1.01,Friday,Friday,2018/04/20
728595,629,Saban Capital Acquisition,SCAC,10.01,10.02,10.0,10.02,...,...,"6,315",10.2,9.84,...,...,341.98,1.11,Tuesday,Tuesday,2018/04/24
728596,613,Saban Capital Acquisition,SCAC,9.99,9.99,9.99,9.99,-0.03,-0.30,"51,071",10.2,9.84,...,...,340.96,0.81,Friday,Friday,2018/04/27
728597,626,Saban Capital Acquisition,SCAC,10.0,10.04,10.0,10.0,...,...,"3,200",10.20,9.84,...,...,341.30,0.91,Thursday,Thursday,2018/05/03
728598,653,Saban Capital Acquisition,SCAC,9.99,10.02,9.99,10.02,0.02,0.15,"1,184",10.20,9.84,...,...,341.81,1.06,Monday,Monday,2018/05/07
728599,633,Saban Capital Acquisition,SCAC,10.0,10.0,10.0,10.0,-0.02,-0.15,720,10.2,9.84,...,...,259.07,0.91,Thursday,Thursday,2018/05/10
728600,633,Saban Capital Acquisition,SCAC,9.99,9.99,9.99,9.99,-0.01,-0.09,"2,320",10.20,9.84,...,...,258.83,0.82,Friday,Friday,2018/05/11
728601,629,Saban Capital Acquisition,SCAC,10.0,10.05,10.0,10.05,0.06,0.59,"7,335",10.2,9.84,...,...,260.36,1.41,Tuesday,Tuesday,2018/05/15
728602,627,Saban Capital Acquisition,SCAC,10.0,10.0,10.0,10.0,-0.05,-0.50,"17,628",10.20,9.84,...,...,259.07,0.91,Wednesday,Wednesday,2018/05/16
728603,626,Saban Capital Acquisition,SCAC,10.0,10.0,10.0,10.0,...,...,100,10.20,9.84,...,...,259.07,0.91,Tuesday,Tuesday,2018/05/22
728604,630,Saban Capital Acquisition,SCAC,9.99,10.04,9.99,10.04,0.04,0.35,"4,800",10.2,9.84,...,...,259.97,1.26,Wednesday,Wednesday,2018/05/23
728605,630,Saban Capital Acquisition,SCAC,10.0,10.0,10.0,10.0,-0.04,-0.35,100,10.20,9.84,...,...,259.07,0.91,Thursday,Thursday,2018/05/24
728606,612,Saban Capital Acquisition,SCAC,9.99,9.99,9.99,9.99,-0.01,-0.10,"1,900",10.20,9.84,...,...,258.81,0.81,Friday,Friday,2018/05/25
728607,626,Saban Capital Acquisition,SCAC,10.0,10.0,10.0,10.0,0.01,0.10,"1,256",10.20,9.84,...,...,259.07,0.91,Wednesday,Wednesday,2018/05/30
728608,633,Saban Capital Acquisition,SCAC,10.01,10.01,10.01,10.01,0.01,0.10,"1,200",10.20,9.84,...,...,259.33,1.01,Thursday,Thursday,2018/05/31
728609,630,Saban Capital Acquisition,SCAC,10.00,10.0,10.0,10.0,-0.01,-0.10,"18,007",10.2,9.84,...,...,259.07,0.91,Tuesday,Tuesday,2018/06/05
728610,644,Saban Capital Acquisition,SCAC,10.01,10.01,10.01,10.01,0.01,0.10,"25,000",10.20,9.84,...,...,259.33,1.01,Wednesday,Wednesday,2018/06/06
728611,636,Saban Capital Acquisition,SCAC,10.02,10.02,10.02,10.02,0.01,0.10,"57,798",10.2,9.84,...,...,259.59,1.11,Thursday,Thursday,2018/06/07
728612,625,Saban Capital Acquisition,SCAC,10.04,10.04,10.04,10.04,0.02,0.20,"2,000",10.2,9.84,...,...,260.10,1.31,Friday,Friday,2018/06/08
728613,628,Saban Capital Acquisition,SCAC,10.04,10.05,10.04,10.05,0.01,0.10,"18,000",10.20,9.84,...,...,260.36,1.41,Monday,Monday,2018/06/11
728614,635,Saban Capital Acquisition,SCAC,10.05,10.05,10.05,10.05,...,...,100,10.2,9.84,...,...,260.36,1.41,Wednesday,Wednesday,2018/06/13
728615,620,Saban Capital Acquisition,SCAC,10.05,10.06,10.05,10.06,0.01,0.10,"6,100",10.2,9.84,...,...,260.62,1.51,Friday,Friday,2018/06/15
728616,622,Saban Capital Acquisition,SCAC,10.06,10.06,10.06,10.06,...,...,"25,000",10.2,9.84,...,...,260.62,1.51,Monday,Monday,2018/06/18
728617,636,Saban Capital Acquisition,SCAC,10.08,10.08,10.08,10.08,0.02,0.20,"16,500",10.20,9.84,...,...,261.14,1.72,Thursday,Thursday,2018/06/21
728618,636,Saban Capital Acquisition,SCAC,10.08,10.1,10.08,10.1,0.02,0.20,"19,100",10.2,9.84,...,...,261.66,1.92,Monday,Monday,2018/06/25
728619,641,Saban Capital Acquisition,SCAC,10.1,10.1,10.1,10.1,...,...,"4,900",10.2,9.84,...,...,261.66,1.92,Tuesday,Tuesday,2018/06/26
728620,625,Saban Capital Acquisition,SCAC,10.09,10.1,10.09,10.1,...,...,"217,800",10.2,9.84,...,...,261.66,1.92,Thursday,Thursday,2018/07/05
728621,630,Saban Capital Acquisition,SCAC,10.11,10.11,10.1,10.1,...,...,935,10.2,9.84,...,...,261.66,1.92,Friday,Friday,2018/07/06
728622,634,Saban Capital Acquisition,SCAC,10.12,10.12,10.12,10.12,0.02,0.20,"15,000",10.2,9.84,...,...,262.18,2.12,Monday,Monday,2018/07/09
728623,635,Saban Capital Acquisition,SCAC,10.1,10.1,10.1,10.1,-0.02,-0.20,"25,000",10.2,9.84,...,...,261.66,1.92,Tuesday,Tuesday,2018/07/10
728624,630,Saban Capital Acquisition,SCAC,10.11,10.11,10.11,10.11,0.01,0.10,100,10.2,9.84,...,...,261.92,2.02,Wednesday,Wednesday,2018/07/11
728625,628,Saban Capital Acquisition,SCAC,10.10,10.1,10.1,10.1,-0.01,-0.10,"25,000",10.20,9.84,...,...,261.66,1.92,Monday,Monday,2018/07/16
728626,635,Saban Capital Acquisition,SCAC,10.11,10.12,10.11,10.12,0.02,0.19,"3,100",10.20,9.84,...,...,262.15,2.11,Wednesday,Wednesday,2018/07/18
728627,621,Saban Capital Acquisition,SCAC,10.11,10.11,10.11,10.11,-0.01,-0.09,"36,084",10.2,9.84,...,...,261.92,2.02,Friday,Friday,2018/07/20
728628,616,Saban Capital Acquisition,SCAC,10.11,10.11,10.11,10.11,...,...,"125,000",10.20,9.84,...,...,261.92,2.02,Wednesday,Wednesday,2018/07/25
728629,647,Saban Capital Acquisition,SCAC,10.11,10.11,10.11,10.11,...,...,"14,557",10.20,9.84,...,...,261.92,2.02,Thursday,Thursday,2018/07/26
728630,623,Saban Capital Acquisition,SCAC,10.08,10.08,10.08,10.08,-0.03,-0.30,"3,307",10.20,9.84,...,...,261.14,1.72,Friday,Friday,2018/07/27
728631,644,Saban Capital Acquisition,SCAC,10.11,10.11,10.11,10.11,0.03,0.30,"276,014",10.2,9.84,...,...,261.92,2.02,Tuesday,Tuesday,2018/07/31
728632,634,Saban Capital Acquisition,SCAC,10.11,10.11,10.11,10.11,...,...,"3,300",10.14,9.84,...,...,261.92,2.02,Wednesday,Wednesday,2018/08/01
728633,629,Saban Capital Acquisition,SCAC,10.11,10.12,10.11,10.12,0.01,0.10,"4,611",10.14,9.84,...,...,262.18,2.12,Monday,Monday,2018/08/06
728634,635,Saban Capital Acquisition,SCAC,10.12,10.15,10.12,10.15,0.03,0.30,"18,269",10.15,9.84,...,...,262.95,2.42,Wednesday,Wednesday,2018/08/08
728635,639,Saban Capital Acquisition,SCAC,10.15,10.15,10.12,10.12,-0.03,-0.30,"58,460",10.15,9.84,...,...,262.18,2.12,Thursday,Thursday,2018/08/09
728636,641,Saban Capital Acquisition,SCAC,10.15,10.15,10.15,10.15,0.03,0.30,"3,900",10.15,9.84,...,...,700.00,2.42,Friday,Friday,2018/08/10
728637,651,Saban Capital Acquisition,SCAC,10.15,10.15,10.15,10.15,...,...,900,10.15,9.84,...,...,700.00,2.42,Tuesday,Tuesday,2018/08/14
728638,657,Saban Capital Acquisition,SCAC,10.15,10.18,10.15,10.18,0.03,0.30,"2,687",10.18,9.84,...,...,702.07,2.72,Wednesday,Wednesday,2018/08/15
728639,654,Saban Capital Acquisition,SCAC,10.15,10.17,10.15,10.16,-0.02,-0.23,"5,615",10.18,9.84,...,...,700.43,2.48,Thursday,Thursday,2018/08/16
728640,630,Saban Capital Acquisition,SCAC,10.18,10.18,10.18,10.18,0.02,0.23,300,10.18,9.84,...,...,702.07,2.72,Friday,Friday,2018/08/17
728641,654,Saban Capital Acquisition,SCAC,10.18,10.18,10.18,10.18,...,...,"3,600",10.18,9.84,...,...,702.07,2.72,Monday,Monday,2018/08/20
728642,648,Saban Capital Acquisition,SCAC,10.15,10.15,10.1,10.13,-0.05,-0.49,"516,147",10.18,9.84,...,...,698.62,2.22,Tuesday,Tuesday,2018/08/21
728643,640,Saban Capital Acquisition,SCAC,10.13,10.14,10.12,10.13,...,...,"53,183",10.18,9.84,...,...,698.62,2.22,Thursday,Thursday,2018/08/23
728644,646,Saban Capital Acquisition,SCAC,10.13,10.13,10.11,10.11,-0.02,-0.20,"100,200",10.18,9.84,...,...,697.24,2.02,Friday,Friday,2018/08/24
728645,652,Saban Capital Acquisition,SCAC,10.13,10.13,10.1,10.1,-0.01,-0.09,340,10.18,9.84,...,...,696.59,1.92,Monday,Monday,2018/08/27
728646,640,Saban Capital Acquisition,SCAC,10.13,10.13,10.11,10.13,0.03,0.29,"5,000",10.18,9.84,...,...,698.62,2.22,Tuesday,Tuesday,2018/08/28
728647,665,Saban Capital Acquisition,SCAC,10.13,10.13,10.13,10.13,...,...,"40,000",10.18,9.84,...,...,698.62,2.22,Friday,Friday,2018/08/31
728648,646,Saban Capital Acquisition,SCAC,10.12,10.14,10.12,10.14,0.01,0.10,"444,200",10.18,9.84,...,...,699.31,2.32,Tuesday,Tuesday,2018/09/04
728649,633,Saban Capital Acquisition,SCAC,10.13,10.13,10.13,10.13,-0.01,-0.10,"500,006",10.18,9.84,...,...,698.62,2.22,Wednesday,Wednesday,2018/09/05
728650,641,Saban Capital Acquisition,SCAC,10.13,10.13,10.13,10.13,...,...,"143,900",10.18,9.84,...,...,698.62,2.22,Thursday,Thursday,2018/09/06
728651,639,Saban Capital Acquisition,SCAC,10.12,10.12,10.12,10.12,-0.01,-0.10,700,10.18,9.84,...,...,697.93,2.12,Friday,Friday,2018/09/07
728652,642,Saban Capital Acquisition,SCAC,10.11,10.13,10.11,10.13,0.01,0.10,"40,254",10.18,9.84,...,...,698.62,2.22,Monday,Monday,2018/09/10
728653,640,Saban Capital Acquisition,SCAC,10.12,10.13,10.12,10.13,...,...,"32,776",10.18,9.84,...,...,698.62,2.22,Tuesday,Tuesday,2018/09/11
728654,649,Saban Capital Acquisition,SCAC,10.14,10.14,10.13,10.14,0.01,0.10,"31,999",10.18,9.84,...,...,699.31,2.32,Wednesday,Wednesday,2018/09/12
728655,660,Saban Capital Acquisition,SCAC,10.13,10.13,10.13,10.13,-0.01,-0.10,"33,300",10.18,9.84,...,...,698.62,2.22,Thursday,Thursday,2018/09/13
728656,659,Saban Capital Acquisition,SCAC,10.13,10.13,10.1,10.12,-0.01,-0.10,"25,150",10.18,9.84,...,...,697.93,2.12,Friday,Friday,2018/09/14
728657,670,Saban Capital Acquisition,SCAC,10.13,10.13,10.1,10.1,-0.02,-0.20,"13,466",10.18,9.84,...,...,696.55,1.92,Monday,Monday,2018/09/17
728658,667,Saban Capital Acquisition,SCAC,10.08,10.11,10.07,10.08,-0.02,-0.20,"29,047",10.18,9.84,...,...,695.17,1.72,Tuesday,Tuesday,2018/09/18
