,Unnamed: 0,Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg,Stock,day,date
10648,59,Aridis Pharmaceuticals,ARDS,13.02,13.85,12.61,13.00,...,...,"519,833",...,...,...,...,...,...,Tuesday,Tuesday,2018/08/14
10649,56,Aridis Pharmaceuticals,ARDS,13.00,13.03,12.85,12.96,-0.04,-0.31,"81,727",...,...,...,...,...,...,Wednesday,Wednesday,2018/08/15
10650,56,Aridis Pharmaceuticals,ARDS,12.86,13.0,12.85,12.92,-0.04,-0.31,"21,220",13.85,12.61,...,...,...,...,Thursday,Thursday,2018/08/16
10651,56,Aridis Pharmaceuticals,ARDS,12.85,12.98,12.85,12.93,0.01,0.08,"14,919",13.85,12.61,...,...,...,...,Friday,Friday,2018/08/17
10652,57,Aridis Pharmaceuticals,ARDS,13.04,13.04,12.85,12.85,-0.08,-0.62,"27,375",13.85,12.61,...,...,...,...,Monday,Monday,2018/08/20
10653,57,Aridis Pharmaceuticals,ARDS,12.85,12.95,12.68,12.92,0.07,0.54,"42,394",13.85,12.61,...,...,...,...,Tuesday,Tuesday,2018/08/21
10654,57,Aridis Pharmaceuticals,ARDS,12.86,12.99,12.86,12.87,-0.05,-0.39,"13,139",13.85,12.61,...,...,...,...,Wednesday,Wednesday,2018/08/22
10655,55,Aridis Pharmaceuticals,ARDS,13.0,13.01,12.9,13.01,0.14,1.09,"19,662",13.85,12.61,...,...,...,...,Thursday,Thursday,2018/08/23
10656,55,Aridis Pharmaceuticals,ARDS,12.99,13.38,12.99,13.04,0.03,0.23,"21,400",13.85,12.61,...,...,...,...,Friday,Friday,2018/08/24
10657,55,Aridis Pharmaceuticals,ARDS,13.19,13.22,13.04,13.11,0.07,0.54,"20,084",13.85,12.61,...,...,...,...,Monday,Monday,2018/08/27
10658,57,Aridis Pharmaceuticals,ARDS,13.13,13.22,13.13,13.20,0.09,0.69,"14,426",13.85,12.61,...,...,...,...,Tuesday,Tuesday,2018/08/28
10659,57,Aridis Pharmaceuticals,ARDS,13.20,13.60,13.13,13.50,0.30,2.27,"131,634",13.85,12.61,...,...,...,...,Wednesday,Wednesday,2018/08/29
10660,56,Aridis Pharmaceuticals,ARDS,13.85,13.85,13.52,13.65,0.15,1.11,"18,230",13.85,12.61,...,...,...,...,Thursday,Thursday,2018/08/30
10661,57,Aridis Pharmaceuticals,ARDS,13.59,13.59,13.24,13.45,-0.20,-1.47,"38,100",13.85,12.61,...,...,...,...,Friday,Friday,2018/08/31
10662,56,Aridis Pharmaceuticals,ARDS,13.38,13.70,13.26,13.69,0.24,1.78,"22,087",13.85,12.61,...,...,...,...,Tuesday,Tuesday,2018/09/04
10663,57,Aridis Pharmaceuticals,ARDS,13.71,13.71,13.54,13.63,-0.06,-0.44,"27,280",13.85,12.61,...,...,...,...,Wednesday,Wednesday,2018/09/05
10664,55,Aridis Pharmaceuticals,ARDS,13.7,13.71,13.27,13.3,-0.33,-2.42,"15,839",13.85,12.61,...,...,...,...,Thursday,Thursday,2018/09/06
10665,55,Aridis Pharmaceuticals,ARDS,13.21,13.46,11.25,12.12,-1.18,-8.87,"40,774",13.85,11.25,...,...,...,...,Friday,Friday,2018/09/07
