,Unnamed: 0,Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg,Stock,day,date
12177,62,Atlantic Acquisition WT,ATACR,0.49,0.49,0.49,0.49,0.04,9.80,100,0.66,0.33,...,...,...,-17.65,Thursday,Thursday,2018/03/29
12178,61,Atlantic Acquisition WT,ATACR,0.58,0.58,0.58,0.58,-0.01,-1.69,"30,700",0.66,0.33,...,...,...,-3.33,Wednesday,Wednesday,2018/04/11
12179,59,Atlantic Acquisition WT,ATACR,0.61,0.61,0.61,0.61,-0.03,-4.54,"2,700",0.66,0.33,...,...,...,1.67,Tuesday,Tuesday,2018/04/17
12180,58,Atlantic Acquisition WT,ATACR,0.61,0.64,0.61,0.61,...,...,"4,000",0.66,0.33,...,...,...,1.67,Wednesday,Wednesday,2018/04/18
12181,57,Atlantic Acquisition WT,ATACR,0.64,0.64,0.63,0.63,0.02,3.26,"4,200",0.66,0.33,...,...,...,4.98,Thursday,Thursday,2018/04/19
12182,61,Atlantic Acquisition WT,ATACR,0.6,0.62,0.6,0.61,-0.02,-3.16,"47,200",0.66,0.33,...,...,...,1.67,Friday,Friday,2018/04/20
12183,60,Atlantic Acquisition WT,ATACR,0.61,0.61,0.58,0.58,-0.03,-5.37,"3,300",0.66,0.33,...,...,...,-3.33,Tuesday,Tuesday,2018/04/24
12184,57,Atlantic Acquisition WT,ATACR,0.55,0.59,0.55,0.59,-0.01,-1.95,"1,142",0.66,0.33,...,...,...,-1.95,Monday,Monday,2018/04/30
12185,59,Atlantic Acquisition WT,ATACR,0.59,0.59,0.59,0.59,...,0.29,"8,680",0.66,0.33,...,...,...,-1.67,Monday,Monday,2018/05/07
12186,60,Atlantic Acquisition WT,ATACR,0.59,0.59,0.59,0.59,...,...,"10,580",0.66,0.33,...,...,...,-1.67,Friday,Friday,2018/05/11
12187,59,Atlantic Acquisition WT,ATACR,0.58,0.58,0.55,0.55,-0.04,-6.78,"5,000",0.66,0.33,...,...,...,-8.33,Monday,Monday,2018/05/14
12188,59,Atlantic Acquisition WT,ATACR,0.57,0.57,0.55,0.57,0.02,3.64,"5,883",0.66,0.33,...,...,...,-5.00,Tuesday,Tuesday,2018/05/15
12189,61,Atlantic Acquisition WT,ATACR,0.59,0.6,0.59,0.6,0.03,5.26,"1,200",0.66,0.33,...,...,...,...,Wednesday,Wednesday,2018/05/16
12190,60,Atlantic Acquisition WT,ATACR,0.55,0.55,0.55,0.55,-0.05,-8.33,"10,100",0.66,0.33,...,...,...,-8.33,Tuesday,Tuesday,2018/05/22
12191,59,Atlantic Acquisition WT,ATACR,0.55,0.55,0.55,0.55,...,...,"10,400",0.66,0.33,...,...,...,-8.33,Wednesday,Wednesday,2018/05/23
12192,57,Atlantic Acquisition WT,ATACR,0.54,0.54,0.54,0.54,-0.01,-1.82,"1,300",0.66,0.33,...,...,...,-10.00,Thursday,Thursday,2018/05/24
12193,59,Atlantic Acquisition WT,ATACR,0.55,0.55,0.55,0.55,0.01,1.85,100,0.66,0.33,...,...,...,-8.33,Wednesday,Wednesday,2018/05/30
12194,60,Atlantic Acquisition WT,ATACR,0.54,0.54,0.54,0.54,-0.01,-1.82,100,0.66,0.33,...,...,...,-10.00,Thursday,Thursday,2018/05/31
12195,60,Atlantic Acquisition WT,ATACR,0.54,0.54,0.54,0.54,...,0.02,"27,096",0.66,0.33,...,...,...,-9.98,Monday,Monday,2018/06/04
12196,59,Atlantic Acquisition WT,ATACR,0.54,0.58,0.54,0.58,0.04,7.39,"8,000",0.66,0.33,...,...,...,-3.33,Friday,Friday,2018/06/08
12197,59,Atlantic Acquisition WT,ATACR,0.58,0.58,0.58,0.58,...,...,"8,500",0.66,0.33,...,...,...,-3.33,Monday,Monday,2018/06/11
12198,57,Atlantic Acquisition WT,ATACR,0.57,0.57,0.57,0.57,-0.01,-1.43,"10,800",0.66,0.33,...,...,...,-4.72,Tuesday,Tuesday,2018/06/12
12199,59,Atlantic Acquisition WT,ATACR,0.58,0.58,0.58,0.58,0.01,1.45,"3,000",0.66,0.33,...,...,...,-3.33,Wednesday,Wednesday,2018/06/13
12200,60,Atlantic Acquisition WT,ATACR,0.57,0.58,0.57,0.58,...,...,"11,900",0.66,0.33,...,...,...,-3.33,Monday,Monday,2018/06/18
