,Unnamed: 0,Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg,Stock,day,date
12698,36,Ames National,ATLO,27.7,27.85,27.30,27.50,-0.35,-1.26,"5,492",32.00,26.00,0.92,3.35,18.71,-1.26,Thursday,Thursday,2018/03/29
12699,35,Ames National,ATLO,27.45,28.75,27.45,28.0,0.65,2.38,"6,230",32.00,26.00,0.92,3.29,19.05,0.54,Wednesday,Wednesday,2018/04/11
12700,34,Ames National,ATLO,28.15,28.15,27.6,27.65,-0.35,-1.25,"3,088",32.0,26.0,0.92,3.33,18.81,-0.72,Thursday,Thursday,2018/04/12
12701,35,Ames National,ATLO,28.3,28.3,28.0,28.25,0.05,0.18,"7,335",32.0,26.0,0.92,3.26,18.71,1.44,Tuesday,Tuesday,2018/04/17
12702,34,Ames National,ATLO,28.1,28.25,27.8,27.85,-0.40,-1.42,"4,958",32.00,26.00,0.92,3.30,18.44,...,Wednesday,Wednesday,2018/04/18
12703,33,Ames National,ATLO,27.9,28.15,27.85,27.95,0.10,0.36,"4,013",32.0,26.0,0.92,3.29,18.51,0.36,Thursday,Thursday,2018/04/19
12704,35,Ames National,ATLO,27.9,28.95,27.9,28.8,0.85,3.04,"4,310",32.00,26.00,0.92,3.19,19.07,3.41,Friday,Friday,2018/04/20
12705,35,Ames National,ATLO,28.8,29.0,28.68,28.85,0.05,0.17,"3,521",32.0,26.0,0.92,3.19,19.11,3.59,Tuesday,Tuesday,2018/04/24
12706,35,Ames National,ATLO,29.0,29.1,28.6,28.8,-0.05,-0.17,"8,099",32.00,26.00,0.92,3.19,19.07,3.41,Wednesday,Wednesday,2018/04/25
12707,35,Ames National,ATLO,29.3,29.3,28.6,28.8,-0.10,-0.35,"3,746",31.9,26.0,0.92,3.19,19.07,3.41,Friday,Friday,2018/04/27
12708,33,Ames National,ATLO,27.95,28.14,27.65,27.65,-0.67,-2.37,"8,271",31.9,26.0,0.92,3.33,18.31,-0.72,Monday,Monday,2018/04/30
12709,36,Ames National,ATLO,27.55,27.95,27.55,27.95,0.30,1.08,"2,910",31.90,26.00,0.92,3.29,18.51,0.36,Tuesday,Tuesday,2018/05/01
