,Unnamed: 0,Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg,Stock,day,date
41983,225,Delta Technology Holdings,DELT,1.13,1.19,1.13,1.15,0.01,0.59,"46,024",4.70,0.91,...,...,...,8.49,Thursday,Thursday,2018/03/29
41984,226,Delta Technology Holdings,DELT,1.19,1.37,1.19,1.37,0.18,15.13,"499,681",4.70,0.91,...,...,...,29.25,Wednesday,Wednesday,2018/04/11
41985,220,Delta Technology Holdings,DELT,1.37,1.38,1.14,1.16,-0.21,-15.33,"271,754",4.7,0.91,...,...,...,9.43,Thursday,Thursday,2018/04/12
41986,221,Delta Technology Holdings,DELT,1.16,1.23,1.16,1.18,0.02,1.72,"47,652",4.7,0.91,...,...,...,11.32,Tuesday,Tuesday,2018/04/17
41987,223,Delta Technology Holdings,DELT,1.18,1.2,1.17,1.19,0.01,0.42,"31,923",4.70,0.91,...,...,...,11.79,Wednesday,Wednesday,2018/04/18
41988,216,Delta Technology Holdings,DELT,1.2,1.2,1.13,1.14,-0.05,-3.80,"116,140",4.7,0.91,...,...,...,7.55,Thursday,Thursday,2018/04/19
41989,219,Delta Technology Holdings,DELT,1.15,1.17,1.14,1.14,...,...,"36,234",4.70,0.91,...,...,...,7.55,Friday,Friday,2018/04/20
41990,227,Delta Technology Holdings,DELT,1.1,1.14,1.06,1.07,-0.01,-1.11,"46,392",4.7,0.91,...,...,...,0.94,Tuesday,Tuesday,2018/04/24
41991,219,Delta Technology Holdings,DELT,1.06,1.09,1.05,1.05,-0.02,-1.87,"36,238",4.70,0.91,...,...,...,-0.94,Wednesday,Wednesday,2018/04/25
41992,214,Delta Technology Holdings,DELT,1.1,1.1,1.06,1.06,-0.04,-3.64,"21,810",4.7,0.91,...,...,...,...,Friday,Friday,2018/04/27
41993,221,Delta Technology Holdings,DELT,1.1,1.1,1.06,1.06,...,...,"22,142",4.7,0.91,...,...,...,...,Monday,Monday,2018/04/30
41994,214,Delta Technology Holdings,DELT,1.06,1.06,1.04,1.05,-0.01,-0.94,"6,689",4.70,0.91,...,...,...,-0.94,Tuesday,Tuesday,2018/05/01
41995,216,Delta Technology Holdings,DELT,1.07,1.16,1.07,1.13,0.06,5.43,"186,692",4.70,0.91,...,...,...,6.53,Thursday,Thursday,2018/05/03
41996,215,Delta Technology Holdings,DELT,1.18,1.36,1.08,1.08,-0.05,-4.36,"908,349",4.70,0.91,...,...,...,1.89,Friday,Friday,2018/05/04
41997,229,Delta Technology Holdings,DELT,1.08,1.14,1.06,1.09,0.01,0.93,"74,689",4.70,0.91,...,...,...,2.83,Monday,Monday,2018/05/07
41998,217,Delta Technology Holdings,DELT,1.08,1.12,1.06,1.1,0.01,0.92,"68,275",4.7,0.91,...,...,...,3.77,Tuesday,Tuesday,2018/05/08
41999,227,Delta Technology Holdings,DELT,1.1,1.13,1.07,1.08,-0.02,-1.82,"99,437",4.7,0.91,...,...,...,1.89,Wednesday,Wednesday,2018/05/09
42000,216,Delta Technology Holdings,DELT,1.07,1.15,1.07,1.1,0.02,1.85,"41,651",4.7,0.91,...,...,...,3.77,Thursday,Thursday,2018/05/10
42001,223,Delta Technology Holdings,DELT,1.11,1.15,1.1,1.13,0.03,2.62,"66,241",4.70,0.91,...,...,...,6.49,Friday,Friday,2018/05/11
42002,216,Delta Technology Holdings,DELT,1.12,1.15,1.11,1.11,-0.02,-1.67,"26,019",4.7,0.91,...,...,...,4.72,Monday,Monday,2018/05/14
42003,222,Delta Technology Holdings,DELT,1.11,1.2,1.1,1.14,0.03,2.70,"394,798",4.7,0.91,...,...,...,7.55,Tuesday,Tuesday,2018/05/15
42004,220,Delta Technology Holdings,DELT,1.13,1.16,1.11,1.12,-0.02,-1.75,"66,523",4.70,0.91,...,...,...,5.66,Wednesday,Wednesday,2018/05/16
42005,217,Delta Technology Holdings,DELT,1.12,1.14,1.1,1.14,0.02,1.79,"28,451",4.70,0.91,...,...,...,7.55,Thursday,Thursday,2018/05/17
