,Unnamed: 0,Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg,Stock,day,date
42178,226,Denny's,DENN,15.41,15.64,15.39,15.43,0.09,0.59,"339,824",16.31,10.87,...,...,28.05,16.54,Thursday,Thursday,2018/03/29
42179,227,Denny's,DENN,16.16,16.27,16.11,16.16,-0.08,-0.49,"135,522",16.39,10.87,...,...,29.38,22.05,Wednesday,Wednesday,2018/04/11
42180,221,Denny's,DENN,16.21,16.36,16.16,16.2,0.04,0.25,"136,996",16.39,10.87,...,...,29.45,22.36,Thursday,Thursday,2018/04/12
42181,222,Denny's,DENN,16.67,16.96,16.44,16.61,0.02,0.12,"297,954",16.96,10.87,...,...,30.20,25.45,Tuesday,Tuesday,2018/04/17
42182,224,Denny's,DENN,16.64,16.65,16.47,16.58,-0.03,-0.18,"174,521",16.96,10.87,...,...,30.15,25.23,Wednesday,Wednesday,2018/04/18
42183,217,Denny's,DENN,16.55,16.66,16.5,16.59,0.01,0.06,"238,024",16.96,10.87,...,...,30.16,25.30,Thursday,Thursday,2018/04/19
42184,220,Denny's,DENN,16.52,16.73,16.52,16.59,...,...,"177,260",16.96,10.87,...,...,30.16,25.30,Friday,Friday,2018/04/20
42185,228,Denny's,DENN,16.63,16.78,16.36,16.57,...,...,"179,641",16.96,10.87,...,...,30.13,25.15,Tuesday,Tuesday,2018/04/24
42186,220,Denny's,DENN,16.63,17.13,16.56,17.02,0.45,2.72,"292,423",17.13,10.87,...,...,30.95,28.55,Wednesday,Wednesday,2018/04/25
42187,215,Denny's,DENN,17.21,17.34,16.99,17.21,0.06,0.35,"188,814",17.65,10.87,...,...,31.29,29.98,Friday,Friday,2018/04/27
42188,222,Denny's,DENN,17.25,17.61,17.13,17.51,0.30,1.74,"391,356",17.65,10.87,...,...,31.84,32.25,Monday,Monday,2018/04/30
42189,215,Denny's,DENN,17.59,17.75,17.27,17.28,-0.23,-1.31,"592,031",17.75,10.87,...,...,31.42,30.51,Tuesday,Tuesday,2018/05/01
42190,217,Denny's,DENN,14.9,15.79,14.79,15.73,0.74,4.94,"497,228",17.75,10.87,...,...,26.66,18.81,Thursday,Thursday,2018/05/03
42191,216,Denny's,DENN,15.73,15.98,15.55,15.81,0.08,0.51,"266,774",17.75,10.87,...,...,26.80,19.41,Friday,Friday,2018/05/04
42192,230,Denny's,DENN,15.84,15.88,15.61,15.65,-0.16,-1.01,"224,276",17.75,10.87,...,...,26.53,18.20,Monday,Monday,2018/05/07
42193,218,Denny's,DENN,15.66,15.98,15.52,15.93,0.28,1.79,"207,345",17.75,10.87,...,...,27.00,20.32,Tuesday,Tuesday,2018/05/08
42194,228,Denny's,DENN,15.91,15.91,15.52,15.55,-0.38,-2.39,"194,883",17.75,10.87,...,...,26.36,17.45,Wednesday,Wednesday,2018/05/09
42195,217,Denny's,DENN,15.6,15.94,15.55,15.78,0.23,1.48,"214,403",17.75,10.87,...,...,26.75,19.18,Thursday,Thursday,2018/05/10
42196,224,Denny's,DENN,15.79,15.87,15.51,15.52,-0.26,-1.65,"121,786",17.75,10.87,...,...,26.31,17.22,Friday,Friday,2018/05/11
42197,217,Denny's,DENN,15.51,15.63,15.22,15.22,-0.30,-1.93,"194,994",17.75,10.87,...,...,25.80,14.95,Monday,Monday,2018/05/14
42198,223,Denny's,DENN,15.2,15.34,15.05,15.12,-0.10,-0.66,"319,132",17.75,10.87,...,...,25.63,14.20,Tuesday,Tuesday,2018/05/15
42199,221,Denny's,DENN,15.15,15.26,15.0,15.08,-0.04,-0.26,"260,099",17.75,10.87,...,...,25.56,13.90,Wednesday,Wednesday,2018/05/16
