,Unnamed: 0,Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg,Stock,day,date
46672,250,Easterly Acquisition,EACQ,10.2,10.2,10.20,10.20,...,...,"10,300",10.30,9.25,...,...,...,0.99,Thursday,Thursday,2018/03/29
46673,239,Easterly Acquisition,EACQ,10.25,10.25,10.25,10.25,0.05,0.49,"1,043",10.3,9.25,...,...,...,1.49,Thursday,Thursday,2018/04/12
46674,241,Easterly Acquisition,EACQ,10.22,10.25,10.22,10.25,...,...,"110,155",10.3,9.25,...,...,...,1.49,Tuesday,Tuesday,2018/04/17
46675,246,Easterly Acquisition,EACQ,10.22,10.25,10.22,10.25,...,...,"2,364",10.30,9.25,...,...,...,1.49,Wednesday,Wednesday,2018/04/18
46676,237,Easterly Acquisition,EACQ,10.2,10.25,10.2,10.25,...,...,585,10.3,9.25,...,...,...,1.49,Thursday,Thursday,2018/04/19
46677,249,Easterly Acquisition,EACQ,10.2,10.25,10.2,10.25,...,...,868,10.3,9.25,...,...,...,1.49,Tuesday,Tuesday,2018/04/24
46678,234,Easterly Acquisition,EACQ,10.25,10.26,10.25,10.25,...,...,"146,663",10.3,9.25,...,...,...,1.49,Friday,Friday,2018/04/27
46679,244,Easterly Acquisition,EACQ,10.3,10.3,10.3,10.3,0.05,0.49,285,10.3,9.25,...,...,...,1.98,Monday,Monday,2018/04/30
46680,237,Easterly Acquisition,EACQ,10.29,10.29,10.29,10.29,0.04,0.39,100,10.30,9.25,...,...,...,1.88,Friday,Friday,2018/05/04
46681,249,Easterly Acquisition,EACQ,10.25,10.25,10.2,10.25,-0.04,-0.39,"4,602",10.30,9.25,...,...,...,1.49,Friday,Friday,2018/05/11
46682,241,Easterly Acquisition,EACQ,10.2,10.2,10.2,10.2,-0.05,-0.49,"2,005",10.3,9.25,...,...,...,0.99,Monday,Monday,2018/05/14
46683,244,Easterly Acquisition,EACQ,10.2,10.22,10.1,10.2,...,...,"43,328",10.3,9.25,...,...,...,0.99,Tuesday,Tuesday,2018/05/15
46684,243,Easterly Acquisition,EACQ,10.21,10.21,10.2,10.2,...,...,"2,002",10.30,9.25,...,...,...,0.99,Wednesday,Wednesday,2018/05/16
46685,239,Easterly Acquisition,EACQ,10.21,10.21,10.15,10.15,-0.05,-0.49,"5,000",10.3,9.25,...,...,...,0.50,Friday,Friday,2018/05/18
46686,245,Easterly Acquisition,EACQ,10.2,10.2,10.20,10.2,0.05,0.49,"37,016",10.3,9.25,...,...,...,0.99,Monday,Monday,2018/05/21
46687,249,Easterly Acquisition,EACQ,10.2,10.21,10.2,10.2,...,...,"15,600",10.30,9.25,...,...,...,0.99,Tuesday,Tuesday,2018/05/22
46688,246,Easterly Acquisition,EACQ,10.25,10.25,10.2,10.2,...,...,"35,153",10.30,9.25,...,...,...,0.99,Thursday,Thursday,2018/05/24
46689,242,Easterly Acquisition,EACQ,10.25,10.25,10.22,10.25,0.05,0.49,"11,206",10.30,9.25,...,...,...,1.49,Tuesday,Tuesday,2018/05/29
46690,245,Easterly Acquisition,EACQ,10.25,10.25,10.25,10.25,...,...,"1,002",10.30,9.25,...,...,...,1.49,Wednesday,Wednesday,2018/05/30
46691,242,Easterly Acquisition,EACQ,10.25,10.3,10.25,10.25,...,...,"4,704",10.30,9.25,...,...,...,1.49,Thursday,Thursday,2018/05/31
46692,244,Easterly Acquisition,EACQ,10.26,10.28,10.22,10.25,...,...,"620,422",10.30,9.25,...,...,...,1.49,Friday,Friday,2018/06/01
46693,241,Easterly Acquisition,EACQ,10.25,10.25,10.25,10.25,...,...,"6,303",10.30,9.25,...,...,...,1.49,Monday,Monday,2018/06/04
